frequency,raw,smoothed,error,equalization
20.0000,8.5400,8.6361,8.6361,-8.6361
20.1998,8.5700,8.6472,8.6472,-8.6472
20.4015,8.6002,8.6599,8.6599,-8.6599
20.6053,8.6293,8.6739,8.6739,-8.6739
20.8112,8.6501,8.6890,8.6890,-8.6890
21.0190,8.6699,8.7051,8.7051,-8.7051
21.2290,8.6999,8.7225,8.7225,-8.7225
21.4410,8.7201,8.7410,8.7410,-8.7410
21.6552,8.7493,8.7608,8.7608,-8.7608
21.8715,8.7702,8.7819,8.7819,-8.7819
22.0900,8.8000,8.8047,8.8047,-8.8047
22.3106,8.8301,8.8292,8.8292,-8.8292
22.5335,8.8592,8.8548,8.8548,-8.8548
22.7586,8.8898,8.8800,8.8800,-8.8800
22.9859,8.9096,8.9047,8.9047,-8.9047
23.2155,8.9394,8.9289,8.9289,-8.9289
23.4474,8.9598,8.9526,8.9526,-8.9526
23.6816,8.9890,8.9756,8.9756,-8.9756
23.9182,9.0098,8.9980,8.9980,-8.9980
24.1571,9.0298,9.0197,9.0197,-9.0197
24.3984,9.0499,9.0407,9.0407,-9.0407
24.6421,9.0694,9.0610,9.0610,-9.0610
24.8882,9.0899,9.0809,9.0809,-9.0809
25.1368,9.1097,9.1002,9.1002,-9.1002
25.3879,9.1199,9.1191,9.1191,-9.1191
25.6415,9.1393,9.1378,9.1378,-9.1378
25.8976,9.1495,9.1564,9.1564,-9.1564
26.1563,9.1697,9.1748,9.1748,-9.1748
26.4176,9.1891,9.1933,9.1933,-9.1933
26.6815,9.2093,9.2116,9.2116,-9.2116
26.9480,9.2196,9.2299,9.2299,-9.2299
27.2172,9.2486,9.2481,9.2481,-9.2481
27.4890,9.2692,9.2663,9.2663,-9.2663
27.7636,9.2895,9.2841,9.2841,-9.2841
28.0409,9.3094,9.3016,9.3016,-9.3016
28.3210,9.3294,9.3187,9.3187,-9.3187
28.6039,9.3489,9.3353,9.3353,-9.3353
28.8896,9.3596,9.3511,9.3511,-9.3511
29.1782,9.3792,9.3664,9.3664,-9.3664
29.4697,9.3896,9.3810,9.3810,-9.3810
29.7640,9.3995,9.3950,9.3950,-9.3950
30.0613,9.4188,9.4083,9.4083,-9.4083
30.3616,9.4294,9.4210,9.4210,-9.4210
30.6649,9.4395,9.4330,9.4330,-9.4330
30.9712,9.4494,9.4444,9.4444,-9.4444
31.2806,9.4594,9.4552,9.4552,-9.4552
31.5930,9.4695,9.4655,9.4655,-9.4655
31.9086,9.4700,9.4755,9.4755,-9.4755
32.2273,9.4892,9.4852,9.4852,-9.4852
32.5492,9.4994,9.4946,9.4946,-9.4946
32.8744,9.5095,9.5037,9.5037,-9.5037
33.2027,9.5195,9.5126,9.5126,-9.5126
33.5344,9.5295,9.5212,9.5212,-9.5212
33.8694,9.5300,9.5294,9.5294,-9.5294
34.2077,9.5393,9.5374,9.5374,-9.5374
34.5494,9.5400,9.5453,9.5453,-9.5453
34.8945,9.5493,9.5530,9.5530,-9.5530
35.2430,9.5592,9.5606,9.5606,-9.5606
35.5951,9.5693,9.5680,9.5680,-9.5680
35.9506,9.5794,9.5751,9.5751,-9.5751
36.3097,9.5894,9.5818,9.5818,-9.5818
36.6724,9.5993,9.5882,9.5882,-9.5882
37.0387,9.6000,9.5943,9.5943,-9.5943
37.4087,9.6000,9.6001,9.6001,-9.6001
37.7824,9.6093,9.6057,9.6057,-9.6057
38.1598,9.6192,9.6110,9.6110,-9.6110
38.5409,9.6200,9.6159,9.6159,-9.6159
38.9259,9.6200,9.6204,9.6204,-9.6204
39.3147,9.6294,9.6246,9.6246,-9.6246
39.7074,9.6300,9.6283,9.6283,-9.6283
40.1041,9.6300,9.6317,9.6317,-9.6317
40.5046,9.6391,9.6349,9.6349,-9.6349
40.9092,9.6400,9.6377,9.6377,-9.6377
41.3179,9.6492,9.6402,9.6402,-9.6402
41.7306,9.6500,9.6424,9.6424,-9.6424
42.1474,9.6500,9.6441,9.6441,-9.6441
42.5684,9.6500,9.6454,9.6454,-9.6454
42.9936,9.6500,9.6463,9.6463,-9.6463
43.4231,9.6500,9.6468,9.6468,-9.6468
43.8568,9.6500,9.6469,9.6469,-9.6469
44.2949,9.6500,9.6466,9.6466,-9.6466
44.7374,9.6500,9.6459,9.6459,-9.6459
45.1842,9.6500,9.6449,9.6449,-9.6449
45.6356,9.6500,9.6434,9.6434,-9.6434
46.0914,9.6500,9.6416,9.6416,-9.6416
46.5518,9.6410,9.6394,9.6394,-9.6394
47.0168,9.6400,9.6370,9.6370,-9.6370
47.4864,9.6400,9.6342,9.6342,-9.6342
47.9608,9.6310,9.6311,9.6311,-9.6311
48.4398,9.6300,9.6278,9.6278,-9.6278
48.9237,9.6210,9.6241,9.6241,-9.6241
49.4124,9.6200,9.6201,9.6201,-9.6201
49.9059,9.6200,9.6159,9.6159,-9.6159
50.4044,9.6200,9.6114,9.6114,-9.6114
50.9079,9.6110,9.6066,9.6066,-9.6066
51.4164,9.6100,9.6014,9.6014,-9.6014
51.9300,9.6012,9.5958,9.5958,-9.5958
52.4487,9.5912,9.5898,9.5898,-9.5898
52.9726,9.5900,9.5834,9.5834,-9.5834
