frequency,raw,smoothed,error,equalization
20.0000,1.9800,2.0512,2.0512,-2.0512
20.1998,2.0000,2.0585,2.0585,-2.0585
20.4015,2.0201,2.0661,2.0661,-2.0661
20.6053,2.0396,2.0734,2.0734,-2.0734
20.8112,2.0601,2.0808,2.0808,-2.0808
21.0190,2.0799,2.0890,2.0890,-2.0890
21.2290,2.0999,2.0985,2.0985,-2.0985
21.4410,2.1201,2.1097,2.1097,-2.1097
21.6552,2.1493,2.1229,2.1229,-2.1229
21.8715,2.1700,2.1375,2.1375,-2.1375
22.0900,2.1700,2.1532,2.1532,-2.1532
22.3106,2.1499,2.1700,2.1700,-2.1700
22.5335,2.1306,2.1879,2.1879,-2.1879
22.7586,2.1002,2.2066,2.2066,-2.2066
22.9859,2.0804,2.2271,2.2271,-2.2271
23.2155,2.1682,2.2499,2.2499,-2.2499
23.4474,2.2689,2.2744,2.2744,-2.2744
23.6816,2.3665,2.2996,2.2996,-2.2996
23.9182,2.4692,2.3247,2.3247,-2.3247
24.1571,2.4700,2.3488,2.3488,-2.3488
24.3984,2.4303,2.3721,2.3721,-2.3721
24.6421,2.4009,2.3949,2.3949,-2.3949
24.8882,2.3603,2.4172,2.4172,-2.4172
25.1368,2.3600,2.4394,2.4394,-2.4394
25.3879,2.3997,2.4612,2.4612,-2.4612
25.6415,2.4387,2.4824,2.4824,-2.4824
25.8976,2.4781,2.5026,2.5026,-2.5026
26.1563,2.5293,2.5217,2.5217,-2.5217
26.4176,2.5872,2.5395,2.5395,-2.5395
26.6815,2.6577,2.5560,2.5560,-2.5560
26.9480,2.7173,2.5709,2.5709,-2.5709
27.2172,2.6819,2.5837,2.5837,-2.5837
27.4890,2.6128,2.5949,2.5949,-2.5949
27.7636,2.5514,2.6053,2.6053,-2.6053
28.0409,2.5113,2.6157,2.6157,-2.6157
28.3210,2.5584,2.6270,2.6270,-2.6270
28.6039,2.6167,2.6391,2.6391,-2.6391
28.8896,2.6682,2.6516,2.6516,-2.6516
29.1782,2.6892,2.6641,2.6641,-2.6641
29.4697,2.6900,2.6766,2.6766,-2.6766
29.7640,2.6900,2.6896,2.6896,-2.6896
30.0613,2.6900,2.7036,2.7036,-2.7036
30.3616,2.6900,2.7189,2.7189,-2.7189
30.6649,2.6900,2.7358,2.7358,-2.7358
30.9712,2.6900,2.7540,2.7540,-2.7540
31.2806,2.7462,2.7729,2.7729,-2.7729
31.5930,2.8067,2.7913,2.7913,-2.7913
31.9086,2.8660,2.8082,2.8082,-2.8082
32.2273,2.8796,2.8232,2.8232,-2.8232
32.5492,2.8894,2.8365,2.8365,-2.8365
32.8744,2.8900,2.8483,2.8483,-2.8483
33.2027,2.8900,2.8585,2.8585,-2.8585
33.5344,2.8900,2.8672,2.8672,-2.8672
