frequency,raw,smoothed,error,equalization
20.0000,7.8400,7.9444,7.9444,-7.9444
20.1998,7.8700,7.9561,7.9561,-7.9561
20.4015,7.9002,7.9696,7.9696,-7.9696
20.6053,7.9293,7.9842,7.9842,-7.9842
20.8112,7.9602,7.9999,7.9999,-7.9999
21.0190,7.9899,8.0164,8.0164,-8.0164
21.2290,8.0199,8.0337,8.0337,-8.0337
21.4410,8.0401,8.0518,8.0518,-8.0518
21.6552,8.0693,8.0708,8.0708,-8.0708
21.8715,8.1001,8.0908,8.0908,-8.0908
22.0900,8.1200,8.1120,8.1120,-8.1120
22.3106,8.1401,8.1345,8.1345,-8.1345
22.5335,8.1594,8.1579,8.1579,-8.1579
22.7586,8.1898,8.1809,8.1809,-8.1809
22.9859,8.2096,8.2034,8.2034,-8.2034
23.2155,8.2296,8.2255,8.2255,-8.2255
23.4474,8.2498,8.2472,8.2472,-8.2472
23.6816,8.2693,8.2688,8.2688,-8.2688
23.9182,8.2898,8.2903,8.2903,-8.2903
24.1571,8.3098,8.3116,8.3116,-8.3116
24.3984,8.3299,8.3329,8.3329,-8.3329
24.6421,8.3494,8.3540,8.3540,-8.3540
24.8882,8.3699,8.3750,8.3750,-8.3750
25.1368,8.3996,8.3958,8.3958,-8.3958
25.3879,8.4198,8.4162,8.4162,-8.4162
25.6415,8.4393,8.4362,8.4362,-8.4362
25.8976,8.4590,8.4557,8.4557,-8.4557
26.1563,8.4896,8.4747,8.4747,-8.4747
26.4176,8.5091,8.4931,8.4931,-8.4931
26.6815,8.5293,8.5107,8.5107,-8.5107
26.9480,8.5396,8.5276,8.5276,-8.5276
27.2172,8.5590,8.5439,8.5439,-8.5439
27.4890,8.5696,8.5594,8.5594,-8.5594
27.7636,8.5798,8.5744,8.5744,-8.5744
28.0409,8.5897,8.5887,8.5887,-8.5887
28.3210,8.5997,8.6026,8.6026,-8.6026
28.6039,8.6094,8.6162,8.6162,-8.6162
28.8896,8.6293,8.6295,8.6295,-8.6295
29.1782,8.6396,8.6424,8.6424,-8.6424
29.4697,8.6593,8.6551,8.6551,-8.6551
29.7640,8.6695,8.6676,8.6676,-8.6676
30.0613,8.6888,8.6798,8.6798,-8.6798
30.3616,8.6994,8.6918,8.6918,-8.6918
30.6649,8.7095,8.7035,8.7035,-8.7035
30.9712,8.7194,8.7149,8.7149,-8.7149
31.2806,8.7294,8.7262,8.7262,-8.7262
31.5930,8.7395,8.7372,8.7372,-8.7372
31.9086,8.7493,8.7479,8.7479,-8.7479
32.2273,8.7596,8.7583,8.7583,-8.7583
32.5492,8.7694,8.7684,8.7684,-8.7684
32.8744,8.7795,8.7783,8.7783,-8.7783
33.2027,8.7895,8.7879,8.7879,-8.7879
33.5344,8.7995,8.7972,8.7972,-8.7972
33.8694,8.8094,8.8062,8.8062,-8.8062
34.2077,8.8193,8.8150,8.8150,-8.8150
34.5494,8.8294,8.8235,8.8235,-8.8235
34.8945,8.8393,8.8317,8.8317,-8.8317
35.2430,8.8400,8.8394,8.8394,-8.8394
35.5951,8.8493,8.8469,8.8469,-8.8469
35.9506,8.8594,8.8540,8.8540,-8.8540
36.3097,8.8694,8.8607,8.8607,-8.8607
36.6724,8.8700,8.8669,8.8669,-8.8669
37.0387,8.8794,8.8728,8.8728,-8.8728
37.4087,8.8800,8.8783,8.8783,-8.8783
37.7824,8.8893,8.8835,8.8835,-8.8835
38.1598,8.8900,8.8882,8.8882,-8.8882
38.5409,8.8992,8.8927,8.8927,-8.8927
38.9259,8.9000,8.8968,8.8968,-8.8968
39.3147,8.9000,8.9006,8.9006,-8.9006
39.7074,8.9092,8.9042,8.9042,-8.9042
40.1041,8.9100,8.9075,8.9075,-8.9075
40.5046,8.9100,8.9105,8.9105,-8.9105
40.9092,8.9192,8.9133,8.9133,-8.9133
41.3179,8.9200,8.9158,8.9158,-8.9158
41.7306,8.9200,8.9180,8.9180,-8.9180
42.1474,8.9200,8.9199,8.9199,-8.9199
