frequency,raw,smoothed,error,equalization
20.0000,8.1100,8.1824,8.1824,-8.1824
20.1998,8.1300,8.1910,8.1910,-8.1910
20.4015,8.1501,8.2007,8.2007,-8.2007
20.6053,8.1696,8.2114,8.2114,-8.2114
20.8112,8.1901,8.2229,8.2229,-8.2229
21.0190,8.2099,8.2350,8.2350,-8.2350
21.2290,8.2399,8.2478,8.2478,-8.2478
21.4410,8.2600,8.2610,8.2610,-8.2610
21.6552,8.2698,8.2748,8.2748,-8.2748
21.8715,8.2901,8.2893,8.2893,-8.2893
22.0900,8.3100,8.3047,8.3047,-8.3047
22.3106,8.3301,8.3210,8.3210,-8.3210
22.5335,8.3494,8.3377,8.3377,-8.3377
22.7586,8.3599,8.3538,8.3538,-8.3538
22.9859,8.3796,8.3694,8.3694,-8.3694
23.2155,8.3898,8.3843,8.3843,-8.3843
23.4474,8.3999,8.3986,8.3986,-8.3986
23.6816,8.4193,8.4124,8.4124,-8.4124
23.9182,8.4299,8.4256,8.4256,-8.4256
24.1571,8.4399,8.4383,8.4383,-8.4383
24.3984,8.4599,8.4504,8.4504,-8.4504
24.6421,8.4697,8.4618,8.4618,-8.4618
24.8882,8.4799,8.4723,8.4723,-8.4723
25.1368,8.4899,8.4820,8.4820,-8.4820
25.3879,8.4999,8.4909,8.4909,-8.4909
25.6415,8.5097,8.4989,8.4989,-8.4989
25.8976,8.5195,8.5059,8.5059,-8.5059
26.1563,8.5299,8.5119,8.5119,-8.5119
26.4176,8.5300,8.5167,8.5167,-8.5167
26.6815,8.5397,8.5204,8.5204,-8.5204
26.9480,8.5400,8.5230,8.5230,-8.5230
27.2172,8.5400,8.5243,8.5243,-8.5243
27.4890,8.5400,8.5246,8.5246,-8.5246
27.7636,8.5302,8.5239,8.5239,-8.5239
28.0409,8.5300,8.5223,8.5223,-8.5223
28.3210,8.5300,8.5199,8.5199,-8.5199
28.6039,8.5206,8.5167,8.5167,-8.5167
28.8896,8.5200,8.5128,8.5128,-8.5128
29.1782,8.5104,8.5082,8.5082,-8.5082
29.4697,8.5100,8.5031,8.5031,-8.5031
29.7640,8.5005,8.4974,8.4974,-8.4974
30.0613,8.4906,8.4912,8.4912,-8.4912
30.3616,8.4900,8.4845,8.4845,-8.4845
