frequency,raw,smoothed,error,equalization
20.0000,11.6800,11.6955,11.6955,-11.6955
20.1998,11.6800,11.6974,11.6974,-11.6974
20.4015,11.6900,11.6998,11.6998,-11.6998
20.6053,11.6900,11.7023,11.7023,-11.7023
20.8112,11.7000,11.7050,11.7050,-11.7050
21.0190,11.7000,11.7078,11.7078,-11.7078
21.2290,11.7100,11.7107,11.7107,-11.7107
21.4410,11.7100,11.7137,11.7137,-11.7137
21.6552,11.7198,11.7168,11.7168,-11.7168
21.8715,11.7201,11.7200,11.7200,-11.7200
22.0900,11.7300,11.7234,11.7234,-11.7234
22.3106,11.7300,11.7268,11.7268,-11.7268
22.5335,11.7300,11.7303,11.7303,-11.7303
22.7586,11.7399,11.7336,11.7336,-11.7336
22.9859,11.7400,11.7366,11.7366,-11.7366
23.2155,11.7400,11.7395,11.7395,-11.7395
23.4474,11.7400,11.7421,11.7421,-11.7421
23.6816,11.7497,11.7446,11.7446,-11.7446
23.9182,11.7500,11.7468,11.7468,-11.7468
24.1571,11.7500,11.7488,11.7488,-11.7488
24.3984,11.7500,11.7506,11.7506,-11.7506
24.6421,11.7500,11.7523,11.7523,-11.7523
24.8882,11.7599,11.7539,11.7539,-11.7539
25.1368,11.7600,11.7552,11.7552,-11.7552
25.3879,11.7600,11.7563,11.7563,-11.7563
25.6415,11.7600,11.7571,11.7571,-11.7571
25.8976,11.7600,11.7578,11.7578,-11.7578
26.1563,11.7600,11.7582,11.7582,-11.7582
26.4176,11.7600,11.7584,11.7584,-11.7584
26.6815,11.7600,11.7584,11.7584,-11.7584
26.9480,11.7600,11.7582,11.7582,-11.7582
27.2172,11.7600,11.7578,11.7578,-11.7578
27.4890,11.7600,11.7572,11.7572,-11.7572
27.7636,11.7600,11.7563,11.7563,-11.7563
28.0409,11.7600,11.7553,11.7553,-11.7553
28.3210,11.7600,11.7540,11.7540,-11.7540
28.6039,11.7506,11.7524,11.7524,-11.7524
28.8896,11.7500,11.7508,11.7508,-11.7508
29.1782,11.7500,11.7490,11.7490,-11.7490
29.4697,11.7500,11.7470,11.7470,-11.7470
29.7640,11.7500,11.7449,11.7449,-11.7449
30.0613,11.7406,11.7425,11.7425,-11.7425
30.3616,11.7400,11.7400,11.7400,-11.7400
