frequency,raw,smoothed,error,equalization
20.0000,4.7000,4.7097,4.7097,-4.7097
20.1998,4.7000,4.7112,4.7112,-4.7112
20.4015,4.7100,4.7132,4.7132,-4.7132
20.6053,4.7100,4.7152,4.7152,-4.7152
20.8112,4.7100,4.7176,4.7176,-4.7176
21.0190,4.7100,4.7202,4.7202,-4.7202
21.2290,4.7100,4.7232,4.7232,-4.7232
21.4410,4.7200,4.7264,4.7264,-4.7264
21.6552,4.7200,4.7299,4.7299,-4.7299
21.8715,4.7301,4.7337,4.7337,-4.7337
22.0900,4.7400,4.7377,4.7377,-4.7377
22.3106,4.7400,4.7418,4.7418,-4.7418
22.5335,4.7497,4.7459,4.7459,-4.7459
22.7586,4.7599,4.7498,4.7498,-4.7498
22.9859,4.7600,4.7531,4.7531,-4.7531
23.2155,4.7698,4.7560,4.7560,-4.7560
23.4474,4.7700,4.7584,4.7584,-4.7584
23.6816,4.7700,4.7601,4.7601,-4.7601
23.9182,4.7700,4.7613,4.7613,-4.7613
24.1571,4.7700,4.7618,4.7618,-4.7618
24.3984,4.7700,4.7617,4.7617,-4.7617
24.6421,4.7700,4.7610,4.7610,-4.7610
24.8882,4.7601,4.7597,4.7597,-4.7597
25.1368,4.7600,4.7578,4.7578,-4.7578
25.3879,4.7600,4.7555,4.7555,-4.7555
25.6415,4.7503,4.7526,4.7526,-4.7526
25.8976,4.7500,4.7491,4.7491,-4.7491
26.1563,4.7500,4.7452,4.7452,-4.7452
26.4176,4.7500,4.7407,4.7407,-4.7407
26.6815,4.7500,4.7355,4.7355,-4.7355
26.9480,4.7404,4.7295,4.7295,-4.7295
27.2172,4.7305,4.7228,4.7228,-4.7228
27.4890,4.7300,4.7153,4.7153,-4.7153
27.7636,4.7202,4.7071,4.7071,-4.7071
28.0409,4.7103,4.6981,4.6981,-4.6981
28.3210,4.7003,4.6884,4.6884,-4.6884
28.6039,4.6811,4.6780,4.6780,-4.6780
28.8896,4.6704,4.6670,4.6670,-4.6670
29.1782,4.6604,4.6554,4.6554,-4.6554
29.4697,4.6504,4.6433,4.6433,-4.6433
29.7640,4.6311,4.6308,4.6308,-4.6308
30.0613,4.6206,4.6178,4.6178,-4.6178
30.3616,4.6012,4.6046,4.6046,-4.6046
30.6649,4.5905,4.5912,4.5912,-4.5912
