frequency,raw,smoothed,error,equalization
20.0000,8.1900,8.2936,8.2936,-8.2936
20.1998,8.2200,8.2950,8.2950,-8.2950
20.4015,8.2504,8.2953,8.2953,-8.2953
20.6053,8.2989,8.2941,8.2941,-8.2941
20.8112,8.3502,8.2913,8.2913,-8.2913
21.0190,8.3898,8.2871,8.2871,-8.2871
21.2290,8.4099,8.2818,8.2818,-8.2818
21.4410,8.4098,8.2760,8.2760,-8.2760
21.6552,8.3611,8.2702,8.2702,-8.2702
21.8715,8.3094,8.2657,8.2657,-8.2657
22.0900,8.2300,8.2631,8.2631,-8.2631
22.3106,8.1498,8.2638,8.2638,-8.2638
22.5335,8.0820,8.2684,8.2684,-8.2684
22.7586,8.0502,8.2777,8.2777,-8.2777
22.9859,8.0696,8.2921,8.2921,-8.2921
23.2155,8.1386,8.3118,8.3118,-8.3118
23.4474,8.2389,8.3359,8.3359,-8.3359
23.6816,8.3462,8.3635,8.3635,-8.3635
23.9182,8.4591,8.3933,8.3933,-8.3933
24.1571,8.5390,8.4236,8.4236,-8.4236
24.3984,8.5897,8.4534,8.4534,-8.4534
24.6421,8.6191,8.4813,8.4813,-8.4813
24.8882,8.6200,8.5065,8.5065,-8.5065
25.1368,8.6003,8.5284,8.5284,-8.5284
25.3879,8.5802,8.5465,8.5465,-8.5465
25.6415,8.5703,8.5609,8.5609,-8.5609
25.8976,8.5700,8.5714,8.5714,-8.5714
26.1563,8.5700,8.5783,8.5783,-8.5783
26.4176,8.5795,8.5821,8.5821,-8.5821
26.6815,8.5897,8.5834,8.5834,-8.5834
26.9480,8.5996,8.5829,8.5829,-8.5829
27.2172,8.6000,8.5811,8.5811,-8.5811
27.4890,8.5904,8.5785,8.5785,-8.5785
27.7636,8.5900,8.5756,8.5756,-8.5756
28.0409,8.5803,8.5724,8.5724,-8.5724
28.3210,8.5800,8.5690,8.5690,-8.5690
28.6039,8.5706,8.5651,8.5651,-8.5651
28.8896,8.5604,8.5606,8.5606,-8.5606
29.1782,8.5504,8.5556,8.5556,-8.5556
29.4697,8.5404,8.5503,8.5503,-8.5503
29.7640,8.5400,8.5449,8.5449,-8.5449
30.0613,8.5400,8.5396,8.5396,-8.5396
30.3616,8.5400,8.5345,8.5345,-8.5345
30.6649,8.5400,8.5297,8.5297,-8.5297
30.9712,8.5306,8.5251,8.5251,-8.5251
31.2806,8.5206,8.5208,8.5208,-8.5208
31.5930,8.5105,8.5167,8.5167,-8.5167
31.9086,8.4913,8.5128,8.5128,-8.5128
32.2273,8.4900,8.5093,8.5093,-8.5093
32.5492,8.4806,8.5060,8.5060,-8.5060
32.8744,8.4895,8.5030,8.5030,-8.5030
33.2027,8.4995,8.4999,8.4999,-8.4999
33.5344,8.5095,8.4965,8.4965,-8.4965
33.8694,8.5194,8.4927,8.4927,-8.4927
34.2077,8.5200,8.4880,8.4880,-8.4880
34.5494,8.5106,8.4825,8.4825,-8.4825
34.8945,8.5007,8.4761,8.4761,-8.4761
35.2430,8.4815,8.4688,8.4688,-8.4688
35.5951,8.4614,8.4608,8.4608,-8.4608
35.9506,8.4506,8.4521,8.4521,-8.4521
36.3097,8.4406,8.4428,8.4428,-8.4428
36.6724,8.4307,8.4328,8.4328,-8.4328
37.0387,8.4300,8.4223,8.4223,-8.4223
37.4087,8.4206,8.4111,8.4111,-8.4111
37.7824,8.4015,8.3993,8.3993,-8.3993
38.1598,8.3908,8.3873,8.3873,-8.3873
38.5409,8.3715,8.3752,8.3752,-8.3752
38.9259,8.3606,8.3631,8.3631,-8.3631
39.3147,8.3506,8.3509,8.3509,-8.3509
39.7074,8.3408,8.3388,8.3388,-8.3388
40.1041,8.3309,8.3264,8.3264,-8.3264
40.5046,8.3209,8.3137,8.3137,-8.3137
40.9092,8.3015,8.3007,8.3007,-8.3007
41.3179,8.2908,8.2874,8.2874,-8.2874
41.7306,8.2714,8.2738,8.2738,-8.2738
42.1474,8.2608,8.2600,8.2600,-8.2600
42.5684,8.2508,8.2459,8.2459,-8.2459
42.9936,8.2408,8.2314,8.2314,-8.2314
43.4231,8.2217,8.2164,8.2164,-8.2164
43.8568,8.2110,8.2006,8.2006,-8.2006
44.2949,8.1916,8.1841,8.1841,-8.1841
44.7374,8.1719,8.1669,8.1669,-8.1669
45.1842,8.1610,8.1494,8.1494,-8.1494
45.6356,8.1420,8.1315,8.1315,-8.1315
46.0914,8.1217,8.1134,8.1134,-8.1134
46.5518,8.1021,8.0948,8.0948,-8.0948
47.0168,8.0819,8.0758,8.0758,-8.0758
47.4864,8.0619,8.0564,8.0564,-8.0564
47.9608,8.0421,8.0366,8.0366,-8.0366
48.4398,8.0042,8.0165,8.0165,-8.0165
48.9237,7.9729,7.9963,7.9963,-7.9963
49.4124,7.9519,7.9761,7.9761,-7.9761
49.9059,7.9500,7.9558,7.9558,-7.9558
50.4044,7.9589,7.9353,7.9353,-7.9353
50.9079,7.9510,7.9140,7.9140,-7.9140
51.4164,7.9142,7.8919,7.8919,-7.8919
51.9300,7.8746,7.8691,7.8691,-7.8691
52.4487,7.8524,7.8460,7.8460,-7.8460
52.9726,7.8322,7.8224,7.8224,-7.8224
53.5018,7.8122,7.7984,7.7984,-7.7984
54.0362,7.7835,7.7737,7.7737,-7.7737
54.5759,7.7447,7.7484,7.7484,-7.7484
55.1211,7.7133,7.7225,7.7225,-7.7225
