frequency,raw,smoothed,error,equalization
20.0000,-0.5700,-0.2578,-0.2578,0.2578
20.1998,-0.4901,-0.2180,-0.2180,0.2180
20.4015,-0.3993,-0.1720,-0.1720,0.1720
20.6053,-0.3120,-0.1211,-0.1211,0.1211
20.8112,-0.2295,-0.0658,-0.0658,0.0658
21.0190,-0.1404,-0.0065,-0.0065,0.0065
21.2290,-0.0504,0.0569,0.0569,-0.0569
21.4410,0.0505,0.1243,0.1243,-0.1243
21.6552,0.1576,0.1959,0.1959,-0.1959
21.8715,0.2608,0.2719,0.2719,-0.2719
22.0900,0.3700,0.3528,0.3528,-0.3528
22.3106,0.4703,0.4390,0.4390,-0.4390
22.5335,0.5672,0.5285,0.5285,-0.5285
22.7586,0.6594,0.6164,0.6164,-0.6164
22.9859,0.7484,0.7027,0.7027,-0.7027
23.2155,0.8284,0.7872,0.7872,-0.7872
23.4474,0.8992,0.8700,0.8700,-0.8700
23.6816,0.9676,0.9513,0.9513,-0.9513
23.9182,1.0394,1.0313,1.0313,-1.0313
24.1571,1.0993,1.1101,1.1101,-1.1101
24.3984,1.1795,1.1882,1.1882,-1.1882
24.6421,1.2478,1.2657,1.2657,-1.2657
24.8882,1.3294,1.3429,1.3429,-1.3429
25.1368,1.4090,1.4198,1.4198,-1.4198
25.3879,1.4993,1.4967,1.4967,-1.4967
25.6415,1.5774,1.5732,1.5732,-1.5732
25.8976,1.6562,1.6495,1.6495,-1.6495
26.1563,1.7388,1.7254,1.7254,-1.7254
26.4176,1.8163,1.8009,1.8009,-1.8009
26.6815,1.8877,1.8758,1.8758,-1.8758
26.9480,1.9664,1.9500,1.9500,-1.9500
27.2172,2.0367,2.0234,2.0234,-2.0234
27.4890,2.1072,2.0958,2.0958,-2.0958
27.7636,2.1783,2.1671,2.1671,-2.1671
28.0409,2.2477,2.2375,2.2375,-2.2375
28.3210,2.3178,2.3067,2.3067,-2.3067
28.6039,2.3861,2.3749,2.3749,-2.3749
28.8896,2.4478,2.4421,2.4421,-2.4421
29.1782,2.5172,2.5082,2.5082,-2.5082
29.4697,2.5875,2.5733,2.5733,-2.5733
29.7640,2.6468,2.6373,2.6373,-2.6373
30.0613,2.7156,2.7003,2.7003,-2.7003
30.3616,2.7763,2.7621,2.7621,-2.7621
30.6649,2.8370,2.8228,2.8228,-2.8228
30.9712,2.8964,2.8824,2.8824,-2.8824
31.2806,2.9562,2.9409,2.9409,-2.9409
31.5930,3.0167,2.9982,2.9982,-2.9982
31.9086,3.0667,3.0544,3.0544,-3.0544
32.2273,3.1180,3.1095,3.1095,-3.1095
32.5492,3.1762,3.1635,3.1635,-3.1635
32.8744,3.2276,3.2165,3.2165,-3.2165
33.2027,3.2774,3.2684,3.2684,-3.2684
33.5344,3.3276,3.3193,3.3193,-3.3193
33.8694,3.3770,3.3691,3.3691,-3.3691
34.2077,3.4267,3.4180,3.4180,-3.4180
34.5494,3.4770,3.4658,3.4658,-3.4658
34.8945,3.5264,3.5126,3.5126,-3.5126
35.2430,3.5761,3.5582,3.5582,-3.5582
35.5951,3.6171,3.6028,3.6028,-3.6028
35.9506,3.6578,3.6463,3.6463,-3.6463
36.3097,3.7072,3.6888,3.6888,-3.6888
36.6724,3.7470,3.7300,3.7300,-3.7300
37.0387,3.7782,3.7702,3.7702,-3.7702
37.4087,3.8177,3.8095,3.8095,-3.8095
37.7824,3.8571,3.8479,3.8479,-3.8479
38.1598,3.8968,3.8855,3.8855,-3.8855
38.5409,3.9277,3.9223,3.9223,-3.9223
38.9259,3.9675,3.9584,3.9584,-3.9584
39.3147,3.9981,3.9939,3.9939,-3.9939
39.7074,4.0367,4.0289,4.0289,-4.0289
40.1041,4.0673,4.0635,4.0635,-4.0635
40.5046,4.0973,4.0976,4.0976,-4.0976
40.9092,4.1277,4.1314,4.1314,-4.1314
41.3179,4.1669,4.1650,4.1650,-4.1650
41.7306,4.1978,4.1983,4.1983,-4.1983
42.1474,4.2369,4.2313,4.2313,-4.2313
