frequency,raw,smoothed,error,equalization
20.0000,8.4100,8.3315,8.3315,-8.3315
20.1998,8.3900,8.3213,8.3213,-8.3213
20.4015,8.3699,8.3096,8.3096,-8.3096
20.6053,8.3504,8.2966,8.2966,-8.2966
20.8112,8.3298,8.2823,8.2823,-8.2823
21.0190,8.3001,8.2668,8.2668,-8.2668
21.2290,8.2701,8.2503,8.2503,-8.2503
21.4410,8.2499,8.2326,8.2326,-8.2326
21.6552,8.2207,8.2136,8.2136,-8.2136
21.8715,8.1998,8.1934,8.1934,-8.1934
22.0900,8.1700,8.1715,8.1715,-8.1715
22.3106,8.1499,8.1479,8.1479,-8.1479
22.5335,8.1208,8.1229,8.1229,-8.1229
22.7586,8.1001,8.0979,8.0979,-8.0979
22.9859,8.0705,8.0727,8.0727,-8.0727
23.2155,8.0504,8.0475,8.0475,-8.0475
23.4474,8.0203,8.0223,8.0223,-8.0223
23.6816,8.0007,7.9971,7.9971,-7.9971
23.9182,7.9702,7.9719,7.9719,-7.9719
24.1571,7.9502,7.9467,7.9467,-7.9467
24.3984,7.9202,7.9215,7.9215,-7.9215
24.6421,7.9006,7.8963,7.8963,-7.8963
24.8882,7.8702,7.8710,7.8710,-7.8710
25.1368,7.8404,7.8458,7.8458,-7.8458
25.3879,7.8202,7.8206,7.8206,-7.8206
25.6415,7.7910,7.7954,7.7954,-7.7954
25.8976,7.7710,7.7703,7.7703,-7.7703
26.1563,7.7404,7.7451,7.7451,-7.7451
26.4176,7.7209,7.7198,7.7198,-7.7198
26.6815,7.7007,7.6945,7.6945,-7.6945
26.9480,7.6713,7.6690,7.6690,-7.6690
27.2172,7.6510,7.6432,7.6432,-7.6432
27.4890,7.6212,7.6172,7.6172,-7.6172
27.7636,7.5907,7.5907,7.5907,-7.5907
28.0409,7.5706,7.5640,7.5640,-7.5640
28.3210,7.5410,7.5368,7.5368,-7.5368
28.6039,7.5117,7.5092,7.5092,-7.5092
28.8896,7.4907,7.4810,7.4810,-7.4810
29.1782,7.4612,7.4522,7.4522,-7.4522
29.4697,7.4311,7.4227,7.4227,-7.4227
29.7640,7.4016,7.3927,7.3927,-7.3927
30.0613,7.3719,7.3620,7.3620,-7.3620
30.3616,7.3418,7.3308,7.3308,-7.3308
30.6649,7.3020,7.2990,7.2990,-7.2990
30.9712,7.2718,7.2669,7.2669,-7.2669
31.2806,7.2419,7.2343,7.2343,-7.2343
31.5930,7.2022,7.2013,7.2013,-7.2013
31.9086,7.1720,7.1680,7.1680,-7.1680
32.2273,7.1316,7.1345,7.1345,-7.1345
32.5492,7.1019,7.1008,7.1008,-7.1008
32.8744,7.0620,7.0670,7.0670,-7.0670
33.2027,7.0316,7.0331,7.0331,-7.0331
33.5344,7.0014,6.9993,6.9993,-6.9993
33.8694,6.9624,6.9654,6.9654,-6.9654
34.2077,6.9320,6.9315,6.9315,-6.9315
34.5494,6.9018,6.8975,6.8975,-6.8975
34.8945,6.8629,6.8634,6.8634,-6.8634
35.2430,6.8323,6.8292,6.8292,-6.8292
35.5951,6.7929,6.7949,6.7949,-6.7949
35.9506,6.7617,6.7605,6.7605,-6.7605
36.3097,6.7317,6.7258,6.7258,-6.7258
36.6724,6.6930,6.6909,6.6909,-6.6909
37.0387,6.6618,6.6556,6.6556,-6.6556
37.4087,6.6223,6.6199,6.6199,-6.6199
37.7824,6.5922,6.5839,6.5839,-6.5839
38.1598,6.5532,6.5474,6.5474,-6.5474
38.5409,6.5131,6.5106,6.5106,-6.5106
38.9259,6.4819,6.4733,6.4733,-6.4733
39.3147,6.4426,6.4357,6.4357,-6.4357
39.7074,6.4033,6.3976,6.3976,-6.3976
40.1041,6.3636,6.3591,6.3591,-6.3591
40.5046,6.3235,6.3202,6.3202,-6.3202
40.9092,6.2831,6.2810,6.2810,-6.2810
41.3179,6.2431,6.2414,6.2414,-6.2414
41.7306,6.2029,6.2016,6.2016,-6.2016
42.1474,6.1631,6.1614,6.1614,-6.1614
42.5684,6.1230,6.1210,6.1210,-6.1210
42.9936,6.0834,6.0803,6.0803,-6.0803
43.4231,6.0434,6.0394,6.0394,-6.0394
43.8568,6.0039,5.9981,5.9981,-5.9981
44.2949,5.9633,5.9565,5.9565,-5.9565
44.7374,5.9147,5.9146,5.9146,-5.9146
45.1842,5.8741,5.8725,5.8725,-5.8725
45.6356,5.8340,5.8303,5.8303,-5.8303
46.0914,5.7934,5.7877,5.7877,-5.7877
46.5518,5.7451,5.7450,5.7450,-5.7450
47.0168,5.7038,5.7021,5.7021,-5.7021
47.4864,5.6637,5.6591,5.6591,-5.6591
47.9608,5.6151,5.6159,5.6159,-5.6159
48.4398,5.5742,5.5727,5.5727,-5.5727
48.9237,5.5248,5.5294,5.5294,-5.5294
49.4124,5.4839,5.4862,5.4862,-5.4862
49.9059,5.4443,5.4429,5.4429,-5.4429
50.4044,5.3956,5.3996,5.3996,-5.3996
50.9079,5.3542,5.3563,5.3563,-5.3563
51.4164,5.3142,5.3130,5.3130,-5.3130
51.9300,5.2746,5.2697,5.2697,-5.2697
52.4487,5.2259,5.2263,5.2263,-5.2263
52.9726,5.1844,5.1829,5.1829,-5.1829
53.5018,5.1444,5.1393,5.1393,-5.1393
54.0362,5.0959,5.0956,5.0956,-5.0956
54.5759,5.0547,5.0519,5.0519,-5.0519
55.1211,5.0055,5.0080,5.0080,-5.0080
55.6717,4.9649,4.9640,4.9640,-4.9640
56.2278,4.9245,4.9199,4.9199,-4.9199
56.7894,4.8762,4.8756,4.8756,-4.8756
57.3567,4.8345,4.8311,4.8311,-4.8311
57.9296,4.7861,4.7863,4.7863,-4.7863
58.5082,4.7449,4.7413,4.7413,-4.7413
59.0927,4.6958,4.6961,4.6961,-4.6961
59.6829,4.6551,4.6506,4.6506,-4.6506
60.2791,4.6060,4.6047,4.6047,-4.6047
60.8812,4.5652,4.5586,4.5586,-4.5586
61.4893,4.5166,4.5120,4.5120,-4.5120
62.1035,4.4750,4.4651,4.4651,-4.4651
62.7239,4.4261,4.4177,4.4177,-4.4177
63.3504,4.3763,4.3699,4.3699,-4.3699
63.9832,4.3268,4.3217,4.3217,-4.3217
64.6223,4.2769,4.2732,4.2732,-4.2732
65.2678,4.2264,4.2244,4.2244,-4.2244
65.9198,4.1768,4.1753,4.1753,-4.1753
66.5782,4.1270,4.1259,4.1259,-4.1259
67.2433,4.0766,4.0763,4.0763,-4.0763
67.9149,4.0270,4.0265,4.0265,-4.0265
68.5933,3.9771,3.9765,3.9765,-3.9765
69.2785,3.9267,3.9264,3.9264,-3.9264
69.9705,3.8771,3.8761,3.8761,-3.8761
70.6694,3.8272,3.8258,3.8258,-3.8258
71.3753,3.7774,3.7753,3.7753,-3.7753
72.0883,3.7272,3.7248,3.7248,-3.7248
72.8083,3.6771,3.6742,3.6742,-3.6742
73.5356,3.6272,3.6235,3.6235,-3.6235
74.2701,3.5774,3.5727,3.5727,-3.5727
75.0120,3.5188,3.5217,3.5217,-3.5217
75.7613,3.4672,3.4707,3.4707,-3.4707
76.5180,3.4174,3.4197,3.4197,-3.4197
77.2824,3.3676,3.3687,3.3687,-3.3687
78.0543,3.3175,3.3177,3.3177,-3.3177
78.8340,3.2674,3.2667,3.2667,-3.2667
79.6214,3.2175,3.2157,3.2157,-3.2157
80.4168,3.1677,3.1648,3.1648,-3.1648
81.2200,3.1180,3.1138,3.1138,-3.1138
82.0313,3.0595,3.0628,3.0628,-3.0628
82.8507,3.0079,3.0119,3.0119,-3.0119
83.6783,2.9579,2.9612,2.9612,-2.9612
84.5141,2.9081,2.9106,2.9106,-2.9106
85.3583,2.8583,2.8600,2.8600,-2.8600
86.2109,2.8082,2.8094,2.8094,-2.8094
87.0721,2.7585,2.7588,2.7588,-2.7588
87.9418,2.7085,2.7082,2.7082,-2.7082
88.8203,2.6585,2.6575,2.6575,-2.6575
89.7075,2.6086,2.6069,2.6069,-2.6069
90.6035,2.5587,2.5563,2.5563,-2.5563
91.5085,2.5084,2.5056,2.5056,-2.5056
92.4226,2.4586,2.4549,2.4549,-2.4549
93.3458,2.4088,2.4040,2.4040,-2.4040
94.2782,2.3504,2.3529,2.3529,-2.3529
95.2199,2.2990,2.3018,2.3018,-2.3018
96.1711,2.2489,2.2508,2.2508,-2.2508
97.1317,2.1988,2.1997,2.1997,-2.1997
98.1019,2.1491,2.1485,2.1485,-2.1485
99.0818,2.0991,2.0972,2.0972,-2.0972
100.0715,2.0490,2.0459,2.0459,-2.0459
101.0711,1.9989,1.9945,1.9945,-1.9945
102.0807,1.9411,1.9430,1.9430,-1.9430
103.1004,1.8893,1.8916,1.8916,-1.8916
104.1302,1.8392,1.8403,1.8403,-1.8403
105.1703,1.7895,1.7890,1.7890,-1.7890
106.2209,1.7395,1.7378,1.7378,-1.7378
107.2819,1.6893,1.6865,1.6865,-1.6865
108.3535,1.6315,1.6353,1.6353,-1.6353
109.4358,1.5795,1.5842,1.5842,-1.5842
110.5289,1.5296,1.5333,1.5333,-1.5333
111.6330,1.4798,1.4825,1.4825,-1.4825
112.7481,1.4299,1.4319,1.4319,-1.4319
113.8743,1.3800,1.3814,1.3814,-1.3814
115.0118,1.3300,1.3310,1.3310,-1.3310
116.1606,1.2800,1.2807,1.2807,-1.2807
117.3209,1.2299,1.2305,1.2305,-1.2305
118.4928,1.1801,1.1803,1.1803,-1.1803
119.6764,1.1302,1.1302,1.1302,-1.1302
120.8718,1.0803,1.0802,1.0802,-1.0802
122.0792,1.0304,1.0303,1.0303,-1.0303
123.2986,0.9803,0.9803,0.9803,-0.9803
124.5302,0.9305,0.9304,0.9304,-0.9304
125.7741,0.8803,0.8804,0.8804,-0.8804
127.0304,0.8303,0.8305,0.8305,-0.8305
128.2993,0.7806,0.7805,0.7805,-0.7805
