frequency,raw,smoothed,error,equalization
20.0000,13.8700,13.8997,13.8997,-13.8997
20.1998,13.8700,13.9047,13.9047,-13.9047
20.4015,13.8800,13.9106,13.9106,-13.9106
20.6053,13.8800,13.9171,13.9171,-13.9171
20.8112,13.9001,13.9244,13.9244,-13.9244
21.0190,13.9100,13.9323,13.9323,-13.9323
21.2290,13.9299,13.9408,13.9408,-13.9408
21.4410,13.9401,13.9496,13.9496,-13.9496
21.6552,13.9596,13.9589,13.9589,-13.9589
21.8715,13.9701,13.9685,13.9685,-13.9685
22.0900,13.9800,13.9785,13.9785,-13.9785
22.3106,14.0000,13.9891,13.9891,-13.9891
22.5335,14.0097,13.9997,13.9997,-13.9997
22.7586,14.0199,14.0099,14.0099,-14.0099
22.9859,14.0298,14.0194,14.0194,-14.0194
23.2155,14.0398,14.0283,14.0283,-14.0283
23.4474,14.0499,14.0364,14.0364,-14.0364
23.6816,14.0500,14.0439,14.0439,-14.0439
23.9182,14.0599,14.0509,14.0509,-14.0509
24.1571,14.0600,14.0573,14.0573,-14.0573
24.3984,14.0699,14.0632,14.0632,-14.0632
24.6421,14.0700,14.0687,14.0687,-14.0687
24.8882,14.0700,14.0737,14.0737,-14.0737
25.1368,14.0799,14.0783,14.0783,-14.0783
25.3879,14.0800,14.0824,14.0824,-14.0824
25.6415,14.0897,14.0863,14.0863,-14.0863
25.8976,14.0900,14.0898,14.0898,-14.0898
26.1563,14.0999,14.0929,14.0929,-14.0929
26.4176,14.1095,14.0957,14.0957,-14.0957
26.6815,14.1100,14.0979,14.0979,-14.0979
26.9480,14.1100,14.0994,14.0994,-14.0994
27.2172,14.1100,14.1004,14.1004,-14.1004
27.4890,14.1100,14.1007,14.1007,-14.1007
27.7636,14.1002,14.1002,14.1002,-14.1002
28.0409,14.1000,14.0992,14.0992,-14.0992
28.3210,14.1000,14.0976,14.0976,-14.0976
28.6039,14.1000,14.0955,14.0955,-14.0955
28.8896,14.1096,14.0928,14.0928,-14.0928
29.1782,14.1004,14.0894,14.0894,-14.0894
29.4697,14.1000,14.0853,14.0853,-14.0853
29.7640,14.0905,14.0805,14.0805,-14.0805
30.0613,14.0806,14.0750,14.0750,-14.0750
30.3616,14.0706,14.0689,14.0689,-14.0689
30.6649,14.0605,14.0621,14.0621,-14.0621
30.9712,14.0506,14.0549,14.0549,-14.0549
31.2806,14.0500,14.0470,14.0470,-14.0470
31.5930,14.0500,14.0386,14.0386,-14.0386
31.9086,14.0407,14.0296,14.0296,-14.0296
32.2273,14.0400,14.0202,14.0202,-14.0202
32.5492,14.0306,14.0103,14.0103,-14.0103
32.8744,14.0110,14.0000,14.0000,-14.0000
33.2027,13.9910,13.9894,13.9894,-13.9894
33.5344,13.9709,13.9786,13.9786,-13.9786
33.8694,13.9606,13.9676,13.9676,-13.9676
34.2077,13.9413,13.9561,13.9561,-13.9561
34.5494,13.9306,13.9442,13.9442,-13.9442
34.8945,13.9207,13.9317,13.9317,-13.9317
35.2430,13.9200,13.9186,13.9186,-13.9186
35.5951,13.9200,13.9048,13.9048,-13.9048
35.9506,13.9200,13.8900,13.8900,-13.8900
36.3097,13.9106,13.8742,13.8742,-13.8742
36.6724,13.9007,13.8571,13.8571,-13.8571
37.0387,13.8718,13.8387,13.8387,-13.8387
37.4087,13.8417,13.8191,13.8191,-13.8191
37.7824,13.8122,13.7984,13.7984,-13.7984
38.1598,13.7732,13.7767,13.7767,-13.7767
38.5409,13.7423,13.7542,13.7542,-13.7542
38.9259,13.7213,13.7312,13.7312,-13.7312
39.3147,13.7013,13.7075,13.7075,-13.7075
39.7074,13.6816,13.6833,13.6833,-13.6833
40.1041,13.6618,13.6585,13.6585,-13.6585
40.5046,13.6418,13.6333,13.6333,-13.6333
40.9092,13.6123,13.6077,13.6077,-13.6077
41.3179,13.5916,13.5820,13.5820,-13.5820
41.7306,13.5622,13.5560,13.5560,-13.5560
42.1474,13.5416,13.5298,13.5298,-13.5298
42.5684,13.5123,13.5033,13.5033,-13.5033
42.9936,13.4825,13.4765,13.4765,-13.4765
43.4231,13.4526,13.4493,13.4493,-13.4493
43.8568,13.4229,13.4217,13.4217,-13.4217
44.2949,13.3924,13.3935,13.3935,-13.3935
44.7374,13.3628,13.3649,13.3649,-13.3649
45.1842,13.3331,13.3358,13.3358,-13.3358
45.6356,13.3030,13.3064,13.3064,-13.3064
46.0914,13.2817,13.2766,13.2766,-13.2766
46.5518,13.2531,13.2464,13.2464,-13.2464
47.0168,13.2319,13.2155,13.2155,-13.2155
47.4864,13.2028,13.1838,13.1838,-13.1838
47.9608,13.1731,13.1513,13.1513,-13.1513
48.4398,13.1342,13.1177,13.1177,-13.1177
48.9237,13.0939,13.0832,13.0832,-13.0832
49.4124,13.0449,13.0479,13.0479,-13.0479
49.9059,13.0132,13.0119,13.0119,-13.0119
