frequency,raw,smoothed,error,equalization
20.0000,11.5300,11.5238,11.5238,-11.5238
20.1998,11.5300,11.5231,11.5231,-11.5231
20.4015,11.5300,11.5223,11.5223,-11.5223
20.6053,11.5300,11.5216,11.5216,-11.5216
20.8112,11.5200,11.5207,11.5207,-11.5207
21.0190,11.5200,11.5198,11.5198,-11.5198
21.2290,11.5200,11.5187,11.5187,-11.5187
21.4410,11.5100,11.5175,11.5175,-11.5175
21.6552,11.5100,11.5161,11.5161,-11.5161
21.8715,11.5100,11.5145,11.5145,-11.5145
22.0900,11.5100,11.5125,11.5125,-11.5125
22.3106,11.5200,11.5103,11.5103,-11.5103
22.5335,11.5200,11.5077,11.5077,-11.5077
22.7586,11.5200,11.5048,11.5048,-11.5048
22.9859,11.5200,11.5016,11.5016,-11.5016
23.2155,11.5102,11.4982,11.4982,-11.4982
23.4474,11.5001,11.4947,11.4947,-11.4947
23.6816,11.4903,11.4913,11.4913,-11.4913
23.9182,11.4801,11.4881,11.4881,-11.4881
24.1571,11.4701,11.4853,11.4853,-11.4853
24.3984,11.4601,11.4829,11.4829,-11.4829
24.6421,11.4600,11.4811,11.4811,-11.4811
24.8882,11.4600,11.4801,11.4801,-11.4801
25.1368,11.4699,11.4797,11.4797,-11.4797
25.3879,11.4700,11.4801,11.4801,-11.4801
25.6415,11.4797,11.4811,11.4811,-11.4811
25.8976,11.4800,11.4828,11.4828,-11.4828
26.1563,11.4899,11.4849,11.4849,-11.4849
26.4176,11.4900,11.4871,11.4871,-11.4871
26.6815,11.4900,11.4893,11.4893,-11.4893
26.9480,11.4900,11.4913,11.4913,-11.4913
27.2172,11.4900,11.4929,11.4929,-11.4929
27.4890,11.4996,11.4941,11.4941,-11.4941
27.7636,11.5000,11.4944,11.4944,-11.4944
28.0409,11.5097,11.4939,11.4939,-11.4939
28.3210,11.5197,11.4925,11.4925,-11.4925
28.6039,11.5200,11.4899,11.4899,-11.4899
28.8896,11.5104,11.4863,11.4863,-11.4863
29.1782,11.5004,11.4816,11.4816,-11.4816
29.4697,11.4904,11.4762,11.4762,-11.4762
29.7640,11.4711,11.4700,11.4700,-11.4700
