frequency,raw,smoothed,error,equalization
20.0000,15.6800,15.7743,15.7743,-15.7743
20.1998,15.7000,15.7885,15.7885,-15.7885
20.4015,15.7101,15.8047,15.8047,-15.8047
20.6053,15.7296,15.8231,15.8231,-15.8231
20.8112,15.7702,15.8435,15.8435,-15.8435
21.0190,15.8098,15.8656,15.8656,-15.8656
21.2290,15.8598,15.8895,15.8895,-15.8895
21.4410,15.9001,15.9147,15.9147,-15.9147
21.6552,15.9293,15.9415,15.9415,-15.9415
21.8715,15.9703,15.9700,15.9700,-15.9700
22.0900,16.0100,16.0004,16.0004,-16.0004
22.3106,16.0401,16.0330,16.0330,-16.0330
22.5335,16.0692,16.0671,16.0671,-16.0671
22.7586,16.1097,16.1011,16.1011,-16.1011
22.9859,16.1395,16.1348,16.1348,-16.1348
23.2155,16.1694,16.1680,16.1680,-16.1680
23.4474,16.2095,16.2009,16.2009,-16.2009
23.6816,16.2390,16.2332,16.2332,-16.2332
23.9182,16.2698,16.2651,16.2651,-16.2651
24.1571,16.2996,16.2968,16.2968,-16.2968
24.3984,16.3298,16.3281,16.3281,-16.3281
24.6421,16.3591,16.3591,16.3591,-16.3591
24.8882,16.3898,16.3898,16.3898,-16.3898
25.1368,16.4196,16.4202,16.4202,-16.4202
25.3879,16.4498,16.4503,16.4503,-16.4503
25.6415,16.4790,16.4799,16.4799,-16.4799
25.8976,16.5181,16.5092,16.5092,-16.5092
26.1563,16.5496,16.5378,16.5378,-16.5378
26.4176,16.5786,16.5658,16.5658,-16.5658
26.6815,16.6090,16.5930,16.5930,-16.5930
26.9480,16.6291,16.6195,16.6195,-16.6195
27.2172,16.6586,16.6453,16.6453,-16.6453
27.4890,16.6792,16.6702,16.6702,-16.6702
27.7636,16.6995,16.6944,16.6944,-16.6944
28.0409,16.7290,16.7178,16.7178,-16.7178
28.3210,16.7494,16.7403,16.7403,-16.7403
28.6039,16.7689,16.7620,16.7620,-16.7620
28.8896,16.7893,16.7829,16.7829,-16.7829
29.1782,16.8092,16.8031,16.8031,-16.8031
29.4697,16.8293,16.8227,16.8227,-16.8227
29.7640,16.8489,16.8415,16.8415,-16.8415
30.0613,16.8688,16.8598,16.8598,-16.8598
30.3616,16.8888,16.8774,16.8774,-16.8774
30.6649,16.8995,16.8944,16.8944,-16.8944
30.9712,16.9188,16.9108,16.9108,-16.9108
31.2806,16.9294,16.9265,16.9265,-16.9265
31.5930,16.9489,16.9416,16.9416,-16.9416
31.9086,16.9593,16.9561,16.9561,-16.9561
32.2273,16.9792,16.9700,16.9700,-16.9700
32.5492,16.9894,16.9831,16.9831,-16.9831
32.8744,16.9995,16.9956,16.9956,-16.9956
33.2027,17.0190,17.0074,17.0074,-17.0074
33.5344,17.0295,17.0185,17.0185,-17.0185
33.8694,17.0394,17.0289,17.0289,-17.0289
34.2077,17.0493,17.0385,17.0385,-17.0385
34.5494,17.0594,17.0474,17.0474,-17.0474
