frequency,raw,smoothed,error,equalization
20.0000,6.1600,6.2031,6.2031,-6.2031
20.1998,6.1800,6.2051,6.2051,-6.2051
20.4015,6.2001,6.2074,6.2074,-6.2074
20.6053,6.2196,6.2098,6.2098,-6.2098
20.8112,6.2201,6.2119,6.2119,-6.2119
21.0190,6.2300,6.2140,6.2140,-6.2140
21.2290,6.2300,6.2161,6.2161,-6.2161
21.4410,6.2200,6.2180,6.2180,-6.2180
21.6552,6.2200,6.2201,6.2201,-6.2201
21.8715,6.2100,6.2222,6.2222,-6.2222
22.0900,6.2100,6.2245,6.2245,-6.2245
22.3106,6.2100,6.2270,6.2270,-6.2270
22.5335,6.2197,6.2296,6.2296,-6.2296
22.7586,6.2299,6.2319,6.2319,-6.2319
22.9859,6.2398,6.2339,6.2339,-6.2339
23.2155,6.2498,6.2356,6.2356,-6.2356
23.4474,6.2599,6.2369,6.2369,-6.2369
23.6816,6.2600,6.2377,6.2377,-6.2377
23.9182,6.2501,6.2381,6.2381,-6.2381
24.1571,6.2500,6.2381,6.2381,-6.2381
24.3984,6.2401,6.2377,6.2377,-6.2377
24.6421,6.2303,6.2369,6.2369,-6.2369
24.8882,6.2300,6.2360,6.2360,-6.2360
25.1368,6.2300,6.2348,6.2348,-6.2348
25.3879,6.2300,6.2334,6.2334,-6.2334
25.6415,6.2300,6.2318,6.2318,-6.2318
25.8976,6.2300,6.2303,6.2303,-6.2303
26.1563,6.2300,6.2287,6.2287,-6.2287
26.4176,6.2300,6.2271,6.2271,-6.2271
26.6815,6.2300,6.2256,6.2256,-6.2256
26.9480,6.2204,6.2241,6.2241,-6.2241
27.2172,6.2200,6.2225,6.2225,-6.2225
27.4890,6.2200,6.2210,6.2210,-6.2210
27.7636,6.2200,6.2193,6.2193,-6.2193
28.0409,6.2200,6.2175,6.2175,-6.2175
28.3210,6.2200,6.2155,6.2155,-6.2155
28.6039,6.2200,6.2133,6.2133,-6.2133
28.8896,6.2200,6.2109,6.2109,-6.2109
29.1782,6.2104,6.2082,6.2082,-6.2082
29.4697,6.2100,6.2053,6.2053,-6.2053
29.7640,6.2005,6.2023,6.2023,-6.2023
30.0613,6.2000,6.1991,6.1991,-6.1991
30.3616,6.1906,6.1957,6.1957,-6.1957
30.6649,6.1900,6.1922,6.1922,-6.1922
30.9712,6.1900,6.1885,6.1885,-6.1885
31.2806,6.1900,6.1845,6.1845,-6.1845
31.5930,6.1805,6.1803,6.1803,-6.1803
31.9086,6.1800,6.1759,6.1759,-6.1759
32.2273,6.1800,6.1713,6.1713,-6.1713
32.5492,6.1706,6.1664,6.1664,-6.1664
32.8744,6.1700,6.1613,6.1613,-6.1613
33.2027,6.1605,6.1558,6.1558,-6.1558
33.5344,6.1505,6.1502,6.1502,-6.1502
33.8694,6.1406,6.1444,6.1444,-6.1444
34.2077,6.1400,6.1384,6.1384,-6.1384
34.5494,6.1306,6.1322,6.1322,-6.1322
34.8945,6.1300,6.1257,6.1257,-6.1257
35.2430,6.1208,6.1190,6.1190,-6.1190
35.5951,6.1107,6.1122,6.1122,-6.1122
35.9506,6.1100,6.1051,6.1051,-6.1051
36.3097,6.1006,6.0980,6.0980,-6.0980
36.6724,6.0907,6.0906,6.0906,-6.0906
37.0387,6.0900,6.0831,6.0831,-6.0831
37.4087,6.0806,6.0753,6.0753,-6.0753
37.7824,6.0707,6.0672,6.0672,-6.0672
38.1598,6.0608,6.0588,6.0588,-6.0588
38.5409,6.0508,6.0502,6.0502,-6.0502
38.9259,6.0406,6.0413,6.0413,-6.0413
39.3147,6.0306,6.0322,6.0322,-6.0322
39.7074,6.0300,6.0230,6.0230,-6.0230
40.1041,6.0209,6.0135,6.0135,-6.0135
40.5046,6.0109,6.0037,6.0037,-6.0037
40.9092,6.0008,5.9937,5.9937,-5.9937
41.3179,5.9816,5.9835,5.9835,-5.9835
41.7306,5.9707,5.9732,5.9732,-5.9732
42.1474,5.9608,5.9630,5.9630,-5.9630
42.5684,5.9508,5.9527,5.9527,-5.9527
42.9936,5.9408,5.9424,5.9424,-5.9424
43.4231,5.9309,5.9321,5.9321,-5.9321
43.8568,5.9210,5.9216,5.9216,-5.9216
44.2949,5.9108,5.9111,5.9111,-5.9111
44.7374,5.9009,5.9003,5.9003,-5.9003
45.1842,5.8910,5.8896,5.8896,-5.8896
45.6356,5.8810,5.8787,5.8787,-5.8787
46.0914,5.8709,5.8677,5.8677,-5.8677
46.5518,5.8610,5.8566,5.8566,-5.8566
47.0168,5.8509,5.8451,5.8451,-5.8451
47.4864,5.8409,5.8333,5.8333,-5.8333
47.9608,5.8310,5.8211,5.8211,-5.8211
48.4398,5.8121,5.8085,5.8085,-5.8085
48.9237,5.7919,5.7956,5.7956,-5.7956
49.4124,5.7810,5.7824,5.7824,-5.7824
49.9059,5.7711,5.7691,5.7691,-5.7691
50.4044,5.7611,5.7556,5.7556,-5.7556
50.9079,5.7510,5.7421,5.7421,-5.7421
51.4164,5.7321,5.7283,5.7283,-5.7283
51.9300,5.7123,5.7142,5.7142,-5.7142
52.4487,5.7012,5.7001,5.7001,-5.7001
52.9726,5.6822,5.6858,5.6858,-5.6858
53.5018,5.6711,5.6716,5.6716,-5.6716
54.0362,5.6524,5.6572,5.6572,-5.6572
54.5759,5.6324,5.6428,5.6428,-5.6428
55.1211,5.6211,5.6283,5.6283,-5.6283
55.6717,5.6200,5.6139,5.6139,-5.6139
56.2278,5.6200,5.5992,5.5992,-5.5992
56.7894,5.6025,5.5840,5.5840,-5.5840
57.3567,5.5734,5.5683,5.5683,-5.5683
57.9296,5.5436,5.5524,5.5524,-5.5524
58.5082,5.5400,5.5364,5.5364,-5.5364
59.0927,5.5312,5.5201,5.5201,-5.5201
59.6829,5.5039,5.5035,5.5035,-5.5035
60.2791,5.4824,5.4865,5.4865,-5.4865
60.8812,5.4626,5.4693,5.4693,-5.4693
61.4893,5.4600,5.4521,5.4521,-5.4521
62.1035,5.4513,5.4345,5.4345,-5.4345
62.7239,5.4149,5.4165,5.4165,-5.4165
63.3504,5.3925,5.3986,5.3986,-5.3986
63.9832,5.3814,5.3808,5.3808,-5.3808
64.6223,5.3627,5.3629,5.3629,-5.3629
65.2678,5.3513,5.3450,5.3450,-5.3450
65.9198,5.3241,5.3269,5.3269,-5.3269
66.5782,5.3028,5.3087,5.3087,-5.3087
67.2433,5.2826,5.2906,5.2906,-5.2906
67.9149,5.2714,5.2725,5.2725,-5.2725
68.5933,5.2614,5.2543,5.2543,-5.2543
69.2785,5.2427,5.2359,5.2359,-5.2359
69.9705,5.2228,5.2172,5.2172,-5.2172
70.6694,5.2029,5.1984,5.1984,-5.1984
71.3753,5.1829,5.1793,5.1793,-5.1793
72.0883,5.1629,5.1598,5.1598,-5.1598
72.8083,5.1428,5.1400,5.1400,-5.1400
73.5356,5.1229,5.1199,5.1199,-5.1199
74.2701,5.1030,5.0996,5.0996,-5.0996
75.0120,5.0829,5.0790,5.0790,-5.0790
75.7613,5.0629,5.0581,5.0581,-5.0581
76.5180,5.0429,5.0369,5.0369,-5.0369
77.2824,5.0231,5.0154,5.0154,-5.0154
78.0543,4.9945,4.9937,4.9937,-4.9937
78.8340,4.9730,4.9719,4.9719,-4.9719
79.6214,4.9445,4.9499,4.9499,-4.9499
80.4168,4.9231,4.9279,4.9279,-4.9279
81.2200,4.9032,4.9059,4.9059,-4.9059
82.0313,4.8832,4.8838,4.8838,-4.8838
82.8507,4.8632,4.8615,4.8615,-4.8615
83.6783,4.8432,4.8392,4.8392,-4.8392
84.5141,4.8232,4.8166,4.8166,-4.8166
85.3583,4.7950,4.7938,4.7938,-4.7938
86.2109,4.7733,4.7708,4.7708,-4.7708
87.0721,4.7534,4.7477,4.7477,-4.7477
87.9418,4.7251,4.7244,4.7244,-4.7244
88.8203,4.7034,4.7007,4.7007,-4.7007
89.7075,4.6834,4.6768,4.6768,-4.6768
90.6035,4.6552,4.6524,4.6524,-4.6524
91.5085,4.6334,4.6277,4.6277,-4.6277
92.4226,4.6051,4.6026,4.6026,-4.6026
93.3458,4.5835,4.5772,4.5772,-4.5772
94.2782,4.5552,4.5514,4.5514,-4.5514
95.2199,4.5254,4.5254,4.5254,-4.5254
96.1711,4.5036,4.4992,4.4992,-4.4992
97.1317,4.4835,4.4727,4.4727,-4.4727
98.1019,4.4473,4.4459,4.4459,-4.4459
99.0818,4.4155,4.4189,4.4189,-4.4189
100.0715,4.3936,4.3918,4.3918,-4.3918
101.0711,4.3654,4.3645,4.3645,-4.3645
102.0807,4.3356,4.3371,4.3371,-4.3371
103.1004,4.3056,4.3095,4.3095,-4.3095
104.1302,4.2837,4.2817,4.2817,-4.2817
105.1703,4.2557,4.2538,4.2538,-4.2538
106.2209,4.2338,4.2257,4.2257,-4.2257
107.2819,4.1975,4.1969,4.1969,-4.1969
108.3535,4.1738,4.1677,4.1677,-4.1677
109.4358,4.1457,4.1382,4.1382,-4.1382
110.5289,4.1158,4.1085,4.1085,-4.1085
111.6330,4.0859,4.0787,4.0787,-4.0787
112.7481,4.0559,4.0488,4.0488,-4.0488
113.8743,4.0260,4.0188,4.0188,-4.0188
115.0118,3.9880,3.9887,3.9887,-3.9887
116.1606,3.9640,3.9586,3.9586,-3.9586
117.3209,3.9359,3.9286,3.9286,-3.9286
118.4928,3.8821,3.8987,3.8987,-3.8987
119.6764,3.8223,3.8693,3.8693,-3.8693
120.8718,3.8021,3.8407,3.8407,-3.8407
122.0792,3.8238,3.8129,3.8129,-3.8129
123.2986,3.7982,3.7851,3.7851,-3.7851
124.5302,3.7584,3.7573,3.7573,-3.7573
125.7741,3.7341,3.7296,3.7296,-3.7296
127.0304,3.7062,3.7018,3.7018,-3.7018
128.2993,3.6763,3.6738,3.6738,-3.6738
129.5808,3.6542,3.6457,3.6457,-3.6457
130.8752,3.6263,3.6173,3.6173,-3.6173
132.1825,3.5964,3.5884,3.5884,-3.5884
133.5028,3.5665,3.5591,3.5591,-3.5591
134.8363,3.5364,3.5290,3.5290,-3.5290
136.1832,3.5065,3.4979,3.4979,-3.4979
137.5435,3.4765,3.4661,3.4661,-3.4661
138.9174,3.4466,3.4337,3.4337,-3.4337
140.3050,3.4088,3.4005,3.4005,-3.4005
141.7065,3.3689,3.3667,3.3667,-3.3667
143.1220,3.3367,3.3322,3.3322,-3.3322
144.5516,3.3067,3.2972,3.2972,-3.2972
145.9955,3.2690,3.2615,3.2615,-3.2615
147.4538,3.2289,3.2252,3.2252,-3.2252
148.9267,3.1968,3.1886,3.1886,-3.1886
150.4143,3.1590,3.1517,3.1517,-3.1517
151.9167,3.1191,3.1146,3.1146,-3.1146
153.4342,3.0791,3.0776,3.0776,-3.0776
154.9668,3.0392,3.0410,3.0410,-3.0410
156.5147,2.9994,3.0052,3.0052,-3.0052
158.0781,2.9593,2.9704,2.9704,-2.9704
159.6571,2.9194,2.9369,2.9369,-2.9369
161.2519,2.8795,2.9049,2.9049,-2.9049
162.8626,2.8470,2.8745,2.8745,-2.8745
164.4894,2.8095,2.8458,2.8458,-2.8458
166.1324,2.7772,2.8188,2.8188,-2.8188
167.7919,2.7548,2.7936,2.7936,-2.7936
169.4679,2.7348,2.7698,2.7698,-2.7698
171.1607,2.7224,2.7474,2.7474,-2.7474
172.8704,2.7200,2.7258,2.7258,-2.7258
174.5972,2.7124,2.7045,2.7045,-2.7045
176.3412,2.7025,2.6832,2.6832,-2.6832
178.1026,2.6925,2.6613,2.6613,-2.6613
179.8816,2.6749,2.6384,2.6384,-2.6384
181.6784,2.6475,2.6142,2.6142,-2.6142
183.4932,2.6175,2.5887,2.5887,-2.5887
185.3261,2.5876,2.5616,2.5616,-2.5616
