frequency,raw,smoothed,error,equalization
20.0000,-4.0900,-3.8879,-3.8879,3.8879
20.1998,-4.0401,-3.8600,-3.8600,3.8600
20.4015,-3.9796,-3.8273,-3.8273,3.8273
20.6053,-3.9311,-3.7905,-3.7905,3.7905
20.8112,-3.8797,-3.7499,-3.7499,3.7499
21.0190,-3.8203,-3.7054,-3.7054,3.7054
21.2290,-3.7603,-3.6569,-3.6569,3.6569
21.4410,-3.6797,-3.6043,-3.6043,3.6043
21.6552,-3.6115,-3.5476,-3.5476,3.5476
21.8715,-3.5194,-3.4864,-3.4864,3.4864
22.0900,-3.4400,-3.4207,-3.4207,3.4207
22.3106,-3.3497,-3.3498,-3.3498,3.3498
22.5335,-3.2625,-3.2753,-3.2753,3.2753
22.7586,-3.1706,-3.2011,-3.2011,3.2011
22.9859,-3.0914,-3.1275,-3.1275,3.1275
23.2155,-3.0214,-3.0550,-3.0550,3.0550
23.4474,-2.9508,-2.9836,-2.9836,2.9836
23.6816,-2.8824,-2.9135,-2.9135,2.9135
23.9182,-2.8205,-2.8449,-2.8449,2.8449
24.1571,-2.7607,-2.7778,-2.7778,2.7778
24.3984,-2.7103,-2.7119,-2.7119,2.7119
24.6421,-2.6519,-2.6471,-2.6471,2.6471
24.8882,-2.5904,-2.5833,-2.5833,2.5833
25.1368,-2.5209,-2.5203,-2.5203,2.5203
25.3879,-2.4605,-2.4581,-2.4581,2.4581
25.6415,-2.3923,-2.3965,-2.3965,2.3965
25.8976,-2.3329,-2.3355,-2.3355,2.3355
26.1563,-2.2610,-2.2751,-2.2751,2.2751
26.4176,-2.2028,-2.2154,-2.2154,2.2154
26.6815,-2.1420,-2.1563,-2.1563,2.1563
26.9480,-2.0827,-2.0978,-2.0978,2.0978
27.2172,-2.0229,-2.0399,-2.0399,2.0399
27.4890,-1.9720,-1.9826,-1.9826,1.9826
27.7636,-1.9212,-1.9257,-1.9257,1.9257
28.0409,-1.8619,-1.8691,-1.8691,1.8691
28.3210,-1.8116,-1.8128,-1.8128,1.8128
28.6039,-1.7628,-1.7566,-1.7566,1.7566
28.8896,-1.7118,-1.7003,-1.7003,1.7003
29.1782,-1.6524,-1.6438,-1.6438,1.6438
29.4697,-1.6018,-1.5871,-1.5871,1.5871
29.7640,-1.5432,-1.5299,-1.5299,1.5299
30.0613,-1.4837,-1.4723,-1.4723,1.4723
30.3616,-1.4237,-1.4144,-1.4144,1.4144
30.6649,-1.3535,-1.3562,-1.3562,1.3562
30.9712,-1.2936,-1.2980,-1.2980,1.2980
31.2806,-1.2338,-1.2399,-1.2399,1.2399
31.5930,-1.1733,-1.1820,-1.1820,1.1820
31.9086,-1.1140,-1.1244,-1.1244,1.1244
32.2273,-1.0620,-1.0671,-1.0671,1.0671
32.5492,-1.0038,-1.0100,-1.0100,1.0100
32.8744,-0.9429,-0.9531,-0.9531,0.9531
33.2027,-0.8831,-0.8965,-0.8965,0.8965
33.5344,-0.8324,-0.8401,-0.8401,0.8401
33.8694,-0.7830,-0.7839,-0.7839,0.7839
34.2077,-0.7333,-0.7277,-0.7277,0.7277
34.5494,-0.6830,-0.6716,-0.6716,0.6716
34.8945,-0.6244,-0.6154,-0.6154,0.6154
35.2430,-0.5739,-0.5592,-0.5592,0.5592
35.5951,-0.5236,-0.5030,-0.5030,0.5030
35.9506,-0.4539,-0.4469,-0.4469,0.4469
36.3097,-0.3839,-0.3912,-0.3912,0.3912
36.6724,-0.3245,-0.3363,-0.3363,0.3363
37.0387,-0.2635,-0.2825,-0.2825,0.2825
37.4087,-0.1940,-0.2298,-0.2298,0.2298
37.7824,-0.1436,-0.1788,-0.1788,0.1788
38.1598,-0.1032,-0.1294,-0.1294,0.1294
38.5409,-0.0538,-0.0818,-0.0818,0.0818
38.9259,-0.0032,-0.0360,-0.0360,0.0360
39.3147,0.0374,0.0079,0.0079,-0.0079
39.7074,0.0767,0.0498,0.0498,-0.0498
40.1041,0.1073,0.0899,0.0899,-0.0899
40.5046,0.1373,0.1284,0.1284,-0.1284
40.9092,0.1769,0.1656,0.1656,-0.1656
41.3179,0.2076,0.2018,0.2018,-0.2018
41.7306,0.2378,0.2371,0.2371,-0.2371
42.1474,0.2769,0.2720,0.2720,-0.2720
42.5684,0.3077,0.3065,0.3065,-0.3065
42.9936,0.3375,0.3407,0.3407,-0.3407
43.4231,0.3674,0.3748,0.3748,-0.3748
43.8568,0.4061,0.4090,0.4090,-0.4090
44.2949,0.4376,0.4432,0.4432,-0.4432
44.7374,0.4672,0.4775,0.4775,-0.4775
45.1842,0.5059,0.5119,0.5119,-0.5119
45.6356,0.5460,0.5464,0.5464,-0.5464
46.0914,0.5866,0.5808,0.5808,-0.5808
46.5518,0.6259,0.6149,0.6149,-0.6149
47.0168,0.6572,0.6485,0.6485,-0.6485
47.4864,0.6872,0.6818,0.6818,-0.6818
47.9608,0.7259,0.7145,0.7145,-0.7145
48.4398,0.7569,0.7466,0.7466,-0.7466
48.9237,0.7871,0.7778,0.7778,-0.7778
49.4124,0.8171,0.8083,0.8083,-0.8083
49.9059,0.8468,0.8379,0.8379,-0.8379
50.4044,0.8767,0.8666,0.8666,-0.8666
50.9079,0.9069,0.8944,0.8944,-0.8944
51.4164,0.9368,0.9213,0.9213,-0.9213
51.9300,0.9577,0.9473,0.9473,-0.9473
52.4487,0.9865,0.9725,0.9725,-0.9725
52.9726,1.0078,0.9968,0.9968,-0.9968
53.5018,1.0278,1.0204,1.0204,-1.0204
54.0362,1.0476,1.0432,1.0432,-1.0432
54.5759,1.0676,1.0655,1.0655,-1.0655
55.1211,1.0878,1.0873,1.0873,-1.0873
55.6717,1.1076,1.1087,1.1087,-1.1087
56.2278,1.1366,1.1297,1.1297,-1.1297
56.7894,1.1575,1.1501,1.1501,-1.1501
57.3567,1.1777,1.1702,1.1702,-1.1702
57.9296,1.1976,1.1898,1.1898,-1.1898
58.5082,1.2088,1.2089,1.2089,-1.2089
59.0927,1.2277,1.2277,1.2277,-1.2277
59.6829,1.2474,1.2462,1.2462,-1.2462
60.2791,1.2676,1.2644,1.2644,-1.2644
60.8812,1.2874,1.2821,1.2821,-1.2821
61.4893,1.3074,1.2994,1.2994,-1.2994
62.1035,1.3275,1.3161,1.3161,-1.3161
62.7239,1.3388,1.3322,1.3322,-1.3322
63.3504,1.3575,1.3478,1.3478,-1.3478
63.9832,1.3686,1.3626,1.3626,-1.3626
64.6223,1.3786,1.3769,1.3769,-1.3769
65.2678,1.3974,1.3906,1.3906,-1.3906
65.9198,1.4086,1.4037,1.4037,-1.4037
66.5782,1.4272,1.4161,1.4161,-1.4161
67.2433,1.4387,1.4277,1.4277,-1.4277
67.9149,1.4486,1.4385,1.4385,-1.4385
68.5933,1.4586,1.4486,1.4486,-1.4486
69.2785,1.4687,1.4578,1.4578,-1.4578
69.9705,1.4786,1.4662,1.4662,-1.4662
70.6694,1.4800,1.4738,1.4738,-1.4738
71.3753,1.4885,1.4805,1.4805,-1.4805
72.0883,1.4900,1.4865,1.4865,-1.4865
72.8083,1.4986,1.4918,1.4918,-1.4918
73.5356,1.5086,1.4963,1.4963,-1.4963
74.2701,1.5100,1.5001,1.5001,-1.5001
75.0120,1.5185,1.5031,1.5031,-1.5031
75.7613,1.5200,1.5055,1.5055,-1.5055
76.5180,1.5115,1.5072,1.5072,-1.5072
77.2824,1.5100,1.5084,1.5084,-1.5084
78.0543,1.5100,1.5091,1.5091,-1.5091
78.8340,1.5100,1.5094,1.5094,-1.5094
79.6214,1.5100,1.5092,1.5092,-1.5092
80.4168,1.5100,1.5085,1.5085,-1.5085
81.2200,1.5100,1.5072,1.5072,-1.5072
82.0313,1.5100,1.5054,1.5054,-1.5054
82.8507,1.5100,1.5028,1.5028,-1.5028
83.6783,1.5100,1.4996,1.4996,-1.4996
84.5141,1.5100,1.4957,1.4957,-1.4957
85.3583,1.5100,1.4909,1.4909,-1.4909
86.2109,1.5016,1.4853,1.4853,-1.4853
87.0721,1.4917,1.4788,1.4788,-1.4788
87.9418,1.4817,1.4715,1.4715,-1.4715
88.8203,1.4717,1.4635,1.4635,-1.4635
89.7075,1.4617,1.4547,1.4547,-1.4547
90.6035,1.4517,1.4453,1.4453,-1.4453
91.5085,1.4417,1.4352,1.4352,-1.4352
92.4226,1.4234,1.4245,1.4245,-1.4245
93.3458,1.4118,1.4133,1.4133,-1.4133
94.2782,1.4017,1.4017,1.4017,-1.4017
95.2199,1.3918,1.3897,1.3897,-1.3897
96.1711,1.3818,1.3773,1.3773,-1.3773
97.1317,1.3718,1.3645,1.3645,-1.3645
98.1019,1.3618,1.3513,1.3513,-1.3513
99.0818,1.3436,1.3375,1.3375,-1.3375
100.0715,1.3318,1.3231,1.3231,-1.3231
101.0711,1.3136,1.3083,1.3083,-1.3083
102.0807,1.3019,1.2929,1.2929,-1.2929
103.1004,1.2837,1.2768,1.2768,-1.2768
104.1302,1.2637,1.2600,1.2600,-1.2600
105.1703,1.2519,1.2425,1.2425,-1.2425
106.2209,1.2338,1.2242,1.2242,-1.2242
107.2819,1.2137,1.2049,1.2049,-1.2049
108.3535,1.1938,1.1848,1.1848,-1.1848
109.4358,1.1738,1.1639,1.1639,-1.1639
110.5289,1.1538,1.1423,1.1423,-1.1423
111.6330,1.1339,1.1201,1.1201,-1.1201
112.7481,1.1140,1.0971,1.0971,-1.0971
113.8743,1.0860,1.0735,1.0735,-1.0735
115.0118,1.0560,1.0493,1.0493,-1.0493
116.1606,1.0260,1.0247,1.0247,-1.0247
117.3209,0.9959,0.9997,0.9997,-0.9997
118.4928,0.9660,0.9745,0.9745,-0.9745
119.6764,0.9441,0.9491,0.9491,-0.9491
120.8718,0.9162,0.9236,0.9236,-0.9236
122.0792,0.8941,0.8978,0.8978,-0.8978
123.2986,0.8741,0.8719,0.8719,-0.8719
124.5302,0.8542,0.8455,0.8455,-0.8455
125.7741,0.8262,0.8187,0.8187,-0.8187
127.0304,0.8041,0.7913,0.7913,-0.7913
128.2993,0.7763,0.7634,0.7634,-0.7634
129.5808,0.7463,0.7348,0.7348,-0.7348
130.8752,0.7163,0.7054,0.7054,-0.7054
132.1825,0.6864,0.6754,0.6754,-0.6754
133.5028,0.6565,0.6448,0.6448,-0.6448
134.8363,0.6264,0.6136,0.6136,-0.6136
136.1832,0.5887,0.5821,0.5821,-0.5821
137.5435,0.5565,0.5504,0.5504,-0.5504
138.9174,0.5188,0.5189,0.5189,-0.5189
140.3050,0.4788,0.4879,0.4879,-0.4879
141.7065,0.4467,0.4576,0.4576,-0.4576
143.1220,0.4090,0.4284,0.4284,-0.4284
144.5516,0.3689,0.4003,0.4003,-0.4003
145.9955,0.3445,0.3736,0.3736,-0.3736
147.4538,0.3167,0.3482,0.3482,-0.3482
148.9267,0.2945,0.3240,0.3240,-0.3240
150.4143,0.2745,0.3010,0.3010,-0.3010
151.9167,0.2623,0.2789,0.2789,-0.2789
153.4342,0.2523,0.2574,0.2574,-0.2574
154.9668,0.2423,0.2361,0.2361,-0.2361
156.5147,0.2323,0.2147,0.2147,-0.2147
158.0781,0.2146,0.1927,0.1927,-0.1927
159.6571,0.2023,0.1700,0.1700,-0.1700
161.2519,0.1771,0.1461,0.1461,-0.1461
162.8626,0.1470,0.1209,0.1209,-0.1209
164.4894,0.1171,0.0943,0.0943,-0.0943
166.1324,0.0872,0.0664,0.0664,-0.0664
167.7919,0.0496,0.0370,0.0370,-0.0370
169.4679,0.0172,0.0064,0.0064,-0.0064
171.1607,-0.0204,-0.0254,-0.0254,0.0254
172.8704,-0.0527,-0.0580,-0.0580,0.0580
174.5972,-0.0902,-0.0915,-0.0915,0.0915
176.3412,-0.1226,-0.1255,-0.1255,0.1255
178.1026,-0.1601,-0.1599,-0.1599,0.1599
179.8816,-0.1926,-0.1944,-0.1944,0.1944
181.6784,-0.2300,-0.2290,-0.2290,0.2290
183.4932,-0.2700,-0.2635,-0.2635,0.2635
185.3261,-0.3024,-0.2978,-0.2978,0.2978
187.1772,-0.3324,-0.3320,-0.3320,0.3320
189.0469,-0.3699,-0.3659,-0.3659,0.3659
190.9352,-0.4023,-0.3997,-0.3997,0.3997
192.8425,-0.4398,-0.4333,-0.4333,0.4333
