frequency,raw,smoothed,error,equalization
20.0000,13.6100,13.5530,13.5530,-13.5530
20.1998,13.6000,13.5447,13.5447,-13.5447
20.4015,13.5899,13.5351,13.5351,-13.5351
20.6053,13.5802,13.5244,13.5244,-13.5244
20.8112,13.5499,13.5125,13.5125,-13.5125
21.0190,13.5301,13.4997,13.4997,-13.4997
21.2290,13.5001,13.4861,13.4861,-13.4861
21.4410,13.4799,13.4719,13.4719,-13.4719
21.6552,13.4604,13.4570,13.4570,-13.4570
21.8715,13.4399,13.4413,13.4413,-13.4413
22.0900,13.4200,13.4248,13.4248,-13.4248
22.3106,13.3999,13.4072,13.4072,-13.4072
22.5335,13.3806,13.3889,13.3889,-13.3889
22.7586,13.3601,13.3710,13.3710,-13.3710
22.9859,13.3404,13.3533,13.3533,-13.3533
23.2155,13.3302,13.3359,13.3359,-13.3359
23.4474,13.3102,13.3184,13.3184,-13.3184
23.6816,13.3003,13.3007,13.3007,-13.3007
23.9182,13.2901,13.2825,13.2825,-13.2825
24.1571,13.2801,13.2634,13.2634,-13.2634
24.3984,13.2601,13.2435,13.2435,-13.2435
24.6421,13.2503,13.2227,13.2227,-13.2227
24.8882,13.2301,13.2010,13.2010,-13.2010
25.1368,13.2103,13.1783,13.1783,-13.1783
25.3879,13.1802,13.1547,13.1547,-13.1547
25.6415,13.1510,13.1305,13.1305,-13.1305
25.8976,13.1119,13.1058,13.1058,-13.1058
26.1563,13.0706,13.0806,13.0806,-13.0806
26.4176,13.0318,13.0553,13.0553,-13.0553
26.6815,13.0010,13.0300,13.0300,-13.0300
26.9480,12.9713,13.0046,13.0046,-13.0046
27.2172,12.9605,12.9793,12.9793,-12.9793
27.4890,12.9408,12.9538,12.9538,-12.9538
27.7636,12.9302,12.9280,12.9280,-12.9280
28.0409,12.9203,12.9016,12.9016,-12.9016
28.3210,12.9103,12.8745,12.8745,-12.8745
28.6039,12.8911,12.8464,12.8464,-12.8464
28.8896,12.8611,12.8172,12.8172,-12.8172
29.1782,12.8216,12.7868,12.7868,-12.7868
29.4697,12.7814,12.7554,12.7554,-12.7554
29.7640,12.7327,12.7230,12.7230,-12.7230
30.0613,12.6925,12.6898,12.6898,-12.6898
30.3616,12.6431,12.6561,12.6561,-12.6561
30.6649,12.6020,12.6220,12.6220,-12.6220
30.9712,12.5718,12.5879,12.5879,-12.5879
31.2806,12.5325,12.5537,12.5537,-12.5537
31.5930,12.5016,12.5199,12.5199,-12.5199
31.9086,12.4813,12.4864,12.4864,-12.4864
32.2273,12.4512,12.4532,12.4532,-12.4532
