frequency,raw,smoothed,error,equalization
20.0000,4.6200,4.6130,4.6130,-4.6130
20.1998,4.6200,4.6115,4.6115,-4.6115
20.4015,4.6200,4.6098,4.6098,-4.6098
20.6053,4.6200,4.6078,4.6078,-4.6078
20.8112,4.6100,4.6054,4.6054,-4.6054
21.0190,4.6100,4.6028,4.6028,-4.6028
21.2290,4.6100,4.5998,4.5998,-4.5998
21.4410,4.6000,4.5964,4.5964,-4.5964
21.6552,4.6000,4.5926,4.5926,-4.5926
21.8715,4.5900,4.5884,4.5884,-4.5884
22.0900,4.5900,4.5838,4.5838,-4.5838
22.3106,4.5800,4.5785,4.5785,-4.5785
22.5335,4.5800,4.5728,4.5728,-4.5728
22.7586,4.5701,4.5666,4.5666,-4.5666
22.9859,4.5602,4.5601,4.5601,-4.5601
23.2155,4.5600,4.5533,4.5533,-4.5533
23.4474,4.5501,4.5461,4.5461,-4.5461
23.6816,4.5403,4.5386,4.5386,-4.5386
23.9182,4.5301,4.5309,4.5309,-4.5309
24.1571,4.5300,4.5229,4.5229,-4.5229
24.3984,4.5201,4.5144,4.5144,-4.5144
24.6421,4.5103,4.5056,4.5056,-4.5056
24.8882,4.5001,4.4964,4.4964,-4.4964
25.1368,4.4901,4.4869,4.4869,-4.4869
25.3879,4.4801,4.4770,4.4770,-4.4770
25.6415,4.4703,4.4667,4.4667,-4.4667
25.8976,4.4605,4.4561,4.4561,-4.4561
26.1563,4.4501,4.4451,4.4451,-4.4451
26.4176,4.4405,4.4338,4.4338,-4.4338
26.6815,4.4303,4.4220,4.4220,-4.4220
26.9480,4.4109,4.4098,4.4098,-4.4098
27.2172,4.4005,4.3972,4.3972,-4.3972
27.4890,4.3904,4.3844,4.3844,-4.3844
27.7636,4.3705,4.3712,4.3712,-4.3712
28.0409,4.3603,4.3578,4.3578,-4.3578
28.3210,4.3503,4.3440,4.3440,-4.3440
28.6039,4.3311,4.3300,4.3300,-4.3300
28.8896,4.3204,4.3156,4.3156,-4.3156
29.1782,4.3008,4.3009,4.3009,-4.3009
29.4697,4.2904,4.2860,4.2860,-4.2860
29.7640,4.2711,4.2707,4.2707,-4.2707
30.0613,4.2606,4.2553,4.2553,-4.2553
30.3616,4.2412,4.2396,4.2396,-4.2396
30.6649,4.2305,4.2235,4.2235,-4.2235
30.9712,4.2112,4.2072,4.2072,-4.2072
31.2806,4.1913,4.1906,4.1906,-4.1906
31.5930,4.1805,4.1736,4.1736,-4.1736
31.9086,4.1613,4.1564,4.1564,-4.1564
32.2273,4.1408,4.1388,4.1388,-4.1388
32.5492,4.1213,4.1210,4.1210,-4.1210
32.8744,4.1010,4.1030,4.1030,-4.1030
33.2027,4.0905,4.0847,4.0847,-4.0847
33.5344,4.0709,4.0662,4.0662,-4.0662
33.8694,4.0512,4.0473,4.0473,-4.0473
34.2077,4.0313,4.0282,4.0282,-4.0282
34.5494,4.0112,4.0088,4.0088,-4.0088
34.8945,3.9915,3.9892,3.9892,-3.9892
35.2430,3.9715,3.9693,3.9693,-3.9693
35.5951,3.9514,3.9491,3.9491,-3.9491
35.9506,3.9311,3.9287,3.9287,-3.9287
36.3097,3.9111,3.9081,3.9081,-3.9081
36.6724,3.8915,3.8873,3.8873,-3.8873
37.0387,3.8712,3.8661,3.8661,-3.8661
37.4087,3.8512,3.8447,3.8447,-3.8447
37.7824,3.8222,3.8230,3.8230,-3.8230
38.1598,3.8016,3.8013,3.8013,-3.8013
38.5409,3.7815,3.7793,3.7793,-3.7793
38.9259,3.7613,3.7572,3.7572,-3.7572
39.3147,3.7319,3.7350,3.7350,-3.7350
39.7074,3.7116,3.7126,3.7126,-3.7126
40.1041,3.6918,3.6902,3.6902,-3.6902
40.5046,3.6718,3.6676,3.6676,-3.6676
40.9092,3.6423,3.6448,3.6448,-3.6448
41.3179,3.6216,3.6220,3.6220,-3.6220
41.7306,3.6014,3.5992,3.5992,-3.5992
42.1474,3.5816,3.5762,3.5762,-3.5762
42.5684,3.5523,3.5530,3.5530,-3.5530
42.9936,3.5317,3.5297,3.5297,-3.5297
43.4231,3.5117,3.5063,3.5063,-3.5063
43.8568,3.4829,3.4827,3.4827,-3.4827
44.2949,3.4616,3.4590,3.4590,-3.4590
44.7374,3.4328,3.4350,3.4350,-3.4350
45.1842,3.4120,3.4111,3.4111,-3.4111
45.6356,3.3920,3.3869,3.3869,-3.3869
46.0914,3.3626,3.3627,3.3627,-3.3627
46.5518,3.3421,3.3382,3.3382,-3.3382
47.0168,3.3128,3.3137,3.3137,-3.3137
47.4864,3.2919,3.2890,3.2890,-3.2890
47.9608,3.2631,3.2642,3.2642,-3.2642
48.4398,3.2421,3.2392,3.2392,-3.2392
48.9237,3.2129,3.2141,3.2141,-3.2141
49.4124,3.1919,3.1890,3.1890,-3.1890
49.9059,3.1632,3.1636,3.1636,-3.1636
50.4044,3.1422,3.1383,3.1383,-3.1383
50.9079,3.1131,3.1127,3.1127,-3.1127
51.4164,3.0921,3.0870,3.0870,-3.0870
51.9300,3.0635,3.0612,3.0612,-3.0612
52.4487,3.0335,3.0353,3.0353,-3.0353
52.9726,3.0122,3.0094,3.0094,-3.0094
53.5018,2.9833,2.9833,2.9833,-2.9833
54.0362,2.9535,2.9572,2.9572,-2.9572
54.5759,2.9324,2.9311,2.9311,-2.9311
55.1211,2.9033,2.9049,2.9049,-2.9049
55.6717,2.8824,2.8788,2.8788,-2.8788
56.2278,2.8534,2.8525,2.8525,-2.8525
56.7894,2.8237,2.8263,2.8263,-2.8263
57.3567,2.8023,2.8000,2.8000,-2.8000
57.9296,2.7736,2.7737,2.7737,-2.7737
58.5082,2.7437,2.7475,2.7475,-2.7475
59.0927,2.7223,2.7212,2.7212,-2.7212
59.6829,2.6939,2.6949,2.6949,-2.6949
60.2791,2.6724,2.6687,2.6687,-2.6687
60.8812,2.6439,2.6424,2.6424,-2.6424
61.4893,2.6140,2.6161,2.6161,-2.6161
62.1035,2.5925,2.5898,2.5898,-2.5898
62.7239,2.5637,2.5634,2.5634,-2.5634
63.3504,2.5338,2.5371,2.5371,-2.5371
63.9832,2.5127,2.5109,2.5109,-2.5109
64.6223,2.4841,2.4846,2.4846,-2.4846
65.2678,2.4539,2.4585,2.4585,-2.4585
65.9198,2.4327,2.4324,2.4324,-2.4324
66.5782,2.4042,2.4063,2.4063,-2.4063
67.2433,2.3826,2.3803,2.3803,-2.3803
67.9149,2.3542,2.3542,2.3542,-2.3542
68.5933,2.3243,2.3283,2.3283,-2.3283
69.2785,2.3027,2.3025,2.3025,-2.3025
69.9705,2.2743,2.2767,2.2767,-2.2767
70.6694,2.2529,2.2510,2.2510,-2.2510
71.3753,2.2244,2.2253,2.2253,-2.2253
72.0883,2.2029,2.1997,2.1997,-2.1997
72.8083,2.1742,2.1741,2.1741,-2.1741
73.5356,2.1443,2.1485,2.1485,-2.1485
74.2701,2.1230,2.1231,2.1231,-2.1231
75.0120,2.0944,2.0976,2.0976,-2.0976
75.7613,2.0729,2.0723,2.0723,-2.0723
76.5180,2.0444,2.0471,2.0471,-2.0471
77.2824,2.0231,2.0219,2.0219,-2.0219
78.0543,1.9945,1.9967,1.9967,-1.9967
78.8340,1.9730,1.9716,1.9716,-1.9716
79.6214,1.9445,1.9465,1.9465,-1.9465
80.4168,1.9231,1.9215,1.9215,-1.9215
81.2200,1.8948,1.8965,1.8965,-1.8965
82.0313,1.8732,1.8717,1.8717,-1.8717
82.8507,1.8447,1.8468,1.8468,-1.8468
83.6783,1.8232,1.8221,1.8221,-1.8221
84.5141,1.7949,1.7974,1.7974,-1.7974
85.3583,1.7733,1.7727,1.7727,-1.7727
86.2109,1.7449,1.7482,1.7482,-1.7482
87.0721,1.7234,1.7237,1.7237,-1.7237
87.9418,1.6951,1.6994,1.6994,-1.6994
88.8203,1.6734,1.6751,1.6751,-1.6751
89.7075,1.6534,1.6510,1.6510,-1.6510
90.6035,1.6252,1.6270,1.6270,-1.6270
91.5085,1.6034,1.6030,1.6030,-1.6030
92.4226,1.5751,1.5791,1.5791,-1.5791
93.3458,1.5535,1.5554,1.5554,-1.5554
94.2782,1.5335,1.5319,1.5319,-1.5319
95.2199,1.5054,1.5083,1.5083,-1.5083
96.1711,1.4836,1.4849,1.4849,-1.4849
97.1317,1.4635,1.4617,1.4617,-1.4617
98.1019,1.4355,1.4384,1.4384,-1.4384
99.0818,1.4136,1.4153,1.4153,-1.4153
100.0715,1.3936,1.3922,1.3922,-1.3922
101.0711,1.3654,1.3693,1.3693,-1.3693
102.0807,1.3437,1.3465,1.3465,-1.3465
103.1004,1.3237,1.3238,1.3238,-1.3238
104.1302,1.3037,1.3012,1.3012,-1.3012
105.1703,1.2757,1.2786,1.2786,-1.2786
106.2209,1.2538,1.2561,1.2561,-1.2561
107.2819,1.2337,1.2337,1.2337,-1.2337
108.3535,1.2138,1.2114,1.2114,-1.2114
109.4358,1.1857,1.1892,1.1892,-1.1892
110.5289,1.1638,1.1670,1.1670,-1.1670
111.6330,1.1439,1.1450,1.1450,-1.1450
112.7481,1.1240,1.1230,1.1230,-1.1230
113.8743,1.1040,1.1010,1.1010,-1.1010
115.0118,1.0760,1.0791,1.0791,-1.0791
116.1606,1.0540,1.0573,1.0573,-1.0573
117.3209,1.0340,1.0356,1.0356,-1.0356
118.4928,1.0140,1.0141,1.0141,-1.0141
119.6764,0.9941,0.9926,0.9926,-0.9926
120.8718,0.9741,0.9712,0.9712,-0.9712
122.0792,0.9462,0.9499,0.9499,-0.9499
123.2986,0.9241,0.9288,0.9288,-0.9288
124.5302,0.9042,0.9078,0.9078,-0.9078
125.7741,0.8841,0.8869,0.8869,-0.8869
127.0304,0.8641,0.8662,0.8662,-0.8662
128.2993,0.8442,0.8457,0.8457,-0.8457
129.5808,0.8242,0.8253,0.8253,-0.8253
130.8752,0.8042,0.8049,0.8049,-0.8049
132.1825,0.7842,0.7847,0.7847,-0.7847
133.5028,0.7643,0.7645,0.7645,-0.7645
134.8363,0.7443,0.7444,0.7444,-0.7444
136.1832,0.7244,0.7243,0.7243,-0.7243
137.5435,0.7044,0.7044,0.7044,-0.7044
138.9174,0.6844,0.6844,0.6844,-0.6844
140.3050,0.6644,0.6644,0.6644,-0.6644
141.7065,0.6444,0.6445,0.6445,-0.6445
143.1220,0.6245,0.6246,0.6246,-0.6246
144.5516,0.6045,0.6048,0.6048,-0.6048
145.9955,0.5845,0.5850,0.5850,-0.5850
147.4538,0.5645,0.5654,0.5654,-0.5654
148.9267,0.5445,0.5458,0.5458,-0.5458
150.4143,0.5245,0.5263,0.5263,-0.5263
151.9167,0.5045,0.5069,0.5069,-0.5069
153.4342,0.4846,0.4875,0.4875,-0.4875
154.9668,0.4646,0.4683,0.4683,-0.4683
156.5147,0.4447,0.4492,0.4492,-0.4492
158.0781,0.4323,0.4302,0.4302,-0.4302
159.6571,0.4147,0.4113,0.4113,-0.4113
161.2519,0.3947,0.3923,0.3923,-0.3923
162.8626,0.3747,0.3735,0.3735,-0.3735
164.4894,0.3548,0.3546,0.3546,-0.3546
166.1324,0.3348,0.3359,0.3359,-0.3359
167.7919,0.3148,0.3172,0.3172,-0.3172
169.4679,0.2948,0.2987,0.2987,-0.2987
171.1607,0.2748,0.2804,0.2804,-0.2804
172.8704,0.2624,0.2622,0.2622,-0.2622
174.5972,0.2449,0.2441,0.2441,-0.2441
176.3412,0.2249,0.2260,0.2260,-0.2260
178.1026,0.2049,0.2080,0.2080,-0.2080
179.8816,0.1849,0.1902,0.1902,-0.1902
181.6784,0.1725,0.1726,0.1726,-0.1726
183.4932,0.1550,0.1551,0.1551,-0.1551
185.3261,0.1350,0.1378,0.1378,-0.1378
187.1772,0.1225,0.1205,0.1205,-0.1205
189.0469,0.1051,0.1034,0.1034,-0.1034
190.9352,0.0851,0.0862,0.0862,-0.0862
192.8425,0.0651,0.0690,0.0690,-0.0690
194.7687,0.0526,0.0519,0.0519,-0.0519
196.7142,0.0352,0.0349,0.0349,-0.0349
198.6792,0.0152,0.0180,0.0180,-0.0180
200.6637,0.0026,0.0011,0.0011,-0.0011
202.6681,-0.0148,-0.0158,-0.0158,0.0158
204.6925,-0.0347,-0.0326,-0.0326,0.0326
206.7371,-0.0474,-0.0494,-0.0494,0.0494
208.8022,-0.0647,-0.0661,-0.0661,0.0661
210.8879,-0.0847,-0.0828,-0.0828,0.0828
212.9944,-0.1047,-0.0994,-0.0994,0.0994
215.1219,-0.1173,-0.1159,-0.1159,0.1159
217.2707,-0.1346,-0.1323,-0.1323,0.1323
219.4410,-0.1473,-0.1486,-0.1486,0.1486
221.6329,-0.1646,-0.1649,-0.1649,0.1649
223.8468,-0.1846,-0.1811,-0.1811,0.1811
226.0827,-0.1973,-0.1971,-0.1971,0.1971
228.3410,-0.2145,-0.2131,-0.2131,0.2131
230.6219,-0.2273,-0.2290,-0.2290,0.2290
