frequency,raw,smoothed,error,equalization
20.0000,-19.4700,-18.9877,-18.9877,18.0000
20.1998,-19.3002,-18.9404,-18.9404,18.0000
20.4015,-19.1389,-18.8863,-18.8863,18.0000
20.6053,-18.9933,-18.8278,-18.8278,18.0000
20.8112,-18.8794,-18.7660,-18.7660,18.0000
21.0190,-18.7705,-18.7009,-18.7009,18.0000
21.2290,-18.6804,-18.6326,-18.6326,18.0000
21.4410,-18.5996,-18.5607,-18.5607,18.0000
21.6552,-18.5217,-18.4844,-18.4844,18.0000
21.8715,-18.4393,-18.4030,-18.4030,18.0000
22.0900,-18.3400,-18.3158,-18.3158,18.0000
22.3106,-18.2397,-18.2219,-18.2219,18.0000
22.5335,-18.1331,-18.1240,-18.1240,18.0000
22.7586,-18.0207,-18.0279,-18.0279,18.0000
22.9859,-17.9120,-17.9332,-17.9332,17.9332
23.2155,-17.8021,-17.8396,-17.8396,17.8396
23.4474,-17.7011,-17.7467,-17.7467,17.7467
23.6816,-17.6131,-17.6542,-17.6542,17.6542
23.9182,-17.5306,-17.5621,-17.5621,17.5621
24.1571,-17.4510,-17.4701,-17.4701,17.4701
24.3984,-17.3805,-17.3783,-17.3783,17.3783
24.6421,-17.3122,-17.2868,-17.2868,17.2868
24.8882,-17.2405,-17.1953,-17.1953,17.1953
25.1368,-17.1610,-17.1037,-17.1037,17.1037
25.3879,-17.0608,-17.0116,-17.0116,17.0116
25.6415,-16.9536,-16.9190,-16.9190,16.9190
25.8976,-16.8357,-16.8258,-16.8258,16.8258
26.1563,-16.7019,-16.7318,-16.7318,16.7318
26.4176,-16.5855,-16.6376,-16.6376,16.6376
26.6815,-16.4930,-16.5433,-16.5433,16.5433
26.9480,-16.4040,-16.4490,-16.4490,16.4490
27.2172,-16.3333,-16.3550,-16.3550,16.3550
27.4890,-16.2724,-16.2611,-16.2611,16.2611
27.7636,-16.2114,-16.1670,-16.1670,16.1670
28.0409,-16.1326,-16.0725,-16.0725,16.0725
28.3210,-16.0235,-15.9775,-15.9775,15.9775
28.6039,-15.9161,-15.8822,-15.8822,15.8822
28.8896,-15.7848,-15.7868,-15.7868,15.7868
29.1782,-15.6649,-15.6918,-15.6918,15.6918
29.4697,-15.5539,-15.5975,-15.5975,15.5975
29.7640,-15.4648,-15.5041,-15.5041,15.5041
30.0613,-15.3850,-15.4116,-15.4116,15.4116
30.3616,-15.3049,-15.3200,-15.3200,15.3200
30.6649,-15.2240,-15.2294,-15.2294,15.2294
30.9712,-15.1355,-15.1401,-15.1401,15.1401
31.2806,-15.0456,-15.0526,-15.0526,15.0526
31.5930,-14.9455,-14.9674,-14.9674,14.9674
31.9086,-14.8560,-14.8852,-14.8852,14.8852
32.2273,-14.7637,-14.8061,-14.8061,14.8061
32.5492,-14.6850,-14.7305,-14.7305,14.7305
32.8744,-14.6134,-14.6581,-14.6581,14.6581
33.2027,-14.5437,-14.5885,-14.5885,14.5885
33.5344,-14.4733,-14.5214,-14.5214,14.5214
33.8694,-14.4042,-14.4567,-14.4567,14.4567
34.2077,-14.3439,-14.3946,-14.3946,14.3946
34.5494,-14.2930,-14.3353,-14.3353,14.3353
34.8945,-14.2529,-14.2795,-14.2795,14.2795
35.2430,-14.2131,-14.2270,-14.2270,14.2270
35.5951,-14.1821,-14.1776,-14.1776,14.1776
35.9506,-14.1517,-14.1299,-14.1299,14.1299
36.3097,-14.1028,-14.0821,-14.0821,14.0821
36.6724,-14.0445,-14.0328,-14.0328,14.0328
37.0387,-13.9553,-13.9812,-13.9812,13.9812
37.4087,-13.8652,-13.9275,-13.9275,13.9275
37.7824,-13.8229,-13.8725,-13.8725,13.8725
38.1598,-13.7832,-13.8163,-13.8163,13.8163
38.5409,-13.8262,-13.7590,-13.7590,13.7590
38.9259,-13.8581,-13.6990,-13.6990,13.6990
39.3147,-13.8787,-13.6352,-13.6352,13.6352
39.7074,-13.7973,-13.5666,-13.5666,13.5666
40.1041,-13.6171,-13.4936,-13.4936,13.4936
40.5046,-13.3812,-13.4185,-13.4185,13.4185
40.9092,-13.1938,-13.3441,-13.3441,13.3441
41.3179,-13.0694,-13.2722,-13.2722,13.2722
41.7306,-13.0322,-13.2038,-13.2038,13.2038
42.1474,-13.0392,-13.1384,-13.1384,13.1384
42.5684,-13.0400,-13.0748,-13.0748,13.0748
42.9936,-13.0125,-13.0124,-13.0124,13.0124
43.4231,-12.9552,-12.9512,-12.9512,12.9512
43.8568,-12.8959,-12.8920,-12.8920,12.8920
44.2949,-12.8441,-12.8355,-12.8355,12.8355
44.7374,-12.7947,-12.7821,-12.7821,12.7821
45.1842,-12.7541,-12.7312,-12.7312,12.7312
45.6356,-12.6959,-12.6814,-12.6814,12.6814
46.0914,-12.6351,-12.6317,-12.6317,12.6317
46.5518,-12.5762,-12.5812,-12.5812,12.5812
47.0168,-12.5156,-12.5298,-12.5298,12.5298
47.4864,-12.4646,-12.4781,-12.4781,12.4781
47.9608,-12.4151,-12.4266,-12.4266,12.4266
48.4398,-12.3652,-12.3756,-12.3756,12.3756
48.9237,-12.3239,-12.3254,-12.3254,12.3254
49.4124,-12.2839,-12.2757,-12.2757,12.2757
49.9059,-12.2354,-12.2264,-12.2264,12.2264
50.4044,-12.1767,-12.1772,-12.1772,12.1772
50.9079,-12.1162,-12.1282,-12.1282,12.1282
51.4164,-12.0563,-12.0794,-12.0794,12.0794
51.9300,-12.0058,-12.0308,-12.0308,12.0308
52.4487,-11.9647,-11.9824,-11.9824,11.9824
52.9726,-11.9333,-11.9340,-11.9340,11.9340
53.5018,-11.9033,-11.8856,-11.8856,11.8856
54.0362,-11.8647,-11.8368,-11.8368,11.8368
54.5759,-11.8247,-11.7878,-11.7878,11.7878
55.1211,-11.7755,-11.7385,-11.7385,11.7385
55.6717,-11.7085,-11.6890,-11.6890,11.6890
56.2278,-11.6379,-11.6396,-11.6396,11.6396
56.7894,-11.5687,-11.5906,-11.5906,11.5906
57.3567,-11.5068,-11.5422,-11.5422,11.5422
57.9296,-11.4473,-11.4947,-11.4947,11.4947
58.5082,-11.4049,-11.4483,-11.4483,11.4483
59.0927,-11.3735,-11.4030,-11.4030,11.4030
59.6829,-11.3439,-11.3588,-11.3588,11.3588
60.2791,-11.3136,-11.3156,-11.3156,11.3156
60.8812,-11.2839,-11.2735,-11.2735,11.2735
61.4893,-11.2453,-11.2323,-11.2323,11.2323
62.1035,-11.1963,-11.1921,-11.1921,11.1921
62.7239,-11.1461,-11.1530,-11.1530,11.1530
63.3504,-11.0963,-11.1151,-11.1151,11.1151
63.9832,-11.0554,-11.0782,-11.0782,11.0782
64.6223,-11.0241,-11.0422,-11.0422,11.0422
65.2678,-10.9939,-11.0071,-11.0071,11.0071
65.9198,-10.9641,-10.9725,-10.9725,10.9725
66.5782,-10.9256,-10.9385,-10.9385,10.9385
67.2433,-10.8939,-10.9051,-10.9051,10.9051
67.9149,-10.8642,-10.8726,-10.8726,10.8726
68.5933,-10.8343,-10.8411,-10.8411,10.8411
69.2785,-10.8127,-10.8105,-10.8105,10.8105
69.9705,-10.7843,-10.7806,-10.7806,10.7806
70.6694,-10.7457,-10.7514,-10.7514,10.7514
71.3753,-10.7144,-10.7227,-10.7227,10.7227
72.0883,-10.6843,-10.6946,-10.6946,10.6946
72.8083,-10.6542,-10.6671,-10.6671,10.6671
73.5356,-10.6243,-10.6402,-10.6402,10.6402
74.2701,-10.6030,-10.6140,-10.6140,10.6140
75.0120,-10.5744,-10.5883,-10.5883,10.5883
75.7613,-10.5614,-10.5631,-10.5631,10.5631
76.5180,-10.5429,-10.5381,-10.5381,10.5381
77.2824,-10.5231,-10.5132,-10.5132,10.5132
78.0543,-10.4945,-10.4884,-10.4884,10.4884
78.8340,-10.4559,-10.4640,-10.4640,10.4640
79.6214,-10.4330,-10.4400,-10.4400,10.4400
80.4168,-10.4131,-10.4165,-10.4165,10.4165
81.2200,-10.4016,-10.3933,-10.3933,10.3933
82.0313,-10.3748,-10.3703,-10.3703,10.3703
82.8507,-10.3447,-10.3474,-10.3474,10.3474
83.6783,-10.3148,-10.3249,-10.3249,10.3249
84.5141,-10.2849,-10.3027,-10.3027,10.3027
85.3583,-10.2633,-10.2810,-10.2810,10.2810
86.2109,-10.2433,-10.2600,-10.2600,10.2600
87.0721,-10.2317,-10.2395,-10.2395,10.2395
87.9418,-10.2217,-10.2195,-10.2195,10.2195
88.8203,-10.2034,-10.1998,-10.1998,10.1998
89.7075,-10.1834,-10.1803,-10.1803,10.1803
90.6035,-10.1635,-10.1610,-10.1610,10.1610
91.5085,-10.1434,-10.1419,-10.1419,10.1419
92.4226,-10.1234,-10.1233,-10.1233,10.1233
93.3458,-10.1035,-10.1050,-10.1050,10.1050
