frequency,raw,smoothed,error,equalization
20.0000,7.4500,7.4180,7.4180,-7.4180
20.1998,7.4400,7.4146,7.4146,-7.4146
20.4015,7.4399,7.4109,7.4109,-7.4109
20.6053,7.4302,7.4068,7.4068,-7.4068
20.8112,7.4099,7.4025,7.4025,-7.4025
21.0190,7.4000,7.3981,7.3981,-7.3981
21.2290,7.3900,7.3936,7.3936,-7.3936
21.4410,7.3800,7.3887,7.3887,-7.3887
21.6552,7.3702,7.3836,7.3836,-7.3836
21.8715,7.3700,7.3782,7.3782,-7.3782
22.0900,7.3700,7.3723,7.3723,-7.3723
22.3106,7.3700,7.3658,7.3658,-7.3658
22.5335,7.3700,7.3586,7.3586,-7.3586
22.7586,7.3700,7.3512,7.3512,-7.3512
22.9859,7.3700,7.3433,7.3433,-7.3433
23.2155,7.3504,7.3350,7.3350,-7.3350
23.4474,7.3401,7.3263,7.3263,-7.3263
23.6816,7.3207,7.3173,7.3173,-7.3173
23.9182,7.3002,7.3081,7.3081,-7.3081
24.1571,7.2901,7.2990,7.2990,-7.2990
24.3984,7.2801,7.2899,7.2899,-7.2899
24.6421,7.2703,7.2811,7.2811,-7.2811
24.8882,7.2601,7.2728,7.2728,-7.2728
25.1368,7.2600,7.2650,7.2650,-7.2650
25.3879,7.2501,7.2576,7.2576,-7.2576
25.6415,7.2403,7.2505,7.2505,-7.2505
25.8976,7.2400,7.2436,7.2436,-7.2436
26.1563,7.2301,7.2363,7.2363,-7.2363
26.4176,7.2205,7.2283,7.2283,-7.2283
26.6815,7.2200,7.2191,7.2191,-7.2191
26.9480,7.2200,7.2085,7.2085,-7.2085
27.2172,7.2200,7.1960,7.1960,-7.1960
27.4890,7.2296,7.1818,7.1818,-7.1818
27.7636,7.2300,7.1659,7.1659,-7.1659
28.0409,7.2203,7.1483,7.1483,-7.1483
28.3210,7.1910,7.1296,7.1296,-7.1296
28.6039,7.1617,7.1104,7.1104,-7.1104
28.8896,7.1118,7.0912,7.0912,-7.0912
29.1782,7.0524,7.0727,7.0727,-7.0727
29.4697,6.9825,7.0557,7.0557,-7.0557
29.7640,6.9421,7.0410,7.0410,-7.0410
30.0613,6.9119,7.0292,7.0292,-7.0292
30.3616,6.9006,7.0203,7.0203,-7.0203
30.6649,6.9190,7.0143,7.0143,-7.0143
30.9712,6.9576,7.0105,7.0105,-7.0105
31.2806,6.9975,7.0082,7.0082,-7.0082
31.5930,7.0378,7.0063,7.0063,-7.0063
31.9086,7.0680,7.0040,7.0040,-7.0040
32.2273,7.0796,7.0003,7.0003,-7.0003
32.5492,7.0800,6.9946,6.9946,-6.9946
32.8744,7.0705,6.9862,6.9862,-6.9862
33.2027,7.0510,6.9748,6.9748,-6.9748
33.5344,7.0309,6.9601,6.9601,-6.9601
33.8694,6.9924,6.9419,6.9419,-6.9419
34.2077,6.9526,6.9205,6.9205,-6.9205
34.5494,6.9030,6.8964,6.8964,-6.8964
34.8945,6.8629,6.8705,6.8705,-6.8705
35.2430,6.8231,6.8435,6.8435,-6.8435
35.5951,6.7829,6.8163,6.8163,-6.8163
35.9506,6.7611,6.7895,6.7895,-6.7895
36.3097,6.7317,6.7635,6.7635,-6.7635
36.6724,6.7115,6.7387,6.7387,-6.7387
37.0387,6.6912,6.7151,6.7151,-6.7151
37.4087,6.6712,6.6927,6.6927,-6.6927
37.7824,6.6607,6.6716,6.6716,-6.6716
38.1598,6.6416,6.6516,6.6516,-6.6516
38.5409,6.6308,6.6325,6.6325,-6.6325
38.9259,6.6206,6.6140,6.6140,-6.6140
39.3147,6.6013,6.5957,6.5957,-6.5957
39.7074,6.5908,6.5775,6.5775,-6.5775
40.1041,6.5718,6.5590,6.5590,-6.5590
40.5046,6.5518,6.5401,6.5401,-6.5401
40.9092,6.5315,6.5207,6.5207,-6.5207
41.3179,6.5024,6.5007,6.5007,-6.5007
41.7306,6.4814,6.4802,6.4802,-6.4802
42.1474,6.4616,6.4591,6.4591,-6.4591
42.5684,6.4415,6.4376,6.4376,-6.4376
42.9936,6.4217,6.4157,6.4157,-6.4157
43.4231,6.4017,6.3932,6.3932,-6.3932
43.8568,6.3729,6.3703,6.3703,-6.3703
44.2949,6.3516,6.3472,6.3472,-6.3472
44.7374,6.3319,6.3238,6.3238,-6.3238
45.1842,6.3031,6.3002,6.3002,-6.3002
45.6356,6.2730,6.2765,6.2765,-6.2765
46.0914,6.2517,6.2529,6.2529,-6.2529
46.5518,6.2231,6.2293,6.2293,-6.2293
47.0168,6.2019,6.2059,6.2059,-6.2059
