frequency,raw,smoothed,error,equalization
20.0000,7.0900,7.0893,7.0893,-7.0893
20.1998,7.0900,7.0889,7.0889,-7.0889
20.4015,7.0900,7.0884,7.0884,-7.0884
20.6053,7.0900,7.0876,7.0876,-7.0876
20.8112,7.0900,7.0867,7.0867,-7.0867
21.0190,7.0900,7.0856,7.0856,-7.0856
21.2290,7.0900,7.0842,7.0842,-7.0842
21.4410,7.0900,7.0825,7.0825,-7.0825
21.6552,7.0900,7.0805,7.0805,-7.0805
21.8715,7.0800,7.0780,7.0780,-7.0780
22.0900,7.0800,7.0751,7.0751,-7.0751
22.3106,7.0800,7.0718,7.0718,-7.0718
22.5335,7.0703,7.0681,7.0681,-7.0681
22.7586,7.0700,7.0640,7.0640,-7.0640
22.9859,7.0602,7.0595,7.0595,-7.0595
23.2155,7.0600,7.0548,7.0548,-7.0548
23.4474,7.0501,7.0497,7.0497,-7.0497
23.6816,7.0500,7.0443,7.0443,-7.0443
23.9182,7.0401,7.0386,7.0386,-7.0386
24.1571,7.0301,7.0327,7.0327,-7.0327
24.3984,7.0300,7.0267,7.0267,-7.0267
24.6421,7.0203,7.0205,7.0205,-7.0205
24.8882,7.0200,7.0140,7.0140,-7.0140
25.1368,7.0101,7.0073,7.0073,-7.0073
25.3879,7.0001,7.0004,7.0004,-7.0004
25.6415,7.0000,6.9933,6.9933,-6.9933
25.8976,6.9905,6.9859,6.9859,-6.9859
26.1563,6.9801,6.9782,6.9782,-6.9782
26.4176,6.9705,6.9703,6.9703,-6.9703
26.6815,6.9603,6.9623,6.9623,-6.9623
26.9480,6.9600,6.9543,6.9543,-6.9543
27.2172,6.9505,6.9460,6.9460,-6.9460
27.4890,6.9404,6.9375,6.9375,-6.9375
27.7636,6.9302,6.9288,6.9288,-6.9288
28.0409,6.9203,6.9198,6.9198,-6.9198
28.3210,6.9103,6.9108,6.9108,-6.9108
28.6039,6.9006,6.9015,6.9015,-6.9015
28.8896,6.8904,6.8922,6.8922,-6.8922
29.1782,6.8804,6.8828,6.8828,-6.8828
29.4697,6.8800,6.8732,6.8732,-6.8732
29.7640,6.8705,6.8634,6.8634,-6.8634
30.0613,6.8606,6.8533,6.8533,-6.8533
