frequency,raw,smoothed,error,equalization
20.0000,9.1100,9.1206,9.1206,-9.1206
20.1998,9.1200,9.1209,9.1209,-9.1209
20.4015,9.1201,9.1211,9.1211,-9.1211
20.6053,9.1298,9.1213,9.1213,-9.1213
20.8112,9.1299,9.1213,9.1213,-9.1213
21.0190,9.1200,9.1212,9.1212,-9.1212
21.2290,9.1200,9.1212,9.1212,-9.1212
21.4410,9.1200,9.1213,9.1213,-9.1213
21.6552,9.1200,9.1215,9.1215,-9.1215
21.8715,9.1200,9.1217,9.1217,-9.1217
22.0900,9.1200,9.1220,9.1220,-9.1220
22.3106,9.1200,9.1224,9.1224,-9.1224
22.5335,9.1200,9.1227,9.1227,-9.1227
22.7586,9.1200,9.1230,9.1230,-9.1230
22.9859,9.1200,9.1231,9.1231,-9.1231
23.2155,9.1200,9.1231,9.1231,-9.1231
23.4474,9.1299,9.1229,9.1229,-9.1229
23.6816,9.1300,9.1222,9.1222,-9.1222
23.9182,9.1300,9.1210,9.1210,-9.1210
24.1571,9.1300,9.1193,9.1193,-9.1193
24.3984,9.1300,9.1169,9.1169,-9.1169
24.6421,9.1300,9.1140,9.1140,-9.1140
24.8882,9.1201,9.1105,9.1105,-9.1105
25.1368,9.1200,9.1063,9.1063,-9.1063
25.3879,9.1101,9.1016,9.1016,-9.1016
25.6415,9.1003,9.0963,9.0963,-9.0963
25.8976,9.0905,9.0905,9.0905,-9.0905
26.1563,9.0801,9.0842,9.0842,-9.0842
26.4176,9.0705,9.0777,9.0777,-9.0777
26.6815,9.0700,9.0709,9.0709,-9.0709
26.9480,9.0604,9.0638,9.0638,-9.0638
27.2172,9.0600,9.0564,9.0564,-9.0564
27.4890,9.0600,9.0487,9.0487,-9.0487
27.7636,9.0502,9.0405,9.0405,-9.0405
28.0409,9.0403,9.0319,9.0319,-9.0319
28.3210,9.0303,9.0230,9.0230,-9.0230
28.6039,9.0206,9.0137,9.0137,-9.0137
28.8896,9.0104,9.0042,9.0042,-9.0042
29.1782,9.0004,8.9944,8.9944,-8.9944
29.4697,8.9904,8.9841,8.9841,-8.9841
29.7640,8.9711,8.9734,8.9734,-8.9734
30.0613,8.9606,8.9624,8.9624,-8.9624
30.3616,8.9506,8.9511,8.9511,-8.9511
30.6649,8.9310,8.9395,8.9395,-8.9395
30.9712,8.9300,8.9278,8.9278,-8.9278
31.2806,8.9206,8.9160,8.9160,-8.9160
31.5930,8.9105,8.9041,8.9041,-8.9041
31.9086,8.9007,8.8920,8.8920,-8.8920
32.2273,8.8904,8.8798,8.8798,-8.8798
32.5492,8.8713,8.8674,8.8674,-8.8674
32.8744,8.8510,8.8550,8.8550,-8.8550
33.2027,8.8405,8.8427,8.8427,-8.8427
33.5344,8.8209,8.8304,8.8304,-8.8304
33.8694,8.8106,8.8181,8.8181,-8.8181
34.2077,8.8007,8.8058,8.8058,-8.8058
34.5494,8.7906,8.7934,8.7934,-8.7934
34.8945,8.7807,8.7807,8.7807,-8.7807
35.2430,8.7708,8.7679,8.7679,-8.7679
35.5951,8.7607,8.7548,8.7548,-8.7548
35.9506,8.7506,8.7414,8.7414,-8.7414
36.3097,8.7406,8.7277,8.7277,-8.7277
36.6724,8.7307,8.7136,8.7136,-8.7136
37.0387,8.7112,8.6988,8.6988,-8.6988
37.4087,8.6912,8.6834,8.6834,-8.6834
37.7824,8.6715,8.6674,8.6674,-8.6674
38.1598,8.6516,8.6508,8.6508,-8.6508
38.5409,8.6315,8.6337,8.6337,-8.6337
38.9259,8.6206,8.6161,8.6161,-8.6161
39.3147,8.6013,8.5979,8.5979,-8.5979
39.7074,8.5816,8.5793,8.5793,-8.5793
40.1041,8.5709,8.5602,8.5602,-8.5602
40.5046,8.5518,8.5405,8.5405,-8.5405
40.9092,8.5315,8.5203,8.5203,-8.5203
41.3179,8.5024,8.4996,8.4996,-8.4996
41.7306,8.4814,8.4784,8.4784,-8.4784
42.1474,8.4616,8.4570,8.4570,-8.4570
42.5684,8.4415,8.4351,8.4351,-8.4351
42.9936,8.4125,8.4127,8.4127,-8.4127
43.4231,8.3917,8.3899,8.3899,-8.3899
43.8568,8.3720,8.3666,8.3666,-8.3666
44.2949,8.3516,8.3429,8.3429,-8.3429
44.7374,8.3228,8.3188,8.3188,-8.3188
45.1842,8.3020,8.2942,8.2942,-8.2942
45.6356,8.2730,8.2694,8.2694,-8.2694
46.0914,8.2426,8.2442,8.2442,-8.2442
46.5518,8.2221,8.2188,8.2188,-8.2188
47.0168,8.2019,8.1930,8.1930,-8.1930
47.4864,8.1728,8.1667,8.1667,-8.1667
47.9608,8.1431,8.1400,8.1400,-8.1400
48.4398,8.1131,8.1129,8.1129,-8.1129
48.9237,8.0829,8.0854,8.0854,-8.0854
49.4124,8.0619,8.0577,8.0577,-8.0577
49.9059,8.0332,8.0298,8.0298,-8.0298
50.4044,8.0122,8.0017,8.0017,-8.0017
50.9079,7.9831,7.9731,7.9731,-7.9731
51.4164,7.9532,7.9442,7.9442,-7.9442
51.9300,7.9146,7.9150,7.9150,-7.9150
52.4487,7.8835,7.8854,7.8854,-7.8854
52.9726,7.8533,7.8557,7.8557,-7.8557
53.5018,7.8233,7.8257,7.8257,-7.8257
54.0362,7.7935,7.7956,7.7956,-7.7956
54.5759,7.7636,7.7654,7.7654,-7.7654
55.1211,7.7422,7.7351,7.7351,-7.7351
55.6717,7.7137,7.7044,7.7044,-7.7044
56.2278,7.6834,7.6734,7.6734,-7.6734
56.7894,7.6450,7.6420,7.6420,-7.6420
57.3567,7.6134,7.6105,7.6105,-7.6105
57.9296,7.5836,7.5788,7.5788,-7.5788
58.5082,7.5449,7.5468,7.5468,-7.5468
59.0927,7.5046,7.5146,7.5146,-7.5146
59.6829,7.4826,7.4823,7.4823,-7.4823
60.2791,7.4536,7.4497,7.4497,-7.4497
60.8812,7.4326,7.4167,7.4167,-7.4167
61.4893,7.3953,7.3831,7.3831,-7.3831
62.1035,7.3463,7.3489,7.3489,-7.3489
62.7239,7.3137,7.3145,7.3145,-7.3145
63.3504,7.2838,7.2798,7.2798,-7.2798
63.9832,7.2541,7.2447,7.2447,-7.2447
64.6223,7.2155,7.2092,7.2092,-7.2092
65.2678,7.1839,7.1733,7.1733,-7.1733
65.9198,7.1455,7.1368,7.1368,-7.1368
66.5782,7.1056,7.0999,7.0999,-7.0999
67.2433,7.0653,7.0624,7.0624,-7.0624
67.9149,7.0256,7.0246,7.0246,-7.0246
68.5933,6.9857,6.9866,6.9866,-6.9866
