frequency,raw,smoothed,error,equalization
20.0000,9.7700,9.7568,9.7568,-9.7568
20.1998,9.7700,9.7548,9.7548,-9.7548
20.4015,9.7600,9.7524,9.7524,-9.7524
20.6053,9.7600,9.7497,9.7497,-9.7497
20.8112,9.7599,9.7466,9.7466,-9.7466
21.0190,9.7500,9.7430,9.7430,-9.7430
21.2290,9.7500,9.7390,9.7390,-9.7390
21.4410,9.7400,9.7345,9.7345,-9.7345
21.6552,9.7400,9.7296,9.7296,-9.7296
21.8715,9.7299,9.7239,9.7239,-9.7239
22.0900,9.7200,9.7176,9.7176,-9.7176
22.3106,9.7200,9.7106,9.7106,-9.7106
22.5335,9.7103,9.7029,9.7029,-9.7029
22.7586,9.7001,9.6946,9.6946,-9.6946
22.9859,9.6902,9.6859,9.6859,-9.6859
23.2155,9.6802,9.6767,9.6767,-9.6767
23.4474,9.6701,9.6670,9.6670,-9.6670
23.6816,9.6603,9.6568,9.6568,-9.6568
23.9182,9.6501,9.6461,9.6461,-9.6461
24.1571,9.6401,9.6350,9.6350,-9.6350
24.3984,9.6301,9.6233,9.6233,-9.6233
24.6421,9.6203,9.6111,9.6111,-9.6111
24.8882,9.6101,9.5984,9.5984,-9.5984
25.1368,9.5903,9.5850,9.5850,-9.5850
25.3879,9.5801,9.5713,9.5713,-9.5713
25.6415,9.5607,9.5571,9.5571,-9.5571
25.8976,9.5505,9.5426,9.5426,-9.5426
26.1563,9.5303,9.5277,9.5277,-9.5277
26.4176,9.5109,9.5124,9.5124,-9.5124
26.6815,9.5003,9.4970,9.4970,-9.4970
26.9480,9.4809,9.4813,9.4813,-9.4813
27.2172,9.4610,9.4654,9.4654,-9.4654
27.4890,9.4504,9.4494,9.4494,-9.4494
27.7636,9.4305,9.4332,9.4332,-9.4332
28.0409,9.4203,9.4169,9.4169,-9.4169
28.3210,9.4006,9.4003,9.4003,-9.4003
28.6039,9.3906,9.3835,9.3835,-9.3835
28.8896,9.3707,9.3662,9.3662,-9.3662
29.1782,9.3508,9.3487,9.3487,-9.3487
29.4697,9.3404,9.3309,9.3309,-9.3309
29.7640,9.3211,9.3127,9.3127,-9.3127
30.0613,9.3012,9.2944,9.2944,-9.2944
30.3616,9.2812,9.2760,9.2760,-9.2760
30.6649,9.2610,9.2577,9.2577,-9.2577
30.9712,9.2412,9.2397,9.2397,-9.2397
31.2806,9.2213,9.2222,9.2222,-9.2222
31.5930,9.1916,9.2053,9.2053,-9.2053
31.9086,9.1713,9.1892,9.1892,-9.1892
32.2273,9.1508,9.1739,9.1739,-9.1739
32.5492,9.1313,9.1595,9.1595,-9.1595
32.8744,9.1205,9.1460,9.1460,-9.1460
33.2027,9.1105,9.1333,9.1333,-9.1333
33.5344,9.1005,9.1212,9.1212,-9.1212
