frequency,raw,smoothed,error,equalization
20.0000,6.9400,7.1172,7.1172,-7.1172
20.1998,6.9999,7.1353,7.1353,-7.1353
20.4015,7.0504,7.1557,7.1557,-7.1557
20.6053,7.0989,7.1777,7.1777,-7.1777
20.8112,7.1503,7.2009,7.2009,-7.2009
21.0190,7.1998,7.2250,7.2250,-7.2250
21.2290,7.2398,7.2499,7.2499,-7.2499
21.4410,7.2801,7.2756,7.2756,-7.2756
21.6552,7.3093,7.3023,7.3023,-7.3023
21.8715,7.3402,7.3302,7.3302,-7.3302
22.0900,7.3700,7.3595,7.3595,-7.3595
22.3106,7.4001,7.3905,7.3905,-7.3905
22.5335,7.4292,7.4224,7.4224,-7.4224
22.7586,7.4598,7.4529,7.4529,-7.4529
22.9859,7.4895,7.4823,7.4823,-7.4823
23.2155,7.5194,7.5107,7.5107,-7.5107
23.4474,7.5497,7.5382,7.5382,-7.5382
23.6816,7.5790,7.5649,7.5649,-7.5649
23.9182,7.5998,7.5910,7.5910,-7.5910
24.1571,7.6296,7.6166,7.6166,-7.6166
24.3984,7.6499,7.6417,7.6417,-7.6417
24.6421,7.6694,7.6666,7.6666,-7.6666
24.8882,7.6899,7.6913,7.6913,-7.6913
25.1368,7.7097,7.7160,7.7160,-7.7160
25.3879,7.7298,7.7408,7.7408,-7.7408
25.6415,7.7590,7.7657,7.7657,-7.7657
25.8976,7.7790,7.7908,7.7908,-7.7908
26.1563,7.8096,7.8162,7.8162,-7.8162
26.4176,7.8386,7.8418,7.8418,-7.8418
26.6815,7.8690,7.8674,7.8674,-7.8674
26.9480,7.8891,7.8931,7.8931,-7.8931
27.2172,7.9186,7.9188,7.9188,-7.9188
27.4890,7.9488,7.9444,7.9444,-7.9444
27.7636,7.9793,7.9697,7.9697,-7.9697
28.0409,7.9994,7.9945,7.9945,-7.9945
28.3210,8.0290,8.0188,8.0188,-8.0188
28.6039,8.0583,8.0423,8.0423,-8.0423
28.8896,8.0793,8.0648,8.0648,-8.0648
29.1782,8.0992,8.0863,8.0863,-8.0863
29.4697,8.1193,8.1069,8.1069,-8.1069
29.7640,8.1389,8.1265,8.1265,-8.1265
30.0613,8.1588,8.1450,8.1450,-8.1450
30.3616,8.1788,8.1624,8.1624,-8.1624
30.6649,8.1895,8.1787,8.1787,-8.1787
30.9712,8.2088,8.1941,8.1941,-8.1941
31.2806,8.2194,8.2084,8.2084,-8.2084
31.5930,8.2295,8.2219,8.2219,-8.2219
31.9086,8.2393,8.2346,8.2346,-8.2346
32.2273,8.2496,8.2468,8.2468,-8.2468
32.5492,8.2687,8.2584,8.2584,-8.2584
32.8744,8.2795,8.2695,8.2695,-8.2695
33.2027,8.2800,8.2800,8.2800,-8.2800
33.5344,8.2895,8.2903,8.2903,-8.2903
33.8694,8.2994,8.3004,8.3004,-8.3004
34.2077,8.3093,8.3104,8.3104,-8.3104
34.5494,8.3194,8.3202,8.3202,-8.3202
34.8945,8.3293,8.3300,8.3300,-8.3300
35.2430,8.3392,8.3396,8.3396,-8.3396
35.5951,8.3493,8.3490,8.3490,-8.3490
35.9506,8.3594,8.3582,8.3582,-8.3582
36.3097,8.3694,8.3670,8.3670,-8.3670
36.6724,8.3793,8.3755,8.3755,-8.3755
37.0387,8.3894,8.3835,8.3835,-8.3835
37.4087,8.3994,8.3910,8.3910,-8.3910
37.7824,8.4093,8.3979,8.3979,-8.3979
38.1598,8.4192,8.4041,8.4041,-8.4041
38.5409,8.4200,8.4095,8.4095,-8.4095
38.9259,8.4294,8.4142,8.4142,-8.4142
39.3147,8.4300,8.4181,8.4181,-8.4181
39.7074,8.4300,8.4212,8.4212,-8.4212
40.1041,8.4300,8.4237,8.4237,-8.4237
40.5046,8.4300,8.4254,8.4254,-8.4254
40.9092,8.4300,8.4265,8.4265,-8.4265
41.3179,8.4300,8.4270,8.4270,-8.4270
41.7306,8.4300,8.4268,8.4268,-8.4268
42.1474,8.4300,8.4260,8.4260,-8.4260
42.5684,8.4300,8.4248,8.4248,-8.4248
42.9936,8.4300,8.4230,8.4230,-8.4230
43.4231,8.4300,8.4207,8.4207,-8.4207
43.8568,8.4300,8.4180,8.4180,-8.4180
44.2949,8.4208,8.4146,8.4146,-8.4146
44.7374,8.4200,8.4108,8.4108,-8.4108
45.1842,8.4110,8.4065,8.4065,-8.4065
45.6356,8.4010,8.4018,8.4018,-8.4018
46.0914,8.4000,8.3968,8.3968,-8.3968
46.5518,8.3910,8.3915,8.3915,-8.3915
47.0168,8.3900,8.3859,8.3859,-8.3859
47.4864,8.3809,8.3799,8.3799,-8.3799
47.9608,8.3800,8.3737,8.3737,-8.3737
48.4398,8.3710,8.3672,8.3672,-8.3672
48.9237,8.3610,8.3604,8.3604,-8.3604
49.4124,8.3510,8.3536,8.3536,-8.3536
49.9059,8.3500,8.3467,8.3467,-8.3467
50.4044,8.3411,8.3395,8.3395,-8.3395
50.9079,8.3310,8.3321,8.3321,-8.3321
51.4164,8.3300,8.3245,8.3245,-8.3245
51.9300,8.3212,8.3166,8.3166,-8.3166
52.4487,8.3112,8.3083,8.3083,-8.3083
52.9726,8.3011,8.2996,8.2996,-8.2996
53.5018,8.2911,8.2906,8.2906,-8.2906
54.0362,8.2900,8.2813,8.2813,-8.2813
54.5759,8.2812,8.2716,8.2716,-8.2716
55.1211,8.2711,8.2614,8.2614,-8.2614
55.6717,8.2612,8.2508,8.2508,-8.2508
56.2278,8.2423,8.2396,8.2396,-8.2396
56.7894,8.2312,8.2282,8.2282,-8.2282
57.3567,8.2211,8.2163,8.2163,-8.2163
57.9296,8.2024,8.2039,8.2039,-8.2039
58.5082,8.1912,8.1912,8.1912,-8.1912
59.0927,8.1812,8.1781,8.1781,-8.1781
59.6829,8.1713,8.1645,8.1645,-8.1645
60.2791,8.1524,8.1503,8.1503,-8.1503
60.8812,8.1413,8.1357,8.1357,-8.1357
61.4893,8.1313,8.1206,8.1206,-8.1206
62.1035,8.1125,8.1050,8.1050,-8.1050
62.7239,8.1012,8.0888,8.0888,-8.0888
63.3504,8.0825,8.0721,8.0721,-8.0721
63.9832,8.0627,8.0547,8.0547,-8.0547
64.6223,8.0427,8.0366,8.0366,-8.0366
65.2678,8.0226,8.0180,8.0180,-8.0180
65.9198,8.0027,7.9988,7.9988,-7.9988
66.5782,7.9828,7.9790,7.9790,-7.9790
67.2433,7.9626,7.9586,7.9586,-7.9586
67.9149,7.9428,7.9377,7.9377,-7.9377
68.5933,7.9228,7.9161,7.9161,-7.9161
