frequency,raw,smoothed,error,equalization
20.0000,6.3300,6.4837,6.4837,-6.4837
20.1998,6.3700,6.4998,6.4998,-6.4998
20.4015,6.4203,6.5178,6.5178,-6.5178
20.6053,6.4591,6.5370,6.5370,-6.5370
20.8112,6.5103,6.5570,6.5570,-6.5570
21.0190,6.5598,6.5775,6.5775,-6.5775
21.2290,6.5998,6.5983,6.5983,-6.5983
21.4410,6.6401,6.6195,6.6195,-6.6195
21.6552,6.6693,6.6410,6.6410,-6.6410
21.8715,6.6901,6.6631,6.6631,-6.6631
22.0900,6.7100,6.6859,6.6859,-6.6859
22.3106,6.7300,6.7099,6.7099,-6.7099
22.5335,6.7397,6.7342,6.7342,-6.7342
22.7586,6.7599,6.7573,6.7573,-6.7573
22.9859,6.7698,6.7793,6.7793,-6.7793
23.2155,6.7896,6.8005,6.8005,-6.8005
23.4474,6.8197,6.8211,6.8211,-6.8211
23.6816,6.8393,6.8413,6.8413,-6.8413
23.9182,6.8698,6.8612,6.8612,-6.8612
24.1571,6.8898,6.8809,6.8809,-6.8809
24.3984,6.9099,6.9004,6.9004,-6.9004
24.6421,6.9294,6.9199,6.9199,-6.9199
24.8882,6.9399,6.9393,6.9393,-6.9393
25.1368,6.9597,6.9586,6.9586,-6.9586
25.3879,6.9699,6.9779,6.9779,-6.9779
25.6415,6.9893,6.9972,6.9972,-6.9972
25.8976,7.0090,7.0164,7.0164,-7.0164
26.1563,7.0297,7.0356,7.0356,-7.0356
26.4176,7.0586,7.0547,7.0547,-7.0547
26.6815,7.0793,7.0737,7.0737,-7.0737
26.9480,7.0991,7.0926,7.0926,-7.0926
27.2172,7.1190,7.1112,7.1112,-7.1112
27.4890,7.1392,7.1296,7.1296,-7.1296
27.7636,7.1498,7.1475,7.1475,-7.1475
28.0409,7.1694,7.1650,7.1650,-7.1650
28.3210,7.1797,7.1820,7.1820,-7.1820
28.6039,7.1989,7.1984,7.1984,-7.1984
28.8896,7.2193,7.2142,7.2142,-7.2142
29.1782,7.2392,7.2293,7.2293,-7.2293
29.4697,7.2593,7.2436,7.2436,-7.2436
29.7640,7.2789,7.2570,7.2570,-7.2570
30.0613,7.2894,7.2694,7.2694,-7.2694
30.3616,7.2994,7.2810,7.2810,-7.2810
30.6649,7.3000,7.2918,7.2918,-7.2918
30.9712,7.3094,7.3018,7.3018,-7.3018
31.2806,7.3100,7.3112,7.3112,-7.3112
31.5930,7.3195,7.3201,7.3201,-7.3201
31.9086,7.3293,7.3283,7.3283,-7.3283
32.2273,7.3396,7.3358,7.3358,-7.3358
32.5492,7.3494,7.3426,7.3426,-7.3426
32.8744,7.3500,7.3487,7.3487,-7.3487
33.2027,7.3595,7.3544,7.3544,-7.3544
33.5344,7.3695,7.3594,7.3594,-7.3594
33.8694,7.3794,7.3639,7.3639,-7.3639
34.2077,7.3800,7.3677,7.3677,-7.3677
34.5494,7.3800,7.3707,7.3707,-7.3707
34.8945,7.3893,7.3731,7.3731,-7.3731
35.2430,7.3808,7.3746,7.3746,-7.3746
35.5951,7.3800,7.3754,7.3754,-7.3754
35.9506,7.3800,7.3756,7.3756,-7.3756
36.3097,7.3800,7.3753,7.3753,-7.3753
36.6724,7.3800,7.3744,7.3744,-7.3744
37.0387,7.3800,7.3731,7.3731,-7.3731
37.4087,7.3800,7.3714,7.3714,-7.3714
37.7824,7.3707,7.3693,7.3693,-7.3693
38.1598,7.3700,7.3671,7.3671,-7.3671
38.5409,7.3608,7.3649,7.3649,-7.3649
38.9259,7.3600,7.3626,7.3626,-7.3626
39.3147,7.3600,7.3604,7.3604,-7.3604
39.7074,7.3508,7.3582,7.3582,-7.3582
40.1041,7.3500,7.3560,7.3560,-7.3560
40.5046,7.3500,7.3537,7.3537,-7.3537
40.9092,7.3500,7.3512,7.3512,-7.3512
41.3179,7.3500,7.3485,7.3485,-7.3485
41.7306,7.3500,7.3453,7.3453,-7.3453
42.1474,7.3500,7.3416,7.3416,-7.3416
42.5684,7.3500,7.3374,7.3374,-7.3374
42.9936,7.3500,7.3323,7.3323,-7.3323
43.4231,7.3409,7.3264,7.3264,-7.3264
43.8568,7.3400,7.3196,7.3196,-7.3196
44.2949,7.3308,7.3119,7.3119,-7.3119
44.7374,7.3209,7.3032,7.3032,-7.3032
45.1842,7.3020,7.2937,7.2937,-7.2937
45.6356,7.2910,7.2834,7.2834,-7.2834
46.0914,7.2717,7.2724,7.2724,-7.2724
46.5518,7.2610,7.2609,7.2609,-7.2609
47.0168,7.2509,7.2489,7.2489,-7.2489
47.4864,7.2319,7.2365,7.2365,-7.2365
47.9608,7.2210,7.2239,7.2239,-7.2239
48.4398,7.2110,7.2111,7.2111,-7.2111
48.9237,7.2010,7.1981,7.1981,-7.1981
