frequency,raw,smoothed,error,equalization
20.0000,11.8800,11.9762,11.9762,-11.9762
20.1998,11.9100,11.9873,11.9873,-11.9873
20.4015,11.9302,11.9999,11.9999,-11.9999
20.6053,11.9593,12.0138,12.0138,-12.0138
20.8112,11.9902,12.0288,12.0288,-12.0288
21.0190,12.0199,12.0446,12.0446,-12.0446
21.2290,12.0499,12.0614,12.0614,-12.0614
21.4410,12.0701,12.0789,12.0789,-12.0789
21.6552,12.0896,12.0974,12.0974,-12.0974
21.8715,12.1201,12.1170,12.1170,-12.1170
22.0900,12.1400,12.1379,12.1379,-12.1379
22.3106,12.1601,12.1601,12.1601,-12.1601
22.5335,12.1892,12.1831,12.1831,-12.1831
22.7586,12.2099,12.2055,12.2055,-12.2055
22.9859,12.2296,12.2271,12.2271,-12.2271
23.2155,12.2594,12.2478,12.2478,-12.2478
23.4474,12.2798,12.2676,12.2676,-12.2676
23.6816,12.2993,12.2864,12.2864,-12.2864
23.9182,12.3198,12.3042,12.3042,-12.3042
24.1571,12.3398,12.3209,12.3209,-12.3209
24.3984,12.3599,12.3365,12.3365,-12.3365
24.6421,12.3697,12.3508,12.3508,-12.3508
24.8882,12.3799,12.3639,12.3639,-12.3639
25.1368,12.3899,12.3760,12.3760,-12.3760
25.3879,12.3999,12.3869,12.3869,-12.3869
25.6415,12.4000,12.3969,12.3969,-12.3969
25.8976,12.4095,12.4061,12.4061,-12.4061
26.1563,12.4199,12.4145,12.4145,-12.4145
26.4176,12.4295,12.4221,12.4221,-12.4221
26.6815,12.4300,12.4289,12.4289,-12.4289
26.9480,12.4396,12.4352,12.4352,-12.4352
27.2172,12.4495,12.4408,12.4408,-12.4408
27.4890,12.4500,12.4458,12.4458,-12.4458
27.7636,12.4598,12.4503,12.4503,-12.4503
28.0409,12.4600,12.4542,12.4542,-12.4542
28.3210,12.4697,12.4575,12.4575,-12.4575
28.6039,12.4700,12.4601,12.4601,-12.4601
28.8896,12.4700,12.4620,12.4620,-12.4620
29.1782,12.4700,12.4632,12.4632,-12.4632
29.4697,12.4700,12.4637,12.4637,-12.4637
29.7640,12.4700,12.4636,12.4636,-12.4636
30.0613,12.4700,12.4627,12.4627,-12.4627
30.3616,12.4700,12.4611,12.4611,-12.4611
30.6649,12.4700,12.4588,12.4588,-12.4588
30.9712,12.4606,12.4559,12.4559,-12.4559
31.2806,12.4600,12.4522,12.4522,-12.4522
31.5930,12.4600,12.4479,12.4479,-12.4479
31.9086,12.4507,12.4428,12.4428,-12.4428
32.2273,12.4404,12.4370,12.4370,-12.4370
32.5492,12.4400,12.4306,12.4306,-12.4306
32.8744,12.4305,12.4235,12.4235,-12.4235
33.2027,12.4205,12.4157,12.4157,-12.4157
33.5344,12.4105,12.4074,12.4074,-12.4074
33.8694,12.4100,12.3986,12.3986,-12.3986
34.2077,12.4007,12.3892,12.3892,-12.3892
34.5494,12.3906,12.3794,12.3794,-12.3794
34.8945,12.3715,12.3690,12.3690,-12.3690
35.2430,12.3608,12.3584,12.3584,-12.3584
35.5951,12.3507,12.3475,12.3475,-12.3475
35.9506,12.3311,12.3362,12.3362,-12.3362
36.3097,12.3206,12.3246,12.3246,-12.3246
36.6724,12.3107,12.3125,12.3125,-12.3125
37.0387,12.3006,12.3000,12.3000,-12.3000
37.4087,12.2906,12.2867,12.2867,-12.2867
37.7824,12.2807,12.2726,12.2726,-12.2726
38.1598,12.2708,12.2574,12.2574,-12.2574
38.5409,12.2608,12.2410,12.2410,-12.2410
38.9259,12.2506,12.2232,12.2232,-12.2232
39.3147,12.2313,12.2040,12.2040,-12.2040
39.7074,12.2116,12.1832,12.1832,-12.1832
40.1041,12.1918,12.1607,12.1607,-12.1607
40.5046,12.1627,12.1367,12.1367,-12.1367
40.9092,12.1323,12.1110,12.1110,-12.1110
41.3179,12.1024,12.0839,12.0839,-12.0839
41.7306,12.0629,12.0554,12.0554,-12.0554
42.1474,12.0323,12.0258,12.0258,-12.0258
42.5684,11.9930,11.9951,11.9951,-11.9951
42.9936,11.9625,11.9637,11.9637,-11.9637
43.4231,11.9326,11.9317,11.9317,-11.9317
43.8568,11.9029,11.8990,11.8990,-11.8990
44.2949,11.8724,11.8658,11.8658,-11.8658
44.7374,11.8338,11.8322,11.8322,-11.8322
45.1842,11.8031,11.7981,11.7981,-11.7981
45.6356,11.7730,11.7638,11.7638,-11.7638
46.0914,11.7334,11.7290,11.7290,-11.7290
46.5518,11.7031,11.6939,11.6939,-11.6939
47.0168,11.6638,11.6584,11.6584,-11.6584
47.4864,11.6237,11.6225,11.6225,-11.6225
47.9608,11.5931,11.5861,11.5861,-11.5861
48.4398,11.5542,11.5492,11.5492,-11.5492
48.9237,11.5139,11.5117,11.5117,-11.5117
