frequency,raw,smoothed,error,equalization
20.0000,8.2900,8.4077,8.4077,-8.4077
20.1998,8.3300,8.4207,8.4207,-8.4207
20.4015,8.3603,8.4358,8.4358,-8.4358
20.6053,8.3991,8.4526,8.4526,-8.4526
20.8112,8.4302,8.4709,8.4709,-8.4709
21.0190,8.4599,8.4908,8.4908,-8.4908
21.2290,8.4799,8.5123,8.5123,-8.5123
21.4410,8.5101,8.5358,8.5358,-8.5358
21.6552,8.5393,8.5612,8.5612,-8.5612
21.8715,8.5603,8.5889,8.5889,-8.5889
22.0900,8.6000,8.6193,8.6193,-8.6193
22.3106,8.6301,8.6524,8.6524,-8.6524
22.5335,8.6689,8.6878,8.6878,-8.6878
22.7586,8.7097,8.7235,8.7235,-8.7235
22.9859,8.7591,8.7594,8.7594,-8.7594
23.2155,8.7992,8.7952,8.7952,-8.7952
23.4474,8.8494,8.8309,8.8309,-8.8309
23.6816,8.8886,8.8661,8.8661,-8.8661
23.9182,8.9198,8.9005,8.9005,-8.9005
24.1571,8.9595,8.9343,8.9343,-8.9343
24.3984,8.9898,8.9671,8.9671,-8.9671
24.6421,9.0094,8.9989,8.9989,-8.9989
24.8882,9.0398,9.0298,9.0298,-9.0298
25.1368,9.0696,9.0598,9.0598,-9.0598
25.3879,9.0898,9.0889,9.0889,-9.0889
25.6415,9.1190,9.1172,9.1172,-9.1172
25.8976,9.1486,9.1448,9.1448,-9.1448
26.1563,9.1697,9.1717,9.1717,-9.1717
26.4176,9.1986,9.1982,9.1982,-9.1982
26.6815,9.2290,9.2241,9.2241,-9.2241
26.9480,9.2587,9.2496,9.2496,-9.2496
27.2172,9.2790,9.2744,9.2744,-9.2744
27.4890,9.3088,9.2988,9.2988,-9.2988
27.7636,9.3295,9.3225,9.3225,-9.3225
28.0409,9.3590,9.3456,9.3456,-9.3456
28.3210,9.3794,9.3679,9.3679,-9.3679
28.6039,9.3989,9.3896,9.3896,-9.3896
28.8896,9.4193,9.4107,9.4107,-9.4107
29.1782,9.4392,9.4312,9.4312,-9.4312
29.4697,9.4593,9.4512,9.4512,-9.4512
29.7640,9.4789,9.4707,9.4707,-9.4707
30.0613,9.4894,9.4897,9.4897,-9.4897
30.3616,9.5088,9.5085,9.5085,-9.5085
30.6649,9.5290,9.5270,9.5270,-9.5270
30.9712,9.5394,9.5452,9.5452,-9.5452
31.2806,9.5587,9.5631,9.5631,-9.5631
31.5930,9.5789,9.5809,9.5809,-9.5809
31.9086,9.5987,9.5986,9.5986,-9.5986
32.2273,9.6192,9.6159,9.6159,-9.6159
32.5492,9.6387,9.6329,9.6329,-9.6329
32.8744,9.6590,9.6495,9.6495,-9.6495
33.2027,9.6790,9.6656,9.6656,-9.6656
33.5344,9.6895,9.6812,9.6812,-9.6812
33.8694,9.7088,9.6962,9.6962,-9.6962
34.2077,9.7193,9.7106,9.7106,-9.7106
34.5494,9.7294,9.7244,9.7244,-9.7244
34.8945,9.7393,9.7376,9.7376,-9.7376
35.2430,9.7585,9.7502,9.7502,-9.7502
35.5951,9.7693,9.7621,9.7621,-9.7621
35.9506,9.7794,9.7733,9.7733,-9.7733
36.3097,9.7894,9.7839,9.7839,-9.7839
36.6724,9.7993,9.7938,9.7938,-9.7938
37.0387,9.8094,9.8032,9.8032,-9.8032
37.4087,9.8194,9.8121,9.8121,-9.8121
37.7824,9.8293,9.8204,9.8204,-9.8204
38.1598,9.8392,9.8282,9.8282,-9.8282
38.5409,9.8400,9.8355,9.8355,-9.8355
38.9259,9.8494,9.8424,9.8424,-9.8424
39.3147,9.8500,9.8487,9.8487,-9.8487
39.7074,9.8592,9.8548,9.8548,-9.8548
40.1041,9.8600,9.8604,9.8604,-9.8604
40.5046,9.8691,9.8659,9.8659,-9.8659
40.9092,9.8700,9.8709,9.8709,-9.8709
41.3179,9.8792,9.8758,9.8758,-9.8758
41.7306,9.8800,9.8802,9.8802,-9.8802
42.1474,9.8892,9.8843,9.8843,-9.8843
42.5684,9.8900,9.8880,9.8880,-9.8880
42.9936,9.8992,9.8912,9.8912,-9.8912
43.4231,9.9000,9.8940,9.8940,-9.8940
43.8568,9.9000,9.8963,9.8963,-9.8963
44.2949,9.9092,9.8981,9.8981,-9.8981
44.7374,9.9100,9.8993,9.8993,-9.8993
45.1842,9.9100,9.8999,9.8999,-9.8999
45.6356,9.9100,9.8997,9.8997,-9.8997
46.0914,9.9100,9.8989,9.8989,-9.8989
46.5518,9.9010,9.8974,9.8974,-9.8974
47.0168,9.9000,9.8952,9.8952,-9.8952
47.4864,9.9000,9.8925,9.8925,-9.8925
47.9608,9.8910,9.8891,9.8891,-9.8891
48.4398,9.8900,9.8852,9.8852,-9.8852
48.9237,9.8900,9.8808,9.8808,-9.8808
49.4124,9.8810,9.8757,9.8757,-9.8757
49.9059,9.8800,9.8701,9.8701,-9.8701
50.4044,9.8711,9.8640,9.8640,-9.8640
50.9079,9.8610,9.8575,9.8575,-9.8575
51.4164,9.8511,9.8506,9.8506,-9.8506
51.9300,9.8500,9.8434,9.8434,-9.8434
52.4487,9.8412,9.8357,9.8357,-9.8357
52.9726,9.8311,9.8276,9.8276,-9.8276
53.5018,9.8211,9.8191,9.8191,-9.8191
54.0362,9.8112,9.8103,9.8103,-9.8103
54.5759,9.8012,9.8010,9.8010,-9.8010
55.1211,9.7911,9.7914,9.7914,-9.7914
55.6717,9.7900,9.7815,9.7815,-9.7815
56.2278,9.7811,9.7711,9.7711,-9.7711
56.7894,9.7712,9.7601,9.7601,-9.7601
57.3567,9.7523,9.7485,9.7485,-9.7485
57.9296,9.7412,9.7363,9.7363,-9.7363
58.5082,9.7312,9.7235,9.7235,-9.7235
59.0927,9.7212,9.7101,9.7101,-9.7101
59.6829,9.7026,9.6961,9.6961,-9.6961
60.2791,9.6912,9.6815,9.6815,-9.6815
60.8812,9.6726,9.6662,9.6662,-9.6662
61.4893,9.6613,9.6504,9.6504,-9.6504
62.1035,9.6425,9.6338,9.6338,-9.6338
62.7239,9.6225,9.6165,9.6165,-9.6165
63.3504,9.6025,9.5988,9.5988,-9.5988
63.9832,9.5827,9.5807,9.5807,-9.5807
64.6223,9.5627,9.5622,9.5622,-9.5622
65.2678,9.5426,9.5433,9.5433,-9.5433
65.9198,9.5314,9.5240,9.5240,-9.5240
66.5782,9.5128,9.5043,9.5043,-9.5043
67.2433,9.4926,9.4842,9.4842,-9.4842
67.9149,9.4642,9.4636,9.4636,-9.4636
68.5933,9.4428,9.4426,9.4426,-9.4426
69.2785,9.4227,9.4213,9.4213,-9.4213
69.9705,9.4028,9.3997,9.3997,-9.3997
70.6694,9.3829,9.3776,9.3776,-9.3776
71.3753,9.3629,9.3551,9.3551,-9.3551
72.0883,9.3429,9.3321,9.3321,-9.3321
72.8083,9.3142,9.3085,9.3085,-9.3085
73.5356,9.2929,9.2844,9.2844,-9.2844
74.2701,9.2645,9.2598,9.2598,-9.2598
75.0120,9.2429,9.2347,9.2347,-9.2347
75.7613,9.2143,9.2092,9.2092,-9.2092
76.5180,9.1844,9.1832,9.1832,-9.1832
77.2824,9.1631,9.1568,9.1568,-9.1568
78.0543,9.1345,9.1300,9.1300,-9.1300
78.8340,9.1045,9.1027,9.1027,-9.1027
79.6214,9.0745,9.0750,9.0750,-9.0750
80.4168,9.0531,9.0470,9.0470,-9.0470
81.2200,9.0248,9.0185,9.0185,-9.0185
82.0313,8.9948,8.9897,8.9897,-8.9897
82.8507,8.9647,8.9604,8.9604,-8.9604
83.6783,8.9348,8.9308,8.9308,-8.9308
84.5141,8.9049,8.9007,8.9007,-8.9007
85.3583,8.8750,8.8702,8.8702,-8.8702
86.2109,8.8449,8.8392,8.8392,-8.8392
87.0721,8.8151,8.8078,8.8078,-8.8078
87.9418,8.7851,8.7758,8.7758,-8.7758
88.8203,8.7468,8.7433,8.7433,-8.7433
89.7075,8.7151,8.7103,8.7103,-8.7103
90.6035,8.6852,8.6768,8.6768,-8.6768
91.5085,8.6467,8.6428,8.6428,-8.6428
92.4226,8.6151,8.6084,8.6084,-8.6084
93.3458,8.5771,8.5735,8.5735,-8.5735
94.2782,8.5452,8.5382,8.5382,-8.5382
95.2199,8.5072,8.5024,8.5024,-8.5024
96.1711,8.4671,8.4662,8.4662,-8.4662
97.1317,8.4353,8.4296,8.4296,-8.4296
98.1019,8.3973,8.3926,8.3926,-8.3926
99.0818,8.3573,8.3552,8.3552,-8.3552
100.0715,8.3172,8.3175,8.3175,-8.3175
101.0711,8.2854,8.2794,8.2794,-8.2794
102.0807,8.2474,8.2409,8.2409,-8.2409
103.1004,8.2074,8.2019,8.2019,-8.2019
104.1302,8.1674,8.1625,8.1625,-8.1625
105.1703,8.1276,8.1226,8.1226,-8.1226
106.2209,8.0876,8.0823,8.0823,-8.0823
107.2819,8.0475,8.0415,8.0415,-8.0415
108.3535,8.0076,8.0003,8.0003,-8.0003
109.4358,7.9676,7.9586,7.9586,-7.9586
110.5289,7.9196,7.9165,7.9165,-7.9165
111.6330,7.8778,7.8739,7.8739,-7.8739
112.7481,7.8379,7.8310,7.8310,-7.8310
113.8743,7.7900,7.7876,7.7876,-7.7876
115.0118,7.7480,7.7438,7.7438,-7.7438
116.1606,7.7000,7.6996,7.6996,-7.6996
117.3209,7.6579,7.6551,7.6551,-7.6551
118.4928,7.6101,7.6102,7.6102,-7.6102
119.6764,7.5682,7.5649,7.5649,-7.5649
120.8718,7.5283,7.5192,7.5192,-7.5192
122.0792,7.4804,7.4731,7.4731,-7.4731
123.2986,7.4303,7.4266,7.4266,-7.4266
124.5302,7.3884,7.3798,7.3798,-7.3798
125.7741,7.3403,7.3326,7.3326,-7.3326
127.0304,7.2903,7.2850,7.2850,-7.2850
128.2993,7.2406,7.2370,7.2370,-7.2370
129.5808,7.1905,7.1886,7.1886,-7.1886
130.8752,7.1406,7.1398,7.1398,-7.1398
132.1825,7.0906,7.0906,7.0906,-7.0906
133.5028,7.0408,7.0411,7.0411,-7.0411
134.8363,6.9907,6.9912,6.9912,-6.9912
136.1832,6.9487,6.9410,6.9410,-6.9410
137.5435,6.9009,6.8904,6.8904,-6.8904
138.9174,6.8510,6.8393,6.8393,-6.8393
140.3050,6.7932,6.7878,6.7878,-6.7878
141.7065,6.7411,6.7358,6.7358,-6.7358
143.1220,6.6912,6.6835,6.6835,-6.6835
144.5516,6.6334,6.6308,6.6308,-6.6308
145.9955,6.5812,6.5778,6.5778,-6.5778
147.4538,6.5234,6.5244,6.5244,-6.5244
148.9267,6.4713,6.4708,6.4708,-6.4708
150.4143,6.4213,6.4169,6.4169,-6.4169
151.9167,6.3636,6.3627,6.3627,-6.3627
153.4342,6.3114,6.3084,6.3084,-6.3084
154.9668,6.2538,6.2539,6.2539,-6.2539
156.5147,6.2017,6.1993,6.1993,-6.1993
158.0781,6.1439,6.1447,6.1447,-6.1447
159.6571,6.0917,6.0900,6.0900,-6.0900
161.2519,6.0342,6.0353,6.0353,-6.0353
162.8626,5.9817,5.9807,5.9807,-5.9807
164.4894,5.9243,5.9261,5.9261,-5.9261
166.1324,5.8720,5.8715,5.8715,-5.8715
167.7919,5.8144,5.8171,5.8171,-5.8171
169.4679,5.7620,5.7629,5.7629,-5.7629
171.1607,5.7044,5.7088,5.7088,-5.7088
172.8704,5.6522,5.6551,5.6551,-5.6551
174.5972,5.5947,5.6017,5.6017,-5.6017
176.3412,5.5423,5.5487,5.5487,-5.5487
178.1026,5.4924,5.4963,5.4963,-5.4963
179.8816,5.4423,5.4444,5.4444,-5.4444
181.6784,5.3850,5.3931,5.3931,-5.3931
