frequency,raw,smoothed,error,equalization
20.0000,1.5600,1.6109,1.6109,-1.6109
20.1998,1.5800,1.6166,1.6166,-1.6166
20.4015,1.5901,1.6236,1.6236,-1.6236
20.6053,1.6096,1.6321,1.6321,-1.6321
20.8112,1.6301,1.6417,1.6417,-1.6417
21.0190,1.6400,1.6522,1.6522,-1.6522
21.2290,1.6400,1.6634,1.6634,-1.6634
21.4410,1.6500,1.6755,1.6755,-1.6755
21.6552,1.6500,1.6887,1.6887,-1.6887
21.8715,1.6601,1.7032,1.7032,-1.7032
22.0900,1.6800,1.7191,1.7191,-1.7191
22.3106,1.7201,1.7365,1.7365,-1.7365
22.5335,1.7589,1.7549,1.7549,-1.7549
22.7586,1.8097,1.7730,1.7730,-1.7730
22.9859,1.8493,1.7903,1.7903,-1.7903
23.2155,1.8500,1.8064,1.8064,-1.8064
23.4474,1.8500,1.8215,1.8215,-1.8215
23.6816,1.8500,1.8359,1.8359,-1.8359
23.9182,1.8500,1.8499,1.8499,-1.8499
24.1571,1.8599,1.8636,1.8636,-1.8636
24.3984,1.8699,1.8772,1.8772,-1.8772
24.6421,1.8797,1.8904,1.8904,-1.8904
24.8882,1.8899,1.9033,1.9033,-1.9033
25.1368,1.9097,1.9160,1.9160,-1.9160
25.3879,1.9199,1.9285,1.9285,-1.9285
25.6415,1.9297,1.9413,1.9413,-1.9413
25.8976,1.9395,1.9546,1.9546,-1.9546
26.1563,1.9597,1.9686,1.9686,-1.9686
26.4176,1.9791,1.9831,1.9831,-1.9831
26.6815,2.0090,1.9977,1.9977,-1.9977
26.9480,2.0387,2.0121,2.0121,-2.0121
27.2172,2.0400,2.0258,2.0258,-2.0258
27.4890,2.0496,2.0388,2.0388,-2.0388
27.7636,2.0500,2.0511,2.0511,-2.0511
28.0409,2.0500,2.0629,2.0629,-2.0629
28.3210,2.0790,2.0742,2.0742,-2.0742
28.6039,2.0989,2.0849,2.0849,-2.0849
28.8896,2.1193,2.0950,2.0950,-2.0950
29.1782,2.1296,2.1046,2.1046,-2.1046
29.4697,2.1300,2.1140,2.1140,-2.1140
29.7640,2.1300,2.1236,2.1236,-2.1236
30.0613,2.1300,2.1337,2.1337,-2.1337
30.3616,2.1300,2.1445,2.1445,-2.1445
30.6649,2.1300,2.1560,2.1560,-2.1560
30.9712,2.1300,2.1684,2.1684,-2.1684
31.2806,2.1394,2.1817,2.1817,-2.1817
31.5930,2.1495,2.1957,2.1957,-2.1957
31.9086,2.1687,2.2104,2.2104,-2.2104
32.2273,2.2084,2.2257,2.2257,-2.2257
32.5492,2.2569,2.2411,2.2411,-2.2411
32.8744,2.3076,2.2561,2.2561,-2.2561
33.2027,2.3290,2.2700,2.2700,-2.2700
33.5344,2.3300,2.2823,2.2823,-2.2823
33.8694,2.3300,2.2933,2.2933,-2.2933
34.2077,2.3300,2.3028,2.3028,-2.3028
34.5494,2.3300,2.3111,2.3111,-2.3111
34.8945,2.3300,2.3184,2.3184,-2.3184
35.2430,2.3300,2.3250,2.3250,-2.3250
35.5951,2.3300,2.3308,2.3308,-2.3308
35.9506,2.3300,2.3361,2.3361,-2.3361
36.3097,2.3300,2.3409,2.3409,-2.3409
36.6724,2.3300,2.3456,2.3456,-2.3456
37.0387,2.3300,2.3506,2.3506,-2.3506
37.4087,2.3300,2.3561,2.3561,-2.3561
37.7824,2.3300,2.3623,2.3623,-2.3623
38.1598,2.3484,2.3692,2.3692,-2.3692
38.5409,2.3777,2.3765,2.3765,-2.3765
38.9259,2.4175,2.3837,2.3837,-2.3837
39.3147,2.4200,2.3903,2.3903,-2.3903
39.7074,2.4200,2.3964,2.3964,-2.3964
40.1041,2.4200,2.4022,2.4022,-2.4022
40.5046,2.4200,2.4080,2.4080,-2.4080
40.9092,2.4200,2.4139,2.4139,-2.4139
41.3179,2.4200,2.4198,2.4198,-2.4198
41.7306,2.4200,2.4258,2.4258,-2.4258
42.1474,2.4200,2.4320,2.4320,-2.4320
42.5684,2.4200,2.4384,2.4384,-2.4384
42.9936,2.4200,2.4455,2.4455,-2.4455
43.4231,2.4200,2.4536,2.4536,-2.4536
43.8568,2.4200,2.4628,2.4628,-2.4628
44.2949,2.4476,2.4735,2.4735,-2.4735
44.7374,2.4953,2.4851,2.4851,-2.4851
45.1842,2.5180,2.4971,2.4971,-2.4971
45.6356,2.5200,2.5089,2.5089,-2.5089
46.0914,2.5200,2.5208,2.5208,-2.5208
46.5518,2.5200,2.5325,2.5325,-2.5325
47.0168,2.5291,2.5442,2.5442,-2.5442
47.4864,2.5663,2.5556,2.5556,-2.5556
47.9608,2.6059,2.5663,2.5663,-2.5663
48.4398,2.6100,2.5757,2.5757,-2.5757
48.9237,2.6100,2.5836,2.5836,-2.5836
49.4124,2.6100,2.5902,2.5902,-2.5902
49.9059,2.6100,2.5954,2.5954,-2.5954
50.4044,2.6100,2.5996,2.5996,-2.5996
50.9079,2.6100,2.6029,2.6029,-2.6029
51.4164,2.6100,2.6056,2.6056,-2.6056
51.9300,2.6100,2.6077,2.6077,-2.6077
52.4487,2.6100,2.6090,2.6090,-2.6090
52.9726,2.6100,2.6097,2.6097,-2.6097
53.5018,2.6100,2.6100,2.6100,-2.6100
54.0362,2.6100,2.6100,2.6100,-2.6100
54.5759,2.6100,2.6100,2.6100,-2.6100
55.1211,2.6100,2.6100,2.6100,-2.6100
55.6717,2.6100,2.6100,2.6100,-2.6100
56.2278,2.6100,2.6100,2.6100,-2.6100
56.7894,2.6100,2.6100,2.6100,-2.6100
57.3567,2.6100,2.6100,2.6100,-2.6100
57.9296,2.6100,2.6100,2.6100,-2.6100
58.5082,2.6100,2.6100,2.6100,-2.6100
59.0927,2.6100,2.6100,2.6100,-2.6100
59.6829,2.6100,2.6100,2.6100,-2.6100
60.2791,2.6100,2.6100,2.6100,-2.6100
60.8812,2.6100,2.6100,2.6100,-2.6100
61.4893,2.6100,2.6100,2.6100,-2.6100
62.1035,2.6100,2.6100,2.6100,-2.6100
62.7239,2.6100,2.6100,2.6100,-2.6100
63.3504,2.6100,2.6100,2.6100,-2.6100
63.9832,2.6100,2.6100,2.6100,-2.6100
64.6223,2.6100,2.6100,2.6100,-2.6100
65.2678,2.6100,2.6100,2.6100,-2.6100
65.9198,2.6100,2.6100,2.6100,-2.6100
66.5782,2.6100,2.6100,2.6100,-2.6100
67.2433,2.6100,2.6100,2.6100,-2.6100
67.9149,2.6100,2.6100,2.6100,-2.6100
68.5933,2.6100,2.6100,2.6100,-2.6100
69.2785,2.6100,2.6100,2.6100,-2.6100
69.9705,2.6100,2.6100,2.6100,-2.6100
70.6694,2.6100,2.6100,2.6100,-2.6100
71.3753,2.6100,2.6100,2.6100,-2.6100
72.0883,2.6100,2.6100,2.6100,-2.6100
72.8083,2.6100,2.6100,2.6100,-2.6100
73.5356,2.6100,2.6100,2.6100,-2.6100
74.2701,2.6100,2.6100,2.6100,-2.6100
75.0120,2.6100,2.6100,2.6100,-2.6100
75.7613,2.6100,2.6100,2.6100,-2.6100
76.5180,2.6100,2.6100,2.6100,-2.6100
77.2824,2.6100,2.6100,2.6100,-2.6100
78.0543,2.6100,2.6100,2.6100,-2.6100
78.8340,2.6100,2.6100,2.6100,-2.6100
79.6214,2.6100,2.6101,2.6101,-2.6101
80.4168,2.6100,2.6103,2.6103,-2.6103
81.2200,2.6100,2.6106,2.6106,-2.6106
82.0313,2.6100,2.6109,2.6109,-2.6109
82.8507,2.6100,2.6113,2.6113,-2.6113
83.6783,2.6100,2.6118,2.6118,-2.6118
84.5141,2.6100,2.6123,2.6123,-2.6123
85.3583,2.6100,2.6130,2.6130,-2.6130
86.2109,2.6100,2.6137,2.6137,-2.6137
87.0721,2.6100,2.6144,2.6144,-2.6144
87.9418,2.6183,2.6151,2.6151,-2.6151
88.8203,2.6200,2.6156,2.6156,-2.6156
89.7075,2.6200,2.6157,2.6157,-2.6157
90.6035,2.6200,2.6153,2.6153,-2.6153
91.5085,2.6200,2.6143,2.6143,-2.6143
92.4226,2.6200,2.6125,2.6125,-2.6125
93.3458,2.6200,2.6100,2.6100,-2.6100
94.2782,2.6200,2.6065,2.6065,-2.6065
95.2199,2.6200,2.6018,2.6018,-2.6018
96.1711,2.6200,2.5958,2.5958,-2.5958
97.1317,2.6118,2.5882,2.5882,-2.5882
98.1019,2.6018,2.5788,2.5788,-2.5788
99.0818,2.5918,2.5672,2.5672,-2.5672
100.0715,2.5736,2.5534,2.5534,-2.5534
101.0711,2.5536,2.5375,2.5375,-2.5375
102.0807,2.5419,2.5198,2.5198,-2.5198
103.1004,2.5319,2.5005,2.5005,-2.5005
104.1302,2.5137,2.4797,2.4797,-2.4797
105.1703,2.4857,2.4577,2.4577,-2.4577
106.2209,2.4638,2.4349,2.4349,-2.4349
107.2819,2.4356,2.4117,2.4117,-2.4117
108.3535,2.4138,2.3886,2.3886,-2.3886
109.4358,2.3370,2.3659,2.3659,-2.3659
110.5289,2.2715,2.3447,2.3447,-2.3447
111.6330,2.2520,2.3261,2.3261,-2.3261
112.7481,2.2500,2.3101,2.3101,-2.3101
113.8743,2.2420,2.2969,2.2969,-2.2969
115.0118,2.2400,2.2864,2.2864,-2.2864
116.1606,2.2400,2.2787,2.2787,-2.2787
117.3209,2.2480,2.2735,2.2735,-2.2735
118.4928,2.2500,2.2703,2.2703,-2.2703
119.6764,2.2580,2.2687,2.2687,-2.2687
120.8718,2.2600,2.2683,2.2683,-2.2683
122.0792,2.2679,2.2690,2.2690,-2.2690
123.2986,2.2779,2.2704,2.2704,-2.2704
124.5302,2.2879,2.2718,2.2718,-2.2718
125.7741,2.2900,2.2726,2.2726,-2.2726
127.0304,2.2979,2.2728,2.2728,-2.2728
128.2993,2.3158,2.2721,2.2721,-2.2721
129.5808,2.3279,2.2697,2.2697,-2.2697
130.8752,2.2748,2.2652,2.2652,-2.2652
132.1825,2.2442,2.2596,2.2596,-2.2596
133.5028,2.2322,2.2532,2.2532,-2.2532
134.8363,2.2379,2.2465,2.2465,-2.2465
136.1832,2.2400,2.2392,2.2392,-2.2392
137.5435,2.2400,2.2315,2.2315,-2.2315
138.9174,2.2400,2.2233,2.2233,-2.2233
140.3050,2.2400,2.2147,2.2147,-2.2147
141.7065,2.2478,2.2059,2.2059,-2.2059
143.1220,2.2034,2.1967,2.1967,-2.1967
144.5516,2.1434,2.1880,2.1880,-2.1880
145.9955,2.1378,2.1804,2.1804,-2.1804
147.4538,2.1478,2.1736,2.1736,-2.1736
148.9267,2.1500,2.1669,2.1669,-2.1669
150.4143,2.1500,2.1601,2.1601,-2.1601
151.9167,2.1500,2.1531,2.1531,-2.1531
153.4342,2.1500,2.1457,2.1457,-2.1457
154.9668,2.1500,2.1378,2.1378,-2.1378
156.5147,2.1500,2.1289,2.1289,-2.1289
158.0781,2.1500,2.1189,2.1189,-2.1189
159.6571,2.1653,2.1077,2.1077,-2.1077
161.2519,2.1547,2.0953,2.0953,-2.0953
162.8626,2.1041,2.0812,2.0812,-2.0812
164.4894,2.0595,2.0661,2.0661,-2.0661
166.1324,2.0424,2.0507,2.0507,-2.0507
167.7919,2.0400,2.0354,2.0354,-2.0354
169.4679,2.0324,2.0204,2.0204,-2.0204
171.1607,2.0148,2.0058,2.0058,-2.0058
172.8704,1.9571,1.9916,1.9916,-1.9916
174.5972,1.9098,1.9784,1.9784,-1.9784
176.3412,1.9075,1.9664,1.9664,-1.9664
178.1026,1.9100,1.9557,1.9557,-1.9557
179.8816,1.9175,1.9463,1.9463,-1.9463
181.6784,1.9200,1.9383,1.9383,-1.9383
183.4932,1.9275,1.9315,1.9315,-1.9315
185.3261,1.9375,1.9253,1.9253,-1.9253
187.1772,1.9549,1.9194,1.9194,-1.9194
189.0469,1.9824,1.9135,1.9135,-1.9135
190.9352,1.9602,1.9070,1.9070,-1.9070
192.8425,1.9277,1.9003,1.9003,-1.9003
194.7687,1.8681,1.8935,1.8935,-1.8935
196.7142,1.8278,1.8869,1.8869,-1.8869
198.6792,1.8348,1.8800,1.8800,-1.8800
200.6637,1.8548,1.8724,1.8724,-1.8724
202.6681,1.8600,1.8636,1.8636,-1.8636
204.6925,1.8600,1.8538,1.8538,-1.8538
206.7371,1.8600,1.8428,1.8428,-1.8428
208.8022,1.8600,1.8310,1.8310,-1.8310
210.8879,1.8600,1.8183,1.8183,-1.8183
212.9944,1.8600,1.8052,1.8052,-1.8052
215.1219,1.8527,1.7914,1.7914,-1.7914
217.2707,1.8646,1.7766,1.7766,-1.7766
219.4410,1.7824,1.7601,1.7601,-1.7601
221.6329,1.6771,1.7428,1.7428,-1.7428
223.8468,1.6427,1.7259,1.7259,-1.7259
226.0827,1.6473,1.7103,1.7103,-1.7103
228.3410,1.6500,1.6961,1.6961,-1.6961
230.6219,1.6573,1.6832,1.6832,-1.6832
232.9255,1.6672,1.6710,1.6710,-1.6710
235.2521,1.6772,1.6594,1.6594,-1.6594
237.6020,1.6800,1.6482,1.6482,-1.6482
239.9754,1.6512,1.6375,1.6375,-1.6375
242.3724,1.6112,1.6273,1.6273,-1.6273
244.7934,1.5857,1.6179,1.6179,-1.6179
247.2386,1.5872,1.6092,1.6092,-1.6092
249.7082,1.6043,1.6004,1.6004,-1.6004
252.2025,1.6171,1.5903,1.5903,-1.5903
254.7217,1.6271,1.5783,1.5783,-1.5783
257.2661,1.6015,1.5644,1.5644,-1.5644
259.8358,1.5402,1.5493,1.5493,-1.5493
262.4313,1.5413,1.5341,1.5341,-1.5341
265.0527,1.5783,1.5187,1.5187,-1.5187
267.7002,1.5476,1.5019,1.5019,-1.5019
270.3742,1.4876,1.4835,1.4835,-1.4835
