frequency,raw,smoothed,error,equalization
20.0000,5.0500,5.0703,5.0703,-5.0703
20.1998,5.0700,5.0704,5.0704,-5.0704
20.4015,5.0801,5.0708,5.0708,-5.0708
20.6053,5.0898,5.0713,5.0713,-5.0713
20.8112,5.0800,5.0718,5.0718,-5.0718
21.0190,5.0800,5.0727,5.0727,-5.0727
21.2290,5.0700,5.0741,5.0741,-5.0741
21.4410,5.0600,5.0761,5.0761,-5.0761
21.6552,5.0600,5.0789,5.0789,-5.0789
21.8715,5.0501,5.0824,5.0824,-5.0824
22.0900,5.0600,5.0866,5.0866,-5.0866
22.3106,5.0601,5.0915,5.0915,-5.0915
22.5335,5.0794,5.0967,5.0967,-5.0967
22.7586,5.0999,5.1019,5.1019,-5.1019
22.9859,5.1098,5.1066,5.1066,-5.1066
23.2155,5.1296,5.1108,5.1108,-5.1108
23.4474,5.1498,5.1141,5.1141,-5.1141
23.6816,5.1597,5.1160,5.1160,-5.1160
23.9182,5.1600,5.1163,5.1163,-5.1163
24.1571,5.1600,5.1148,5.1148,-5.1148
24.3984,5.1501,5.1115,5.1115,-5.1115
24.6421,5.1306,5.1063,5.1063,-5.1063
24.8882,5.1101,5.0993,5.0993,-5.0993
25.1368,5.1001,5.0907,5.0907,-5.0907
25.3879,5.0802,5.0806,5.0806,-5.0806
25.6415,5.0703,5.0694,5.0694,-5.0694
25.8976,5.0510,5.0570,5.0570,-5.0570
26.1563,5.0401,5.0438,5.0438,-5.0438
26.4176,5.0400,5.0299,5.0299,-5.0299
26.6815,5.0207,5.0154,5.0154,-5.0154
26.9480,5.0104,5.0005,5.0005,-5.0005
27.2172,5.0005,4.9853,4.9853,-4.9853
27.4890,4.9808,4.9697,4.9697,-4.9697
27.7636,4.9605,4.9539,4.9539,-4.9539
28.0409,4.9406,4.9378,4.9378,-4.9378
28.3210,4.9206,4.9214,4.9214,-4.9214
28.6039,4.9011,4.9046,4.9046,-4.9046
28.8896,4.8807,4.8871,4.8871,-4.8871
29.1782,4.8704,4.8689,4.8689,-4.8689
29.4697,4.8507,4.8496,4.8496,-4.8496
29.7640,4.8311,4.8293,4.8293,-4.8293
30.0613,4.8206,4.8081,4.8081,-4.8081
30.3616,4.8106,4.7860,4.7860,-4.7860
30.6649,4.8005,4.7630,4.7630,-4.7630
30.9712,4.7718,4.7390,4.7390,-4.7390
31.2806,4.7513,4.7143,4.7143,-4.7143
31.5930,4.7216,4.6889,4.6889,-4.6889
31.9086,4.6733,4.6628,4.6628,-4.6628
32.2273,4.6220,4.6363,4.6363,-4.6363
32.5492,4.5731,4.6098,4.6098,-4.6098
32.8744,4.5415,4.5835,4.5835,-4.5835
33.2027,4.5210,4.5575,4.5575,-4.5575
33.5344,4.5009,4.5317,4.5317,-4.5317
33.8694,4.4906,4.5058,4.5058,-4.5058
34.2077,4.4900,4.4800,4.4800,-4.4800
34.5494,4.4806,4.4537,4.4537,-4.4537
34.8945,4.4615,4.4270,4.4270,-4.4270
35.2430,4.4415,4.3997,4.3997,-4.3997
35.5951,4.4121,4.3716,4.3716,-4.3716
