frequency,raw,smoothed,error,equalization
20.0000,16.9600,16.9303,16.9303,-16.9303
20.1998,16.9600,16.9244,16.9244,-16.9244
20.4015,16.9500,16.9173,16.9173,-16.9173
20.6053,16.9500,16.9092,16.9092,-16.9092
20.8112,16.9399,16.8997,16.8997,-16.8997
21.0190,16.9201,16.8890,16.8890,-16.8890
21.2290,16.9001,16.8770,16.8770,-16.8770
21.4410,16.8899,16.8636,16.8636,-16.8636
21.6552,16.8704,16.8488,16.8488,-16.8488
21.8715,16.8499,16.8324,16.8324,-16.8324
22.0900,16.8300,16.8143,16.8143,-16.8143
22.3106,16.7999,16.7943,16.7943,-16.7943
22.5335,16.7806,16.7729,16.7729,-16.7729
22.7586,16.7601,16.7509,16.7509,-16.7509
22.9859,16.7305,16.7284,16.7284,-16.7284
23.2155,16.7104,16.7059,16.7059,-16.7059
23.4474,16.6803,16.6833,16.6833,-16.6833
23.6816,16.6510,16.6610,16.6610,-16.6610
23.9182,16.6302,16.6390,16.6390,-16.6390
24.1571,16.6004,16.6175,16.6175,-16.6175
24.3984,16.5801,16.5965,16.5965,-16.5965
24.6421,16.5606,16.5761,16.5761,-16.5761
24.8882,16.5401,16.5564,16.5564,-16.5564
25.1368,16.5301,16.5373,16.5373,-16.5373
25.3879,16.5201,16.5187,16.5187,-16.5187
25.6415,16.5007,16.5003,16.5003,-16.5003
25.8976,16.4905,16.4822,16.4822,-16.4822
26.1563,16.4703,16.4642,16.4642,-16.4642
26.4176,16.4509,16.4461,16.4461,-16.4461
26.6815,16.4307,16.4277,16.4277,-16.4277
26.9480,16.4109,16.4089,16.4089,-16.4089
27.2172,16.3910,16.3896,16.3896,-16.3896
27.4890,16.3708,16.3695,16.3695,-16.3695
27.7636,16.3602,16.3487,16.3487,-16.3487
28.0409,16.3406,16.3268,16.3268,-16.3268
28.3210,16.3206,16.3038,16.3038,-16.3038
28.6039,16.3011,16.2797,16.2797,-16.2797
28.8896,16.2807,16.2544,16.2544,-16.2544
29.1782,16.2512,16.2279,16.2279,-16.2279
29.4697,16.2211,16.2003,16.2003,-16.2003
29.7640,16.1821,16.1715,16.1715,-16.1715
30.0613,16.1519,16.1417,16.1417,-16.1417
30.3616,16.1125,16.1110,16.1110,-16.1110
30.6649,16.0815,16.0795,16.0795,-16.0795
30.9712,16.0518,16.0473,16.0473,-16.0473
31.2806,16.0125,16.0144,16.0144,-16.0144
31.5930,15.9816,15.9811,15.9811,-15.9811
31.9086,15.9520,15.9473,15.9473,-15.9473
32.2273,15.9212,15.9131,15.9131,-15.9131
32.5492,15.8825,15.8783,15.8783,-15.8783
32.8744,15.8515,15.8432,15.8432,-15.8432
33.2027,15.8121,15.8076,15.8076,-15.8076
33.5344,15.7719,15.7714,15.7714,-15.7714
33.8694,15.7418,15.7344,15.7344,-15.7344
34.2077,15.7026,15.6965,15.6965,-15.6965
34.5494,15.6718,15.6573,15.6573,-15.6573
34.8945,15.6329,15.6165,15.6165,-15.6165
35.2430,15.5931,15.5740,15.5740,-15.5740
35.5951,15.5529,15.5298,15.5298,-15.5298
35.9506,15.5122,15.4840,15.4840,-15.4840
36.3097,15.4723,15.4369,15.4369,-15.4369
36.6724,15.4237,15.3887,15.3887,-15.3887
37.0387,15.3730,15.3398,15.3398,-15.3398
37.4087,15.3135,15.2907,15.2907,-15.2907
37.7824,15.2544,15.2417,15.2417,-15.2417
38.1598,15.1856,15.1935,15.1935,-15.1935
38.5409,15.1061,15.1465,15.1465,-15.1465
38.9259,15.0344,15.1016,15.1016,-15.1016
39.3147,14.9739,15.0592,15.0592,-15.0592
39.7074,14.9333,15.0198,15.0198,-15.0198
40.1041,14.9118,14.9834,14.9834,-14.9834
40.5046,14.9009,14.9498,14.9498,-14.9498
40.9092,14.8908,14.9185,14.9185,-14.9185
41.3179,14.8808,14.8890,14.8890,-14.8890
41.7306,14.8707,14.8609,14.8609,-14.8609
42.1474,14.8516,14.8334,14.8334,-14.8334
42.5684,14.8315,14.8061,14.8061,-14.8061
42.9936,14.8117,14.7785,14.7785,-14.7785
43.4231,14.7826,14.7500,14.7500,-14.7500
43.8568,14.7529,14.7201,14.7201,-14.7201
44.2949,14.7133,14.6884,14.6884,-14.6884
44.7374,14.6828,14.6547,14.6547,-14.6547
45.1842,14.6441,14.6189,14.6189,-14.6189
45.6356,14.6040,14.5811,14.5811,-14.5811
46.0914,14.5634,14.5414,14.5414,-14.5414
46.5518,14.5151,14.4999,14.4999,-14.4999
47.0168,14.4647,14.4569,14.4569,-14.4569
47.4864,14.4237,14.4128,14.4128,-14.4128
47.9608,14.3751,14.3675,14.3675,-14.3675
48.4398,14.3252,14.3213,14.3213,-14.3213
48.9237,14.2748,14.2742,14.2742,-14.2742
49.4124,14.2339,14.2265,14.2265,-14.2265
49.9059,14.1854,14.1779,14.1779,-14.1779
50.4044,14.1356,14.1284,14.1284,-14.1284
50.9079,14.0852,14.0783,14.0783,-14.0783
51.4164,14.0353,14.0273,14.0273,-14.0273
51.9300,13.9858,13.9757,13.9757,-13.9757
52.4487,13.9359,13.9232,13.9232,-13.9232
52.9726,13.8855,13.8699,13.8699,-13.8699
53.5018,13.8266,13.8157,13.8157,-13.8157
54.0362,13.7759,13.7606,13.7606,-13.7606
54.5759,13.7171,13.7048,13.7048,-13.7048
55.1211,13.6565,13.6481,13.6481,-13.6481
55.6717,13.5973,13.5907,13.5907,-13.5907
56.2278,13.5368,13.5328,13.5328,-13.5328
56.7894,13.4774,13.4744,13.4744,-13.4744
57.3567,13.4168,13.4155,13.4155,-13.4155
57.9296,13.3573,13.3562,13.3562,-13.3562
58.5082,13.2974,13.2965,13.2965,-13.2965
59.0927,13.2370,13.2364,13.2364,-13.2364
59.6829,13.1777,13.1759,13.1759,-13.1759
60.2791,13.1172,13.1152,13.1152,-13.1152
60.8812,13.0578,13.0541,13.0541,-13.0541
61.4893,12.9979,12.9926,12.9926,-12.9926
62.1035,12.9375,12.9308,12.9308,-12.9308
62.7239,12.8774,12.8686,12.8686,-12.8686
63.3504,12.8176,12.8059,12.8059,-12.8059
63.9832,12.7495,12.7428,12.7428,-12.7428
64.6223,12.6882,12.6793,12.6793,-12.6793
65.2678,12.6190,12.6153,12.6153,-12.6153
65.9198,12.5496,12.5511,12.5511,-12.5511
66.5782,12.4883,12.4866,12.4866,-12.4866
67.2433,12.4192,12.4219,12.4219,-12.4219
67.9149,12.3584,12.3571,12.3571,-12.3571
68.5933,12.2900,12.2921,12.2921,-12.2921
69.2785,12.2281,12.2270,12.2270,-12.2270
69.9705,12.1600,12.1617,12.1617,-12.1617
70.6694,12.0986,12.0962,12.0962,-12.0962
71.3753,12.0303,12.0306,12.0306,-12.0306
72.0883,11.9686,11.9648,11.9648,-11.9648
72.8083,11.8999,11.8986,11.8986,-11.8986
73.5356,11.8386,11.8322,11.8322,-11.8322
74.2701,11.7704,11.7651,11.7651,-11.7651
75.0120,11.7088,11.6974,11.6974,-11.6974
75.7613,11.6401,11.6288,11.6288,-11.6288
76.5180,11.5703,11.5592,11.5592,-11.5592
77.2824,11.5007,11.4883,11.4883,-11.4883
78.0543,11.4305,11.4161,11.4161,-11.4161
78.8340,11.3604,11.3422,11.3422,-11.3422
79.6214,11.2905,11.2665,11.2665,-11.2665
80.4168,11.2123,11.1886,11.1886,-11.1886
81.2200,11.1412,11.1086,11.1086,-11.1086
82.0313,11.0627,11.0260,11.0260,-11.0260
82.8507,10.9742,10.9409,10.9409,-10.9409
83.6783,10.8927,10.8535,10.8535,-10.8535
84.5141,10.8046,10.7638,10.7638,-10.7638
85.3583,10.7067,10.6723,10.6723,-10.6723
86.2109,10.6064,10.5797,10.5797,-10.5797
87.0721,10.5070,10.4873,10.4873,-10.4873
87.9418,10.3987,10.3961,10.3961,-10.3961
88.8203,10.2887,10.3077,10.3077,-10.3077
89.7075,10.1789,10.2239,10.2239,-10.2239
90.6035,10.0774,10.1461,10.1461,-10.1461
91.5085,9.9685,10.0759,10.0759,-10.0759
92.4226,9.8671,10.0146,10.0146,-10.0146
93.3458,9.7759,9.9634,9.9634,-9.9634
