frequency,raw,smoothed,error,equalization
20.0000,6.0100,6.0007,6.0007,-6.0007
20.1998,6.0100,5.9983,5.9983,-5.9983
20.4015,6.0100,5.9953,5.9953,-5.9953
20.6053,6.0100,5.9916,5.9916,-5.9916
20.8112,6.0000,5.9871,5.9871,-5.9871
21.0190,6.0000,5.9818,5.9818,-5.9818
21.2290,5.9900,5.9756,5.9756,-5.9756
21.4410,5.9900,5.9684,5.9684,-5.9684
21.6552,5.9802,5.9601,5.9601,-5.9601
21.8715,5.9699,5.9506,5.9506,-5.9506
22.0900,5.9600,5.9398,5.9398,-5.9398
22.3106,5.9400,5.9278,5.9278,-5.9278
22.5335,5.9303,5.9146,5.9146,-5.9146
22.7586,5.9101,5.9007,5.9007,-5.9007
22.9859,5.8904,5.8863,5.8863,-5.8863
23.2155,5.8704,5.8717,5.8717,-5.8717
23.4474,5.8502,5.8571,5.8571,-5.8571
23.6816,5.8307,5.8427,5.8427,-5.8427
23.9182,5.8102,5.8288,5.8288,-5.8288
24.1571,5.8001,5.8158,5.8158,-5.8158
24.3984,5.7901,5.8037,5.8037,-5.8037
24.6421,5.7803,5.7925,5.7925,-5.7925
24.8882,5.7701,5.7823,5.7823,-5.7823
25.1368,5.7601,5.7730,5.7730,-5.7730
25.3879,5.7501,5.7644,5.7644,-5.7644
25.6415,5.7403,5.7564,5.7564,-5.7564
25.8976,5.7400,5.7488,5.7488,-5.7488
26.1563,5.7301,5.7415,5.7415,-5.7415
26.4176,5.7300,5.7341,5.7341,-5.7341
26.6815,5.7397,5.7267,5.7267,-5.7267
26.9480,5.7400,5.7190,5.7190,-5.7190
27.2172,5.7400,5.7109,5.7109,-5.7109
27.4890,5.7304,5.7027,5.7027,-5.7027
27.7636,5.7202,5.6944,5.6944,-5.6944
28.0409,5.7006,5.6862,5.6862,-5.6862
28.3210,5.6710,5.6785,5.6785,-5.6785
28.6039,5.6511,5.6717,5.6717,-5.6717
28.8896,5.6307,5.6661,5.6661,-5.6661
29.1782,5.6108,5.6618,5.6618,-5.6618
29.4697,5.6004,5.6590,5.6590,-5.6590
29.7640,5.6095,5.6578,5.6578,-5.6578
30.0613,5.6194,5.6580,5.6580,-5.6580
30.3616,5.6388,5.6592,5.6592,-5.6592
30.6649,5.6590,5.6612,5.6612,-5.6612
30.9712,5.6788,5.6633,5.6633,-5.6633
31.2806,5.6894,5.6651,5.6651,-5.6651
31.5930,5.6995,5.6661,5.6661,-5.6661
31.9086,5.7093,5.6658,5.6658,-5.6658
32.2273,5.7100,5.6637,5.6637,-5.6637
32.5492,5.7006,5.6594,5.6594,-5.6594
32.8744,5.6905,5.6529,5.6529,-5.6529
33.2027,5.6805,5.6438,5.6438,-5.6438
33.5344,5.6609,5.6323,5.6323,-5.6323
33.8694,5.6412,5.6184,5.6184,-5.6184
34.2077,5.6213,5.6026,5.6026,-5.6026
34.5494,5.6012,5.5851,5.5851,-5.5851
34.8945,5.5722,5.5664,5.5664,-5.5664
35.2430,5.5515,5.5470,5.5470,-5.5470
35.5951,5.5221,5.5271,5.5271,-5.5271
35.9506,5.5011,5.5072,5.5072,-5.5072
36.3097,5.4811,5.4872,5.4872,-5.4872
36.6724,5.4522,5.4673,5.4673,-5.4673
37.0387,5.4312,5.4475,5.4475,-5.4475
37.4087,5.4112,5.4277,5.4277,-5.4277
37.7824,5.3915,5.4078,5.4078,-5.4078
38.1598,5.3808,5.3879,5.3879,-5.3879
38.5409,5.3708,5.3676,5.3676,-5.3676
38.9259,5.3700,5.3469,5.3469,-5.3469
39.3147,5.3606,5.3256,5.3256,-5.3256
39.7074,5.3416,5.3033,5.3033,-5.3033
40.1041,5.3218,5.2801,5.2801,-5.2801
40.5046,5.2835,5.2559,5.2559,-5.2559
40.9092,5.2431,5.2309,5.2309,-5.2309
41.3179,5.2031,5.2053,5.2053,-5.2053
41.7306,5.1629,5.1794,5.1794,-5.1794
42.1474,5.1323,5.1534,5.1534,-5.1534
42.5684,5.1023,5.1273,5.1273,-5.1273
42.9936,5.0817,5.1013,5.1013,-5.1013
43.4231,5.0617,5.0753,5.0753,-5.0753
43.8568,5.0510,5.0495,5.0495,-5.0495
44.2949,5.0316,5.0236,5.0236,-5.0236
44.7374,5.0028,4.9977,4.9977,-4.9977
45.1842,4.9820,4.9719,4.9719,-4.9719
