frequency,raw,smoothed,error,equalization
20.0000,9.7300,9.7202,9.7202,-9.7202
20.1998,9.7300,9.7185,9.7185,-9.7185
20.4015,9.7200,9.7163,9.7163,-9.7163
20.6053,9.7200,9.7139,9.7139,-9.7139
20.8112,9.7200,9.7110,9.7110,-9.7110
21.0190,9.7200,9.7078,9.7078,-9.7078
21.2290,9.7200,9.7040,9.7040,-9.7040
21.4410,9.7100,9.6997,9.6997,-9.6997
21.6552,9.7100,9.6949,9.6949,-9.6949
21.8715,9.6999,9.6894,9.6894,-9.6894
22.0900,9.6900,9.6832,9.6832,-9.6832
22.3106,9.6800,9.6765,9.6765,-9.6765
22.5335,9.6703,9.6694,9.6694,-9.6694
22.7586,9.6601,9.6621,9.6621,-9.6621
22.9859,9.6502,9.6548,9.6548,-9.6548
23.2155,9.6402,9.6475,9.6475,-9.6475
23.4474,9.6400,9.6405,9.6405,-9.6405
23.6816,9.6303,9.6337,9.6337,-9.6337
23.9182,9.6201,9.6272,9.6272,-9.6272
24.1571,9.6101,9.6213,9.6213,-9.6213
24.3984,9.6100,9.6158,9.6158,-9.6158
24.6421,9.6003,9.6107,9.6107,-9.6107
24.8882,9.6000,9.6062,9.6062,-9.6062
25.1368,9.6000,9.6021,9.6021,-9.6021
25.3879,9.5901,9.5983,9.5983,-9.5983
25.6415,9.5900,9.5949,9.5949,-9.5949
25.8976,9.5900,9.5920,9.5920,-9.5920
26.1563,9.5900,9.5893,9.5893,-9.5893
26.4176,9.5900,9.5867,9.5867,-9.5867
26.6815,9.5900,9.5841,9.5841,-9.5841
26.9480,9.5804,9.5812,9.5812,-9.5812
27.2172,9.5800,9.5779,9.5779,-9.5779
27.4890,9.5704,9.5736,9.5736,-9.5736
27.7636,9.5700,9.5684,9.5684,-9.5684
28.0409,9.5700,9.5619,9.5619,-9.5619
28.3210,9.5700,9.5537,9.5537,-9.5537
28.6039,9.5794,9.5438,9.5438,-9.5438
28.8896,9.5704,9.5316,9.5316,-9.5316
29.1782,9.5700,9.5170,9.5170,-9.5170
29.4697,9.5507,9.4999,9.4999,-9.4999
29.7640,9.5311,9.4804,9.4804,-9.4804
30.0613,9.5019,9.4585,9.4585,-9.4585
30.3616,9.4625,9.4346,9.4346,-9.4346
30.6649,9.4220,9.4091,9.4091,-9.4091
30.9712,9.3824,9.3822,9.3822,-9.3822
31.2806,9.3519,9.3546,9.3546,-9.3546
31.5930,9.3122,9.3264,9.3264,-9.3264
31.9086,9.2820,9.2980,9.2980,-9.2980
32.2273,9.2512,9.2699,9.2699,-9.2699
32.5492,9.2219,9.2423,9.2423,-9.2423
32.8744,9.2010,9.2156,9.2156,-9.2156
33.2027,9.1716,9.1899,9.1899,-9.1899
33.5344,9.1509,9.1653,9.1653,-9.1653
33.8694,9.1312,9.1418,9.1418,-9.1418
34.2077,9.1113,9.1193,9.1193,-9.1193
34.5494,9.0912,9.0978,9.0978,-9.0978
34.8945,9.0715,9.0772,9.0772,-9.0772
35.2430,9.0515,9.0574,9.0574,-9.0574
35.5951,9.0314,9.0384,9.0384,-9.0384
35.9506,9.0111,9.0202,9.0202,-9.0202
36.3097,9.0006,9.0025,9.0025,-9.0025
36.6724,8.9815,8.9851,8.9851,-8.9851
37.0387,8.9612,8.9677,8.9677,-8.9677
37.4087,8.9412,8.9502,8.9502,-8.9502
37.7824,8.9307,8.9321,8.9321,-8.9321
38.1598,8.9116,8.9132,8.9132,-8.9132
38.5409,8.9008,8.8932,8.8932,-8.8932
38.9259,8.8906,8.8718,8.8718,-8.8718
39.3147,8.8806,8.8489,8.8489,-8.8489
39.7074,8.8708,8.8241,8.8241,-8.8241
40.1041,8.8518,8.7972,8.7972,-8.7972
40.5046,8.8227,8.7681,8.7681,-8.7681
40.9092,8.7831,8.7370,8.7370,-8.7370
41.3179,8.7339,8.7040,8.7040,-8.7040
41.7306,8.6836,8.6694,8.6694,-8.6694
42.1474,8.6339,8.6336,8.6336,-8.6336
42.5684,8.5838,8.5969,8.5969,-8.5969
42.9936,8.5342,8.5597,8.5597,-8.5597
43.4231,8.5026,8.5223,8.5223,-8.5223
43.8568,8.4729,8.4848,8.4848,-8.4848
44.2949,8.4333,8.4474,8.4474,-8.4474
44.7374,8.4028,8.4102,8.4102,-8.4102
45.1842,8.3731,8.3733,8.3733,-8.3733
45.6356,8.3430,8.3367,8.3367,-8.3367
46.0914,8.3034,8.3003,8.3003,-8.3003
46.5518,8.2731,8.2642,8.2642,-8.2642
47.0168,8.2338,8.2280,8.2280,-8.2280
47.4864,8.1937,8.1917,8.1917,-8.1917
47.9608,8.1631,8.1553,8.1553,-8.1553
48.4398,8.1242,8.1185,8.1185,-8.1185
48.9237,8.0839,8.0811,8.0811,-8.0811
49.4124,8.0439,8.0433,8.0433,-8.0433
49.9059,8.0043,8.0051,8.0051,-8.0051
50.4044,7.9733,7.9664,7.9664,-7.9664
50.9079,7.9342,7.9271,7.9271,-7.9271
51.4164,7.8942,7.8873,7.8873,-7.8873
51.9300,7.8546,7.8470,7.8470,-7.8470
52.4487,7.8147,7.8061,7.8061,-7.8061
52.9726,7.7744,7.7646,7.7646,-7.7646
53.5018,7.7344,7.7225,7.7225,-7.7225
54.0362,7.6859,7.6797,7.6797,-7.6797
54.5759,7.6447,7.6365,7.6365,-7.6365
55.1211,7.5955,7.5927,7.5927,-7.5927
55.6717,7.5549,7.5484,7.5484,-7.5484
56.2278,7.5057,7.5035,7.5035,-7.5035
56.7894,7.4650,7.4582,7.4582,-7.4582
57.3567,7.4157,7.4123,7.4123,-7.4123
57.9296,7.3661,7.3661,7.3661,-7.3661
58.5082,7.3249,7.3195,7.3195,-7.3195
59.0927,7.2758,7.2725,7.2725,-7.2725
59.6829,7.2264,7.2251,7.2251,-7.2251
60.2791,7.1848,7.1774,7.1774,-7.1774
60.8812,7.1365,7.1293,7.1293,-7.1293
61.4893,7.0866,7.0807,7.0807,-7.0807
62.1035,7.0363,7.0316,7.0316,-7.0316
62.7239,6.9861,6.9821,6.9821,-6.9821
63.3504,6.9363,6.9323,6.9323,-6.9323
63.9832,6.8868,6.8820,6.8820,-6.8820
64.6223,6.8369,6.8314,6.8314,-6.8314
65.2678,6.7864,6.7804,6.7804,-6.7804
65.9198,6.7368,6.7290,6.7290,-6.7290
66.5782,6.6783,6.6771,6.6771,-6.6771
67.2433,6.6266,6.6250,6.6250,-6.6250
67.9149,6.5770,6.5725,6.5725,-6.5725
68.5933,6.5185,6.5198,6.5198,-6.5198
69.2785,6.4667,6.4670,6.4670,-6.4670
69.9705,6.4171,6.4139,6.4139,-6.4139
70.6694,6.3672,6.3606,6.3606,-6.3606
71.3753,6.3088,6.3070,6.3070,-6.3070
72.0883,6.2572,6.2532,6.2532,-6.2532
72.8083,6.1985,6.1993,6.1993,-6.1993
73.5356,6.1472,6.1452,6.1452,-6.1452
74.2701,6.0889,6.0911,6.0911,-6.0911
75.0120,6.0373,6.0369,6.0369,-6.0369
75.7613,5.9872,5.9826,5.9826,-5.9826
76.5180,5.9288,5.9281,5.9281,-5.9281
