frequency,raw,smoothed,error,equalization
20.0000,6.0700,6.0527,6.0527,-6.0527
20.1998,6.0600,6.0505,6.0505,-6.0505
20.4015,6.0600,6.0481,6.0481,-6.0481
20.6053,6.0600,6.0454,6.0454,-6.0454
20.8112,6.0500,6.0424,6.0424,-6.0424
21.0190,6.0500,6.0391,6.0391,-6.0391
21.2290,6.0400,6.0355,6.0355,-6.0355
21.4410,6.0400,6.0316,6.0316,-6.0316
21.6552,6.0302,6.0273,6.0273,-6.0273
21.8715,6.0200,6.0227,6.0227,-6.0227
22.0900,6.0200,6.0177,6.0177,-6.0177
22.3106,6.0100,6.0121,6.0121,-6.0121
22.5335,6.0100,6.0061,6.0061,-6.0061
22.7586,6.0001,5.9998,5.9998,-5.9998
22.9859,6.0000,5.9931,5.9931,-5.9931
23.2155,5.9902,5.9859,5.9859,-5.9859
23.4474,5.9801,5.9784,5.9784,-5.9784
23.6816,5.9800,5.9704,5.9704,-5.9704
23.9182,5.9701,5.9619,5.9619,-5.9619
24.1571,5.9601,5.9529,5.9529,-5.9529
24.3984,5.9600,5.9434,5.9434,-5.9434
24.6421,5.9406,5.9332,5.9332,-5.9332
24.8882,5.9301,5.9223,5.9223,-5.9223
25.1368,5.9201,5.9107,5.9107,-5.9107
25.3879,5.9002,5.8982,5.8982,-5.8982
25.6415,5.8903,5.8848,5.8848,-5.8848
25.8976,5.8710,5.8704,5.8704,-5.8704
26.1563,5.8601,5.8552,5.8552,-5.8552
26.4176,5.8505,5.8392,5.8392,-5.8392
26.6815,5.8403,5.8225,5.8225,-5.8225
26.9480,5.8304,5.8052,5.8052,-5.8052
27.2172,5.8110,5.7875,5.7875,-5.7875
27.4890,5.7908,5.7695,5.7695,-5.7695
27.7636,5.7607,5.7515,5.7515,-5.7515
28.0409,5.7310,5.7337,5.7337,-5.7337
28.3210,5.6913,5.7165,5.7165,-5.7165
28.6039,5.6617,5.7004,5.7004,-5.7004
28.8896,5.6407,5.6856,5.6856,-5.6856
29.1782,5.6304,5.6726,5.6726,-5.6726
29.4697,5.6204,5.6613,5.6613,-5.6613
29.7640,5.6295,5.6519,5.6519,-5.6519
30.0613,5.6300,5.6444,5.6444,-5.6444
30.3616,5.6300,5.6384,5.6384,-5.6384
30.6649,5.6300,5.6341,5.6341,-5.6341
30.9712,5.6206,5.6312,5.6312,-5.6312
31.2806,5.6200,5.6296,5.6296,-5.6296
31.5930,5.6105,5.6289,5.6289,-5.6289
31.9086,5.6100,5.6289,5.6289,-5.6289
32.2273,5.6196,5.6290,5.6290,-5.6290
32.5492,5.6294,5.6284,5.6284,-5.6284
32.8744,5.6395,5.6266,5.6266,-5.6266
33.2027,5.6495,5.6225,5.6225,-5.6225
33.5344,5.6500,5.6155,5.6155,-5.6155
33.8694,5.6500,5.6048,5.6048,-5.6048
34.2077,5.6500,5.5899,5.5899,-5.5899
34.5494,5.6500,5.5706,5.5706,-5.5706
34.8945,5.6315,5.5467,5.5467,-5.5467
35.2430,5.6115,5.5189,5.5189,-5.5189
35.5951,5.5821,5.4880,5.4880,-5.4880
35.9506,5.5328,5.4552,5.4552,-5.4552
36.3097,5.4828,5.4218,5.4218,-5.4218
36.6724,5.4152,5.3887,5.3887,-5.3887
37.0387,5.3253,5.3570,5.3570,-5.3570
37.4087,5.2352,5.3278,5.3278,-5.3278
37.7824,5.1465,5.3019,5.3019,-5.3019
38.1598,5.0756,5.2801,5.2801,-5.2801
38.5409,5.0515,5.2632,5.2632,-5.2632
38.9259,5.0687,5.2512,5.2512,-5.2512
39.3147,5.1355,5.2436,5.2436,-5.2436
39.7074,5.2319,5.2391,5.2391,-5.2391
40.1041,5.3219,5.2361,5.2361,-5.2361
40.5046,5.3938,5.2331,5.2331,-5.2331
40.9092,5.4000,5.2286,5.2286,-5.2286
41.3179,5.3724,5.2221,5.2221,-5.2221
41.7306,5.3143,5.2134,5.2134,-5.2134
42.1474,5.2454,5.2026,5.2026,-5.2026
42.5684,5.1845,5.1900,5.1900,-5.1900
42.9936,5.1342,5.1758,5.1758,-5.1758
43.4231,5.1026,5.1600,5.1600,-5.1600
43.8568,5.0820,5.1429,5.1429,-5.1429
44.2949,5.0708,5.1247,5.1247,-5.1247
44.7374,5.0700,5.1060,5.1060,-5.1060
45.1842,5.0700,5.0872,5.0872,-5.0872
45.6356,5.0700,5.0688,5.0688,-5.0688
46.0914,5.0700,5.0507,5.0507,-5.0507
46.5518,5.0700,5.0329,5.0329,-5.0329
47.0168,5.0519,5.0149,5.0149,-5.0149
47.4864,5.0409,4.9963,4.9963,-4.9963
47.9608,5.0131,4.9766,4.9766,-4.9766
48.4398,4.9831,4.9556,4.9556,-4.9556
48.9237,4.9529,4.9333,4.9333,-4.9333
49.4124,4.9139,4.9099,4.9099,-4.9099
49.9059,4.8832,4.8855,4.8855,-4.8855
50.4044,4.8533,4.8605,4.8605,-4.8605
50.9079,4.8231,4.8351,4.8351,-4.8351
51.4164,4.7932,4.8096,4.8096,-4.8096
51.9300,4.7723,4.7842,4.7842,-4.7842
52.4487,4.7524,4.7588,4.7588,-4.7588
52.9726,4.7233,4.7335,4.7335,-4.7335
53.5018,4.7022,4.7084,4.7084,-4.7084
54.0362,4.6824,4.6833,4.6833,-4.6833
54.5759,4.6624,4.6580,4.6580,-4.6580
55.1211,4.6422,4.6323,4.6323,-4.6323
55.6717,4.6224,4.6062,4.6062,-4.6062
56.2278,4.6023,4.5793,4.5793,-4.5793
56.7894,4.5737,4.5516,4.5516,-4.5516
57.3567,4.5434,4.5232,4.5232,-4.5232
57.9296,4.5136,4.4941,4.4941,-4.4941
58.5082,4.4749,4.4642,4.4642,-4.4642
59.0927,4.4435,4.4338,4.4338,-4.4338
59.6829,4.3964,4.4030,4.4030,-4.4030
60.2791,4.3636,4.3721,4.3721,-4.3721
60.8812,4.3252,4.3413,4.3413,-4.3413
61.4893,4.2940,4.3107,4.3107,-4.3107
62.1035,4.2638,4.2806,4.2806,-4.2806
62.7239,4.2425,4.2510,4.2510,-4.2510
63.3504,4.2138,4.2219,4.2219,-4.2219
63.9832,4.1927,4.1934,4.1934,-4.1934
64.6223,4.1641,4.1653,4.1653,-4.1653
65.2678,4.1339,4.1377,4.1377,-4.1377
65.9198,4.1041,4.1105,4.1105,-4.1105
66.5782,4.0828,4.0837,4.0837,-4.0837
67.2433,4.0539,4.0573,4.0573,-4.0573
67.9149,4.0328,4.0309,4.0309,-4.0309
68.5933,4.0043,4.0044,4.0044,-4.0044
69.2785,3.9827,3.9777,3.9777,-3.9777
69.9705,3.9543,3.9504,3.9504,-3.9504
70.6694,3.9243,3.9225,3.9225,-3.9225
71.3753,3.9029,3.8938,3.8938,-3.8938
72.0883,3.8743,3.8643,3.8643,-3.8643
72.8083,3.8442,3.8339,3.8339,-3.8339
73.5356,3.8229,3.8026,3.8026,-3.8026
74.2701,3.7945,3.7704,3.7704,-3.7704
75.0120,3.7644,3.7372,3.7372,-3.7372
75.7613,3.7258,3.7031,3.7031,-3.7031
76.5180,3.6859,3.6684,3.6684,-3.6684
77.2824,3.6376,3.6334,3.6334,-3.6334
78.0543,3.5960,3.5982,3.5982,-3.5982
78.8340,3.5474,3.5631,3.5631,-3.5631
79.6214,3.5060,3.5285,3.5285,-3.5285
80.4168,3.4662,3.4944,3.4944,-3.4944
81.2200,3.4348,3.4610,3.4610,-3.4610
82.0313,3.4048,3.4283,3.4283,-3.4283
82.8507,3.3832,3.3962,3.3962,-3.3962
83.6783,3.3548,3.3645,3.3645,-3.3645
84.5141,3.3332,3.3330,3.3330,-3.3330
85.3583,3.3133,3.3014,3.3014,-3.3014
86.2109,3.2849,3.2694,3.2694,-3.2694
87.0721,3.2551,3.2367,3.2367,-3.2367
87.9418,3.2251,3.2032,3.2032,-3.2032
88.8203,3.1951,3.1685,3.1685,-3.1685
89.7075,3.1569,3.1325,3.1325,-3.1325
90.6035,3.1252,3.0951,3.0951,-3.0951
91.5085,3.0784,3.0561,3.0561,-3.0561
92.4226,3.0368,3.0157,3.0157,-3.0157
93.3458,2.9888,2.9740,2.9740,-2.9740
94.2782,2.9387,2.9311,2.9311,-2.9311
95.2199,2.8890,2.8872,2.8872,-2.8872
96.1711,2.8389,2.8425,2.8425,-2.8425
97.1317,2.7970,2.7973,2.7973,-2.7973
98.1019,2.7491,2.7516,2.7516,-2.7516
99.0818,2.7073,2.7055,2.7055,-2.7055
100.0715,2.6590,2.6592,2.6592,-2.6592
101.0711,2.6172,2.6127,2.6127,-2.6127
102.0807,2.5693,2.5661,2.5661,-2.5661
103.1004,2.5193,2.5193,2.5193,-2.5193
104.1302,2.4774,2.4724,2.4724,-2.4724
105.1703,2.4295,2.4251,2.4251,-2.4251
106.2209,2.3795,2.3775,2.3775,-2.3775
107.2819,2.3293,2.3292,2.3292,-2.3292
108.3535,2.2796,2.2803,2.2803,-2.2803
109.4358,2.2376,2.2306,2.2306,-2.2306
110.5289,2.1896,2.1801,2.1801,-2.1801
111.6330,2.1478,2.1287,2.1287,-2.1287
112.7481,2.0999,2.0762,2.0762,-2.0762
113.8743,2.0500,2.0225,2.0225,-2.0225
115.0118,1.9920,1.9676,1.9676,-1.9676
116.1606,1.9320,1.9114,1.9114,-1.9114
117.3209,1.8719,1.8539,1.8539,-1.8539
118.4928,1.8041,1.7949,1.7949,-1.7949
119.6764,1.7343,1.7347,1.7347,-1.7347
120.8718,1.6724,1.6732,1.6732,-1.6732
122.0792,1.6124,1.6105,1.6105,-1.6105
123.2986,1.5603,1.5470,1.5470,-1.5470
124.5302,1.5026,1.4828,1.4828,-1.4828
125.7741,1.4424,1.4185,1.4185,-1.4185
127.0304,1.3744,1.3546,1.3546,-1.3546
128.2993,1.3048,1.2920,1.2920,-1.2920
129.5808,1.2268,1.2317,1.2317,-1.2317
130.8752,1.1469,1.1748,1.1748,-1.1748
132.1825,1.0669,1.1222,1.1222,-1.1222
133.5028,0.9873,1.0750,1.0750,-1.0750
134.8363,0.9149,1.0338,1.0338,-1.0338
136.1832,0.8609,0.9995,0.9995,-0.9995
137.5435,0.8265,0.9723,0.9723,-0.9723
138.9174,0.8044,0.9522,0.9522,-0.9522
140.3050,0.8078,0.9391,0.9391,-0.9391
141.7065,0.8256,0.9321,0.9321,-0.9321
