frequency,raw,smoothed,error,equalization
20.0000,10.1600,10.2536,10.2536,-10.2536
20.1998,10.1900,10.2656,10.2656,-10.2656
20.4015,10.1903,10.2791,10.2791,-10.2791
20.6053,10.2291,10.2944,10.2944,-10.2944
20.8112,10.2801,10.3110,10.3110,-10.3110
21.0190,10.2900,10.3283,10.3283,-10.3283
21.2290,10.3199,10.3467,10.3467,-10.3467
21.4410,10.3501,10.3661,10.3661,-10.3661
21.6552,10.3793,10.3866,10.3866,-10.3866
21.8715,10.4201,10.4083,10.4083,-10.4083
22.0900,10.4400,10.4311,10.4311,-10.4311
22.3106,10.4601,10.4555,10.4555,-10.4555
22.5335,10.4989,10.4808,10.4808,-10.4808
22.7586,10.5099,10.5055,10.5055,-10.5055
22.9859,10.5395,10.5296,10.5296,-10.5296
23.2155,10.5596,10.5531,10.5531,-10.5531
23.4474,10.5798,10.5760,10.5760,-10.5760
23.6816,10.5993,10.5984,10.5984,-10.5984
23.9182,10.6198,10.6205,10.6205,-10.6205
24.1571,10.6496,10.6420,10.6420,-10.6420
24.3984,10.6599,10.6630,10.6630,-10.6630
24.6421,10.6987,10.6836,10.6836,-10.6836
24.8882,10.7000,10.7036,10.7036,-10.7036
25.1368,10.7395,10.7232,10.7232,-10.7232
25.3879,10.7400,10.7423,10.7423,-10.7423
25.6415,10.7690,10.7611,10.7611,-10.7611
25.8976,10.7890,10.7792,10.7792,-10.7792
26.1563,10.7900,10.7968,10.7968,-10.7968
26.4176,10.8377,10.8141,10.8141,-10.8141
26.6815,10.8400,10.8307,10.8307,-10.8307
26.9480,10.8400,10.8465,10.8465,-10.8465
27.2172,10.8781,10.8619,10.8619,-10.8619
27.4890,10.8800,10.8765,10.8765,-10.8765
27.7636,10.8800,10.8906,10.8906,-10.8906
28.0409,10.9284,10.9044,10.9044,-10.9044
28.3210,10.9300,10.9173,10.9173,-10.9173
28.6039,10.9300,10.9295,10.9295,-10.9295
28.8896,10.9300,10.9410,10.9410,-10.9410
29.1782,10.9780,10.9521,10.9521,-10.9521
29.4697,10.9800,10.9620,10.9620,-10.9620
29.7640,10.9800,10.9712,10.9712,-10.9712
30.0613,10.9800,10.9799,10.9799,-10.9799
30.3616,10.9800,10.9882,10.9882,-10.9882
30.6649,11.0180,10.9962,10.9962,-10.9962
30.9712,11.0200,11.0036,11.0036,-11.0036
31.2806,11.0200,11.0103,11.0103,-11.0103
31.5930,11.0200,11.0165,11.0165,-11.0165
31.9086,11.0200,11.0224,11.0224,-11.0224
32.2273,11.0200,11.0281,11.0281,-11.0281
32.5492,11.0200,11.0334,11.0334,-11.0334
32.8744,11.0200,11.0385,11.0385,-11.0385
33.2027,11.0484,11.0437,11.0437,-11.0437
33.5344,11.0691,11.0486,11.0486,-11.0486
33.8694,11.0700,11.0528,11.0528,-11.0528
34.2077,11.0700,11.0564,11.0564,-11.0564
34.5494,11.0700,11.0594,11.0594,-11.0594
34.8945,11.0700,11.0620,11.0620,-11.0620
35.2430,11.0700,11.0642,11.0642,-11.0642
35.5951,11.0700,11.0661,11.0661,-11.0661
35.9506,11.0700,11.0676,11.0676,-11.0676
36.3097,11.0700,11.0687,11.0687,-11.0687
36.6724,11.0700,11.0695,11.0695,-11.0695
37.0387,11.0700,11.0699,11.0699,-11.0699
37.4087,11.0700,11.0698,11.0698,-11.0698
37.7824,11.0700,11.0693,11.0693,-11.0693
38.1598,11.0700,11.0685,11.0685,-11.0685
38.5409,11.0700,11.0672,11.0672,-11.0672
38.9259,11.0700,11.0656,11.0656,-11.0656
39.3147,11.0700,11.0636,11.0636,-11.0636
39.7074,11.0700,11.0612,11.0612,-11.0612
40.1041,11.0700,11.0582,11.0582,-11.0582
40.5046,11.0700,11.0545,11.0545,-11.0545
40.9092,11.0700,11.0501,11.0501,-11.0501
41.3179,11.0700,11.0451,11.0451,-11.0451
41.7306,11.0329,11.0392,11.0392,-11.0392
42.1474,11.0208,11.0329,11.0329,-11.0329
42.5684,11.0200,11.0262,11.0262,-11.0262
42.9936,11.0200,11.0192,11.0192,-11.0192
43.4231,11.0200,11.0118,11.0118,-11.0118
43.8568,11.0200,11.0037,11.0037,-11.0037
44.2949,11.0016,10.9949,10.9949,-10.9949
44.7374,10.9819,10.9856,10.9856,-10.9856
45.1842,10.9800,10.9759,10.9759,-10.9759
45.6356,10.9800,10.9659,10.9659,-10.9659
46.0914,10.9800,10.9553,10.9553,-10.9553
46.5518,10.9351,10.9440,10.9440,-10.9440
47.0168,10.9300,10.9325,10.9325,-10.9325
47.4864,10.9300,10.9205,10.9205,-10.9205
47.9608,10.9300,10.9078,10.9078,-10.9078
48.4398,10.8852,10.8943,10.8943,-10.8943
48.9237,10.8800,10.8805,10.8805,-10.8805
49.4124,10.8800,10.8664,10.8664,-10.8664
49.9059,10.8532,10.8518,10.8518,-10.8518
50.4044,10.8411,10.8368,10.8368,-10.8368
50.9079,10.8400,10.8212,10.8212,-10.8212
51.4164,10.7953,10.8051,10.8051,-10.8051
51.9300,10.7900,10.7888,10.7888,-10.7888
52.4487,10.7900,10.7723,10.7723,-10.7723
52.9726,10.7455,10.7550,10.7550,-10.7550
53.5018,10.7400,10.7375,10.7375,-10.7375
54.0362,10.7312,10.7198,10.7198,-10.7198
54.5759,10.7036,10.7015,10.7015,-10.7015
55.1211,10.7000,10.6828,10.6828,-10.6828
55.6717,10.6561,10.6634,10.6634,-10.6634
56.2278,10.6500,10.6437,10.6437,-10.6437
56.7894,10.6325,10.6235,10.6235,-10.6235
57.3567,10.6034,10.6028,10.6028,-10.6028
57.9296,10.5912,10.5816,10.5816,-10.5816
58.5082,10.5637,10.5598,10.5598,-10.5598
59.0927,10.5512,10.5375,10.5375,-10.5375
59.6829,10.5151,10.5146,10.5146,-10.5146
60.2791,10.5100,10.4911,10.4911,-10.4911
60.8812,10.4665,10.4669,10.4669,-10.4669
61.4893,10.4513,10.4424,10.4424,-10.4424
62.1035,10.4238,10.4173,10.4173,-10.4173
62.7239,10.3937,10.3918,10.3918,-10.3918
63.3504,10.3725,10.3659,10.3659,-10.3659
63.9832,10.3354,10.3395,10.3395,-10.3395
64.6223,10.3214,10.3128,10.3128,-10.3128
65.2678,10.2851,10.2857,10.2857,-10.2857
65.9198,10.2627,10.2582,10.2582,-10.2582
66.5782,10.2342,10.2303,10.2303,-10.2303
67.2433,10.1953,10.2021,10.2021,-10.2021
67.9149,10.1900,10.1737,10.1737,-10.1737
68.5933,10.1471,10.1446,10.1446,-10.1446
69.2785,10.1227,10.1151,10.1151,-10.1151
69.9705,10.0943,10.0852,10.0852,-10.0852
70.6694,10.0557,10.0547,10.0547,-10.0547
71.3753,10.0329,10.0236,10.0236,-10.0236
72.0883,10.0043,9.9919,9.9919,-9.9919
72.8083,9.9571,9.9594,9.9594,-9.9594
73.5356,9.9329,9.9264,9.9264,-9.9264
74.2701,9.9130,9.8927,9.8927,-9.8927
75.0120,9.8673,9.8581,9.8581,-9.8581
75.7613,9.8258,9.8228,9.8228,-9.8228
76.5180,9.7944,9.7869,9.7869,-9.7869
77.2824,9.7646,9.7504,9.7504,-9.7504
78.0543,9.7260,9.7133,9.7133,-9.7133
78.8340,9.6774,9.6757,9.6757,-9.6757
79.6214,9.6445,9.6378,9.6378,-9.6378
80.4168,9.5977,9.5996,9.5996,-9.5996
