frequency,raw,smoothed,error,equalization
20.0000,11.4500,11.4430,11.4430,-11.4430
20.1998,11.4500,11.4421,11.4421,-11.4421
20.4015,11.4500,11.4413,11.4413,-11.4413
20.6053,11.4500,11.4404,11.4404,-11.4404
20.8112,11.4400,11.4394,11.4394,-11.4394
21.0190,11.4400,11.4386,11.4386,-11.4386
21.2290,11.4300,11.4378,11.4378,-11.4378
21.4410,11.4300,11.4373,11.4373,-11.4373
21.6552,11.4300,11.4369,11.4369,-11.4369
21.8715,11.4300,11.4365,11.4365,-11.4365
22.0900,11.4300,11.4362,11.4362,-11.4362
22.3106,11.4300,11.4359,11.4359,-11.4359
22.5335,11.4397,11.4357,11.4357,-11.4357
22.7586,11.4400,11.4354,11.4354,-11.4354
22.9859,11.4400,11.4349,11.4349,-11.4349
23.2155,11.4400,11.4343,11.4343,-11.4343
23.4474,11.4400,11.4333,11.4333,-11.4333
23.6816,11.4400,11.4322,11.4322,-11.4322
23.9182,11.4400,11.4308,11.4308,-11.4308
24.1571,11.4301,11.4290,11.4290,-11.4290
24.3984,11.4300,11.4272,11.4272,-11.4272
24.6421,11.4300,11.4252,11.4252,-11.4252
24.8882,11.4300,11.4230,11.4230,-11.4230
25.1368,11.4201,11.4205,11.4205,-11.4205
25.3879,11.4101,11.4179,11.4179,-11.4179
25.6415,11.4100,11.4151,11.4151,-11.4151
25.8976,11.4005,11.4122,11.4122,-11.4122
26.1563,11.4000,11.4092,11.4092,-11.4092
26.4176,11.4095,11.4060,11.4060,-11.4060
26.6815,11.4100,11.4023,11.4023,-11.4023
26.9480,11.4100,11.3982,11.3982,-11.3982
27.2172,11.4100,11.3935,11.3935,-11.3935
27.4890,11.4100,11.3883,11.3883,-11.3883
27.7636,11.4002,11.3823,11.3823,-11.3823
28.0409,11.3903,11.3756,11.3756,-11.3756
28.3210,11.3803,11.3684,11.3684,-11.3684
28.6039,11.3611,11.3607,11.3607,-11.3607
28.8896,11.3504,11.3527,11.3527,-11.3527
29.1782,11.3404,11.3443,11.3443,-11.3443
29.4697,11.3304,11.3356,11.3356,-11.3356
29.7640,11.3205,11.3267,11.3267,-11.3267
30.0613,11.3106,11.3175,11.3175,-11.3175
30.3616,11.3100,11.3083,11.3083,-11.3083
30.6649,11.3005,11.2988,11.2988,-11.2988
30.9712,11.2906,11.2892,11.2892,-11.2892
31.2806,11.2806,11.2796,11.2796,-11.2796
31.5930,11.2800,11.2698,11.2698,-11.2698
31.9086,11.2707,11.2597,11.2597,-11.2597
32.2273,11.2604,11.2493,11.2493,-11.2493
32.5492,11.2506,11.2385,11.2385,-11.2385
32.8744,11.2310,11.2272,11.2272,-11.2272
33.2027,11.2110,11.2156,11.2156,-11.2156
33.5344,11.2005,11.2036,11.2036,-11.2036
33.8694,11.1906,11.1914,11.1914,-11.1914
34.2077,11.1807,11.1789,11.1789,-11.1789
34.5494,11.1706,11.1661,11.1661,-11.1661
34.8945,11.1607,11.1529,11.1529,-11.1529
35.2430,11.1415,11.1393,11.1393,-11.1393
35.5951,11.1307,11.1254,11.1254,-11.1254
35.9506,11.1206,11.1112,11.1112,-11.1112
36.3097,11.1011,11.0967,11.0967,-11.0967
36.6724,11.0815,11.0819,11.0819,-11.0819
37.0387,11.0706,11.0668,11.0668,-11.0668
37.4087,11.0512,11.0514,11.0514,-11.0514
37.7824,11.0407,11.0357,11.0357,-11.0357
38.1598,11.0216,11.0196,11.0196,-11.0196
38.5409,11.0108,11.0030,11.0030,-11.0030
38.9259,10.9913,10.9860,10.9860,-10.9860
39.3147,10.9713,10.9686,10.9686,-10.9686
39.7074,10.9516,10.9508,10.9508,-10.9508
40.1041,10.9409,10.9327,10.9327,-10.9327
40.5046,10.9218,10.9141,10.9141,-10.9141
40.9092,10.9015,10.8952,10.8952,-10.8952
41.3179,10.8816,10.8759,10.8759,-10.8759
41.7306,10.8614,10.8562,10.8562,-10.8562
42.1474,10.8416,10.8361,10.8361,-10.8361
42.5684,10.8215,10.8156,10.8156,-10.8156
42.9936,10.7925,10.7946,10.7946,-10.7946
43.4231,10.7717,10.7733,10.7733,-10.7733
43.8568,10.7520,10.7516,10.7516,-10.7516
44.2949,10.7316,10.7296,10.7296,-10.7296
44.7374,10.7119,10.7072,10.7072,-10.7072
45.1842,10.6920,10.6845,10.6845,-10.6845
45.6356,10.6720,10.6613,10.6613,-10.6613
46.0914,10.6517,10.6377,10.6377,-10.6377
46.5518,10.6231,10.6136,10.6136,-10.6136
47.0168,10.5928,10.5891,10.5891,-10.5891
47.4864,10.5628,10.5642,10.5642,-10.5642
47.9608,10.5421,10.5391,10.5391,-10.5391
48.4398,10.5131,10.5135,10.5135,-10.5135
48.9237,10.4829,10.4876,10.4876,-10.4876
49.4124,10.4619,10.4613,10.4613,-10.4613
49.9059,10.4422,10.4346,10.4346,-10.4346
50.4044,10.4133,10.4075,10.4075,-10.4075
50.9079,10.3921,10.3799,10.3799,-10.3799
51.4164,10.3542,10.3518,10.3518,-10.3518
51.9300,10.3323,10.3233,10.3233,-10.3233
52.4487,10.3035,10.2944,10.2944,-10.2944
52.9726,10.2733,10.2650,10.2650,-10.2650
53.5018,10.2433,10.2351,10.2351,-10.2351
54.0362,10.2047,10.2048,10.2048,-10.2048
54.5759,10.1736,10.1740,10.1740,-10.1740
55.1211,10.1522,10.1429,10.1429,-10.1429
55.6717,10.1149,10.1112,10.1112,-10.1112
56.2278,10.0834,10.0792,10.0792,-10.0792
56.7894,10.0450,10.0467,10.0467,-10.0467
57.3567,10.0134,10.0139,10.0139,-10.0139
57.9296,9.9836,9.9807,9.9807,-9.9807
58.5082,9.9537,9.9471,9.9471,-9.9471
59.0927,9.9235,9.9130,9.9130,-9.9130
59.6829,9.8851,9.8783,9.8783,-9.8783
60.2791,9.8536,9.8431,9.8431,-9.8431
60.8812,9.8152,9.8074,9.8074,-9.8074
61.4893,9.7753,9.7711,9.7711,-9.7711
62.1035,9.7438,9.7343,9.7343,-9.7343
62.7239,9.7049,9.6970,9.6970,-9.6970
63.3504,9.6651,9.6591,9.6591,-9.6591
63.9832,9.6254,9.6207,9.6207,-9.6207
64.6223,9.5855,9.5818,9.5818,-9.5818
65.2678,9.5451,9.5424,9.5424,-9.5424
65.9198,9.5055,9.5025,9.5025,-9.5025
66.5782,9.4656,9.4622,9.4622,-9.4622
67.2433,9.4253,9.4214,9.4214,-9.4214
67.9149,9.3856,9.3802,9.3802,-9.3802
68.5933,9.3457,9.3386,9.3386,-9.3386
69.2785,9.3054,9.2965,9.2965,-9.2965
69.9705,9.2571,9.2538,9.2538,-9.2538
70.6694,9.2157,9.2108,9.2108,-9.2108
71.3753,9.1759,9.1673,9.1673,-9.1673
72.0883,9.1272,9.1233,9.1233,-9.1233
72.8083,9.0856,9.0787,9.0787,-9.0787
73.5356,9.0372,9.0337,9.0337,-9.0337
74.2701,8.9959,8.9881,8.9881,-8.9881
75.0120,8.9473,8.9419,8.9419,-8.9419
75.7613,8.8972,8.8953,8.8953,-8.8953
76.5180,8.8559,8.8481,8.8481,-8.8481
77.2824,8.8076,8.8004,8.8004,-8.8004
78.0543,8.7575,8.7521,8.7521,-8.7521
78.8340,8.7159,8.7034,8.7034,-8.7034
79.6214,8.6590,8.6540,8.6540,-8.6540
80.4168,8.6077,8.6041,8.6041,-8.6041
81.2200,8.5580,8.5537,8.5537,-8.5537
82.0313,8.5079,8.5027,8.5027,-8.5027
82.8507,8.4579,8.4511,8.4511,-8.4511
83.6783,8.4079,8.3990,8.3990,-8.3990
84.5141,8.3497,8.3464,8.3464,-8.3464
85.3583,8.2983,8.2933,8.2933,-8.2933
86.2109,8.2482,8.2397,8.2397,-8.2397
87.0721,8.1902,8.1854,8.1854,-8.1854
87.9418,8.1385,8.1306,8.1306,-8.1306
88.8203,8.0885,8.0752,8.0752,-8.0752
89.7075,8.0220,8.0191,8.0191,-8.0191
90.6035,7.9604,7.9625,7.9625,-7.9625
91.5085,7.9084,7.9054,7.9054,-7.9054
92.4226,7.8586,7.8479,7.8479,-7.8479
93.3458,7.8006,7.7898,7.7898,-7.7898
94.2782,7.7404,7.7311,7.7311,-7.7311
95.2199,7.6807,7.6718,7.6718,-7.6718
96.1711,7.6207,7.6119,7.6119,-7.6119
97.1317,7.5523,7.5514,7.5514,-7.5514
98.1019,7.4909,7.4904,7.4904,-7.4904
99.0818,7.4309,7.4288,7.4288,-7.4288
100.0715,7.3708,7.3668,7.3668,-7.3668
101.0711,7.3107,7.3042,7.3042,-7.3042
102.0807,7.2511,7.2410,7.2410,-7.2410
103.1004,7.1912,7.1771,7.1771,-7.1771
104.1302,7.1229,7.1125,7.1125,-7.1125
105.1703,7.0533,7.0473,7.0473,-7.0473
106.2209,6.9914,6.9816,6.9816,-6.9816
107.2819,6.9231,6.9153,6.9153,-6.9153
108.3535,6.8534,6.8486,6.8486,-6.8486
109.4358,6.7832,6.7815,6.7815,-6.7815
110.5289,6.7134,6.7139,6.7139,-6.7139
111.6330,6.6517,6.6459,6.6459,-6.6459
112.7481,6.5839,6.5774,6.5774,-6.5774
113.8743,6.5060,6.5085,6.5085,-6.5085
115.0118,6.4420,6.4394,6.4394,-6.4394
116.1606,6.3740,6.3700,6.3700,-6.3700
117.3209,6.2958,6.3002,6.3002,-6.3002
118.4928,6.2321,6.2302,6.2302,-6.2302
119.6764,6.1723,6.1599,6.1599,-6.1599
120.8718,6.1045,6.0890,6.0890,-6.0890
122.0792,6.0187,6.0175,6.0175,-6.0175
123.2986,5.9444,5.9456,5.9456,-5.9456
124.5302,5.8826,5.8733,5.8733,-5.8733
125.7741,5.8065,5.8005,5.8005,-5.8005
127.0304,5.7344,5.7273,5.7273,-5.7273
128.2993,5.6648,5.6536,5.6536,-5.6536
129.5808,5.5868,5.5795,5.5795,-5.5795
130.8752,5.5069,5.5051,5.5051,-5.5051
132.1825,5.4348,5.4304,5.4304,-5.4304
133.5028,5.3573,5.3554,5.3554,-5.3554
134.8363,5.2771,5.2801,5.2801,-5.2801
136.1832,5.1975,5.2048,5.2048,-5.2048
137.5435,5.1253,5.1293,5.1293,-5.1293
138.9174,5.0553,5.0537,5.0537,-5.0537
