frequency,raw,smoothed,error,equalization
20.0000,5.1800,5.2470,5.2470,-5.2470
20.1998,5.2000,5.2543,5.2543,-5.2543
20.4015,5.2201,5.2626,5.2626,-5.2626
20.6053,5.2396,5.2717,5.2717,-5.2717
20.8112,5.2601,5.2814,5.2814,-5.2814
21.0190,5.2799,5.2917,5.2917,-5.2917
21.2290,5.2900,5.3024,5.3024,-5.3024
21.4410,5.3100,5.3139,5.3139,-5.3139
21.6552,5.3198,5.3259,5.3259,-5.3259
21.8715,5.3401,5.3389,5.3389,-5.3389
22.0900,5.3500,5.3527,5.3527,-5.3527
22.3106,5.3700,5.3678,5.3678,-5.3678
22.5335,5.3797,5.3837,5.3837,-5.3837
22.7586,5.3999,5.3995,5.3995,-5.3995
22.9859,5.4098,5.4153,5.4153,-5.4153
23.2155,5.4296,5.4312,5.4312,-5.4312
23.4474,5.4498,5.4469,5.4469,-5.4469
23.6816,5.4597,5.4626,5.4626,-5.4626
23.9182,5.4798,5.4782,5.4782,-5.4782
24.1571,5.4899,5.4936,5.4936,-5.4936
24.3984,5.5099,5.5089,5.5089,-5.5089
24.6421,5.5294,5.5240,5.5240,-5.5240
24.8882,5.5499,5.5390,5.5390,-5.5390
25.1368,5.5599,5.5536,5.5536,-5.5536
25.3879,5.5798,5.5680,5.5680,-5.5680
25.6415,5.5897,5.5821,5.5821,-5.5821
25.8976,5.5995,5.5958,5.5958,-5.5958
26.1563,5.6099,5.6093,5.6093,-5.6093
26.4176,5.6195,5.6226,5.6226,-5.6226
26.6815,5.6297,5.6358,5.6358,-5.6358
26.9480,5.6396,5.6488,5.6488,-5.6488
27.2172,5.6590,5.6618,5.6618,-5.6618
27.4890,5.6792,5.6748,5.6748,-5.6748
27.7636,5.6898,5.6876,5.6876,-5.6876
28.0409,5.7094,5.7003,5.7003,-5.7003
28.3210,5.7197,5.7130,5.7130,-5.7130
28.6039,5.7294,5.7255,5.7255,-5.7255
28.8896,5.7396,5.7379,5.7379,-5.7379
29.1782,5.7496,5.7503,5.7503,-5.7503
29.4697,5.7596,5.7626,5.7626,-5.7626
29.7640,5.7695,5.7748,5.7748,-5.7748
30.0613,5.7794,5.7869,5.7869,-5.7869
30.3616,5.7988,5.7990,5.7990,-5.7990
30.6649,5.8190,5.8108,5.8108,-5.8108
30.9712,5.8294,5.8223,5.8223,-5.8223
31.2806,5.8394,5.8335,5.8335,-5.8335
31.5930,5.8495,5.8445,5.8445,-5.8445
31.9086,5.8593,5.8551,5.8551,-5.8551
32.2273,5.8696,5.8655,5.8655,-5.8655
32.5492,5.8794,5.8756,5.8756,-5.8756
32.8744,5.8895,5.8854,5.8854,-5.8854
33.2027,5.8995,5.8949,5.8949,-5.8949
33.5344,5.9095,5.9041,5.9041,-5.9041
33.8694,5.9194,5.9130,5.9130,-5.9130
34.2077,5.9200,5.9216,5.9216,-5.9216
34.5494,5.9294,5.9300,5.9300,-5.9300
34.8945,5.9393,5.9384,5.9384,-5.9384
35.2430,5.9492,5.9467,5.9467,-5.9467
35.5951,5.9500,5.9549,5.9549,-5.9549
35.9506,5.9594,5.9631,5.9631,-5.9631
36.3097,5.9694,5.9713,5.9713,-5.9713
36.6724,5.9793,5.9794,5.9794,-5.9794
37.0387,5.9894,5.9875,5.9875,-5.9875
37.4087,5.9994,5.9955,5.9955,-5.9955
37.7824,6.0093,6.0034,6.0034,-6.0034
38.1598,6.0100,6.0110,6.0110,-6.0110
38.5409,6.0192,6.0186,6.0186,-6.0186
38.9259,6.0294,6.0259,6.0259,-6.0259
39.3147,6.0394,6.0330,6.0330,-6.0330
39.7074,6.0400,6.0399,6.0399,-6.0399
40.1041,6.0491,6.0466,6.0466,-6.0466
40.5046,6.0591,6.0532,6.0532,-6.0532
40.9092,6.0600,6.0595,6.0595,-6.0595
41.3179,6.0692,6.0657,6.0657,-6.0657
41.7306,6.0793,6.0717,6.0717,-6.0717
42.1474,6.0800,6.0774,6.0774,-6.0774
42.5684,6.0800,6.0829,6.0829,-6.0829
42.9936,6.0800,6.0883,6.0883,-6.0883
43.4231,6.0891,6.0935,6.0935,-6.0935
43.8568,6.0990,6.0988,6.0988,-6.0988
44.2949,6.1092,6.1039,6.1039,-6.1039
44.7374,6.1191,6.1088,6.1088,-6.1088
45.1842,6.1200,6.1135,6.1135,-6.1135
45.6356,6.1200,6.1178,6.1178,-6.1178
46.0914,6.1291,6.1218,6.1218,-6.1218
46.5518,6.1300,6.1256,6.1256,-6.1256
47.0168,6.1300,6.1290,6.1290,-6.1290
47.4864,6.1300,6.1324,6.1324,-6.1324
47.9608,6.1300,6.1355,6.1355,-6.1355
48.4398,6.1390,6.1385,6.1385,-6.1385
48.9237,6.1490,6.1410,6.1410,-6.1410
49.4124,6.1590,6.1433,6.1433,-6.1433
49.9059,6.1511,6.1451,6.1451,-6.1451
50.4044,6.1500,6.1469,6.1469,-6.1469
50.9079,6.1410,6.1485,6.1485,-6.1485
51.4164,6.1489,6.1502,6.1502,-6.1502
51.9300,6.1500,6.1518,6.1518,-6.1518
52.4487,6.1588,6.1534,6.1534,-6.1534
52.9726,6.1600,6.1547,6.1547,-6.1547
53.5018,6.1511,6.1558,6.1558,-6.1558
54.0362,6.1500,6.1568,6.1568,-6.1568
54.5759,6.1500,6.1577,6.1577,-6.1577
55.1211,6.1589,6.1587,6.1587,-6.1587
55.6717,6.1688,6.1595,6.1595,-6.1595
56.2278,6.1700,6.1603,6.1603,-6.1603
56.7894,6.1700,6.1608,6.1608,-6.1608
57.3567,6.1700,6.1611,6.1611,-6.1611
57.9296,6.1612,6.1611,6.1611,-6.1611
58.5082,6.1600,6.1610,6.1610,-6.1610
59.0927,6.1600,6.1608,6.1608,-6.1608
59.6829,6.1600,6.1606,6.1606,-6.1606
60.2791,6.1512,6.1604,6.1604,-6.1604
60.8812,6.1587,6.1601,6.1601,-6.1601
61.4893,6.1600,6.1596,6.1596,-6.1596
62.1035,6.1600,6.1589,6.1589,-6.1589
62.7239,6.1600,6.1581,6.1581,-6.1581
63.3504,6.1600,6.1571,6.1571,-6.1571
63.9832,6.1600,6.1560,6.1560,-6.1560
64.6223,6.1600,6.1546,6.1546,-6.1546
65.2678,6.1600,6.1530,6.1530,-6.1530
65.9198,6.1600,6.1511,6.1511,-6.1511
66.5782,6.1514,6.1488,6.1488,-6.1488
67.2433,6.1500,6.1463,6.1463,-6.1463
67.9149,6.1500,6.1436,6.1436,-6.1436
68.5933,6.1414,6.1406,6.1406,-6.1406
69.2785,6.1400,6.1373,6.1373,-6.1373
69.9705,6.1314,6.1338,6.1338,-6.1338
70.6694,6.1300,6.1302,6.1302,-6.1302
71.3753,6.1215,6.1265,6.1265,-6.1265
72.0883,6.1200,6.1227,6.1227,-6.1227
72.8083,6.1200,6.1188,6.1188,-6.1188
73.5356,6.1200,6.1147,6.1147,-6.1147
74.2701,6.1115,6.1104,6.1104,-6.1104
75.0120,6.1100,6.1059,6.1059,-6.1059
75.7613,6.1100,6.1012,6.1012,-6.1012
76.5180,6.1015,6.0963,6.0963,-6.0963
77.2824,6.0915,6.0911,6.0911,-6.0911
78.0543,6.0900,6.0859,6.0859,-6.0859
78.8340,6.0815,6.0804,6.0804,-6.0804
79.6214,6.0800,6.0748,6.0748,-6.0748
80.4168,6.0715,6.0688,6.0688,-6.0688
81.2200,6.0616,6.0627,6.0627,-6.0627
82.0313,6.0516,6.0563,6.0563,-6.0563
82.8507,6.0500,6.0500,6.0500,-6.0500
83.6783,6.0416,6.0435,6.0435,-6.0435
84.5141,6.0400,6.0369,6.0369,-6.0369
85.3583,6.0317,6.0301,6.0301,-6.0301
86.2109,6.0300,6.0231,6.0231,-6.0231
87.0721,6.0217,6.0159,6.0159,-6.0159
87.9418,6.0117,6.0085,6.0085,-6.0085
88.8203,6.0017,6.0009,6.0009,-6.0009
89.7075,5.9917,5.9931,5.9931,-5.9931
90.6035,5.9900,5.9853,5.9853,-5.9853
91.5085,5.9817,5.9773,5.9773,-5.9773
92.4226,5.9717,5.9692,5.9692,-5.9692
93.3458,5.9618,5.9609,5.9609,-5.9609
94.2782,5.9517,5.9524,5.9524,-5.9524
95.2199,5.9418,5.9438,5.9438,-5.9438
96.1711,5.9318,5.9352,5.9352,-5.9352
97.1317,5.9300,5.9265,5.9265,-5.9265
98.1019,5.9136,5.9176,5.9176,-5.9176
99.0818,5.9100,5.9088,5.9088,-5.9088
100.0715,5.9018,5.8998,5.8998,-5.8998
101.0711,5.8918,5.8907,5.8907,-5.8907
102.0807,5.8900,5.8814,5.8814,-5.8814
103.1004,5.8819,5.8719,5.8719,-5.8719
104.1302,5.8637,5.8622,5.8622,-5.8622
105.1703,5.8519,5.8523,5.8523,-5.8523
106.2209,5.8419,5.8423,5.8423,-5.8423
107.2819,5.8319,5.8321,5.8321,-5.8321
108.3535,5.8219,5.8217,5.8217,-5.8217
109.4358,5.8119,5.8110,5.8110,-5.8110
110.5289,5.8019,5.8002,5.8002,-5.8002
111.6330,5.7920,5.7892,5.7892,-5.7892
112.7481,5.7820,5.7780,5.7780,-5.7780
113.8743,5.7720,5.7666,5.7666,-5.7666
115.0118,5.7620,5.7550,5.7550,-5.7550
116.1606,5.7440,5.7431,5.7431,-5.7431
117.3209,5.7320,5.7311,5.7311,-5.7311
118.4928,5.7220,5.7189,5.7189,-5.7189
119.6764,5.7041,5.7065,5.7065,-5.7065
120.8718,5.6921,5.6940,5.6940,-5.6940
122.0792,5.6821,5.6813,5.6813,-5.6813
123.2986,5.6721,5.6685,5.6685,-5.6685
124.5302,5.6621,5.6555,5.6555,-5.6555
125.7741,5.6441,5.6423,5.6423,-5.6423
127.0304,5.6321,5.6289,5.6289,-5.6289
128.2993,5.6142,5.6154,5.6154,-5.6154
129.5808,5.6021,5.6019,5.6019,-5.6019
130.8752,5.5921,5.5882,5.5882,-5.5882
132.1825,5.5742,5.5743,5.5743,-5.5743
133.5028,5.5622,5.5602,5.5602,-5.5602
134.8363,5.5443,5.5460,5.5460,-5.5460
136.1832,5.5322,5.5317,5.5317,-5.5317
137.5435,5.5222,5.5172,5.5172,-5.5172
138.9174,5.5044,5.5024,5.5024,-5.5024
140.3050,5.4922,5.4876,5.4876,-5.4876
141.7065,5.4744,5.4725,5.4725,-5.4725
143.1220,5.4622,5.4572,5.4572,-5.4572
144.5516,5.4445,5.4417,5.4417,-5.4417
145.9955,5.4245,5.4260,5.4260,-5.4260
147.4538,5.4122,5.4102,5.4102,-5.4102
148.9267,5.3945,5.3941,5.3941,-5.3941
150.4143,5.3823,5.3779,5.3779,-5.3779
151.9167,5.3645,5.3614,5.3614,-5.3614
153.4342,5.3446,5.3446,5.3446,-5.3446
154.9668,5.3323,5.3277,5.3277,-5.3277
156.5147,5.3147,5.3106,5.3106,-5.3106
158.0781,5.2946,5.2933,5.2933,-5.2933
159.6571,5.2747,5.2759,5.2759,-5.2759
161.2519,5.2624,5.2583,5.2583,-5.2583
162.8626,5.2447,5.2405,5.2405,-5.2405
164.4894,5.2248,5.2225,5.2225,-5.2225
166.1324,5.2048,5.2043,5.2043,-5.2043
167.7919,5.1848,5.1859,5.1859,-5.1859
169.4679,5.1648,5.1674,5.1674,-5.1674
171.1607,5.1524,5.1486,5.1486,-5.1486
172.8704,5.1349,5.1296,5.1296,-5.1296
174.5972,5.1149,5.1103,5.1103,-5.1103
176.3412,5.0949,5.0908,5.0908,-5.0908
178.1026,5.0749,5.0711,5.0711,-5.0711
179.8816,5.0549,5.0510,5.0510,-5.0510
181.6784,5.0350,5.0307,5.0307,-5.0307
183.4932,5.0150,5.0101,5.0101,-5.0101
185.3261,4.9950,4.9893,4.9893,-4.9893
187.1772,4.9676,4.9682,4.9682,-4.9682
189.0469,4.9451,4.9469,4.9469,-4.9469
190.9352,4.9251,4.9255,4.9255,-4.9255
192.8425,4.9051,4.9038,4.9038,-4.9038
194.7687,4.8852,4.8819,4.8819,-4.8819
196.7142,4.8652,4.8599,4.8599,-4.8599
198.6792,4.8378,4.8375,4.8375,-4.8375
200.6637,4.8152,4.8150,4.8150,-4.8150
202.6681,4.7952,4.7924,4.7924,-4.7924
204.6925,4.7753,4.7695,4.7695,-4.7695
206.7371,4.7479,4.7463,4.7463,-4.7463
208.8022,4.7253,4.7229,4.7229,-4.7229
210.8879,4.7053,4.6993,4.6993,-4.6993
212.9944,4.6780,4.6754,4.6754,-4.6754
215.1219,4.6553,4.6512,4.6512,-4.6512
217.2707,4.6280,4.6267,4.6267,-4.6267
219.4410,4.6054,4.6020,4.6020,-4.6020
221.6329,4.5781,4.5770,4.5770,-4.5770
223.8468,4.5554,4.5518,4.5518,-4.5518
226.0827,4.5282,4.5263,4.5263,-4.5263
228.3410,4.5055,4.5006,4.5006,-4.5006
230.6219,4.4782,4.4744,4.4744,-4.4744
232.9255,4.4483,4.4481,4.4481,-4.4481
235.2521,4.4256,4.4215,4.4215,-4.4215
237.6020,4.3984,4.3946,4.3946,-4.3946
239.9754,4.3684,4.3676,4.3676,-4.3676
