frequency,raw,smoothed,error,equalization
20.0000,10.6100,10.5691,10.5691,-10.5691
20.1998,10.6000,10.5631,10.5631,-10.5631
20.4015,10.5899,10.5561,10.5561,-10.5561
20.6053,10.5802,10.5482,10.5482,-10.5482
20.8112,10.5699,10.5395,10.5395,-10.5395
21.0190,10.5600,10.5298,10.5298,-10.5298
21.2290,10.5401,10.5191,10.5191,-10.5191
21.4410,10.5200,10.5075,10.5075,-10.5075
21.6552,10.5102,10.4948,10.4948,-10.4948
21.8715,10.4899,10.4810,10.4810,-10.4810
22.0900,10.4700,10.4659,10.4659,-10.4659
22.3106,10.4499,10.4493,10.4493,-10.4493
22.5335,10.4306,10.4317,10.4317,-10.4317
22.7586,10.4201,10.4137,10.4137,-10.4137
22.9859,10.4004,10.3953,10.3953,-10.3953
23.2155,10.3804,10.3765,10.3765,-10.3765
23.4474,10.3602,10.3576,10.3576,-10.3576
23.6816,10.3407,10.3387,10.3387,-10.3387
23.9182,10.3202,10.3197,10.3197,-10.3197
24.1571,10.3002,10.3007,10.3007,-10.3007
24.3984,10.2801,10.2819,10.2819,-10.2819
24.6421,10.2606,10.2632,10.2632,-10.2632
24.8882,10.2401,10.2448,10.2448,-10.2448
25.1368,10.2203,10.2267,10.2267,-10.2267
25.3879,10.2002,10.2088,10.2088,-10.2088
25.6415,10.1807,10.1913,10.1913,-10.1913
25.8976,10.1705,10.1741,10.1741,-10.1741
26.1563,10.1503,10.1573,10.1573,-10.1573
26.4176,10.1405,10.1408,10.1408,-10.1408
26.6815,10.1207,10.1244,10.1244,-10.1244
26.9480,10.1104,10.1082,10.1082,-10.1082
27.2172,10.0910,10.0920,10.0920,-10.0920
27.4890,10.0804,10.0757,10.0757,-10.0757
27.7636,10.0605,10.0592,10.0592,-10.0592
28.0409,10.0503,10.0425,10.0425,-10.0425
28.3210,10.0306,10.0253,10.0253,-10.0253
28.6039,10.0111,10.0077,10.0077,-10.0077
28.8896,10.0004,9.9894,9.9894,-9.9894
29.1782,9.9808,9.9705,9.9705,-9.9705
29.4697,9.9607,9.9507,9.9507,-9.9507
29.7640,9.9411,9.9303,9.9303,-9.9303
30.0613,9.9212,9.9090,9.9090,-9.9090
30.3616,9.9012,9.8869,9.8869,-9.8869
30.6649,9.8715,9.8640,9.8640,-9.8640
30.9712,9.8512,9.8403,9.8403,-9.8403
31.2806,9.8219,9.8159,9.8159,-9.8159
31.5930,9.8011,9.7909,9.7909,-9.7909
31.9086,9.7720,9.7652,9.7652,-9.7652
32.2273,9.7412,9.7388,9.7388,-9.7388
32.5492,9.7119,9.7119,9.7119,-9.7119
32.8744,9.6910,9.6845,9.6845,-9.6845
33.2027,9.6616,9.6567,9.6567,-9.6567
33.5344,9.6314,9.6284,9.6284,-9.6284
33.8694,9.6018,9.5997,9.5997,-9.5997
34.2077,9.5720,9.5706,9.5706,-9.5706
34.5494,9.5512,9.5413,9.5413,-9.5413
34.8945,9.5222,9.5116,9.5116,-9.5116
35.2430,9.4831,9.4814,9.4814,-9.4814
35.5951,9.4521,9.4509,9.4509,-9.4509
35.9506,9.4217,9.4202,9.4202,-9.4202
36.3097,9.3917,9.3892,9.3892,-9.3892
36.6724,9.3622,9.3577,9.3577,-9.3577
37.0387,9.3318,9.3258,9.3258,-9.3258
37.4087,9.2923,9.2934,9.2934,-9.2934
37.7824,9.2622,9.2606,9.2606,-9.2606
38.1598,9.2324,9.2272,9.2272,-9.2272
38.5409,9.2023,9.1933,9.1933,-9.1933
38.9259,9.1719,9.1586,9.1586,-9.1586
39.3147,9.1326,9.1232,9.1232,-9.1232
39.7074,9.1024,9.0871,9.0871,-9.0871
40.1041,9.0636,9.0501,9.0501,-9.0501
40.5046,9.0235,9.0123,9.0123,-9.0123
40.9092,8.9831,8.9737,8.9737,-8.9737
41.3179,8.9431,8.9343,8.9343,-8.9343
41.7306,8.9029,8.8942,8.8942,-8.8942
42.1474,8.8631,8.8534,8.8534,-8.8534
42.5684,8.8138,8.8118,8.8118,-8.8118
42.9936,8.7734,8.7695,8.7695,-8.7695
43.4231,8.7334,8.7268,8.7268,-8.7268
43.8568,8.6849,8.6834,8.6834,-8.6834
44.2949,8.6433,8.6397,8.6397,-8.6397
44.7374,8.6038,8.5955,8.5955,-8.5955
45.1842,8.5551,8.5508,8.5508,-8.5508
45.6356,8.5140,8.5057,8.5057,-8.5057
46.0914,8.4643,8.4601,8.4601,-8.4601
46.5518,8.4151,8.4141,8.4141,-8.4141
47.0168,8.3738,8.3677,8.3677,-8.3677
47.4864,8.3246,8.3209,8.3209,-8.3209
47.9608,8.2751,8.2737,8.2737,-8.2737
48.4398,8.2342,8.2260,8.2260,-8.2260
48.9237,8.1848,8.1778,8.1778,-8.1778
49.4124,8.1349,8.1292,8.1292,-8.1292
49.9059,8.0854,8.0800,8.0800,-8.0800
50.4044,8.0356,8.0305,8.0305,-8.0305
50.9079,7.9852,7.9804,7.9804,-7.9804
51.4164,7.9353,7.9299,7.9299,-7.9299
51.9300,7.8858,7.8789,7.8789,-7.8789
52.4487,7.8359,7.8274,7.8274,-7.8274
52.9726,7.7766,7.7754,7.7754,-7.7754
53.5018,7.7255,7.7229,7.7229,-7.7229
54.0362,7.6759,7.6700,7.6700,-7.6700
54.5759,7.6259,7.6165,7.6165,-7.6165
55.1211,7.5665,7.5625,7.5625,-7.5625
55.6717,7.5161,7.5079,7.5079,-7.5079
56.2278,7.4568,7.4527,7.4527,-7.4527
56.7894,7.4062,7.3969,7.3969,-7.3969
57.3567,7.3468,7.3403,7.3403,-7.3403
57.9296,7.2873,7.2830,7.2830,-7.2830
58.5082,7.2362,7.2251,7.2251,-7.2251
59.0927,7.1770,7.1663,7.1663,-7.1663
59.6829,7.1177,7.1067,7.1067,-7.1067
60.2791,7.0572,7.0462,7.0462,-7.0462
60.8812,6.9978,6.9848,6.9848,-6.9848
61.4893,6.9379,6.9225,6.9225,-6.9225
62.1035,6.8688,6.8592,6.8592,-6.8592
62.7239,6.8074,6.7950,6.7950,-6.7950
63.3504,6.7388,6.7299,6.7299,-6.7299
63.9832,6.6695,6.6639,6.6639,-6.6639
64.6223,6.6082,6.5971,6.5971,-6.5971
65.2678,6.5390,6.5295,6.5295,-6.5295
65.9198,6.4696,6.4609,6.4609,-6.4609
66.5782,6.3997,6.3915,6.3915,-6.3915
67.2433,6.3292,6.3214,6.3214,-6.3214
67.9149,6.2598,6.2505,6.2505,-6.2505
68.5933,6.1900,6.1789,6.1789,-6.1789
69.2785,6.1108,6.1065,6.1065,-6.1065
69.9705,6.0400,6.0335,6.0335,-6.0335
70.6694,5.9701,5.9598,5.9598,-5.9598
71.3753,5.8918,5.8853,5.8853,-5.8853
72.0883,5.8200,5.8102,5.8102,-5.8102
72.8083,5.7413,5.7345,5.7345,-5.7345
73.5356,5.6614,5.6581,5.6581,-5.6581
74.2701,5.5904,5.5812,5.5812,-5.5812
75.0120,5.5117,5.5036,5.5036,-5.5036
75.7613,5.4316,5.4253,5.4253,-5.4253
76.5180,5.3518,5.3465,5.3465,-5.3465
77.2824,5.2722,5.2672,5.2672,-5.2672
78.0543,5.1920,5.1873,5.1873,-5.1873
78.8340,5.1119,5.1069,5.1069,-5.1069
79.6214,5.0320,5.0261,5.0261,-5.0261
80.4168,4.9523,4.9447,4.9447,-4.9447
81.2200,4.8728,4.8629,4.8629,-4.8629
82.0313,4.7843,4.7805,4.7805,-4.7805
82.8507,4.7026,4.6978,4.6978,-4.6978
83.6783,4.6143,4.6146,4.6146,-4.6146
84.5141,4.5329,4.5311,4.5311,-4.5311
85.3583,4.4533,4.4472,4.4472,-4.4472
86.2109,4.3647,4.3629,4.3629,-4.3629
87.0721,4.2836,4.2783,4.2783,-4.2783
87.9418,4.1953,4.1933,4.1933,-4.1933
88.8203,4.1136,4.1079,4.1079,-4.1079
89.7075,4.0254,4.0221,4.0221,-4.0221
90.6035,3.9439,3.9361,3.9361,-3.9361
91.5085,3.8551,3.8497,3.8497,-3.8497
92.4226,3.7654,3.7630,3.7630,-3.7630
93.3458,3.6759,3.6761,3.6761,-3.6761
94.2782,3.5939,3.5889,3.5889,-3.5889
95.2199,3.5061,3.5014,3.5014,-3.5014
96.1711,3.4160,3.4136,3.4136,-3.4136
97.1317,3.3258,3.3256,3.3256,-3.3256
98.1019,3.2364,3.2374,3.2374,-3.2374
99.0818,3.1464,3.1491,3.1491,-3.1491
100.0715,3.0644,3.0608,3.0608,-3.0608
101.0711,2.9761,2.9724,2.9724,-2.9724
102.0807,2.8867,2.8839,2.8839,-2.8839
103.1004,2.7967,2.7954,2.7954,-2.7954
104.1302,2.7066,2.7069,2.7069,-2.7069
105.1703,2.6171,2.6185,2.6185,-2.6185
106.2209,2.5271,2.5303,2.5303,-2.5303
107.2819,2.4368,2.4424,2.4424,-2.4424
108.3535,2.3472,2.3548,2.3548,-2.3548
109.4358,2.2651,2.2676,2.2676,-2.2676
110.5289,2.1773,2.1808,2.1808,-2.1808
111.6330,2.0876,2.0944,2.0944,-2.0944
112.7481,1.9978,2.0085,2.0085,-2.0085
113.8743,1.9160,1.9232,1.9232,-1.9232
115.0118,1.8280,1.8385,1.8385,-1.8385
116.1606,1.7460,1.7546,1.7546,-1.7546
117.3209,1.6658,1.6713,1.6713,-1.6713
118.4928,1.5861,1.5887,1.5887,-1.5887
119.6764,1.4984,1.5069,1.5069,-1.5069
120.8718,1.4165,1.4258,1.4258,-1.4258
122.0792,1.3366,1.3457,1.3457,-1.3457
123.2986,1.2565,1.2665,1.2665,-1.2665
124.5302,1.1768,1.1883,1.1883,-1.1883
125.7741,1.0965,1.1112,1.1112,-1.1112
127.0304,1.0165,1.0353,1.0353,-1.0353
128.2993,0.9448,0.9606,0.9606,-0.9606
129.5808,0.8747,0.8872,0.8872,-0.8872
130.8752,0.7969,0.8152,0.8152,-0.8152
132.1825,0.7248,0.7446,0.7446,-0.7446
133.5028,0.6551,0.6756,0.6756,-0.6756
134.8363,0.5928,0.6083,0.6083,-0.6083
136.1832,0.5253,0.5425,0.5425,-0.5425
137.5435,0.4631,0.4785,0.4785,-0.4785
138.9174,0.3953,0.4162,0.4162,-0.4162
140.3050,0.3332,0.3556,0.3556,-0.3556
141.7065,0.2733,0.2969,0.2969,-0.2969
143.1220,0.2134,0.2401,0.2401,-0.2401
144.5516,0.1611,0.1852,0.1852,-0.1852
145.9955,0.1112,0.1323,0.1323,-0.1323
147.4538,0.0612,0.0815,0.0815,-0.0815
148.9267,0.0113,0.0327,0.0327,-0.0327
150.4143,-0.0387,-0.0141,-0.0141,0.0141
151.9167,-0.0809,-0.0588,-0.0588,0.0588
153.4342,-0.1209,-0.1012,-0.1012,0.1012
154.9668,-0.1685,-0.1415,-0.1415,0.1415
156.5147,-0.2106,-0.1794,-0.1794,0.1794
158.0781,-0.2430,-0.2150,-0.2150,0.2150
159.6571,-0.2806,-0.2483,-0.2483,0.2483
161.2519,-0.3053,-0.2792,-0.2792,0.2792
162.8626,-0.3330,-0.3079,-0.3079,0.3079
164.4894,-0.3629,-0.3344,-0.3344,0.3344
166.1324,-0.3852,-0.3585,-0.3585,0.3585
167.7919,-0.4052,-0.3804,-0.3804,0.3804
169.4679,-0.4252,-0.4002,-0.4002,0.4002
171.1607,-0.4376,-0.4178,-0.4178,0.4178
172.8704,-0.4551,-0.4335,-0.4335,0.4335
174.5972,-0.4676,-0.4472,-0.4472,0.4472
176.3412,-0.4775,-0.4590,-0.4590,0.4590
178.1026,-0.4875,-0.4691,-0.4691,0.4691
179.8816,-0.4975,-0.4775,-0.4775,0.4775
181.6784,-0.5000,-0.4843,-0.4843,0.4843
183.4932,-0.5075,-0.4895,-0.4895,0.4895
185.3261,-0.5100,-0.4933,-0.4933,0.4933
187.1772,-0.5100,-0.4956,-0.4956,0.4956
189.0469,-0.5100,-0.4967,-0.4967,0.4967
190.9352,-0.5100,-0.4966,-0.4966,0.4966
192.8425,-0.5100,-0.4954,-0.4954,0.4954
194.7687,-0.5026,-0.4929,-0.4929,0.4929
196.7142,-0.5000,-0.4894,-0.4894,0.4894
198.6792,-0.4926,-0.4850,-0.4850,0.4850
200.6637,-0.4900,-0.4797,-0.4797,0.4797
202.6681,-0.4826,-0.4735,-0.4735,0.4735
204.6925,-0.4726,-0.4665,-0.4665,0.4665
206.7371,-0.4626,-0.4588,-0.4588,0.4588
208.8022,-0.4600,-0.4505,-0.4505,0.4505
210.8879,-0.4526,-0.4415,-0.4415,0.4415
212.9944,-0.4427,-0.4318,-0.4318,0.4318
215.1219,-0.4253,-0.4215,-0.4215,0.4215
217.2707,-0.4127,-0.4107,-0.4107,0.4107
219.4410,-0.4027,-0.3995,-0.3995,0.3995
221.6329,-0.3927,-0.3878,-0.3878,0.3878
223.8468,-0.3827,-0.3758,-0.3758,0.3758
226.0827,-0.3655,-0.3633,-0.3633,0.3633
228.3410,-0.3527,-0.3505,-0.3505,0.3505
230.6219,-0.3427,-0.3375,-0.3375,0.3375
232.9255,-0.3256,-0.3241,-0.3241,0.3241
235.2521,-0.3128,-0.3104,-0.3104,0.3104
237.6020,-0.2956,-0.2965,-0.2965,0.2965
239.9754,-0.2828,-0.2825,-0.2825,0.2825
242.3724,-0.2728,-0.2684,-0.2684,0.2684
244.7934,-0.2557,-0.2541,-0.2541,0.2541
247.2386,-0.2428,-0.2396,-0.2396,0.2396
249.7082,-0.2257,-0.2250,-0.2250,0.2250
252.2025,-0.2129,-0.2103,-0.2103,0.2103
254.7217,-0.1958,-0.1957,-0.1957,0.1957
257.2661,-0.1829,-0.1810,-0.1810,0.1810
259.8358,-0.1658,-0.1663,-0.1663,0.1663
262.4313,-0.1458,-0.1518,-0.1518,0.1518
265.0527,-0.1329,-0.1374,-0.1374,0.1374
267.7002,-0.1229,-0.1232,-0.1232,0.1232
270.3742,-0.1059,-0.1092,-0.1092,0.1092
273.0749,-0.0929,-0.0954,-0.0954,0.0954
275.8026,-0.0759,-0.0819,-0.0819,0.0819
278.5575,-0.0630,-0.0688,-0.0688,0.0688
281.3400,-0.0530,-0.0560,-0.0560,0.0560
284.1502,-0.0430,-0.0435,-0.0435,0.0435
286.9885,-0.0260,-0.0313,-0.0313,0.0313
289.8552,-0.0130,-0.0194,-0.0194,0.0194
292.7505,-0.0030,-0.0079,-0.0079,0.0079
295.6747,0.0070,0.0034,0.0034,-0.0034
298.6281,0.0170,0.0144,0.0144,-0.0144
301.6111,0.0269,0.0252,0.0252,-0.0252
304.6238,0.0369,0.0357,0.0357,-0.0357
307.6666,0.0469,0.0461,0.0461,-0.0461
310.7398,0.0569,0.0562,0.0562,-0.0562
313.8437,0.0669,0.0661,0.0661,-0.0661
316.9786,0.0769,0.0758,0.0758,-0.0758
320.1449,0.0869,0.0853,0.0853,-0.0853
323.3427,0.0969,0.0946,0.0946,-0.0946
326.5725,0.1069,0.1036,0.1036,-0.1036
329.8346,0.1168,0.1124,0.1124,-0.1124
333.1292,0.1268,0.1209,0.1209,-0.1209
336.4568,0.1368,0.1291,0.1291,-0.1291
339.8176,0.1400,0.1368,0.1368,-0.1368
343.2119,0.1468,0.1443,0.1443,-0.1443
346.6402,0.1568,0.1513,0.1513,-0.1513
350.1027,0.1600,0.1579,0.1579,-0.1579
353.5998,0.1668,0.1641,0.1641,-0.1641
357.1318,0.1768,0.1699,0.1699,-0.1699
360.6991,0.1800,0.1753,0.1753,-0.1753
364.3021,0.1867,0.1802,0.1802,-0.1802
367.9410,0.1900,0.1846,0.1846,-0.1846
371.6163,0.1967,0.1887,0.1887,-0.1887
375.3283,0.2000,0.1922,0.1922,-0.1922
379.0774,0.2000,0.1953,0.1953,-0.1953
382.8639,0.2000,0.1979,0.1979,-0.1979
386.6882,0.2000,0.2002,0.2002,-0.2002
390.5508,0.2067,0.2020,0.2020,-0.2020
394.4519,0.2100,0.2033,0.2033,-0.2033
398.3920,0.2100,0.2041,0.2041,-0.2041
402.3714,0.2100,0.2044,0.2044,-0.2044
406.3906,0.2100,0.2042,0.2042,-0.2042
410.4500,0.2100,0.2034,0.2034,-0.2034
414.5498,0.2100,0.2021,0.2021,-0.2021
418.6907,0.2100,0.2002,0.2002,-0.2002
422.8729,0.2034,0.1977,0.1977,-0.1977
427.0969,0.2000,0.1946,0.1946,-0.1946
431.3631,0.2000,0.1911,0.1911,-0.1911
435.6718,0.1935,0.1869,0.1869,-0.1869
440.0237,0.1900,0.1821,0.1821,-0.1821
444.4190,0.1835,0.1768,0.1768,-0.1768
448.8582,0.1735,0.1710,0.1710,-0.1710
453.3417,0.1700,0.1648,0.1648,-0.1648
457.8700,0.1635,0.1581,0.1581,-0.1581
462.4436,0.1535,0.1509,0.1509,-0.1509
467.0628,0.1435,0.1434,0.1434,-0.1434
471.7282,0.1400,0.1355,0.1355,-0.1355
476.4402,0.1336,0.1274,0.1274,-0.1274
481.1993,0.1236,0.1189,0.1189,-0.1189
486.0059,0.1136,0.1101,0.1101,-0.1101
490.8605,0.1036,0.1011,0.1011,-0.1011
495.7636,0.0936,0.0918,0.0918,-0.0918
500.7156,0.0836,0.0823,0.0823,-0.0823
505.7172,0.0736,0.0726,0.0726,-0.0726
510.7687,0.0637,0.0626,0.0626,-0.0626
515.8706,0.0537,0.0525,0.0525,-0.0525
521.0235,0.0437,0.0421,0.0421,-0.0421
526.2279,0.0337,0.0314,0.0314,-0.0314
531.4843,0.0237,0.0205,0.0205,-0.0205
536.7932,0.0137,0.0093,0.0093,-0.0093
542.1551,0.0037,-0.0022,-0.0022,0.0022
547.5705,-0.0063,-0.0140,-0.0140,0.0140
553.0401,-0.0225,-0.0263,-0.0263,0.0263
558.5643,-0.0362,-0.0389,-0.0389,0.0389
564.1437,-0.0462,-0.0518,-0.0518,0.0518
569.7788,-0.0624,-0.0650,-0.0650,0.0650
575.4701,-0.0762,-0.0786,-0.0786,0.0786
581.2184,-0.0862,-0.0924,-0.0924,0.0924
587.0241,-0.1024,-0.1064,-0.1064,0.1064
592.8877,-0.1162,-0.1206,-0.1206,0.1206
598.8099,-0.1323,-0.1350,-0.1350,0.1350
604.7913,-0.1523,-0.1494,-0.1494,0.1494
610.8324,-0.1661,-0.1637,-0.1637,0.1637
616.9339,-0.1823,-0.1779,-0.1779,0.1779
623.0963,-0.1961,-0.1917,-0.1917,0.1917
629.3203,-0.2122,-0.2053,-0.2053,0.2053
635.6064,-0.2261,-0.2185,-0.2185,0.2185
641.9553,-0.2361,-0.2312,-0.2312,0.2312
648.3677,-0.2461,-0.2434,-0.2434,0.2434
654.8441,-0.2621,-0.2552,-0.2552,0.2552
661.3852,-0.2761,-0.2664,-0.2664,0.2664
667.9916,-0.2860,-0.2770,-0.2770,0.2770
674.6640,-0.2960,-0.2869,-0.2869,0.2869
681.4031,-0.3060,-0.2962,-0.2962,0.2962
688.2095,-0.3100,-0.3047,-0.3047,0.3047
695.0838,-0.3160,-0.3125,-0.3125,0.3125
702.0269,-0.3260,-0.3196,-0.3196,0.3196
709.0393,-0.3360,-0.3258,-0.3258,0.3258
716.1217,-0.3400,-0.3312,-0.3312,0.3312
723.2749,-0.3460,-0.3358,-0.3358,0.3358
730.4995,-0.3500,-0.3394,-0.3394,0.3394
737.7963,-0.3559,-0.3420,-0.3420,0.3420
745.1660,-0.3600,-0.3437,-0.3437,0.3437
