frequency,raw,smoothed,error,equalization
20.0000,7.4100,7.3383,7.3383,-7.3383
20.1998,7.3900,7.3294,7.3294,-7.3294
20.4015,7.3699,7.3191,7.3191,-7.3191
20.6053,7.3602,7.3076,7.3076,-7.3076
20.8112,7.3299,7.2950,7.2950,-7.2950
21.0190,7.3101,7.2815,7.2815,-7.2815
21.2290,7.2901,7.2670,7.2670,-7.2670
21.4410,7.2599,7.2515,7.2515,-7.2515
21.6552,7.2404,7.2351,7.2351,-7.2351
21.8715,7.2199,7.2176,7.2176,-7.2176
22.0900,7.2000,7.1988,7.1988,-7.1988
22.3106,7.1799,7.1785,7.1785,-7.1785
22.5335,7.1606,7.1572,7.1572,-7.1572
22.7586,7.1302,7.1359,7.1359,-7.1359
22.9859,7.1104,7.1147,7.1147,-7.1147
23.2155,7.0904,7.0937,7.0937,-7.0937
23.4474,7.0702,7.0729,7.0729,-7.0729
23.6816,7.0507,7.0522,7.0522,-7.0522
23.9182,7.0302,7.0317,7.0317,-7.0317
24.1571,7.0102,7.0114,7.0114,-7.0114
24.3984,6.9901,6.9912,6.9912,-6.9912
24.6421,6.9706,6.9711,6.9711,-6.9711
24.8882,6.9501,6.9512,6.9512,-6.9512
25.1368,6.9303,6.9315,6.9315,-6.9315
25.3879,6.9102,6.9119,6.9119,-6.9119
25.6415,6.8907,6.8924,6.8924,-6.8924
25.8976,6.8710,6.8730,6.8730,-6.8730
26.1563,6.8503,6.8536,6.8536,-6.8536
26.4176,6.8309,6.8342,6.8342,-6.8342
26.6815,6.8107,6.8148,6.8148,-6.8148
26.9480,6.8004,6.7954,6.7954,-6.7954
27.2172,6.7810,6.7758,6.7758,-6.7758
27.4890,6.7608,6.7559,6.7559,-6.7559
27.7636,6.7405,6.7357,6.7357,-6.7357
28.0409,6.7206,6.7151,6.7151,-6.7151
28.3210,6.7006,6.6942,6.6942,-6.6942
28.6039,6.6811,6.6729,6.6729,-6.6729
28.8896,6.6607,6.6512,6.6512,-6.6512
29.1782,6.6312,6.6289,6.6289,-6.6289
29.4697,6.6107,6.6063,6.6063,-6.6063
29.7640,6.5911,6.5832,6.5832,-6.5832
30.0613,6.5619,6.5596,6.5596,-6.5596
30.3616,6.5412,6.5356,6.5356,-6.5356
30.6649,6.5115,6.5112,6.5112,-6.5112
30.9712,6.4912,6.4866,6.4866,-6.4866
31.2806,6.4619,6.4617,6.4617,-6.4617
31.5930,6.4411,6.4365,6.4365,-6.4365
31.9086,6.4120,6.4112,6.4112,-6.4112
32.2273,6.3908,6.3857,6.3857,-6.3857
