frequency,raw,smoothed,error,equalization
20.0000,7.7600,7.6208,7.6208,-7.6208
20.1998,7.7200,7.6043,7.6043,-7.6043
20.4015,7.6897,7.5855,7.5855,-7.5855
20.6053,7.6509,7.5649,7.5649,-7.5649
20.8112,7.5998,7.5428,7.5428,-7.5428
21.0190,7.5602,7.5196,7.5196,-7.5196
21.2290,7.5202,7.4953,7.4953,-7.4953
21.4410,7.4798,7.4700,7.4700,-7.4700
21.6552,7.4409,7.4435,7.4435,-7.4435
21.8715,7.3998,7.4159,7.4159,-7.4159
22.0900,7.3700,7.3871,7.3871,-7.3871
22.3106,7.3399,7.3566,7.3566,-7.3566
22.5335,7.3108,7.3254,7.3254,-7.3254
22.7586,7.2802,7.2953,7.2953,-7.2953
22.9859,7.2505,7.2664,7.2664,-7.2664
23.2155,7.2304,7.2386,7.2386,-7.2386
23.4474,7.2003,7.2117,7.2117,-7.2117
23.6816,7.1807,7.1858,7.1858,-7.1858
23.9182,7.1502,7.1606,7.1606,-7.1606
24.1571,7.1302,7.1360,7.1360,-7.1360
24.3984,7.1101,7.1120,7.1120,-7.1120
24.6421,7.0906,7.0884,7.0884,-7.0884
24.8882,7.0602,7.0650,7.0650,-7.0650
25.1368,7.0403,7.0419,7.0419,-7.0419
25.3879,7.0202,7.0190,7.0190,-7.0190
25.6415,7.0007,6.9961,6.9961,-6.9961
25.8976,6.9714,6.9733,6.9733,-6.9733
26.1563,6.9503,6.9505,6.9505,-6.9505
26.4176,6.9309,6.9277,6.9277,-6.9277
26.6815,6.9010,6.9050,6.9050,-6.9050
26.9480,6.8809,6.8823,6.8823,-6.8823
27.2172,6.8610,6.8598,6.8598,-6.8598
27.4890,6.8408,6.8373,6.8373,-6.8373
27.7636,6.8107,6.8148,6.8148,-6.8148
28.0409,6.7906,6.7925,6.7925,-6.7925
28.3210,6.7706,6.7702,6.7702,-6.7702
28.6039,6.7417,6.7480,6.7480,-6.7480
28.8896,6.7207,6.7259,6.7259,-6.7259
29.1782,6.7008,6.7039,6.7039,-6.7039
29.4697,6.6807,6.6820,6.6820,-6.6820
