frequency,raw,smoothed,error,equalization
20.0000,9.7500,9.7610,9.7610,-9.7610
20.1998,9.7500,9.7637,9.7637,-9.7637
20.4015,9.7500,9.7667,9.7667,-9.7667
20.6053,9.7500,9.7702,9.7702,-9.7702
20.8112,9.7600,9.7741,9.7741,-9.7741
21.0190,9.7600,9.7781,9.7781,-9.7781
21.2290,9.7700,9.7824,9.7824,-9.7824
21.4410,9.7800,9.7866,9.7866,-9.7866
21.6552,9.7898,9.7906,9.7906,-9.7906
21.8715,9.8001,9.7944,9.7944,-9.7944
22.0900,9.8100,9.7978,9.7978,-9.7978
22.3106,9.8200,9.8008,9.8008,-9.8008
22.5335,9.8297,9.8030,9.8030,-9.8030
22.7586,9.8300,9.8041,9.8041,-9.8041
22.9859,9.8300,9.8041,9.8041,-9.8041
23.2155,9.8300,9.8029,9.8029,-9.8029
23.4474,9.8201,9.8007,9.8007,-9.8007
23.6816,9.8103,9.7976,9.7976,-9.7976
23.9182,9.7902,9.7937,9.7937,-9.7937
24.1571,9.7801,9.7893,9.7893,-9.7893
24.3984,9.7800,9.7846,9.7846,-9.7846
24.6421,9.7703,9.7795,9.7795,-9.7795
24.8882,9.7601,9.7742,9.7742,-9.7742
25.1368,9.7600,9.7686,9.7686,-9.7686
25.3879,9.7600,9.7628,9.7628,-9.7628
25.6415,9.7600,9.7565,9.7565,-9.7565
25.8976,9.7600,9.7497,9.7497,-9.7497
26.1563,9.7600,9.7421,9.7421,-9.7421
26.4176,9.7505,9.7337,9.7337,-9.7337
26.6815,9.7500,9.7244,9.7244,-9.7244
26.9480,9.7404,9.7140,9.7140,-9.7140
27.2172,9.7305,9.7025,9.7025,-9.7025
27.4890,9.7108,9.6900,9.6900,-9.6900
27.7636,9.6905,9.6765,9.6765,-9.6765
28.0409,9.6706,9.6623,9.6623,-9.6623
28.3210,9.6506,9.6476,9.6476,-9.6476
28.6039,9.6217,9.6325,9.6325,-9.6325
28.8896,9.6007,9.6173,9.6173,-9.6173
29.1782,9.5904,9.6023,9.6023,-9.6023
29.4697,9.5707,9.5874,9.5874,-9.5874
29.7640,9.5605,9.5728,9.5728,-9.5728
30.0613,9.5506,9.5584,9.5584,-9.5584
30.3616,9.5406,9.5441,9.5441,-9.5441
30.6649,9.5305,9.5299,9.5299,-9.5299
30.9712,9.5206,9.5157,9.5157,-9.5157
31.2806,9.5106,9.5012,9.5012,-9.5012
31.5930,9.5005,9.4863,9.4863,-9.4863
31.9086,9.4907,9.4710,9.4710,-9.4710
32.2273,9.4708,9.4549,9.4549,-9.4549
32.5492,9.4513,9.4380,9.4380,-9.4380
32.8744,9.4310,9.4204,9.4204,-9.4204
33.2027,9.4110,9.4019,9.4019,-9.4019
33.5344,9.3909,9.3827,9.3827,-9.3827
33.8694,9.3712,9.3627,9.3627,-9.3627
34.2077,9.3420,9.3419,9.3419,-9.3419
34.5494,9.3212,9.3206,9.3206,-9.3206
34.8945,9.3015,9.2988,9.2988,-9.2988
35.2430,9.2815,9.2764,9.2764,-9.2764
35.5951,9.2614,9.2534,9.2534,-9.2534
35.9506,9.2317,9.2299,9.2299,-9.2299
36.3097,9.2111,9.2059,9.2059,-9.2059
36.6724,9.1915,9.1814,9.1814,-9.1814
37.0387,9.1618,9.1562,9.1562,-9.1562
37.4087,9.1412,9.1304,9.1304,-9.1304
37.7824,9.1122,9.1041,9.1041,-9.1041
38.1598,9.0824,9.0771,9.0771,-9.0771
38.5409,9.0615,9.0495,9.0495,-9.0495
38.9259,9.0319,9.0212,9.0212,-9.0212
39.3147,9.0019,8.9923,8.9923,-8.9923
39.7074,8.9724,8.9627,8.9627,-8.9627
40.1041,8.9336,8.9326,8.9326,-8.9326
40.5046,8.9027,8.9022,8.9022,-8.9022
40.9092,8.8723,8.8713,8.8713,-8.8713
41.3179,8.8424,8.8400,8.8400,-8.8400
41.7306,8.8122,8.8084,8.8084,-8.8084
42.1474,8.7823,8.7764,8.7764,-8.7764
42.5684,8.7430,8.7440,8.7440,-8.7440
42.9936,8.7125,8.7112,8.7112,-8.7112
43.4231,8.6826,8.6781,8.6781,-8.6781
43.8568,8.6529,8.6445,8.6445,-8.6445
44.2949,8.6133,8.6105,8.6105,-8.6105
44.7374,8.5828,8.5760,8.5760,-8.5760
45.1842,8.5531,8.5411,8.5411,-8.5411
45.6356,8.5140,8.5056,8.5056,-8.5056
46.0914,8.4734,8.4696,8.4696,-8.4696
46.5518,8.4431,8.4332,8.4332,-8.4332
47.0168,8.4038,8.3964,8.3964,-8.3964
47.4864,8.3637,8.3591,8.3591,-8.3591
47.9608,8.3241,8.3214,8.3214,-8.3214
48.4398,8.2842,8.2832,8.2832,-8.2832
48.9237,8.2439,8.2447,8.2447,-8.2447
49.4124,8.2039,8.2060,8.2060,-8.2060
49.9059,8.1643,8.1670,8.1670,-8.1670
50.4044,8.1333,8.1277,8.1277,-8.1277
50.9079,8.0942,8.0880,8.0880,-8.0880
51.4164,8.0542,8.0480,8.0480,-8.0480
51.9300,8.0146,8.0076,8.0076,-8.0076
52.4487,7.9747,7.9667,7.9667,-7.9667
52.9726,7.9344,7.9254,7.9254,-7.9254
53.5018,7.8855,7.8837,7.8837,-7.8837
54.0362,7.8447,7.8415,7.8415,-7.8415
54.5759,7.8047,7.7990,7.7990,-7.7990
55.1211,7.7644,7.7560,7.7560,-7.7560
55.6717,7.7161,7.7124,7.7124,-7.7124
56.2278,7.6745,7.6684,7.6684,-7.6684
56.7894,7.6262,7.6240,7.6240,-7.6240
57.3567,7.5845,7.5793,7.5793,-7.5793
57.9296,7.5361,7.5342,7.5342,-7.5342
58.5082,7.4949,7.4888,7.4888,-7.4888
59.0927,7.4458,7.4431,7.4431,-7.4431
59.6829,7.3964,7.3972,7.3972,-7.3972
60.2791,7.3548,7.3512,7.3512,-7.3512
60.8812,7.3065,7.3048,7.3048,-7.3048
61.4893,7.2566,7.2583,7.2583,-7.2583
62.1035,7.2150,7.2116,7.2116,-7.2116
62.7239,7.1661,7.1648,7.1648,-7.1648
63.3504,7.1163,7.1178,7.1178,-7.1178
63.9832,7.0754,7.0707,7.0707,-7.0707
64.6223,7.0269,7.0233,7.0233,-7.0233
65.2678,6.9764,6.9757,6.9757,-6.9757
65.9198,6.9268,6.9279,6.9279,-6.9279
66.5782,6.8856,6.8799,6.8799,-6.8799
67.2433,6.8366,6.8316,6.8316,-6.8316
67.9149,6.7870,6.7830,6.7830,-6.7830
68.5933,6.7371,6.7340,6.7340,-6.7340
69.2785,6.6867,6.6848,6.6848,-6.6848
69.9705,6.6457,6.6354,6.6354,-6.6354
70.6694,6.5886,6.5856,6.5856,-6.5856
71.3753,6.5374,6.5357,6.5357,-6.5357
72.0883,6.4872,6.4857,6.4857,-6.4857
72.8083,6.4371,6.4355,6.4355,-6.4355
73.5356,6.3872,6.3851,6.3851,-6.3851
74.2701,6.3374,6.3346,6.3346,-6.3346
75.0120,6.2788,6.2836,6.2836,-6.2836
75.7613,6.2272,6.2326,6.2326,-6.2326
76.5180,6.1774,6.1814,6.1814,-6.1814
77.2824,6.1276,6.1302,6.1302,-6.1302
78.0543,6.0860,6.0790,6.0790,-6.0790
78.8340,6.0374,6.0278,6.0278,-6.0278
79.6214,5.9875,5.9765,5.9765,-5.9765
80.4168,5.9377,5.9251,5.9251,-5.9251
81.2200,5.8796,5.8735,5.8735,-5.8735
82.0313,5.8195,5.8218,5.8218,-5.8218
82.8507,5.7595,5.7700,5.7700,-5.7700
83.6783,5.6995,5.7183,5.7183,-5.7183
84.5141,5.6481,5.6668,5.6668,-5.6668
85.3583,5.6067,5.6154,5.6154,-5.6154
86.2109,5.5665,5.5639,5.5639,-5.5639
87.0721,5.5268,5.5122,5.5122,-5.5122
87.9418,5.4785,5.4602,5.4602,-5.4602
88.8203,5.4202,5.4078,5.4078,-5.4078
89.7075,5.3686,5.3551,5.3551,-5.3551
90.6035,5.3104,5.3021,5.3021,-5.3021
91.5085,5.2501,5.2489,5.2489,-5.2489
92.4226,5.1903,5.1955,5.1955,-5.1955
93.3458,5.1388,5.1421,5.1421,-5.1421
