frequency,raw,smoothed,error,equalization
20.0000,5.8000,5.8327,5.8327,-5.8327
20.1998,5.8000,5.8382,5.8382,-5.8382
20.4015,5.8101,5.8447,5.8447,-5.8447
20.6053,5.8198,5.8522,5.8522,-5.8522
20.8112,5.8301,5.8606,5.8606,-5.8606
21.0190,5.8499,5.8699,5.8699,-5.8699
21.2290,5.8600,5.8799,5.8799,-5.8799
21.4410,5.8701,5.8909,5.8909,-5.8909
21.6552,5.8896,5.9029,5.9029,-5.9029
21.8715,5.9101,5.9159,5.9159,-5.9159
22.0900,5.9300,5.9299,5.9299,-5.9299
22.3106,5.9401,5.9450,5.9450,-5.9450
22.5335,5.9594,5.9610,5.9610,-5.9610
22.7586,5.9799,5.9772,5.9772,-5.9772
22.9859,5.9996,5.9933,5.9933,-5.9933
23.2155,6.0098,6.0093,6.0093,-6.0093
23.4474,6.0298,6.0251,6.0251,-6.0251
23.6816,6.0493,6.0406,6.0406,-6.0406
23.9182,6.0599,6.0557,6.0557,-6.0557
24.1571,6.0798,6.0705,6.0705,-6.0705
24.3984,6.0899,6.0848,6.0848,-6.0848
24.6421,6.0997,6.0987,6.0987,-6.0987
24.8882,6.1199,6.1124,6.1124,-6.1124
25.1368,6.1299,6.1257,6.1257,-6.1257
25.3879,6.1399,6.1386,6.1386,-6.1386
25.6415,6.1497,6.1513,6.1513,-6.1513
25.8976,6.1690,6.1638,6.1638,-6.1638
26.1563,6.1799,6.1761,6.1761,-6.1761
26.4176,6.1895,6.1882,6.1882,-6.1882
26.6815,6.1997,6.2002,6.2002,-6.2002
26.9480,6.2096,6.2121,6.2121,-6.2121
27.2172,6.2195,6.2240,6.2240,-6.2240
27.4890,6.2392,6.2358,6.2358,-6.2358
27.7636,6.2498,6.2476,6.2476,-6.2476
28.0409,6.2597,6.2591,6.2591,-6.2591
28.3210,6.2697,6.2705,6.2705,-6.2705
28.6039,6.2794,6.2818,6.2818,-6.2818
28.8896,6.2993,6.2928,6.2928,-6.2928
29.1782,6.3096,6.3034,6.3034,-6.3034
29.4697,6.3196,6.3137,6.3137,-6.3137
29.7640,6.3295,6.3235,6.3235,-6.3235
30.0613,6.3394,6.3329,6.3329,-6.3329
30.3616,6.3494,6.3418,6.3418,-6.3418
30.6649,6.3595,6.3502,6.3502,-6.3502
30.9712,6.3694,6.3580,6.3580,-6.3580
31.2806,6.3700,6.3652,6.3652,-6.3652
31.5930,6.3795,6.3720,6.3720,-6.3720
31.9086,6.3800,6.3783,6.3783,-6.3783
32.2273,6.3896,6.3843,6.3843,-6.3843
32.5492,6.3900,6.3900,6.3900,-6.3900
32.8744,6.3995,6.3954,6.3954,-6.3954
33.2027,6.4000,6.4007,6.4007,-6.4007
33.5344,6.4095,6.4058,6.4058,-6.4058
33.8694,6.4100,6.4107,6.4107,-6.4107
34.2077,6.4100,6.4155,6.4155,-6.4155
34.5494,6.4194,6.4204,6.4204,-6.4204
34.8945,6.4200,6.4252,6.4252,-6.4252
35.2430,6.4292,6.4300,6.4300,-6.4300
35.5951,6.4393,6.4347,6.4347,-6.4347
35.9506,6.4400,6.4392,6.4392,-6.4392
36.3097,6.4494,6.4435,6.4435,-6.4435
36.6724,6.4500,6.4475,6.4475,-6.4475
37.0387,6.4594,6.4513,6.4513,-6.4513
37.4087,6.4600,6.4546,6.4546,-6.4546
37.7824,6.4600,6.4577,6.4577,-6.4577
38.1598,6.4692,6.4604,6.4604,-6.4604
38.5409,6.4700,6.4627,6.4627,-6.4627
38.9259,6.4700,6.4646,6.4646,-6.4646
39.3147,6.4700,6.4661,6.4661,-6.4661
39.7074,6.4700,6.4673,6.4673,-6.4673
40.1041,6.4700,6.4681,6.4681,-6.4681
40.5046,6.4700,6.4688,6.4688,-6.4688
40.9092,6.4700,6.4693,6.4693,-6.4693
41.3179,6.4700,6.4696,6.4696,-6.4696
41.7306,6.4700,6.4698,6.4698,-6.4698
42.1474,6.4700,6.4698,6.4698,-6.4698
42.5684,6.4700,6.4696,6.4696,-6.4696
42.9936,6.4700,6.4692,6.4692,-6.4692
43.4231,6.4700,6.4687,6.4687,-6.4687
43.8568,6.4700,6.4679,6.4679,-6.4679
44.2949,6.4700,6.4669,6.4669,-6.4669
44.7374,6.4700,6.4656,6.4656,-6.4656
45.1842,6.4700,6.4641,6.4641,-6.4641
45.6356,6.4700,6.4622,6.4622,-6.4622
46.0914,6.4700,6.4599,6.4599,-6.4599
46.5518,6.4610,6.4572,6.4572,-6.4572
47.0168,6.4600,6.4543,6.4543,-6.4543
