frequency,raw,smoothed,error,equalization
20.0000,5.9000,5.9158,5.9158,-5.9158
20.1998,5.9100,5.9170,5.9170,-5.9170
20.4015,5.9101,5.9183,5.9183,-5.9183
20.6053,5.9198,5.9198,5.9198,-5.9198
20.8112,5.9200,5.9212,5.9212,-5.9212
21.0190,5.9200,5.9226,5.9226,-5.9226
21.2290,5.9200,5.9243,5.9243,-5.9243
21.4410,5.9300,5.9262,5.9262,-5.9262
21.6552,5.9300,5.9282,5.9282,-5.9282
21.8715,5.9300,5.9305,5.9305,-5.9305
22.0900,5.9300,5.9332,5.9332,-5.9332
22.3106,5.9300,5.9362,5.9362,-5.9362
22.5335,5.9300,5.9397,5.9397,-5.9397
22.7586,5.9399,5.9435,5.9435,-5.9435
22.9859,5.9400,5.9476,5.9476,-5.9476
23.2155,5.9400,5.9520,5.9520,-5.9520
23.4474,5.9499,5.9567,5.9567,-5.9567
23.6816,5.9597,5.9618,5.9618,-5.9618
23.9182,5.9699,5.9670,5.9670,-5.9670
24.1571,5.9700,5.9722,5.9722,-5.9722
24.3984,5.9799,5.9774,5.9774,-5.9774
24.6421,5.9897,5.9826,5.9826,-5.9826
24.8882,5.9900,5.9875,5.9875,-5.9875
25.1368,5.9999,5.9922,5.9922,-5.9922
25.3879,6.0000,5.9965,5.9965,-5.9965
25.6415,6.0097,6.0005,6.0005,-6.0005
25.8976,6.0100,6.0040,6.0040,-6.0040
26.1563,6.0100,6.0070,6.0070,-6.0070
26.4176,6.0195,6.0095,6.0095,-6.0095
26.6815,6.0200,6.0115,6.0115,-6.0115
26.9480,6.0200,6.0129,6.0129,-6.0129
27.2172,6.0105,6.0140,6.0140,-6.0140
27.4890,6.0196,6.0148,6.0148,-6.0148
27.7636,6.0200,6.0154,6.0154,-6.0154
28.0409,6.0200,6.0159,6.0159,-6.0159
28.3210,6.0200,6.0162,6.0162,-6.0162
28.6039,6.0200,6.0164,6.0164,-6.0164
28.8896,6.0104,6.0165,6.0165,-6.0165
29.1782,6.0100,6.0166,6.0166,-6.0166
29.4697,6.0100,6.0168,6.0168,-6.0168
29.7640,6.0100,6.0170,6.0170,-6.0170
30.0613,6.0100,6.0175,6.0175,-6.0175
30.3616,6.0194,6.0182,6.0182,-6.0182
30.6649,6.0200,6.0190,6.0190,-6.0190
30.9712,6.0294,6.0197,6.0197,-6.0197
31.2806,6.0300,6.0203,6.0203,-6.0203
31.5930,6.0205,6.0208,6.0208,-6.0208
31.9086,6.0200,6.0212,6.0212,-6.0212
32.2273,6.0200,6.0215,6.0215,-6.0215
32.5492,6.0200,6.0217,6.0217,-6.0217
32.8744,6.0200,6.0218,6.0218,-6.0218
33.2027,6.0200,6.0218,6.0218,-6.0218
33.5344,6.0295,6.0218,6.0218,-6.0218
33.8694,6.0300,6.0216,6.0216,-6.0216
34.2077,6.0300,6.0213,6.0213,-6.0213
34.5494,6.0206,6.0209,6.0209,-6.0209
34.8945,6.0200,6.0205,6.0205,-6.0205
35.2430,6.0200,6.0202,6.0202,-6.0202
35.5951,6.0107,6.0199,6.0199,-6.0199
35.9506,6.0100,6.0196,6.0196,-6.0196
36.3097,6.0100,6.0193,6.0193,-6.0193
36.6724,6.0100,6.0191,6.0191,-6.0191
37.0387,6.0194,6.0189,6.0189,-6.0189
37.4087,6.0294,6.0185,6.0185,-6.0185
37.7824,6.0300,6.0179,6.0179,-6.0179
38.1598,6.0300,6.0170,6.0170,-6.0170
38.5409,6.0300,6.0159,6.0159,-6.0159
38.9259,6.0206,6.0146,6.0146,-6.0146
39.3147,6.0106,6.0131,6.0131,-6.0131
39.7074,6.0100,6.0116,6.0116,-6.0116
40.1041,6.0100,6.0101,6.0101,-6.0101
40.5046,6.0009,6.0086,6.0086,-6.0086
40.9092,6.0000,6.0073,6.0073,-6.0073
41.3179,6.0000,6.0059,6.0059,-6.0059
41.7306,6.0000,6.0047,6.0047,-6.0047
42.1474,6.0000,6.0037,6.0037,-6.0037
42.5684,6.0000,6.0029,6.0029,-6.0029
42.9936,6.0000,6.0022,6.0022,-6.0022
43.4231,6.0000,6.0017,6.0017,-6.0017
43.8568,6.0000,6.0012,6.0012,-6.0012
44.2949,6.0000,6.0006,6.0006,-6.0006
44.7374,6.0091,5.9999,5.9999,-5.9999
45.1842,6.0100,5.9990,5.9990,-5.9990
45.6356,6.0010,5.9979,5.9979,-5.9979
46.0914,6.0000,5.9969,5.9969,-5.9969
46.5518,6.0000,5.9957,5.9957,-5.9957
47.0168,6.0000,5.9943,5.9943,-5.9943
47.4864,6.0000,5.9927,5.9927,-5.9927
47.9608,5.9910,5.9909,5.9909,-5.9909
48.4398,5.9810,5.9890,5.9890,-5.9890
48.9237,5.9710,5.9870,5.9870,-5.9870
49.4124,5.9700,5.9851,5.9851,-5.9851
49.9059,5.9789,5.9833,5.9833,-5.9833
50.4044,5.9889,5.9813,5.9813,-5.9813
50.9079,5.9990,5.9791,5.9791,-5.9791
51.4164,5.9911,5.9764,5.9764,-5.9764
