frequency,raw,smoothed,error,equalization
20.0000,5.4600,5.2175,5.2175,-5.2175
20.1998,5.3401,5.2002,5.2002,-5.2002
20.4015,5.2293,5.1773,5.1773,-5.1773
20.6053,5.1322,5.1496,5.1496,-5.1496
20.8112,5.0899,5.1171,5.1171,-5.1171
21.0190,5.0800,5.0795,5.0795,-5.0795
21.2290,5.1099,5.0362,5.0362,-5.0362
21.4410,5.1501,4.9867,4.9867,-4.9867
21.6552,5.1696,4.9306,4.9306,-4.9306
21.8715,5.1694,4.8674,4.8674,-4.8674
22.0900,5.0800,4.7970,4.7970,-4.7970
22.3106,4.9295,4.7196,4.7196,-4.7196
22.5335,4.7454,4.6382,4.6382,-4.6382
22.7586,4.5115,4.5580,4.5580,-4.5580
22.9859,4.2743,4.4810,4.4810,-4.4810
23.2155,4.0739,4.4097,4.4097,-4.4097
23.4474,3.9514,4.3462,4.3462,-4.3462
23.6816,3.9210,4.2921,4.2921,-4.2921
23.9182,3.9696,4.2480,4.2480,-4.2480
24.1571,4.0688,4.2140,4.2140,-4.2140
24.3984,4.1693,4.1892,4.1892,-4.1892
24.6421,4.2475,4.1725,4.1725,-4.1725
24.8882,4.2798,4.1623,4.1623,-4.1623
25.1368,4.2603,4.1571,4.1571,-4.1571
25.3879,4.2104,4.1557,4.1557,-4.1557
25.6415,4.1520,4.1568,4.1568,-4.1568
25.8976,4.1024,4.1591,4.1591,-4.1591
26.1563,4.0704,4.1614,4.1614,-4.1614
26.4176,4.0891,4.1627,4.1627,-4.1627
26.6815,4.1384,4.1621,4.1621,-4.1621
26.9480,4.1973,4.1589,4.1589,-4.1589
27.2172,4.2476,4.1526,4.1526,-4.1526
27.4890,4.2596,4.1433,4.1433,-4.1433
27.7636,4.2405,4.1313,4.1313,-4.1313
28.0409,4.2013,4.1171,4.1171,-4.1171
28.3210,4.1419,4.1011,4.1011,-4.1011
28.6039,4.0833,4.0836,4.0836,-4.0836
28.8896,4.0222,4.0648,4.0648,-4.0648
29.1782,3.9912,4.0448,4.0448,-4.0448
29.4697,3.9804,4.0236,4.0236,-4.0236
29.7640,3.9800,4.0010,4.0010,-4.0010
30.0613,3.9800,3.9773,3.9773,-3.9773
30.3616,3.9800,3.9528,3.9528,-3.9528
30.6649,3.9705,3.9280,3.9280,-3.9280
30.9712,3.9418,3.9034,3.9034,-3.9034
31.2806,3.9119,3.8796,3.8796,-3.8796
31.5930,3.8722,3.8572,3.8572,-3.8572
31.9086,3.8233,3.8364,3.8364,-3.8364
32.2273,3.7816,3.8174,3.8174,-3.8174
32.5492,3.7425,3.8005,3.8005,-3.8005
32.8744,3.7115,3.7857,3.7857,-3.7857
33.2027,3.7005,3.7731,3.7731,-3.7731
33.5344,3.6905,3.7629,3.7629,-3.7629
33.8694,3.6900,3.7550,3.7550,-3.7550
34.2077,3.7087,3.7495,3.7495,-3.7495
34.5494,3.7288,3.7459,3.7459,-3.7459
34.8945,3.7578,3.7436,3.7436,-3.7436
35.2430,3.7785,3.7419,3.7419,-3.7419
35.5951,3.7893,3.7400,3.7400,-3.7400
35.9506,3.7806,3.7373,3.7373,-3.7373
36.3097,3.7706,3.7334,3.7334,-3.7334
36.6724,3.7515,3.7280,3.7280,-3.7280
37.0387,3.7406,3.7209,3.7209,-3.7209
37.4087,3.7306,3.7122,3.7122,-3.7122
37.7824,3.7207,3.7019,3.7019,-3.7019
38.1598,3.7108,3.6900,3.6900,-3.6900
38.5409,3.6915,3.6769,3.6769,-3.6769
38.9259,3.6713,3.6629,3.6629,-3.6629
39.3147,3.6513,3.6485,3.6485,-3.6485
39.7074,3.6316,3.6342,3.6342,-3.6342
40.1041,3.6027,3.6203,3.6203,-3.6203
40.5046,3.5818,3.6073,3.6073,-3.6073
40.9092,3.5615,3.5955,3.5955,-3.5955
41.3179,3.5508,3.5850,3.5850,-3.5850
41.7306,3.5407,3.5758,3.5758,-3.5758
42.1474,3.5492,3.5679,3.5679,-3.5679
42.5684,3.5500,3.5610,3.5610,-3.5610
42.9936,3.5500,3.5549,3.5549,-3.5549
43.4231,3.5500,3.5492,3.5492,-3.5492
43.8568,3.5500,3.5435,3.5435,-3.5435
44.2949,3.5408,3.5372,3.5372,-3.5372
44.7374,3.5400,3.5304,3.5304,-3.5304
45.1842,3.5400,3.5226,3.5226,-3.5226
45.6356,3.5400,3.5138,3.5138,-3.5138
46.0914,3.5400,3.5037,3.5037,-3.5037
46.5518,3.5310,3.4924,3.4924,-3.4924
47.0168,3.5209,3.4798,3.4798,-3.4798
47.4864,3.5019,3.4660,3.4660,-3.4660
47.9608,3.4731,3.4513,3.4513,-3.4513
48.4398,3.4342,3.4361,3.4361,-3.4361
48.9237,3.3939,3.4208,3.4208,-3.4208
49.4124,3.3629,3.4058,3.4058,-3.4058
49.9059,3.3422,3.3915,3.3915,-3.3915
50.4044,3.3400,3.3780,3.3780,-3.3780
50.9079,3.3400,3.3653,3.3653,-3.3653
51.4164,3.3400,3.3530,3.3530,-3.3530
51.9300,3.3488,3.3413,3.3413,-3.3413
52.4487,3.3412,3.3297,3.3297,-3.3297
52.9726,3.3400,3.3182,3.3182,-3.3182
53.5018,3.3311,3.3067,3.3067,-3.3067
54.0362,3.3124,3.2949,3.2949,-3.2949
54.5759,3.3012,3.2830,3.2830,-3.2830
55.1211,3.2822,3.2706,3.2706,-3.2706
55.6717,3.2624,3.2578,3.2578,-3.2578
56.2278,3.2423,3.2446,3.2446,-3.2446
56.7894,3.2312,3.2311,3.2311,-3.2311
57.3567,3.2123,3.2174,3.2174,-3.2174
57.9296,3.1924,3.2037,3.2037,-3.2037
58.5082,3.1812,3.1901,3.1901,-3.1901
59.0927,3.1623,3.1767,3.1767,-3.1767
59.6829,3.1513,3.1634,3.1634,-3.1634
60.2791,3.1412,3.1502,3.1502,-3.1502
60.8812,3.1313,3.1369,3.1369,-3.1369
61.4893,3.1300,3.1233,3.1233,-3.1233
62.1035,3.1213,3.1091,3.1091,-3.1091
62.7239,3.1112,3.0940,3.0940,-3.0940
63.3504,3.1013,3.0780,3.0780,-3.0780
63.9832,3.0914,3.0608,3.0608,-3.0608
64.6223,3.0727,3.0422,3.0422,-3.0422
65.2678,3.0526,3.0222,3.0222,-3.0222
65.9198,3.0241,3.0009,3.0009,-3.0009
66.5782,2.9942,2.9783,2.9783,-2.9783
67.2433,2.9639,2.9546,2.9546,-2.9546
67.9149,2.9342,2.9300,2.9300,-2.9300
68.5933,2.9043,2.9046,2.9046,-2.9046
69.2785,2.8740,2.8786,2.8786,-2.8786
69.9705,2.8443,2.8523,2.8523,-2.8523
70.6694,2.8229,2.8259,2.8259,-2.8259
71.3753,2.7944,2.7994,2.7994,-2.7994
72.0883,2.7643,2.7730,2.7730,-2.7730
72.8083,2.7428,2.7469,2.7469,-2.7469
73.5356,2.7229,2.7211,2.7211,-2.7211
74.2701,2.6945,2.6955,2.6955,-2.6955
75.0120,2.6729,2.6700,2.6700,-2.6700
75.7613,2.6443,2.6445,2.6445,-2.6445
76.5180,2.6144,2.6189,2.6189,-2.6189
77.2824,2.5931,2.5933,2.5933,-2.5933
78.0543,2.5645,2.5674,2.5674,-2.5674
78.8340,2.5430,2.5412,2.5412,-2.5412
79.6214,2.5230,2.5146,2.5146,-2.5146
80.4168,2.5031,2.4874,2.4874,-2.4874
81.2200,2.4748,2.4594,2.4594,-2.4594
82.0313,2.4448,2.4306,2.4306,-2.4306
82.8507,2.4147,2.4011,2.4011,-2.4011
83.6783,2.3848,2.3710,2.3710,-2.3710
84.5141,2.3465,2.3401,2.3401,-2.3401
85.3583,2.3150,2.3089,2.3089,-2.3089
86.2109,2.2849,2.2773,2.2773,-2.2773
87.0721,2.2468,2.2453,2.2453,-2.2453
87.9418,2.2151,2.2133,2.2133,-2.2133
88.8203,2.1768,2.1812,2.1812,-2.1812
89.7075,2.1369,2.1492,2.1492,-2.1492
90.6035,2.1052,2.1174,2.1174,-2.1174
91.5085,2.0750,2.0858,2.0858,-2.0858
