frequency,raw,smoothed,error,equalization
20.0000,5.5900,5.6440,5.6440,-5.6440
20.1998,5.6000,5.6517,5.6517,-5.6517
20.4015,5.6101,5.6605,5.6605,-5.6605
20.6053,5.6198,5.6704,5.6704,-5.6704
20.8112,5.6402,5.6813,5.6813,-5.6813
21.0190,5.6699,5.6931,5.6931,-5.6931
21.2290,5.6899,5.7057,5.7057,-5.7057
21.4410,5.7200,5.7191,5.7191,-5.7191
21.6552,5.7298,5.7332,5.7332,-5.7332
21.8715,5.7501,5.7484,5.7484,-5.7484
22.0900,5.7700,5.7648,5.7648,-5.7648
22.3106,5.7801,5.7825,5.7825,-5.7825
22.5335,5.7994,5.8013,5.8013,-5.8013
22.7586,5.8199,5.8203,5.8203,-5.8203
22.9859,5.8298,5.8394,5.8394,-5.8394
23.2155,5.8496,5.8587,5.8587,-5.8587
23.4474,5.8698,5.8782,5.8782,-5.8782
23.6816,5.8893,5.8978,5.8978,-5.8978
23.9182,5.9198,5.9177,5.9177,-5.9177
24.1571,5.9398,5.9378,5.9378,-5.9378
24.3984,5.9599,5.9580,5.9580,-5.9580
24.6421,5.9794,5.9785,5.9785,-5.9785
24.8882,5.9999,5.9990,5.9990,-5.9990
25.1368,6.0197,6.0195,6.0195,-6.0195
25.3879,6.0398,6.0400,6.0400,-6.0400
25.6415,6.0593,6.0604,6.0604,-6.0604
25.8976,6.0790,6.0806,6.0806,-6.0806
26.1563,6.0997,6.1005,6.1005,-6.1005
26.4176,6.1191,6.1199,6.1199,-6.1199
26.6815,6.1490,6.1388,6.1388,-6.1388
26.9480,6.1691,6.1570,6.1570,-6.1570
27.2172,6.1890,6.1745,6.1745,-6.1745
27.4890,6.2092,6.1911,6.1911,-6.1911
27.7636,6.2198,6.2067,6.2067,-6.2067
28.0409,6.2394,6.2214,6.2214,-6.2214
28.3210,6.2497,6.2349,6.2349,-6.2349
28.6039,6.2594,6.2473,6.2473,-6.2473
28.8896,6.2696,6.2586,6.2586,-6.2586
29.1782,6.2796,6.2687,6.2687,-6.2687
29.4697,6.2896,6.2778,6.2778,-6.2778
29.7640,6.2995,6.2859,6.2859,-6.2859
30.0613,6.3000,6.2930,6.2930,-6.2930
30.3616,6.3094,6.2996,6.2996,-6.2996
30.6649,6.3195,6.3057,6.3057,-6.3057
30.9712,6.3200,6.3113,6.3113,-6.3113
31.2806,6.3200,6.3167,6.3167,-6.3167
31.5930,6.3200,6.3219,6.3219,-6.3219
31.9086,6.3200,6.3270,6.3270,-6.3270
32.2273,6.3200,6.3322,6.3322,-6.3322
32.5492,6.3200,6.3375,6.3375,-6.3375
32.8744,6.3295,6.3429,6.3429,-6.3429
33.2027,6.3395,6.3485,6.3485,-6.3485
33.5344,6.3495,6.3541,6.3541,-6.3541
33.8694,6.3688,6.3598,6.3598,-6.3598
34.2077,6.3793,6.3653,6.3653,-6.3653
34.5494,6.3894,6.3705,6.3705,-6.3705
34.8945,6.3900,6.3755,6.3755,-6.3755
35.2430,6.3900,6.3802,6.3802,-6.3802
35.5951,6.3900,6.3847,6.3847,-6.3847
35.9506,6.3900,6.3890,6.3890,-6.3890
36.3097,6.3900,6.3929,6.3929,-6.3929
36.6724,6.3900,6.3966,6.3966,-6.3966
37.0387,6.3900,6.3999,6.3999,-6.3999
37.4087,6.3994,6.4030,6.4030,-6.4030
37.7824,6.4093,6.4057,6.4057,-6.4057
38.1598,6.4100,6.4079,6.4079,-6.4079
38.5409,6.4192,6.4096,6.4096,-6.4096
38.9259,6.4200,6.4108,6.4108,-6.4108
39.3147,6.4294,6.4112,6.4112,-6.4112
39.7074,6.4300,6.4108,6.4108,-6.4108
40.1041,6.4209,6.4093,6.4093,-6.4093
40.5046,6.4200,6.4069,6.4069,-6.4069
40.9092,6.4200,6.4035,6.4035,-6.4035
41.3179,6.4108,6.3991,6.3991,-6.3991
41.7306,6.4100,6.3938,6.3938,-6.3938
42.1474,6.4008,6.3876,6.3876,-6.3876
