frequency,raw,smoothed,error,equalization
20.0000,-0.6900,-0.5890,-0.5890,0.5890
20.1998,-0.6600,-0.5754,-0.5754,0.5754
20.4015,-0.6399,-0.5600,-0.5600,0.5600
20.6053,-0.6204,-0.5430,-0.5430,0.5430
20.8112,-0.5898,-0.5246,-0.5246,0.5246
21.0190,-0.5502,-0.5050,-0.5050,0.5050
21.2290,-0.5201,-0.4844,-0.4844,0.4844
21.4410,-0.4798,-0.4629,-0.4629,0.4629
21.6552,-0.4409,-0.4404,-0.4404,0.4404
21.8715,-0.3998,-0.4169,-0.4169,0.4169
22.0900,-0.3700,-0.3925,-0.3925,0.3925
22.3106,-0.3399,-0.3669,-0.3669,0.3669
22.5335,-0.3108,-0.3405,-0.3405,0.3405
22.7586,-0.2901,-0.3150,-0.3150,0.3150
22.9859,-0.2704,-0.2902,-0.2902,0.2902
23.2155,-0.2602,-0.2659,-0.2659,0.2659
23.4474,-0.2501,-0.2420,-0.2420,0.2420
23.6816,-0.2307,-0.2180,-0.2180,0.2180
23.9182,-0.2102,-0.1938,-0.1938,0.1938
24.1571,-0.1902,-0.1693,-0.1693,0.1693
24.3984,-0.1701,-0.1441,-0.1441,0.1441
24.6421,-0.1409,-0.1180,-0.1180,0.1180
24.8882,-0.1102,-0.0911,-0.0911,0.0911
25.1368,-0.0705,-0.0633,-0.0633,0.0633
25.3879,-0.0402,-0.0348,-0.0348,0.0348
25.6415,-0.0110,-0.0055,-0.0055,0.0055
25.8976,0.0281,0.0245,0.0245,-0.0245
26.1563,0.0596,0.0550,0.0550,-0.0550
26.4176,0.0886,0.0859,0.0859,-0.0859
26.6815,0.1190,0.1171,0.1171,-0.1171
26.9480,0.1487,0.1486,0.1486,-0.1486
27.2172,0.1786,0.1803,0.1803,-0.1803
27.4890,0.2088,0.2121,0.2121,-0.2121
27.7636,0.2393,0.2440,0.2440,-0.2440
28.0409,0.2690,0.2760,0.2760,-0.2760
28.3210,0.2990,0.3080,0.3080,-0.3080
28.6039,0.3378,0.3402,0.3402,-0.3402
28.8896,0.3689,0.3724,0.3724,-0.3724
29.1782,0.4084,0.4047,0.4047,-0.4047
29.4697,0.4389,0.4368,0.4368,-0.4368
29.7640,0.4779,0.4688,0.4688,-0.4688
30.0613,0.5081,0.5004,0.5004,-0.5004
30.3616,0.5382,0.5317,0.5317,-0.5317
30.6649,0.5685,0.5626,0.5626,-0.5626
30.9712,0.5982,0.5931,0.5931,-0.5931
31.2806,0.6281,0.6233,0.6233,-0.6233
31.5930,0.6584,0.6530,0.6530,-0.6530
31.9086,0.6880,0.6822,0.6822,-0.6822
32.2273,0.7188,0.7109,0.7109,-0.7109
32.5492,0.7481,0.7390,0.7390,-0.7390
32.8744,0.7690,0.7666,0.7666,-0.7666
33.2027,0.7984,0.7937,0.7937,-0.7937
33.5344,0.8191,0.8203,0.8203,-0.8203
33.8694,0.8482,0.8464,0.8464,-0.8464
34.2077,0.8780,0.8721,0.8721,-0.8721
34.5494,0.9082,0.8972,0.8972,-0.8972
34.8945,0.9285,0.9216,0.9216,-0.9216
35.2430,0.9577,0.9455,0.9455,-0.9455
35.5951,0.9786,0.9688,0.9688,-0.9688
35.9506,0.9989,0.9914,0.9914,-0.9914
36.3097,1.0189,1.0133,1.0133,-1.0133
36.6724,1.0478,1.0347,1.0347,-1.0347
37.0387,1.0594,1.0555,1.0555,-1.0555
37.4087,1.0788,1.0756,1.0756,-1.0756
37.7824,1.0985,1.0950,1.0950,-1.0950
38.1598,1.1184,1.1138,1.1138,-1.1138
38.5409,1.1385,1.1321,1.1321,-1.1321
38.9259,1.1587,1.1499,1.1499,-1.1499
39.3147,1.1787,1.1672,1.1672,-1.1672
39.7074,1.1892,1.1841,1.1841,-1.1841
40.1041,1.2082,1.2007,1.2007,-1.2007
40.5046,1.2191,1.2168,1.2168,-1.2168
40.9092,1.2385,1.2325,1.2325,-1.2325
41.3179,1.2492,1.2476,1.2476,-1.2476
41.7306,1.2593,1.2622,1.2622,-1.2622
42.1474,1.2692,1.2762,1.2762,-1.2762
42.5684,1.2885,1.2897,1.2897,-1.2897
42.9936,1.3083,1.3026,1.3026,-1.3026
43.4231,1.3283,1.3145,1.3145,-1.3145
43.8568,1.3480,1.3254,1.3254,-1.3254
44.2949,1.3684,1.3351,1.3351,-1.3351
44.7374,1.3700,1.3432,1.3432,-1.3432
45.1842,1.3700,1.3498,1.3498,-1.3498
45.6356,1.3700,1.3551,1.3551,-1.3551
46.0914,1.3700,1.3590,1.3590,-1.3590
46.5518,1.3790,1.3618,1.3618,-1.3618
47.0168,1.3800,1.3633,1.3633,-1.3633
47.4864,1.3800,1.3635,1.3635,-1.3635
47.9608,1.3800,1.3624,1.3624,-1.3624
48.4398,1.3710,1.3602,1.3602,-1.3602
48.9237,1.3610,1.3572,1.3572,-1.3572
49.4124,1.3510,1.3534,1.3534,-1.3534
49.9059,1.3500,1.3492,1.3492,-1.3492
50.4044,1.3411,1.3446,1.3446,-1.3446
50.9079,1.3400,1.3396,1.3396,-1.3396
51.4164,1.3400,1.3342,1.3342,-1.3342
51.9300,1.3312,1.3283,1.3283,-1.3283
52.4487,1.3300,1.3219,1.3219,-1.3219
52.9726,1.3211,1.3151,1.3151,-1.3151
53.5018,1.3111,1.3077,1.3077,-1.3077
54.0362,1.3100,1.2999,1.2999,-1.2999
54.5759,1.3012,1.2917,1.2917,-1.2917
55.1211,1.2911,1.2830,1.2830,-1.2830
55.6717,1.2812,1.2739,1.2739,-1.2739
56.2278,1.2711,1.2642,1.2642,-1.2642
56.7894,1.2612,1.2541,1.2541,-1.2541
57.3567,1.2511,1.2434,1.2434,-1.2434
57.9296,1.2324,1.2321,1.2321,-1.2321
58.5082,1.2212,1.2205,1.2205,-1.2205
59.0927,1.2023,1.2085,1.2085,-1.2085
59.6829,1.1913,1.1962,1.1962,-1.1962
60.2791,1.1900,1.1837,1.1837,-1.1837
