frequency,raw,smoothed,error,equalization
20.0000,5.7400,5.8680,5.8680,-5.8680
20.1998,5.7700,5.8837,5.8837,-5.8837
20.4015,5.8103,5.9019,5.9019,-5.9019
20.6053,5.8491,5.9219,5.9219,-5.9219
20.8112,5.8802,5.9435,5.9435,-5.9435
21.0190,5.9198,5.9667,5.9667,-5.9667
21.2290,5.9598,5.9913,5.9913,-5.9913
21.4410,6.0001,6.0175,6.0175,-6.0175
21.6552,6.0293,6.0451,6.0451,-6.0451
21.8715,6.0703,6.0746,6.0746,-6.0746
22.0900,6.1100,6.1060,6.1060,-6.1060
22.3106,6.1501,6.1397,6.1397,-6.1397
22.5335,6.1792,6.1748,6.1748,-6.1748
22.7586,6.2197,6.2093,6.2093,-6.2093
22.9859,6.2495,6.2431,6.2431,-6.2431
23.2155,6.2892,6.2764,6.2764,-6.2764
23.4474,6.3197,6.3088,6.3088,-6.3088
23.6816,6.3490,6.3404,6.3404,-6.3404
23.9182,6.3798,6.3713,6.3713,-6.3713
24.1571,6.4096,6.4014,6.4014,-6.4014
24.3984,6.4398,6.4308,6.4308,-6.4308
24.6421,6.4691,6.4593,6.4593,-6.4593
24.8882,6.4998,6.4869,6.4869,-6.4869
25.1368,6.5197,6.5138,6.5138,-6.5138
25.3879,6.5498,6.5399,6.5399,-6.5399
25.6415,6.5693,6.5653,6.5653,-6.5653
25.8976,6.5986,6.5899,6.5899,-6.5899
26.1563,6.6197,6.6137,6.6137,-6.6137
26.4176,6.6486,6.6369,6.6369,-6.6369
26.6815,6.6693,6.6593,6.6593,-6.6593
26.9480,6.6891,6.6810,6.6810,-6.6810
27.2172,6.7090,6.7019,6.7019,-6.7019
27.4890,6.7292,6.7221,6.7221,-6.7221
27.7636,6.7495,6.7416,6.7416,-6.7416
28.0409,6.7694,6.7604,6.7604,-6.7604
28.3210,6.7894,6.7786,6.7786,-6.7786
28.6039,6.7994,6.7959,6.7959,-6.7959
28.8896,6.8193,6.8125,6.8125,-6.8125
29.1782,6.8392,6.8283,6.8283,-6.8283
29.4697,6.8496,6.8434,6.8434,-6.8434
29.7640,6.8689,6.8578,6.8578,-6.8578
30.0613,6.8794,6.8713,6.8713,-6.8713
30.3616,6.8894,6.8841,6.8841,-6.8841
30.6649,6.9090,6.8962,6.8962,-6.8962
30.9712,6.9194,6.9074,6.9074,-6.9074
31.2806,6.9294,6.9178,6.9178,-6.9178
31.5930,6.9395,6.9273,6.9273,-6.9273
31.9086,6.9400,6.9360,6.9360,-6.9360
32.2273,6.9496,6.9440,6.9440,-6.9440
32.5492,6.9594,6.9513,6.9513,-6.9513
32.8744,6.9695,6.9578,6.9578,-6.9578
33.2027,6.9700,6.9634,6.9634,-6.9634
33.5344,6.9795,6.9684,6.9684,-6.9684
33.8694,6.9800,6.9725,6.9725,-6.9725
34.2077,6.9800,6.9758,6.9758,-6.9758
34.5494,6.9894,6.9785,6.9785,-6.9785
34.8945,6.9900,6.9803,6.9803,-6.9803
35.2430,6.9900,6.9814,6.9814,-6.9814
35.5951,6.9900,6.9818,6.9818,-6.9818
35.9506,6.9900,6.9814,6.9814,-6.9814
36.3097,6.9900,6.9802,6.9802,-6.9802
36.6724,6.9900,6.9783,6.9783,-6.9783
37.0387,6.9806,6.9757,6.9757,-6.9757
37.4087,6.9800,6.9723,6.9723,-6.9723
37.7824,6.9800,6.9682,6.9682,-6.9682
38.1598,6.9708,6.9633,6.9633,-6.9633
38.5409,6.9608,6.9576,6.9576,-6.9576
38.9259,6.9600,6.9511,6.9511,-6.9511
39.3147,6.9506,6.9439,6.9439,-6.9439
39.7074,6.9408,6.9359,6.9359,-6.9359
40.1041,6.9400,6.9272,6.9272,-6.9272
40.5046,6.9309,6.9178,6.9178,-6.9178
40.9092,6.9208,6.9076,6.9076,-6.9076
41.3179,6.9108,6.8966,6.8966,-6.8966
41.7306,6.8914,6.8848,6.8848,-6.8848
42.1474,6.8808,6.8725,6.8725,-6.8725
42.5684,6.8615,6.8596,6.8596,-6.8596
42.9936,6.8508,6.8461,6.8461,-6.8461
43.4231,6.8317,6.8320,6.8320,-6.8320
43.8568,6.8210,6.8173,6.8173,-6.8173
44.2949,6.8016,6.8021,6.8021,-6.8021
44.7374,6.7909,6.7863,6.7863,-6.7863
45.1842,6.7810,6.7698,6.7698,-6.7698
45.6356,6.7620,6.7526,6.7526,-6.7526
46.0914,6.7417,6.7347,6.7347,-6.7347
46.5518,6.7310,6.7161,6.7161,-6.7161
47.0168,6.7119,6.6966,6.6966,-6.6966
47.4864,6.6919,6.6763,6.6763,-6.6763
47.9608,6.6631,6.6550,6.6550,-6.6550
48.4398,6.6421,6.6327,6.6327,-6.6327
48.9237,6.6219,6.6095,6.6095,-6.6095
49.4124,6.5929,6.5853,6.5853,-6.5853
49.9059,6.5722,6.5601,6.5601,-6.5601
50.4044,6.5433,6.5338,6.5338,-6.5338
50.9079,6.5131,6.5065,6.5065,-6.5065
51.4164,6.4921,6.4783,6.4783,-6.4783
51.9300,6.4635,6.4491,6.4491,-6.4491
52.4487,6.4335,6.4189,6.4189,-6.4189
52.9726,6.4033,6.3879,6.3879,-6.3879
53.5018,6.3644,6.3560,6.3560,-6.3560
54.0362,6.3335,6.3234,6.3234,-6.3234
54.5759,6.2947,6.2901,6.2901,-6.2901
55.1211,6.2633,6.2561,6.2561,-6.2561
55.6717,6.2249,6.2215,6.2215,-6.2215
56.2278,6.1845,6.1864,6.1864,-6.1864
56.7894,6.1537,6.1508,6.1508,-6.1508
57.3567,6.1145,6.1147,6.1147,-6.1147
57.9296,6.0836,6.0782,6.0782,-6.0782
58.5082,6.0449,6.0411,6.0411,-6.0411
59.0927,6.0135,6.0035,6.0035,-6.0035
59.6829,5.9751,5.9654,5.9654,-5.9654
60.2791,5.9348,5.9266,5.9266,-5.9266
60.8812,5.8952,5.8871,5.8871,-5.8871
61.4893,5.8553,5.8471,5.8471,-5.8471
62.1035,5.8150,5.8063,5.8063,-5.8063
62.7239,5.7749,5.7649,5.7649,-5.7649
63.3504,5.7351,5.7226,5.7226,-5.7226
63.9832,5.6868,5.6796,5.6796,-5.6796
64.6223,5.6455,5.6358,5.6358,-5.6358
65.2678,5.5964,5.5913,5.5913,-5.5913
65.9198,5.5555,5.5460,5.5460,-5.5460
66.5782,5.5070,5.4999,5.4999,-5.4999
67.2433,5.4566,5.4532,5.4532,-5.4532
67.9149,5.4156,5.4058,5.4058,-5.4058
68.5933,5.3671,5.3577,5.3577,-5.3577
69.2785,5.3167,5.3089,5.3089,-5.3089
69.9705,5.2671,5.2594,5.2594,-5.2594
70.6694,5.2172,5.2092,5.2092,-5.2092
71.3753,5.1674,5.1583,5.1583,-5.1583
72.0883,5.1172,5.1068,5.1068,-5.1068
72.8083,5.0585,5.0547,5.0547,-5.0547
73.5356,5.0072,5.0020,5.0020,-5.0020
74.2701,4.9574,4.9486,4.9486,-4.9486
75.0120,4.8988,4.8947,4.8947,-4.8947
75.7613,4.8472,4.8401,4.8401,-4.8401
76.5180,4.7888,4.7850,4.7850,-4.7850
77.2824,4.7376,4.7294,4.7294,-4.7294
