frequency,raw,smoothed,error,equalization
20.0000,4.5200,4.7730,4.7730,-4.7730
20.1998,4.5899,4.8041,4.8041,-4.8041
20.4015,4.6605,4.8400,4.8400,-4.8400
20.6053,4.7284,4.8796,4.8796,-4.8796
20.8112,4.8004,4.9226,4.9226,-4.9226
21.0190,4.8697,4.9688,4.9688,-4.9688
21.2290,4.9496,5.0182,5.0182,-5.0182
21.4410,5.0204,5.0708,5.0708,-5.0708
21.6552,5.0983,5.1268,5.1268,-5.1268
21.8715,5.1805,5.1867,5.1867,-5.1867
22.0900,5.2500,5.2507,5.2507,-5.2507
22.3106,5.3302,5.3195,5.3195,-5.3195
22.5335,5.3980,5.3915,5.3915,-5.3915
22.7586,5.4795,5.4630,5.4630,-5.4630
22.9859,5.5488,5.5338,5.5338,-5.5338
23.2155,5.6186,5.6036,5.6036,-5.6036
23.4474,5.6892,5.6725,5.6725,-5.6725
23.6816,5.7479,5.7404,5.7404,-5.7404
23.9182,5.8194,5.8073,5.8073,-5.8073
24.1571,5.8793,5.8732,5.8732,-5.8732
24.3984,5.9495,5.9381,5.9381,-5.9381
24.6421,6.0081,6.0020,6.0020,-6.0020
24.8882,6.0795,6.0651,6.0651,-6.0651
25.1368,6.1392,6.1271,6.1271,-6.1271
25.3879,6.1995,6.1881,6.1881,-6.1881
25.6415,6.2580,6.2483,6.2483,-6.2483
25.8976,6.3171,6.3077,6.3077,-6.3077
26.1563,6.3791,6.3662,6.3662,-6.3662
26.4176,6.4277,6.4237,6.4237,-6.4237
26.6815,6.4880,6.4805,6.4805,-6.4805
26.9480,6.5473,6.5365,6.5365,-6.5365
27.2172,6.5976,6.5915,6.5915,-6.5915
27.4890,6.6576,6.6456,6.6456,-6.6456
27.7636,6.7088,6.6988,6.6988,-6.6988
28.0409,6.7584,6.7510,6.7510,-6.7510
28.3210,6.8181,6.8024,6.8024,-6.8024
28.6039,6.8672,6.8527,6.8527,-6.8527
28.8896,6.9182,6.9022,6.9022,-6.9022
29.1782,6.9584,6.9506,6.9506,-6.9506
29.4697,7.0082,6.9981,6.9981,-6.9981
29.7640,7.0573,7.0448,7.0448,-7.0448
30.0613,7.0975,7.0904,7.0904,-7.0904
30.3616,7.1469,7.1352,7.1352,-7.1352
30.6649,7.1880,7.1790,7.1790,-7.1790
30.9712,7.2276,7.2220,7.2220,-7.2220
31.2806,7.2675,7.2642,7.2642,-7.2642
31.5930,7.3173,7.3057,7.3057,-7.3057
31.9086,7.3573,7.3462,7.3462,-7.3462
32.2273,7.3984,7.3860,7.3860,-7.3860
32.5492,7.4375,7.4249,7.4249,-7.4249
32.8744,7.4685,7.4630,7.4630,-7.4630
33.2027,7.5079,7.5003,7.5003,-7.5003
33.5344,7.5481,7.5368,7.5368,-7.5368
33.8694,7.5782,7.5724,7.5724,-7.5724
34.2077,7.6174,7.6073,7.6073,-7.6073
34.5494,7.6482,7.6414,7.6414,-7.6414
34.8945,7.6871,7.6746,7.6746,-7.6746
35.2430,7.7177,7.7069,7.7069,-7.7069
35.5951,7.7479,7.7383,7.7383,-7.7383
35.9506,7.7783,7.7689,7.7689,-7.7689
36.3097,7.8083,7.7987,7.7987,-7.7987
36.6724,7.8378,7.8276,7.8276,-7.8276
37.0387,7.8682,7.8558,7.8558,-7.8558
37.4087,7.8888,7.8831,7.8831,-7.8831
37.7824,7.9178,7.9097,7.9097,-7.9097
38.1598,7.9476,7.9355,7.9355,-7.9355
38.5409,7.9685,7.9604,7.9604,-7.9604
38.9259,7.9887,7.9845,7.9845,-7.9845
39.3147,8.0181,8.0079,8.0079,-8.0079
39.7074,8.0384,8.0306,8.0306,-8.0306
40.1041,8.0582,8.0525,8.0525,-8.0525
40.5046,8.0782,8.0737,8.0737,-8.0737
40.9092,8.1077,8.0942,8.0942,-8.0942
41.3179,8.1284,8.1139,8.1139,-8.1139
41.7306,8.1393,8.1328,8.1328,-8.1328
42.1474,8.1584,8.1510,8.1510,-8.1510
42.5684,8.1785,8.1684,8.1684,-8.1684
42.9936,8.1892,8.1850,8.1850,-8.1850
43.4231,8.2083,8.2009,8.2009,-8.2009
43.8568,8.2280,8.2161,8.2161,-8.2161
44.2949,8.2392,8.2305,8.2305,-8.2305
44.7374,8.2491,8.2441,8.2441,-8.2441
45.1842,8.2680,8.2570,8.2570,-8.2570
45.6356,8.2790,8.2690,8.2690,-8.2690
46.0914,8.2891,8.2803,8.2803,-8.2803
46.5518,8.2990,8.2909,8.2909,-8.2909
47.0168,8.3091,8.3009,8.3009,-8.3009
47.4864,8.3191,8.3101,8.3101,-8.3101
47.9608,8.3290,8.3186,8.3186,-8.3186
48.4398,8.3300,8.3264,8.3264,-8.3264
48.9237,8.3390,8.3336,8.3336,-8.3336
49.4124,8.3490,8.3402,8.3402,-8.3402
49.9059,8.3500,8.3461,8.3461,-8.3461
50.4044,8.3589,8.3513,8.3513,-8.3513
50.9079,8.3600,8.3559,8.3559,-8.3559
51.4164,8.3689,8.3599,8.3599,-8.3599
51.9300,8.3700,8.3633,8.3633,-8.3633
52.4487,8.3700,8.3660,8.3660,-8.3660
52.9726,8.3789,8.3681,8.3681,-8.3681
53.5018,8.3800,8.3695,8.3695,-8.3695
54.0362,8.3800,8.3702,8.3702,-8.3702
54.5759,8.3800,8.3702,8.3702,-8.3702
55.1211,8.3800,8.3695,8.3695,-8.3695
55.6717,8.3712,8.3680,8.3680,-8.3680
56.2278,8.3700,8.3660,8.3660,-8.3660
56.7894,8.3700,8.3633,8.3633,-8.3633
57.3567,8.3700,8.3600,8.3600,-8.3600
57.9296,8.3612,8.3561,8.3561,-8.3561
58.5082,8.3600,8.3515,8.3515,-8.3515
59.0927,8.3512,8.3463,8.3463,-8.3463
59.6829,8.3500,8.3404,8.3404,-8.3404
60.2791,8.3412,8.3339,8.3339,-8.3339
60.8812,8.3313,8.3267,8.3267,-8.3267
61.4893,8.3213,8.3190,8.3190,-8.3190
62.1035,8.3200,8.3108,8.3108,-8.3108
62.7239,8.3112,8.3019,8.3019,-8.3019
63.3504,8.3013,8.2924,8.2924,-8.2924
63.9832,8.2914,8.2821,8.2821,-8.2821
64.6223,8.2814,8.2712,8.2712,-8.2712
65.2678,8.2626,8.2597,8.2597,-8.2597
65.9198,8.2514,8.2477,8.2477,-8.2477
66.5782,8.2414,8.2350,8.2350,-8.2350
67.2433,8.2313,8.2218,8.2218,-8.2218
67.9149,8.2128,8.2079,8.2079,-8.2079
68.5933,8.2014,8.1935,8.1935,-8.1935
69.2785,8.1827,8.1785,8.1785,-8.1785
69.9705,8.1714,8.1628,8.1628,-8.1628
70.6694,8.1529,8.1466,8.1466,-8.1466
71.3753,8.1329,8.1299,8.1299,-8.1299
72.0883,8.1214,8.1126,8.1126,-8.1126
72.8083,8.1028,8.0947,8.0947,-8.0947
73.5356,8.0829,8.0763,8.0763,-8.0763
74.2701,8.0630,8.0572,8.0572,-8.0572
75.0120,8.0429,8.0376,8.0376,-8.0376
75.7613,8.0229,8.0174,8.0174,-8.0174
76.5180,8.0029,7.9967,7.9967,-7.9967
77.2824,7.9831,7.9754,7.9754,-7.9754
78.0543,7.9630,7.9535,7.9535,-7.9535
78.8340,7.9345,7.9311,7.9311,-7.9311
79.6214,7.9130,7.9082,7.9082,-7.9082
80.4168,7.8931,7.8847,7.8847,-7.8847
81.2200,7.8648,7.8606,7.8606,-7.8606
82.0313,7.8432,7.8360,7.8360,-7.8360
82.8507,7.8147,7.8108,7.8108,-7.8108
83.6783,7.7932,7.7851,7.7851,-7.7851
84.5141,7.7649,7.7589,7.7589,-7.7589
85.3583,7.7350,7.7322,7.7322,-7.7322
86.2109,7.7133,7.7051,7.7051,-7.7051
87.0721,7.6851,7.6773,7.6773,-7.6773
87.9418,7.6551,7.6491,7.6491,-7.6491
88.8203,7.6251,7.6204,7.6204,-7.6204
89.7075,7.5951,7.5912,7.5912,-7.5912
90.6035,7.5652,7.5615,7.5615,-7.5615
91.5085,7.5350,7.5314,7.5314,-7.5314
92.4226,7.5051,7.5008,7.5008,-7.5008
93.3458,7.4753,7.4698,7.4698,-7.4698
94.2782,7.4452,7.4384,7.4384,-7.4384
95.2199,7.4154,7.4064,7.4064,-7.4064
96.1711,7.3771,7.3739,7.3739,-7.3739
97.1317,7.3453,7.3409,7.3409,-7.3409
98.1019,7.3155,7.3076,7.3076,-7.3076
99.0818,7.2773,7.2737,7.2737,-7.2737
100.0715,7.2454,7.2395,7.2395,-7.2395
101.0711,7.2072,7.2047,7.2047,-7.2047
102.0807,7.1756,7.1696,7.1696,-7.1696
103.1004,7.1374,7.1339,7.1339,-7.1339
104.1302,7.1055,7.0979,7.0979,-7.0979
105.1703,7.0676,7.0613,7.0613,-7.0613
106.2209,7.0276,7.0243,7.0243,-7.0243
107.2819,6.9875,6.9869,6.9869,-6.9869
108.3535,6.9557,6.9491,6.9491,-6.9491
109.4358,6.9176,6.9108,6.9108,-6.9108
110.5289,6.8777,6.8721,6.8721,-6.8721
111.6330,6.8378,6.8329,6.8329,-6.8329
112.7481,6.7979,6.7933,6.7933,-6.7933
113.8743,6.7580,6.7533,6.7533,-6.7533
115.0118,6.7180,6.7128,6.7128,-6.7128
116.1606,6.6780,6.6720,6.6720,-6.6720
117.3209,6.6379,6.6307,6.6307,-6.6307
118.4928,6.5901,6.5890,6.5890,-6.5890
119.6764,6.5482,6.5470,6.5470,-6.5470
120.8718,6.5083,6.5046,6.5046,-6.5046
122.0792,6.4683,6.4618,6.4618,-6.4618
123.2986,6.4203,6.4186,6.4186,-6.4186
124.5302,6.3784,6.3751,6.3751,-6.3751
125.7741,6.3383,6.3313,6.3313,-6.3313
127.0304,6.2903,6.2870,6.2870,-6.2870
128.2993,6.2485,6.2424,6.2424,-6.2424
129.5808,6.2005,6.1974,6.1974,-6.1974
130.8752,6.1585,6.1521,6.1521,-6.1521
132.1825,6.1106,6.1063,6.1063,-6.1063
133.5028,6.0608,6.0602,6.0602,-6.0602
134.8363,6.0185,6.0137,6.0137,-6.0137
136.1832,5.9709,5.9668,5.9668,-5.9668
137.5435,5.9209,5.9196,5.9196,-5.9196
138.9174,5.8788,5.8720,5.8720,-5.8720
140.3050,5.8310,5.8241,5.8241,-5.8241
141.7065,5.7811,5.7758,5.7758,-5.7758
143.1220,5.7312,5.7272,5.7272,-5.7272
144.5516,5.6811,5.6784,5.6784,-5.6784
145.9955,5.6312,5.6293,5.6293,-5.6293
147.4538,5.5812,5.5799,5.5799,-5.5799
148.9267,5.5313,5.5304,5.5304,-5.5304
150.4143,5.4813,5.4806,5.4806,-5.4806
151.9167,5.4314,5.4306,5.4306,-5.4306
153.4342,5.3814,5.3805,5.3805,-5.3805
154.9668,5.3315,5.3301,5.3301,-5.3301
156.5147,5.2817,5.2795,5.2795,-5.2795
158.0781,5.2316,5.2287,5.2287,-5.2287
159.6571,5.1817,5.1777,5.1777,-5.1777
161.2519,5.1318,5.1265,5.1265,-5.1265
162.8626,5.0817,5.0750,5.0750,-5.0750
164.4894,5.0243,5.0231,5.0231,-5.0231
166.1324,4.9720,4.9710,4.9710,-4.9710
167.7919,4.9220,4.9186,4.9186,-4.9186
169.4679,4.8720,4.8660,4.8660,-4.8660
171.1607,4.8144,4.8130,4.8130,-4.8130
172.8704,4.7622,4.7598,4.7598,-4.7598
174.5972,4.7122,4.7063,4.7063,-4.7063
176.3412,4.6547,4.6524,4.6524,-4.6524
178.1026,4.6024,4.5984,4.5984,-4.5984
179.8816,4.5448,4.5441,4.5441,-4.5441
181.6784,4.4925,4.4895,4.4895,-4.4895
183.4932,4.4351,4.4347,4.4347,-4.4347
185.3261,4.3826,4.3798,4.3798,-4.3798
187.1772,4.3253,4.3245,4.3245,-4.3245
189.0469,4.2726,4.2691,4.2691,-4.2691
190.9352,4.2153,4.2134,4.2134,-4.2134
192.8425,4.1628,4.1575,4.1575,-4.1575
194.7687,4.1055,4.1012,4.1012,-4.1012
196.7142,4.0456,4.0446,4.0446,-4.0446
198.6792,3.9930,3.9877,3.9877,-3.9877
200.6637,3.9356,3.9304,3.9304,-3.9304
202.6681,3.8756,3.8727,3.8727,-3.8727
204.6925,3.8158,3.8148,3.8148,-3.8148
206.7371,3.7632,3.7566,3.7566,-3.7566
208.8022,3.7059,3.6983,3.6983,-3.6983
210.8879,3.6459,3.6400,3.6400,-3.6400
212.9944,3.5860,3.5818,3.5818,-3.5818
215.1219,3.5260,3.5239,3.5239,-3.5239
217.2707,3.4588,3.4665,3.4665,-3.4665
219.4410,3.3962,3.4100,3.4100,-3.4100
221.6329,3.3363,3.3543,3.3543,-3.3543
223.8468,3.2763,3.2998,3.2998,-3.2998
226.0827,3.2237,3.2464,3.2464,-3.2464
228.3410,3.1664,3.1941,3.1941,-3.1941
230.6219,3.1137,3.1430,3.1430,-3.1430
232.9255,3.0711,3.0929,3.0929,-3.0929
235.2521,3.0311,3.0437,3.0437,-3.0437
237.6020,2.9912,2.9952,2.9952,-2.9952
239.9754,2.9512,2.9470,2.9470,-2.9470
242.3724,2.9112,2.8989,2.8989,-2.8989
244.7934,2.8641,2.8505,2.8505,-2.8505
247.2386,2.8213,2.8018,2.8018,-2.8018
249.7082,2.7741,2.7524,2.7524,-2.7524
252.2025,2.7172,2.7021,2.7021,-2.7021
254.7217,2.6644,2.6510,2.6510,-2.6510
257.2661,2.6144,2.5990,2.5990,-2.5990
259.8358,2.5573,2.5461,2.5461,-2.5461
262.4313,2.4974,2.4922,2.4922,-2.4922
265.0527,2.4446,2.4377,2.4377,-2.4377
267.7002,2.3876,2.3824,2.3824,-2.3824
270.3742,2.3276,2.3267,2.3267,-2.3267
273.0749,2.2676,2.2706,2.2706,-2.2706
275.8026,2.2147,2.2144,2.2144,-2.2144
278.5575,2.1578,2.1582,2.1582,-2.1582
281.3400,2.0979,2.1019,2.1019,-2.1019
284.1502,2.0449,2.0458,2.0458,-2.0458
286.9885,1.9879,1.9898,1.9898,-1.9898
289.8552,1.9280,1.9339,1.9339,-1.9339
292.7505,1.8751,1.8784,1.8784,-1.8784
295.6747,1.8183,1.8231,1.8231,-1.8231
298.6281,1.7652,1.7681,1.7681,-1.7681
301.6111,1.7084,1.7133,1.7133,-1.7133
304.6238,1.6553,1.6589,1.6589,-1.6589
307.6666,1.6054,1.6047,1.6047,-1.6047
310.7398,1.5485,1.5506,1.5506,-1.5506
313.8437,1.4955,1.4968,1.4968,-1.4968
316.9786,1.4387,1.4431,1.4431,-1.4431
320.1449,1.3856,1.3897,1.3897,-1.3897
323.3427,1.3357,1.3364,1.3364,-1.3364
326.5725,1.2857,1.2833,1.2833,-1.2833
329.8346,1.2289,1.2303,1.2303,-1.2303
333.1292,1.1759,1.1773,1.1773,-1.1773
336.4568,1.1259,1.1244,1.1244,-1.1244
339.8176,1.0692,1.0716,1.0716,-1.0716
343.2119,1.0160,1.0189,1.0189,-1.0189
346.6402,0.9661,0.9664,0.9664,-0.9664
350.1027,0.9162,0.9139,0.9139,-0.9139
353.5998,0.8595,0.8616,0.8616,-0.8616
357.1318,0.8062,0.8094,0.8094,-0.8094
360.6991,0.7563,0.7574,0.7574,-0.7574
364.3021,0.7064,0.7055,0.7055,-0.7055
367.9410,0.6497,0.6538,0.6538,-0.6538
371.6163,0.5964,0.6023,0.6023,-0.6023
375.3283,0.5465,0.5512,0.5512,-0.5512
379.0774,0.4966,0.5003,0.5003,-0.5003
382.8639,0.4467,0.4498,0.4498,-0.4498
386.6882,0.3967,0.3997,0.3997,-0.3997
390.5508,0.3467,0.3499,0.3499,-0.3499
394.4519,0.2968,0.3004,0.3004,-0.3004
398.3920,0.2469,0.2515,0.2515,-0.2515
402.3714,0.1969,0.2029,0.2029,-0.2029
406.3906,0.1469,0.1548,0.1548,-0.1548
410.4500,0.0970,0.1071,0.1071,-0.1071
414.5498,0.0537,0.0599,0.0599,-0.0599
418.6907,0.0072,0.0132,0.0132,-0.0132
422.8729,-0.0362,-0.0331,-0.0331,0.0331
427.0969,-0.0827,-0.0791,-0.0791,0.0791
431.3631,-0.1261,-0.1247,-0.1247,0.1247
435.6718,-0.1726,-0.1699,-0.1699,0.1699
440.0237,-0.2160,-0.2149,-0.2149,0.2149
444.4190,-0.2625,-0.2596,-0.2596,0.2596
448.8582,-0.3060,-0.3040,-0.3040,0.3040
453.3417,-0.3524,-0.3481,-0.3481,0.3481
457.8700,-0.3958,-0.3918,-0.3918,0.3918
462.4436,-0.4358,-0.4353,-0.4353,0.4353
467.0628,-0.4823,-0.4785,-0.4785,0.4785
471.7282,-0.5257,-0.5215,-0.5215,0.5215
476.4402,-0.5657,-0.5641,-0.5641,0.5641
481.1993,-0.6121,-0.6063,-0.6063,0.6063
486.0059,-0.6556,-0.6482,-0.6482,0.6482
490.8605,-0.6956,-0.6896,-0.6896,0.6896
495.7636,-0.7355,-0.7305,-0.7305,0.7305
500.7156,-0.7755,-0.7710,-0.7710,0.7710
505.7172,-0.8154,-0.8112,-0.8112,0.8112
510.7687,-0.8554,-0.8508,-0.8508,0.8508
515.8706,-0.8953,-0.8901,-0.8901,0.8901
521.0235,-0.9353,-0.9290,-0.9290,0.9290
526.2279,-0.9752,-0.9674,-0.9674,0.9674
531.4843,-1.0089,-1.0054,-1.0054,1.0054
536.7932,-1.0452,-1.0430,-1.0430,1.0430
542.1551,-1.0851,-1.0803,-1.0803,1.0803
547.5705,-1.1188,-1.1173,-1.1173,1.1173
553.0401,-1.1550,-1.1539,-1.1539,1.1539
558.5643,-1.1950,-1.1903,-1.1903,1.1903
564.1437,-1.2287,-1.2263,-1.2263,1.2263
569.7788,-1.2649,-1.2619,-1.2619,1.2619
575.4701,-1.2986,-1.2972,-1.2972,1.2972
581.2184,-1.3348,-1.3321,-1.3321,1.3321
587.0241,-1.3748,-1.3666,-1.3666,1.3666
592.8877,-1.4085,-1.4007,-1.4007,1.4007
598.8099,-1.4385,-1.4343,-1.4343,1.4343
604.7913,-1.4746,-1.4674,-1.4674,1.4674
610.8324,-1.5084,-1.4999,-1.4999,1.4999
616.9339,-1.5384,-1.5318,-1.5318,1.5318
623.0963,-1.5684,-1.5632,-1.5632,1.5632
629.3203,-1.6044,-1.5939,-1.5939,1.5939
635.6064,-1.6322,-1.6239,-1.6239,1.6239
