frequency,raw,smoothed,error,equalization
20.0000,5.8000,5.8393,5.8393,-5.8393
20.1998,5.8100,5.8446,5.8446,-5.8446
20.4015,5.8201,5.8507,5.8507,-5.8507
20.6053,5.8298,5.8576,5.8576,-5.8576
20.8112,5.8401,5.8651,5.8651,-5.8651
21.0190,5.8500,5.8733,5.8733,-5.8733
21.2290,5.8699,5.8822,5.8822,-5.8822
21.4410,5.8801,5.8916,5.8916,-5.8916
21.6552,5.8996,5.9018,5.9018,-5.9018
21.8715,5.9101,5.9127,5.9127,-5.9127
22.0900,5.9200,5.9243,5.9243,-5.9243
22.3106,5.9400,5.9370,5.9370,-5.9370
22.5335,5.9497,5.9503,5.9503,-5.9503
22.7586,5.9699,5.9636,5.9636,-5.9636
22.9859,5.9798,5.9767,5.9767,-5.9767
23.2155,5.9898,5.9897,5.9897,-5.9897
23.4474,5.9999,6.0026,6.0026,-6.0026
23.6816,6.0193,6.0153,6.0153,-6.0153
23.9182,6.0299,6.0277,6.0277,-6.0277
24.1571,6.0399,6.0400,6.0400,-6.0400
24.3984,6.0599,6.0520,6.0520,-6.0520
24.6421,6.0697,6.0637,6.0637,-6.0637
24.8882,6.0799,6.0751,6.0751,-6.0751
25.1368,6.0899,6.0863,6.0863,-6.0863
25.3879,6.0999,6.0972,6.0972,-6.0972
25.6415,6.1097,6.1078,6.1078,-6.1078
25.8976,6.1195,6.1182,6.1182,-6.1182
26.1563,6.1299,6.1284,6.1284,-6.1284
26.4176,6.1395,6.1382,6.1382,-6.1382
26.6815,6.1497,6.1478,6.1478,-6.1478
26.9480,6.1596,6.1571,6.1571,-6.1571
27.2172,6.1695,6.1661,6.1661,-6.1661
27.4890,6.1796,6.1747,6.1747,-6.1747
27.7636,6.1898,6.1830,6.1830,-6.1830
28.0409,6.1997,6.1909,6.1909,-6.1909
28.3210,6.2000,6.1984,6.1984,-6.1984
28.6039,6.2094,6.2056,6.2056,-6.2056
28.8896,6.2196,6.2124,6.2124,-6.2124
29.1782,6.2200,6.2188,6.2188,-6.2188
29.4697,6.2296,6.2249,6.2249,-6.2249
29.7640,6.2395,6.2305,6.2305,-6.2305
30.0613,6.2400,6.2356,6.2356,-6.2356
30.3616,6.2400,6.2404,6.2404,-6.2404
30.6649,6.2495,6.2449,6.2449,-6.2449
30.9712,6.2500,6.2491,6.2491,-6.2491
31.2806,6.2594,6.2530,6.2530,-6.2530
31.5930,6.2600,6.2565,6.2565,-6.2565
31.9086,6.2600,6.2598,6.2598,-6.2598
32.2273,6.2696,6.2628,6.2628,-6.2628
32.5492,6.2700,6.2655,6.2655,-6.2655
32.8744,6.2700,6.2679,6.2679,-6.2679
33.2027,6.2700,6.2701,6.2701,-6.2701
33.5344,6.2700,6.2721,6.2721,-6.2721
33.8694,6.2794,6.2742,6.2742,-6.2742
34.2077,6.2800,6.2759,6.2759,-6.2759
34.5494,6.2800,6.2775,6.2775,-6.2775
34.8945,6.2800,6.2788,6.2788,-6.2788
35.2430,6.2800,6.2800,6.2800,-6.2800
35.5951,6.2800,6.2810,6.2810,-6.2810
35.9506,6.2800,6.2818,6.2818,-6.2818
36.3097,6.2800,6.2824,6.2824,-6.2824
36.6724,6.2893,6.2828,6.2828,-6.2828
37.0387,6.2900,6.2829,6.2829,-6.2829
37.4087,6.2900,6.2827,6.2827,-6.2827
37.7824,6.2900,6.2820,6.2820,-6.2820
38.1598,6.2900,6.2810,6.2810,-6.2810
38.5409,6.2808,6.2795,6.2795,-6.2795
38.9259,6.2800,6.2777,6.2777,-6.2777
39.3147,6.2800,6.2755,6.2755,-6.2755
39.7074,6.2800,6.2729,6.2729,-6.2729
40.1041,6.2709,6.2698,6.2698,-6.2698
40.5046,6.2700,6.2664,6.2664,-6.2664
40.9092,6.2700,6.2627,6.2627,-6.2627
41.3179,6.2608,6.2585,6.2585,-6.2585
41.7306,6.2600,6.2541,6.2541,-6.2541
42.1474,6.2508,6.2494,6.2494,-6.2494
42.5684,6.2500,6.2444,6.2444,-6.2444
42.9936,6.2408,6.2393,6.2393,-6.2393
43.4231,6.2309,6.2339,6.2339,-6.2339
43.8568,6.2300,6.2283,6.2283,-6.2283
44.2949,6.2208,6.2224,6.2224,-6.2224
44.7374,6.2200,6.2165,6.2165,-6.2165
45.1842,6.2110,6.2103,6.2103,-6.2103
45.6356,6.2100,6.2040,6.2040,-6.2040
46.0914,6.2009,6.1975,6.1975,-6.1975
46.5518,6.1910,6.1909,6.1909,-6.1909
47.0168,6.1900,6.1841,6.1841,-6.1841
47.4864,6.1809,6.1773,6.1773,-6.1773
47.9608,6.1710,6.1703,6.1703,-6.1703
48.4398,6.1610,6.1632,6.1632,-6.1632
48.9237,6.1510,6.1562,6.1562,-6.1562
49.4124,6.1500,6.1492,6.1492,-6.1492
49.9059,6.1411,6.1421,6.1421,-6.1421
50.4044,6.1311,6.1350,6.1350,-6.1350
50.9079,6.1300,6.1280,6.1280,-6.1280
51.4164,6.1211,6.1210,6.1210,-6.1210
51.9300,6.1112,6.1139,6.1139,-6.1139
52.4487,6.1100,6.1069,6.1069,-6.1069
52.9726,6.1011,6.0997,6.0997,-6.0997
53.5018,6.0911,6.0924,6.0924,-6.0924
54.0362,6.0900,6.0852,6.0852,-6.0852
54.5759,6.0812,6.0778,6.0778,-6.0778
55.1211,6.0711,6.0702,6.0702,-6.0702
55.6717,6.0612,6.0625,6.0625,-6.0625
56.2278,6.0600,6.0548,6.0548,-6.0548
56.7894,6.0512,6.0468,6.0468,-6.0468
57.3567,6.0411,6.0385,6.0385,-6.0385
57.9296,6.0312,6.0300,6.0300,-6.0300
58.5082,6.0212,6.0213,6.0213,-6.0213
59.0927,6.0112,6.0123,6.0123,-6.0123
59.6829,6.0013,6.0032,6.0032,-6.0032
60.2791,6.0000,5.9938,5.9938,-5.9938
60.8812,5.9913,5.9840,5.9840,-5.9840
61.4893,5.9813,5.9739,5.9739,-5.9739
62.1035,5.9713,5.9633,5.9633,-5.9633
62.7239,5.9612,5.9525,5.9525,-5.9525
63.3504,5.9425,5.9412,5.9412,-5.9412
63.9832,5.9314,5.9297,5.9297,-5.9297
64.6223,5.9214,5.9178,5.9178,-5.9178
65.2678,5.9113,5.9055,5.9055,-5.9055
65.9198,5.8927,5.8928,5.8928,-5.8928
66.5782,5.8814,5.8797,5.8797,-5.8797
67.2433,5.8713,5.8663,5.8663,-5.8663
67.9149,5.8528,5.8523,5.8523,-5.8523
68.5933,5.8414,5.8381,5.8381,-5.8381
69.2785,5.8313,5.8235,5.8235,-5.8235
69.9705,5.8214,5.8086,5.8086,-5.8086
70.6694,5.8029,5.7932,5.7932,-5.7932
71.3753,5.7829,5.7775,5.7775,-5.7775
72.0883,5.7629,5.7614,5.7614,-5.7614
72.8083,5.7428,5.7452,5.7452,-5.7452
73.5356,5.7314,5.7288,5.7288,-5.7288
74.2701,5.7130,5.7122,5.7122,-5.7122
75.0120,5.6929,5.6955,5.6955,-5.6955
75.7613,5.6729,5.6787,5.6787,-5.6787
76.5180,5.6615,5.6619,5.6619,-5.6619
77.2824,5.6431,5.6450,5.6450,-5.6450
78.0543,5.6315,5.6280,5.6280,-5.6280
78.8340,5.6130,5.6111,5.6111,-5.6111
79.6214,5.5930,5.5941,5.5941,-5.5941
80.4168,5.5815,5.5771,5.5771,-5.5771
81.2200,5.5632,5.5601,5.5601,-5.5601
82.0313,5.5432,5.5428,5.5428,-5.5428
82.8507,5.5232,5.5255,5.5255,-5.5255
83.6783,5.5116,5.5080,5.5080,-5.5080
84.5141,5.4932,5.4904,5.4904,-5.4904
85.3583,5.4733,5.4725,5.4725,-5.4725
86.2109,5.4533,5.4545,5.4545,-5.4545
87.0721,5.4417,5.4362,5.4362,-5.4362
87.9418,5.4234,5.4178,5.4178,-5.4178
88.8203,5.4034,5.3991,5.3991,-5.3991
89.7075,5.3834,5.3802,5.3802,-5.3802
90.6035,5.3635,5.3611,5.3611,-5.3611
91.5085,5.3434,5.3418,5.3418,-5.3418
92.4226,5.3234,5.3223,5.3223,-5.3223
93.3458,5.3035,5.3027,5.3027,-5.3027
94.2782,5.2835,5.2828,5.2828,-5.2828
95.2199,5.2636,5.2627,5.2627,-5.2627
96.1711,5.2436,5.2424,5.2424,-5.2424
97.1317,5.2235,5.2219,5.2219,-5.2219
98.1019,5.2036,5.2012,5.2012,-5.2012
99.0818,5.1836,5.1802,5.1802,-5.1802
100.0715,5.1636,5.1590,5.1590,-5.1590
101.0711,5.1436,5.1376,5.1376,-5.1376
102.0807,5.1237,5.1159,5.1159,-5.1159
103.1004,5.0956,5.0938,5.0938,-5.0938
104.1302,5.0737,5.0715,5.0715,-5.0715
105.1703,5.0538,5.0489,5.0489,-5.0489
106.2209,5.0257,5.0261,5.0261,-5.0261
107.2819,5.0037,5.0030,5.0030,-5.0030
108.3535,4.9838,4.9797,4.9797,-4.9797
109.4358,4.9557,4.9561,4.9561,-4.9561
110.5289,4.9338,4.9323,4.9323,-4.9323
111.6330,4.9139,4.9082,4.9082,-4.9082
112.7481,4.8859,4.8838,4.8838,-4.8838
113.8743,4.8640,4.8591,4.8591,-4.8591
115.0118,4.8360,4.8341,4.8341,-4.8341
116.1606,4.8140,4.8088,4.8088,-4.8088
117.3209,4.7859,4.7832,4.7832,-4.7832
118.4928,4.7640,4.7574,4.7574,-4.7574
119.6764,4.7361,4.7311,4.7311,-4.7311
120.8718,4.7062,4.7046,4.7046,-4.7046
122.0792,4.6841,4.6777,4.6777,-4.6777
123.2986,4.6562,4.6504,4.6504,-4.6504
124.5302,4.6263,4.6228,4.6228,-4.6228
125.7741,4.5962,4.5948,4.5948,-4.5948
127.0304,4.5662,4.5664,4.5664,-4.5664
