frequency,raw,smoothed,error,equalization
20.0000,1.2300,1.4223,1.4223,-1.4223
20.1998,1.2799,1.4454,1.4454,-1.4454
20.4015,1.3404,1.4720,1.4720,-1.4720
20.6053,1.3889,1.5012,1.5012,-1.5012
20.8112,1.4503,1.5329,1.5329,-1.5329
21.0190,1.4998,1.5668,1.5668,-1.5668
21.2290,1.5597,1.6030,1.6030,-1.6030
21.4410,1.6102,1.6415,1.6415,-1.6415
21.6552,1.6589,1.6827,1.6827,-1.6827
21.8715,1.7203,1.7269,1.7269,-1.7269
22.0900,1.7700,1.7744,1.7744,-1.7744
22.3106,1.8301,1.8258,1.8258,-1.8258
22.5335,1.8786,1.8798,1.8798,-1.8798
22.7586,1.9297,1.9338,1.9338,-1.9338
22.9859,1.9889,1.9876,1.9876,-1.9876
23.2155,2.0390,2.0412,2.0412,-2.0412
23.4474,2.0993,2.0945,2.0945,-2.0945
23.6816,2.1483,2.1475,2.1475,-2.1475
23.9182,2.2095,2.2002,2.2002,-2.2002
24.1571,2.2594,2.2523,2.2523,-2.2523
24.3984,2.3097,2.3040,2.3040,-2.3040
24.6421,2.3681,2.3550,2.3550,-2.3550
24.8882,2.4196,2.4055,2.4055,-2.4055
25.1368,2.4694,2.4552,2.4552,-2.4552
25.3879,2.5097,2.5043,2.5043,-2.5043
25.6415,2.5584,2.5527,2.5527,-2.5527
25.8976,2.6076,2.6005,2.6005,-2.6005
26.1563,2.6494,2.6477,2.6477,-2.6477
26.4176,2.6977,2.6944,2.6944,-2.6944
26.6815,2.7484,2.7405,2.7405,-2.7405
26.9480,2.7882,2.7860,2.7860,-2.7860
27.2172,2.8376,2.8310,2.8310,-2.8310
27.4890,2.8784,2.8754,2.8754,-2.8754
27.7636,2.9288,2.9194,2.9194,-2.9194
28.0409,2.9687,2.9629,2.9629,-2.9629
28.3210,3.0087,3.0060,3.0060,-3.0060
28.6039,3.0572,3.0486,3.0486,-3.0486
28.8896,3.0985,3.0906,3.0906,-3.0906
29.1782,3.1384,3.1320,3.1320,-3.1320
29.4697,3.1786,3.1729,3.1729,-3.1729
29.7640,3.2179,3.2132,3.2132,-3.2132
30.0613,3.2575,3.2530,3.2530,-3.2530
30.3616,3.2975,3.2922,3.2922,-3.2922
30.6649,3.3380,3.3309,3.3309,-3.3309
30.9712,3.3776,3.3690,3.3690,-3.3690
31.2806,3.4175,3.4064,3.4064,-3.4064
31.5930,3.4484,3.4434,3.4434,-3.4434
31.9086,3.4873,3.4798,3.4798,-3.4798
32.2273,3.5188,3.5157,3.5157,-3.5157
32.5492,3.5575,3.5513,3.5513,-3.5513
32.8744,3.5885,3.5865,3.5865,-3.5865
33.2027,3.6279,3.6214,3.6214,-3.6214
33.5344,3.6586,3.6559,3.6559,-3.6559
33.8694,3.6882,3.6902,3.6902,-3.6902
34.2077,3.7274,3.7243,3.7243,-3.7243
34.5494,3.7582,3.7581,3.7581,-3.7581
34.8945,3.7878,3.7916,3.7916,-3.7916
35.2430,3.8269,3.8250,3.8250,-3.8250
35.5951,3.8579,3.8580,3.8580,-3.8580
35.9506,3.8978,3.8907,3.8907,-3.8907
36.3097,3.9283,3.9229,3.9229,-3.9229
36.6724,3.9578,3.9547,3.9547,-3.9547
37.0387,3.9976,3.9859,3.9859,-3.9859
37.4087,4.0283,4.0165,4.0165,-4.0165
37.7824,4.0578,4.0465,4.0465,-4.0465
38.1598,4.0876,4.0758,4.0758,-4.0758
38.5409,4.1177,4.1044,4.1044,-4.1044
38.9259,4.1387,4.1323,4.1323,-4.1323
39.3147,4.1681,4.1596,4.1596,-4.1596
39.7074,4.1884,4.1863,4.1863,-4.1863
40.1041,4.2173,4.2125,4.2125,-4.2125
40.5046,4.2382,4.2382,4.2382,-4.2382
40.9092,4.2677,4.2635,4.2635,-4.2635
41.3179,4.2884,4.2883,4.2883,-4.2883
41.7306,4.3178,4.3126,4.3126,-4.3126
42.1474,4.3384,4.3366,4.3366,-4.3366
42.5684,4.3677,4.3602,4.3602,-4.3602
42.9936,4.3883,4.3834,4.3834,-4.3834
43.4231,4.4083,4.4063,4.4063,-4.4063
43.8568,4.4371,4.4288,4.4288,-4.4288
44.2949,4.4584,4.4510,4.4510,-4.4510
44.7374,4.4781,4.4727,4.4727,-4.4727
45.1842,4.4980,4.4941,4.4941,-4.4941
45.6356,4.5180,4.5150,4.5150,-4.5150
46.0914,4.5383,4.5356,4.5356,-4.5356
46.5518,4.5579,4.5558,4.5558,-4.5558
47.0168,4.5781,4.5757,4.5757,-4.5757
47.4864,4.5981,4.5952,4.5952,-4.5952
47.9608,4.6179,4.6145,4.6145,-4.6145
48.4398,4.6379,4.6334,4.6334,-4.6334
48.9237,4.6581,4.6520,4.6520,-4.6520
49.4124,4.6781,4.6703,4.6703,-4.6703
49.9059,4.6889,4.6881,4.6881,-4.6881
50.4044,4.7078,4.7056,4.7056,-4.7056
50.9079,4.7279,4.7228,4.7228,-4.7228
51.4164,4.7389,4.7396,4.7396,-4.7396
51.9300,4.7577,4.7560,4.7560,-4.7560
52.4487,4.7776,4.7720,4.7720,-4.7720
52.9726,4.7978,4.7875,4.7875,-4.7875
53.5018,4.8089,4.8024,4.8024,-4.8024
54.0362,4.8276,4.8167,4.8167,-4.8167
54.5759,4.8388,4.8304,4.8304,-4.8304
55.1211,4.8489,4.8435,4.8435,-4.8435
55.6717,4.8588,4.8561,4.8561,-4.8561
56.2278,4.8777,4.8683,4.8683,-4.8683
56.7894,4.8888,4.8799,4.8799,-4.8799
57.3567,4.8989,4.8910,4.8910,-4.8910
57.9296,4.9088,4.9017,4.9017,-4.9017
58.5082,4.9188,4.9119,4.9119,-4.9119
59.0927,4.9200,4.9217,4.9217,-4.9217
59.6829,4.9287,4.9312,4.9312,-4.9312
60.2791,4.9388,4.9406,4.9406,-4.9406
60.8812,4.9487,4.9497,4.9497,-4.9497
61.4893,4.9587,4.9587,4.9587,-4.9587
62.1035,4.9687,4.9673,4.9673,-4.9673
62.7239,4.9788,4.9757,4.9757,-4.9757
63.3504,4.9887,4.9838,4.9838,-4.9838
63.9832,4.9986,4.9915,4.9915,-4.9915
