frequency,raw,smoothed,error,equalization
20.0000,2.9200,2.9200,2.9200,-2.9200
20.1998,2.9200,2.9200,2.9200,-2.9200
20.4015,2.9200,2.9200,2.9200,-2.9200
20.6053,2.9200,2.9200,2.9200,-2.9200
20.8112,2.9200,2.9200,2.9200,-2.9200
21.0190,2.9200,2.9200,2.9200,-2.9200
21.2290,2.9200,2.9200,2.9200,-2.9200
21.4410,2.9200,2.9200,2.9200,-2.9200
21.6552,2.9200,2.9200,2.9200,-2.9200
21.8715,2.9200,2.9200,2.9200,-2.9200
22.0900,2.9200,2.9200,2.9200,-2.9200
22.3106,2.9200,2.9200,2.9200,-2.9200
22.5335,2.9200,2.9201,2.9201,-2.9201
22.7586,2.9200,2.9207,2.9207,-2.9207
22.9859,2.9200,2.9221,2.9221,-2.9221
23.2155,2.9200,2.9247,2.9247,-2.9247
23.4474,2.9200,2.9287,2.9287,-2.9287
23.6816,2.9200,2.9341,2.9341,-2.9341
23.9182,2.9200,2.9411,2.9411,-2.9411
24.1571,2.9200,2.9495,2.9495,-2.9495
24.3984,2.9200,2.9594,2.9594,-2.9594
24.6421,2.9200,2.9708,2.9708,-2.9708
24.8882,2.9200,2.9836,2.9836,-2.9836
25.1368,2.9496,2.9980,2.9980,-2.9980
25.3879,2.9996,3.0133,3.0133,-3.0133
25.6415,3.0484,3.0290,3.0290,-3.0290
25.8976,3.0976,3.0443,3.0443,-3.0443
26.1563,3.1197,3.0584,3.0584,-3.0584
26.4176,3.1200,3.0710,3.0710,-3.0710
26.6815,3.1200,3.0822,3.0822,-3.0822
26.9480,3.1200,3.0918,3.0918,-3.0918
27.2172,3.1200,3.1000,3.1000,-3.1000
27.4890,3.1200,3.1068,3.1068,-3.1068
27.7636,3.1200,3.1120,3.1120,-3.1120
28.0409,3.1200,3.1158,3.1158,-3.1158
28.3210,3.1200,3.1181,3.1181,-3.1181
28.6039,3.1200,3.1194,3.1194,-3.1194
28.8896,3.1200,3.1199,3.1199,-3.1199
29.1782,3.1200,3.1200,3.1200,-3.1200
29.4697,3.1200,3.1200,3.1200,-3.1200
29.7640,3.1200,3.1200,3.1200,-3.1200
30.0613,3.1200,3.1200,3.1200,-3.1200
30.3616,3.1200,3.1200,3.1200,-3.1200
30.6649,3.1200,3.1200,3.1200,-3.1200
30.9712,3.1200,3.1200,3.1200,-3.1200
31.2806,3.1200,3.1200,3.1200,-3.1200
31.5930,3.1200,3.1200,3.1200,-3.1200
31.9086,3.1200,3.1200,3.1200,-3.1200
32.2273,3.1200,3.1200,3.1200,-3.1200
32.5492,3.1200,3.1200,3.1200,-3.1200
32.8744,3.1200,3.1200,3.1200,-3.1200
33.2027,3.1200,3.1200,3.1200,-3.1200
33.5344,3.1200,3.1200,3.1200,-3.1200
33.8694,3.1200,3.1200,3.1200,-3.1200
34.2077,3.1200,3.1200,3.1200,-3.1200
34.5494,3.1200,3.1200,3.1200,-3.1200
34.8945,3.1200,3.1200,3.1200,-3.1200
35.2430,3.1200,3.1200,3.1200,-3.1200
