frequency,raw,smoothed,error,equalization
20.0000,7.9700,7.9693,7.9693,-7.9693
20.1998,7.9700,7.9703,7.9703,-7.9703
20.4015,7.9699,7.9716,7.9716,-7.9716
20.6053,7.9602,7.9732,7.9732,-7.9732
20.8112,7.9601,7.9753,7.9753,-7.9753
21.0190,7.9700,7.9782,7.9782,-7.9782
21.2290,7.9700,7.9816,7.9816,-7.9816
21.4410,7.9700,7.9856,7.9856,-7.9856
21.6552,7.9798,7.9905,7.9905,-7.9905
21.8715,7.9801,7.9961,7.9961,-7.9961
22.0900,7.9900,8.0028,8.0028,-8.0028
22.3106,8.0000,8.0105,8.0105,-8.0105
22.5335,8.0097,8.0194,8.0194,-8.0194
22.7586,8.0199,8.0293,8.0293,-8.0293
22.9859,8.0298,8.0401,8.0401,-8.0401
23.2155,8.0398,8.0519,8.0519,-8.0519
23.4474,8.0598,8.0646,8.0646,-8.0646
23.6816,8.0697,8.0781,8.0781,-8.0781
23.9182,8.0799,8.0925,8.0925,-8.0925
24.1571,8.0998,8.1079,8.1079,-8.1079
24.3984,8.1099,8.1241,8.1241,-8.1241
24.6421,8.1294,8.1414,8.1414,-8.1414
24.8882,8.1499,8.1597,8.1597,-8.1597
25.1368,8.1697,8.1789,8.1789,-8.1789
25.3879,8.1898,8.1991,8.1991,-8.1991
25.6415,8.2093,8.2203,8.2203,-8.2203
25.8976,8.2290,8.2425,8.2425,-8.2425
26.1563,8.2497,8.2656,8.2656,-8.2656
26.4176,8.2786,8.2898,8.2898,-8.2898
26.6815,8.2993,8.3148,8.3148,-8.3148
26.9480,8.3287,8.3408,8.3408,-8.3408
27.2172,8.3586,8.3675,8.3675,-8.3675
27.4890,8.3888,8.3949,8.3949,-8.3949
27.7636,8.4193,8.4229,8.4229,-8.4229
28.0409,8.4490,8.4514,8.4514,-8.4514
28.3210,8.4790,8.4803,8.4803,-8.4803
28.6039,8.5083,8.5096,8.5096,-8.5096
28.8896,8.5389,8.5392,8.5392,-8.5392
29.1782,8.5688,8.5692,8.5692,-8.5692
29.4697,8.5989,8.5994,8.5994,-8.5994
29.7640,8.6284,8.6300,8.6300,-8.6300
30.0613,8.6581,8.6609,8.6609,-8.6609
30.3616,8.6882,8.6920,8.6920,-8.6920
30.6649,8.7185,8.7235,8.7235,-8.7235
30.9712,8.7482,8.7554,8.7554,-8.7554
31.2806,8.7781,8.7878,8.7878,-8.7878
31.5930,8.8084,8.8207,8.8207,-8.8207
31.9086,8.8473,8.8541,8.8541,-8.8541
32.2273,8.8788,8.8880,8.8880,-8.8880
32.5492,8.9175,8.9223,8.9223,-8.9223
32.8744,8.9580,8.9571,8.9571,-8.9571
33.2027,8.9884,8.9922,8.9922,-8.9922
33.5344,9.0281,9.0277,9.0277,-9.0277
33.8694,9.0582,9.0634,9.0634,-9.0634
34.2077,9.0974,9.0995,9.0995,-9.0995
34.5494,9.1376,9.1358,9.1358,-9.1358
34.8945,9.1678,9.1723,9.1723,-9.1723
35.2430,9.2069,9.2089,9.2089,-9.2089
35.5951,9.2471,9.2455,9.2455,-9.2455
35.9506,9.2783,9.2821,9.2821,-9.2821
36.3097,9.3177,9.3188,9.3188,-9.3188
36.6724,9.3570,9.3554,9.3554,-9.3554
37.0387,9.3976,9.3918,9.3918,-9.3918
37.4087,9.4283,9.4282,9.4282,-9.4282
37.7824,9.4671,9.4643,9.4643,-9.4643
38.1598,9.5068,9.5003,9.5003,-9.5003
38.5409,9.5377,9.5360,9.5360,-9.5360
38.9259,9.5775,9.5713,9.5713,-9.5713
39.3147,9.6081,9.6063,9.6063,-9.6063
39.7074,9.6467,9.6410,9.6410,-9.6410
40.1041,9.6773,9.6752,9.6752,-9.6752
40.5046,9.7165,9.7091,9.7091,-9.7091
40.9092,9.7477,9.7425,9.7425,-9.7425
41.3179,9.7776,9.7755,9.7755,-9.7755
41.7306,9.8171,9.8080,9.8080,-9.8080
42.1474,9.8477,9.8399,9.8399,-9.8399
42.5684,9.8777,9.8713,9.8713,-9.8713
42.9936,9.9075,9.9022,9.9022,-9.9022
43.4231,9.9374,9.9325,9.9325,-9.9325
43.8568,9.9671,9.9622,9.9622,-9.9622
44.2949,9.9976,9.9914,9.9914,-9.9914
44.7374,10.0272,10.0200,10.0200,-10.0200
45.1842,10.0569,10.0479,10.0479,-10.0479
45.6356,10.0870,10.0752,10.0752,-10.0752
46.0914,10.1083,10.1017,10.1017,-10.1017
46.5518,10.1369,10.1275,10.1275,-10.1275
47.0168,10.1581,10.1525,10.1525,-10.1525
47.4864,10.1872,10.1768,10.1768,-10.1768
47.9608,10.2079,10.2002,10.2002,-10.2002
48.4398,10.2279,10.2226,10.2226,-10.2226
