frequency,raw,smoothed,error,equalization
20.0000,-1.1200,-1.0136,-1.0136,1.0136
20.1998,-1.1000,-0.9934,-0.9934,0.9934
20.4015,-1.0899,-0.9709,-0.9709,0.9709
20.6053,-1.0704,-0.9462,-0.9462,0.9462
20.8112,-1.0499,-0.9191,-0.9191,0.9191
21.0190,-1.0301,-0.8895,-0.8895,0.8895
21.2290,-0.9404,-0.8570,-0.8570,0.8570
21.4410,-0.8596,-0.8223,-0.8223,0.8223
21.6552,-0.7720,-0.7856,-0.7856,0.7856
21.8715,-0.6796,-0.7469,-0.7469,0.7469
22.0900,-0.6200,-0.7059,-0.7059,0.7059
22.3106,-0.6099,-0.6619,-0.6619,0.6619
22.5335,-0.5906,-0.6150,-0.6150,0.6150
22.7586,-0.5801,-0.5669,-0.5669,0.5669
22.9859,-0.5604,-0.5176,-0.5176,0.5176
23.2155,-0.5208,-0.4670,-0.4670,0.4670
23.4474,-0.4805,-0.4153,-0.4153,0.4153
23.6816,-0.4414,-0.3631,-0.3631,0.3631
23.9182,-0.4003,-0.3106,-0.3106,0.3106
24.1571,-0.3210,-0.2577,-0.2577,0.2577
24.3984,-0.2107,-0.2046,-0.2046,0.2046
24.6421,-0.1035,-0.1515,-0.1515,0.1515
24.8882,-0.0007,-0.0987,-0.0987,0.0987
25.1368,0.0691,-0.0468,-0.0468,0.0468
25.3879,0.0898,0.0041,0.0041,-0.0041
25.6415,0.1190,0.0541,0.0541,-0.0541
25.8976,0.1486,0.1037,0.1037,-0.1037
26.1563,0.1599,0.1528,0.1528,-0.1528
26.4176,0.1600,0.2012,0.2012,-0.2012
26.6815,0.1600,0.2486,0.2486,-0.2486
26.9480,0.1600,0.2952,0.2952,-0.2952
27.2172,0.2457,0.3416,0.3416,-0.3416
27.4890,0.3459,0.3876,0.3876,-0.3876
27.7636,0.4476,0.4333,0.4333,-0.4333
28.0409,0.5371,0.4785,0.4785,-0.4785
28.3210,0.6174,0.5229,0.5229,-0.5229
28.6039,0.6956,0.5662,0.5662,-0.5662
28.8896,0.7770,0.6076,0.6076,-0.6076
29.1782,0.7704,0.6464,0.6464,-0.6464
29.4697,0.7025,0.6827,0.6827,-0.6827
29.7640,0.6432,0.7180,0.7180,-0.7180
30.0613,0.6119,0.7539,0.7539,-0.7539
30.3616,0.6851,0.7917,0.7917,-0.7917
30.6649,0.7660,0.8310,0.8310,-0.8310
30.9712,0.8451,0.8708,0.8708,-0.8708
31.2806,0.9062,0.9105,0.9105,-0.9105
31.5930,0.9667,0.9499,0.9499,-0.9499
31.9086,1.0353,0.9897,0.9897,-0.9897
32.2273,1.0496,1.0304,1.0304,-1.0304
32.5492,1.0594,1.0724,1.0724,-1.0724
32.8744,1.0600,1.1154,1.1154,-1.1154
33.2027,1.1358,1.1588,1.1588,-1.1588
33.5344,1.2543,1.2013,1.2013,-1.2013
33.8694,1.3633,1.2420,1.2420,-1.2420
34.2077,1.3700,1.2799,1.2799,-1.2799
34.5494,1.3136,1.3157,1.3157,-1.3157
34.8945,1.2544,1.3506,1.3506,-1.3506
35.2430,1.3331,1.3857,1.3857,-1.3857
35.5951,1.4607,1.4201,1.4201,-1.4201
35.9506,1.5928,1.4524,1.4524,-1.4524
36.3097,1.5339,1.4818,1.4818,-1.4818
36.6724,1.4467,1.5105,1.5105,-1.5105
37.0387,1.4024,1.5402,1.5402,-1.5402
37.4087,1.5319,1.5714,1.5714,-1.5714
37.7824,1.6791,1.6025,1.6025,-1.6025
38.1598,1.7452,1.6326,1.6326,-1.6326
38.5409,1.7223,1.6615,1.6615,-1.6615
38.9259,1.6919,1.6898,1.6898,-1.6898
39.3147,1.6619,1.7180,1.7180,-1.7180
39.7074,1.6324,1.7465,1.7465,-1.7465
40.1041,1.6573,1.7768,1.7768,-1.7768
40.5046,1.8150,1.8093,1.8093,-1.8093
40.9092,1.9777,1.8417,1.8417,-1.8417
