frequency,raw,smoothed,error,equalization
20.0000,8.8400,8.9437,8.9437,-8.9437
20.1998,8.8700,8.9556,8.9556,-8.9556
20.4015,8.9002,8.9693,8.9693,-8.9693
20.6053,8.9293,8.9842,8.9842,-8.9842
20.8112,8.9602,9.0003,9.0003,-9.0003
21.0190,8.9899,9.0173,9.0173,-9.0173
21.2290,9.0099,9.0353,9.0353,-9.0353
21.4410,9.0401,9.0544,9.0544,-9.0544
21.6552,9.0693,9.0746,9.0746,-9.0746
21.8715,9.1001,9.0961,9.0961,-9.0961
22.0900,9.1200,9.1190,9.1190,-9.1190
22.3106,9.1501,9.1436,9.1436,-9.1436
22.5335,9.1694,9.1692,9.1692,-9.1692
22.7586,9.1998,9.1945,9.1945,-9.1945
22.9859,9.2196,9.2195,9.2195,-9.2195
23.2155,9.2494,9.2442,9.2442,-9.2442
23.4474,9.2698,9.2685,9.2685,-9.2685
23.6816,9.2990,9.2926,9.2926,-9.2926
23.9182,9.3198,9.3163,9.3163,-9.3163
24.1571,9.3398,9.3397,9.3397,-9.3397
24.3984,9.3698,9.3628,9.3628,-9.3628
24.6421,9.3894,9.3856,9.3856,-9.3856
24.8882,9.4099,9.4079,9.4079,-9.4079
25.1368,9.4297,9.4299,9.4299,-9.4299
25.3879,9.4598,9.4516,9.4516,-9.4516
25.6415,9.4793,9.4729,9.4729,-9.4729
25.8976,9.4990,9.4938,9.4938,-9.4938
26.1563,9.5197,9.5143,9.5143,-9.5143
26.4176,9.5391,9.5344,9.5344,-9.5344
26.6815,9.5593,9.5541,9.5541,-9.5541
26.9480,9.5791,9.5734,9.5734,-9.5734
27.2172,9.5990,9.5924,9.5924,-9.5924
27.4890,9.6096,9.6109,9.6109,-9.6109
27.7636,9.6295,9.6291,9.6291,-9.6291
28.0409,9.6494,9.6470,9.6470,-9.6470
28.3210,9.6694,9.6646,9.6646,-9.6646
28.6039,9.6889,9.6817,9.6817,-9.6817
28.8896,9.6996,9.6985,9.6985,-9.6985
29.1782,9.7192,9.7149,9.7149,-9.7149
29.4697,9.7393,9.7309,9.7309,-9.7309
29.7640,9.7495,9.7464,9.7464,-9.7464
30.0613,9.7688,9.7616,9.7616,-9.7616
30.3616,9.7794,9.7764,9.7764,-9.7764
30.6649,9.7990,9.7909,9.7909,-9.7909
30.9712,9.8094,9.8049,9.8049,-9.8049
31.2806,9.8194,9.8185,9.8185,-9.8185
31.5930,9.8389,9.8317,9.8317,-9.8317
31.9086,9.8493,9.8446,9.8446,-9.8446
32.2273,9.8596,9.8571,9.8571,-9.8571
32.5492,9.8694,9.8693,9.8693,-9.8693
32.8744,9.8795,9.8812,9.8812,-9.8812
33.2027,9.8990,9.8929,9.8929,-9.8929
33.5344,9.9095,9.9043,9.9043,-9.9043
33.8694,9.9194,9.9152,9.9152,-9.9152
34.2077,9.9293,9.9259,9.9259,-9.9259
34.5494,9.9394,9.9362,9.9362,-9.9362
34.8945,9.9493,9.9462,9.9462,-9.9462
35.2430,9.9592,9.9559,9.9559,-9.9559
35.5951,9.9693,9.9652,9.9652,-9.9652
35.9506,9.9794,9.9742,9.9742,-9.9742
36.3097,9.9894,9.9828,9.9828,-9.9828
36.6724,9.9993,9.9910,9.9910,-9.9910
37.0387,10.0000,9.9988,9.9988,-9.9988
37.4087,10.0094,10.0062,10.0062,-10.0062
37.7824,10.0193,10.0134,10.0134,-10.0134
38.1598,10.0200,10.0201,10.0201,-10.0201
38.5409,10.0292,10.0266,10.0266,-10.0266
38.9259,10.0394,10.0327,10.0327,-10.0327
39.3147,10.0400,10.0384,10.0384,-10.0384
39.7074,10.0492,10.0438,10.0438,-10.0438
40.1041,10.0500,10.0488,10.0488,-10.0488
40.5046,10.0591,10.0535,10.0535,-10.0535
40.9092,10.0600,10.0579,10.0579,-10.0579
41.3179,10.0692,10.0621,10.0621,-10.0621
41.7306,10.0700,10.0658,10.0658,-10.0658
42.1474,10.0700,10.0692,10.0692,-10.0692
42.5684,10.0792,10.0724,10.0724,-10.0724
42.9936,10.0800,10.0752,10.0752,-10.0752
43.4231,10.0800,10.0776,10.0776,-10.0776
43.8568,10.0800,10.0798,10.0798,-10.0798
44.2949,10.0800,10.0817,10.0817,-10.0817
44.7374,10.0891,10.0834,10.0834,-10.0834
45.1842,10.0900,10.0848,10.0848,-10.0848
45.6356,10.0900,10.0858,10.0858,-10.0858
46.0914,10.0900,10.0865,10.0865,-10.0865
46.5518,10.0900,10.0869,10.0869,-10.0869
47.0168,10.0900,10.0870,10.0870,-10.0870
47.4864,10.0900,10.0868,10.0868,-10.0868
47.9608,10.0900,10.0862,10.0862,-10.0862
48.4398,10.0900,10.0853,10.0853,-10.0853
48.9237,10.0900,10.0840,10.0840,-10.0840
49.4124,10.0900,10.0823,10.0823,-10.0823
49.9059,10.0811,10.0802,10.0802,-10.0802
50.4044,10.0800,10.0777,10.0777,-10.0777
50.9079,10.0800,10.0750,10.0750,-10.0750
51.4164,10.0800,10.0719,10.0719,-10.0719
51.9300,10.0712,10.0684,10.0684,-10.0684
52.4487,10.0700,10.0645,10.0645,-10.0645
52.9726,10.0611,10.0603,10.0603,-10.0603
53.5018,10.0600,10.0558,10.0558,-10.0558
54.0362,10.0512,10.0510,10.0510,-10.0510
