frequency,raw,smoothed,error,equalization
20.0000,15.1600,15.1458,15.1458,-15.1458
20.1998,15.1600,15.1410,15.1410,-15.1410
20.4015,15.1600,15.1353,15.1353,-15.1353
20.6053,15.1600,15.1284,15.1284,-15.1284
20.8112,15.1600,15.1205,15.1205,-15.1205
21.0190,15.1600,15.1115,15.1115,-15.1115
21.2290,15.1401,15.1013,15.1013,-15.1013
21.4410,15.1199,15.0903,15.0903,-15.0903
21.6552,15.0907,15.0784,15.0784,-15.0784
21.8715,15.0699,15.0657,15.0657,-15.0657
22.0900,15.0500,15.0522,15.0522,-15.0522
22.3106,15.0299,15.0376,15.0376,-15.0376
22.5335,15.0106,15.0222,15.0222,-15.0222
22.7586,14.9802,15.0066,15.0066,-15.0066
22.9859,14.9604,14.9911,14.9911,-14.9911
23.2155,14.9600,14.9756,14.9756,-14.9756
23.4474,14.9600,14.9602,14.9602,-14.9602
23.6816,14.9600,14.9448,14.9448,-14.9448
23.9182,14.9600,14.9293,14.9293,-14.9293
24.1571,14.9402,14.9136,14.9136,-14.9136
24.3984,14.9201,14.8978,14.8978,-14.8978
24.6421,14.8909,14.8816,14.8816,-14.8816
24.8882,14.8701,14.8653,14.8653,-14.8653
25.1368,14.8503,14.8488,14.8488,-14.8488
25.3879,14.8202,14.8320,14.8320,-14.8320
25.6415,14.7910,14.8150,14.8150,-14.8150
25.8976,14.7710,14.7978,14.7978,-14.7978
26.1563,14.7601,14.7806,14.7806,-14.7806
26.4176,14.7600,14.7632,14.7632,-14.7632
26.6815,14.7600,14.7457,14.7457,-14.7457
26.9480,14.7600,14.7277,14.7277,-14.7277
27.2172,14.7410,14.7092,14.7092,-14.7092
27.4890,14.7112,14.6901,14.6901,-14.6901
27.7636,14.6807,14.6706,14.6706,-14.6706
28.0409,14.6606,14.6509,14.6509,-14.6509
28.3210,14.6310,14.6308,14.6308,-14.6308
28.6039,14.6017,14.6105,14.6105,-14.6105
28.8896,14.5807,14.5898,14.5898,-14.5898
29.1782,14.5608,14.5688,14.5688,-14.5688
29.4697,14.5407,14.5475,14.5475,-14.5475
29.7640,14.5211,14.5259,14.5259,-14.5259
30.0613,14.5012,14.5042,14.5042,-14.5042
30.3616,14.4812,14.4827,14.4827,-14.4827
30.6649,14.4705,14.4613,14.4613,-14.4613
30.9712,14.4606,14.4400,14.4400,-14.4400
31.2806,14.4319,14.4184,14.4184,-14.4184
31.5930,14.4016,14.3965,14.3965,-14.3965
31.9086,14.3720,14.3743,14.3743,-14.3743
32.2273,14.3412,14.3518,14.3518,-14.3518
32.5492,14.3213,14.3289,14.3289,-14.3289
32.8744,14.3010,14.3055,14.3055,-14.3055
33.2027,14.2810,14.2816,14.2816,-14.2816
33.5344,14.2705,14.2572,14.2572,-14.2572
33.8694,14.2512,14.2323,14.2323,-14.2323
34.2077,14.2313,14.2070,14.2070,-14.2070
34.5494,14.2018,14.1809,14.1809,-14.1809
34.8945,14.1722,14.1539,14.1539,-14.1539
35.2430,14.1331,14.1261,14.1261,-14.1261
35.5951,14.1021,14.0978,14.0978,-14.0978
35.9506,14.0622,14.0690,14.0690,-14.0690
36.3097,14.0317,14.0401,14.0401,-14.0401
36.6724,13.9930,14.0111,14.0111,-14.0111
37.0387,13.9618,13.9821,13.9821,-13.9821
37.4087,13.9600,13.9530,13.9530,-13.9530
37.7824,13.9600,13.9234,13.9234,-13.9234
38.1598,13.9324,13.8927,13.8927,-13.8927
38.5409,13.8654,13.8613,13.8613,-13.8613
38.9259,13.7944,13.8297,13.8297,-13.8297
39.3147,13.7713,13.7986,13.7986,-13.7986
39.7074,13.7700,13.7680,13.7680,-13.7680
40.1041,13.7518,13.7371,13.7371,-13.7371
40.5046,13.7318,13.7057,13.7057,-13.7057
40.9092,13.7115,13.6736,13.6736,-13.6736
41.3179,13.6547,13.6404,13.6404,-13.6404
41.7306,13.5943,13.6066,13.6066,-13.6066
42.1474,13.5439,13.5729,13.5729,-13.5729
42.5684,13.5215,13.5399,13.5399,-13.5399
42.9936,13.5017,13.5074,13.5074,-13.5074
43.4231,13.4817,13.4750,13.4750,-13.4750
43.8568,13.4620,13.4423,13.4423,-13.4423
44.2949,13.4233,13.4087,13.4087,-13.4087
44.7374,13.3747,13.3744,13.3744,-13.3744
45.1842,13.3341,13.3396,13.3396,-13.3396
45.6356,13.2849,13.3045,13.3045,-13.3045
46.0914,13.2526,13.2692,13.2692,-13.2692
46.5518,13.2500,13.2339,13.2339,-13.2339
47.0168,13.2409,13.1976,13.1976,-13.1976
47.4864,13.1946,13.1597,13.1597,-13.1597
47.9608,13.1451,13.1202,13.1202,-13.1202
48.4398,13.1042,13.0795,13.0795,-13.0795
48.9237,13.0548,13.0377,13.0377,-13.0377
49.4124,13.0049,12.9949,12.9949,-12.9949
49.9059,12.9554,12.9514,12.9514,-12.9514
50.4044,12.9056,12.9075,12.9075,-12.9075
50.9079,12.8552,12.8635,12.8635,-12.8635
51.4164,12.8232,12.8194,12.8194,-12.8194
51.9300,12.7846,12.7753,12.7753,-12.7753
52.4487,12.7182,12.7312,12.7312,-12.7312
52.9726,12.6566,12.6879,12.6879,-12.6879
53.5018,12.6322,12.6455,12.6455,-12.6455
54.0362,12.6035,12.6036,12.6036,-12.6036
54.5759,12.5383,12.5619,12.5619,-12.5619
55.1211,12.4855,12.5206,12.5206,-12.5206
55.6717,12.4624,12.4797,12.4797,-12.4797
56.2278,12.4423,12.4387,12.4387,-12.4387
56.7894,12.4137,12.3977,12.3977,-12.3977
57.3567,12.3834,12.3563,12.3563,-12.3563
57.9296,12.3536,12.3141,12.3141,-12.3141
58.5082,12.3149,12.2708,12.2708,-12.2708
59.0927,12.2658,12.2263,12.2263,-12.2263
59.6829,12.1903,12.1803,12.1803,-12.1803
60.2791,12.1360,12.1331,12.1331,-12.1331
60.8812,12.0952,12.0851,12.0851,-12.0851
61.4893,12.0119,12.0363,12.0363,-12.0363
62.1035,11.9475,11.9870,11.9870,-11.9870
62.7239,11.9488,11.9375,11.9375,-11.9375
63.3504,11.9238,11.8870,11.8870,-11.8870
63.9832,11.8681,11.8355,11.8355,-11.8355
64.6223,11.7910,11.7832,11.7832,-11.7832
65.2678,11.7277,11.7306,11.7306,-11.7306
65.9198,11.6855,11.6783,11.6783,-11.6783
66.5782,11.6025,11.6261,11.6261,-11.6261
67.2433,11.5466,11.5743,11.5743,-11.5743
67.9149,11.5400,11.5227,11.5227,-11.5227
68.5933,11.4885,11.4708,11.4708,-11.4708
69.2785,11.4194,11.4189,11.4189,-11.4189
69.9705,11.3500,11.3669,11.3669,-11.3669
70.6694,11.3057,11.3152,11.3152,-11.3152
71.3753,11.2574,11.2636,11.2636,-11.2636
72.0883,11.1986,11.2123,11.2123,-11.2123
72.8083,11.1556,11.1615,11.1615,-11.1615
73.5356,11.1414,11.1107,11.1107,-11.1107
74.2701,11.0804,11.0592,11.0592,-11.0592
75.0120,10.9761,11.0069,11.0069,-11.0069
