frequency,raw,smoothed,error,equalization
20.0000,4.6400,4.7661,4.7661,-4.7661
20.1998,4.6800,4.7795,4.7795,-4.7795
20.4015,4.7203,4.7950,4.7950,-4.7950
20.6053,4.7591,4.8123,4.8123,-4.8123
20.8112,4.7902,4.8309,4.8309,-4.8309
21.0190,4.8298,4.8507,4.8507,-4.8507
21.2290,4.8499,4.8715,4.8715,-4.8715
21.4410,4.8701,4.8934,4.8934,-4.8934
21.6552,4.8993,4.9169,4.9169,-4.9169
21.8715,4.9202,4.9422,4.9422,-4.9422
22.0900,4.9500,4.9698,4.9698,-4.9698
22.3106,4.9901,5.0001,5.0001,-5.0001
22.5335,5.0289,5.0322,5.0322,-5.0322
22.7586,5.0797,5.0642,5.0642,-5.0642
22.9859,5.1193,5.0954,5.0954,-5.0954
23.2155,5.1396,5.1254,5.1254,-5.1254
23.4474,5.1598,5.1543,5.1543,-5.1543
23.6816,5.1793,5.1822,5.1822,-5.1822
23.9182,5.1998,5.2094,5.2094,-5.2094
24.1571,5.2395,5.2361,5.2361,-5.2361
24.3984,5.2897,5.2620,5.2620,-5.2620
24.6421,5.3287,5.2867,5.2867,-5.2867
24.8882,5.3796,5.3095,5.3095,-5.3095
25.1368,5.3899,5.3302,5.3302,-5.3302
25.3879,5.3702,5.3490,5.3490,-5.3490
25.6415,5.3507,5.3667,5.3667,-5.3667
25.8976,5.3405,5.3842,5.3842,-5.3842
26.1563,5.3597,5.4020,5.4020,-5.4020
26.4176,5.3982,5.4200,5.4200,-5.4200
26.6815,5.4484,5.4378,5.4378,-5.4378
26.9480,5.4882,5.4549,5.4549,-5.4549
27.2172,5.4995,5.4708,5.4708,-5.4708
27.4890,5.4904,5.4861,5.4861,-5.4861
27.7636,5.4900,5.5013,5.5013,-5.5013
28.0409,5.4997,5.5168,5.5168,-5.5168
28.3210,5.5290,5.5329,5.5329,-5.5329
28.6039,5.5583,5.5490,5.5490,-5.5490
28.8896,5.5889,5.5647,5.5647,-5.5647
29.1782,5.5996,5.5794,5.5794,-5.5794
29.4697,5.6000,5.5928,5.5928,-5.5928
29.7640,5.6000,5.6053,5.6053,-5.6053
30.0613,5.6094,5.6170,5.6170,-5.6170
30.3616,5.6288,5.6281,5.6281,-5.6281
30.6649,5.6490,5.6388,5.6388,-5.6388
30.9712,5.6782,5.6489,5.6489,-5.6489
31.2806,5.6800,5.6582,5.6582,-5.6582
31.5930,5.6895,5.6670,5.6670,-5.6670
31.9086,5.6900,5.6751,5.6751,-5.6751
32.2273,5.6900,5.6829,5.6829,-5.6829
32.5492,5.6900,5.6904,5.6904,-5.6904
32.8744,5.6900,5.6976,5.6976,-5.6976
33.2027,5.6900,5.7042,5.7042,-5.7042
33.5344,5.6805,5.7101,5.7101,-5.7101
33.8694,5.6800,5.7155,5.7155,-5.7155
34.2077,5.7080,5.7205,5.7205,-5.7205
34.5494,5.7382,5.7249,5.7249,-5.7249
34.8945,5.7771,5.7283,5.7283,-5.7283
35.2430,5.7892,5.7304,5.7304,-5.7304
35.5951,5.7900,5.7309,5.7309,-5.7309
35.9506,5.7900,5.7299,5.7299,-5.7299
36.3097,5.7617,5.7272,5.7272,-5.7272
36.6724,5.7230,5.7230,5.7230,-5.7230
37.0387,5.6918,5.7177,5.7177,-5.7177
37.4087,5.6900,5.7116,5.7116,-5.7116
