frequency,raw,smoothed,error,equalization
20.0000,6.1600,6.2917,6.2917,-6.2917
20.1998,6.2000,6.3064,6.3064,-6.3064
20.4015,6.2402,6.3231,6.3231,-6.3231
20.6053,6.2693,6.3413,6.3413,-6.3413
20.8112,6.3102,6.3607,6.3607,-6.3607
21.0190,6.3498,6.3812,6.3812,-6.3812
21.2290,6.3799,6.4026,6.4026,-6.4026
21.4410,6.4201,6.4251,6.4251,-6.4251
21.6552,6.4493,6.4487,6.4487,-6.4487
21.8715,6.4802,6.4735,6.4735,-6.4735
22.0900,6.5100,6.4997,6.4997,-6.4997
22.3106,6.5401,6.5275,6.5275,-6.5275
22.5335,6.5594,6.5562,6.5562,-6.5562
22.7586,6.5898,6.5842,6.5842,-6.5842
22.9859,6.6195,6.6114,6.6114,-6.6114
23.2155,6.6396,6.6379,6.6379,-6.6379
23.4474,6.6697,6.6638,6.6638,-6.6638
23.6816,6.6990,6.6892,6.6892,-6.6892
23.9182,6.7198,6.7138,6.7138,-6.7138
24.1571,6.7496,6.7380,6.7380,-6.7380
24.3984,6.7699,6.7615,6.7615,-6.7615
24.6421,6.7894,6.7846,6.7846,-6.7846
24.8882,6.8099,6.8073,6.8073,-6.8073
25.1368,6.8297,6.8296,6.8296,-6.8296
25.3879,6.8498,6.8516,6.8516,-6.8516
25.6415,6.8790,6.8732,6.8732,-6.8732
25.8976,6.8990,6.8944,6.8944,-6.8944
26.1563,6.9197,6.9152,6.9152,-6.9152
26.4176,6.9391,6.9356,6.9356,-6.9356
26.6815,6.9593,6.9556,6.9556,-6.9556
26.9480,6.9791,6.9753,6.9753,-6.9753
27.2172,6.9990,6.9945,6.9945,-6.9945
27.4890,7.0192,7.0134,7.0134,-7.0134
27.7636,7.0395,7.0317,7.0317,-7.0317
28.0409,7.0594,7.0495,7.0495,-7.0495
28.3210,7.0697,7.0667,7.0667,-7.0667
28.6039,7.0889,7.0833,7.0833,-7.0833
28.8896,7.1093,7.0993,7.0993,-7.0993
29.1782,7.1196,7.1147,7.1147,-7.1147
29.4697,7.1393,7.1295,7.1295,-7.1295
29.7640,7.1495,7.1436,7.1436,-7.1436
30.0613,7.1688,7.1571,7.1571,-7.1571
30.3616,7.1794,7.1699,7.1699,-7.1699
30.6649,7.1895,7.1820,7.1820,-7.1820
30.9712,7.1994,7.1935,7.1935,-7.1935
31.2806,7.2094,7.2045,7.2045,-7.2045
31.5930,7.2195,7.2150,7.2150,-7.2150
31.9086,7.2293,7.2250,7.2250,-7.2250
32.2273,7.2396,7.2345,7.2345,-7.2345
32.5492,7.2494,7.2435,7.2435,-7.2435
32.8744,7.2595,7.2521,7.2521,-7.2521
33.2027,7.2600,7.2602,7.2602,-7.2602
33.5344,7.2695,7.2681,7.2681,-7.2681
33.8694,7.2794,7.2756,7.2756,-7.2756
34.2077,7.2893,7.2828,7.2828,-7.2828
34.5494,7.2900,7.2897,7.2897,-7.2897
34.8945,7.2993,7.2963,7.2963,-7.2963
35.2430,7.3092,7.3026,7.3026,-7.3026
35.5951,7.3100,7.3085,7.3085,-7.3085
35.9506,7.3194,7.3140,7.3140,-7.3140
36.3097,7.3200,7.3191,7.3191,-7.3191
36.6724,7.3293,7.3238,7.3238,-7.3238
37.0387,7.3300,7.3282,7.3282,-7.3282
37.4087,7.3394,7.3320,7.3320,-7.3320
37.7824,7.3400,7.3353,7.3353,-7.3353
38.1598,7.3492,7.3380,7.3380,-7.3380
38.5409,7.3500,7.3399,7.3399,-7.3399
38.9259,7.3500,7.3412,7.3412,-7.3412
39.3147,7.3500,7.3417,7.3417,-7.3417
39.7074,7.3500,7.3416,7.3416,-7.3416
40.1041,7.3500,7.3407,7.3407,-7.3407
40.5046,7.3500,7.3392,7.3392,-7.3392
40.9092,7.3500,7.3369,7.3369,-7.3369
41.3179,7.3408,7.3339,7.3339,-7.3339
41.7306,7.3400,7.3302,7.3302,-7.3302
42.1474,7.3308,7.3259,7.3259,-7.3259
42.5684,7.3208,7.3211,7.3211,-7.3211
42.9936,7.3200,7.3159,7.3159,-7.3159
43.4231,7.3109,7.3103,7.3103,-7.3103
43.8568,7.3100,7.3043,7.3043,-7.3043
44.2949,7.3008,7.2980,7.2980,-7.2980
44.7374,7.2909,7.2913,7.2913,-7.2913
45.1842,7.2900,7.2843,7.2843,-7.2843
45.6356,7.2810,7.2770,7.2770,-7.2770
46.0914,7.2709,7.2695,7.2695,-7.2695
46.5518,7.2610,7.2619,7.2619,-7.2619
47.0168,7.2600,7.2542,7.2542,-7.2542
47.4864,7.2509,7.2463,7.2463,-7.2463
47.9608,7.2410,7.2383,7.2383,-7.2383
48.4398,7.2310,7.2302,7.2302,-7.2302
48.9237,7.2210,7.2221,7.2221,-7.2221
49.4124,7.2110,7.2139,7.2139,-7.2139
49.9059,7.2011,7.2058,7.2058,-7.2058
50.4044,7.1911,7.1979,7.1979,-7.1979
50.9079,7.1900,7.1900,7.1900,-7.1900
51.4164,7.1811,7.1821,7.1821,-7.1821
51.9300,7.1712,7.1742,7.1742,-7.1742
52.4487,7.1700,7.1663,7.1663,-7.1663
52.9726,7.1611,7.1583,7.1583,-7.1583
53.5018,7.1511,7.1502,7.1502,-7.1502
54.0362,7.1412,7.1421,7.1421,-7.1421
54.5759,7.1400,7.1339,7.1339,-7.1339
55.1211,7.1311,7.1255,7.1255,-7.1255
55.6717,7.1212,7.1168,7.1168,-7.1168
56.2278,7.1111,7.1079,7.1079,-7.1079
56.7894,7.1012,7.0988,7.0988,-7.0988
57.3567,7.0911,7.0894,7.0894,-7.0894
57.9296,7.0812,7.0796,7.0796,-7.0796
58.5082,7.0712,7.0695,7.0695,-7.0695
59.0927,7.0612,7.0589,7.0589,-7.0589
59.6829,7.0513,7.0480,7.0480,-7.0480
60.2791,7.0412,7.0366,7.0366,-7.0366
60.8812,7.0313,7.0246,7.0246,-7.0246
61.4893,7.0213,7.0121,7.0121,-7.0121
62.1035,7.0113,6.9989,6.9989,-6.9989
62.7239,7.0012,6.9850,6.9850,-6.9850
63.3504,6.9825,6.9703,6.9703,-6.9703
63.9832,6.9627,6.9549,6.9549,-6.9549
64.6223,6.9427,6.9388,6.9388,-6.9388
65.2678,6.9313,6.9221,6.9221,-6.9221
65.9198,6.9127,6.9047,6.9047,-6.9047
66.5782,6.8928,6.8866,6.8866,-6.8866
67.2433,6.8726,6.8679,6.8679,-6.8679
