frequency,raw,smoothed,error,equalization
20.0000,11.3600,11.4722,11.4722,-11.4722
20.1998,11.3900,11.4854,11.4854,-11.4854
20.4015,11.4203,11.5005,11.5005,-11.5005
20.6053,11.4591,11.5172,11.5172,-11.5172
20.8112,11.4902,11.5350,11.5350,-11.5350
21.0190,11.5199,11.5540,11.5540,-11.5540
21.2290,11.5499,11.5740,11.5740,-11.5740
21.4410,11.5801,11.5952,11.5952,-11.5952
21.6552,11.6093,11.6176,11.6176,-11.6176
21.8715,11.6402,11.6415,11.6415,-11.6415
22.0900,11.6700,11.6669,11.6669,-11.6669
22.3106,11.7001,11.6941,11.6941,-11.6941
22.5335,11.7292,11.7224,11.7224,-11.7224
22.7586,11.7598,11.7501,11.7501,-11.7501
22.9859,11.7796,11.7771,11.7771,-11.7771
23.2155,11.8094,11.8037,11.8037,-11.8037
23.4474,11.8397,11.8297,11.8297,-11.8297
23.6816,11.8593,11.8550,11.8550,-11.8550
23.9182,11.8898,11.8797,11.8797,-11.8797
24.1571,11.9098,11.9038,11.9038,-11.9038
24.3984,11.9398,11.9271,11.9271,-11.9271
24.6421,11.9594,11.9496,11.9496,-11.9496
24.8882,11.9799,11.9714,11.9714,-11.9714
25.1368,11.9997,11.9925,11.9925,-11.9925
25.3879,12.0198,12.0128,12.0128,-12.0128
25.6415,12.0393,12.0323,12.0323,-12.0323
25.8976,12.0590,12.0510,12.0510,-12.0510
26.1563,12.0797,12.0689,12.0689,-12.0689
26.4176,12.0991,12.0860,12.0860,-12.0860
26.6815,12.1097,12.1022,12.1022,-12.1022
26.9480,12.1291,12.1177,12.1177,-12.1177
27.2172,12.1395,12.1324,12.1324,-12.1324
27.4890,12.1592,12.1463,12.1463,-12.1463
27.7636,12.1698,12.1594,12.1594,-12.1594
28.0409,12.1797,12.1717,12.1717,-12.1717
28.3210,12.1897,12.1834,12.1834,-12.1834
28.6039,12.1994,12.1944,12.1944,-12.1944
28.8896,12.2096,12.2048,12.2048,-12.2048
29.1782,12.2196,12.2146,12.2146,-12.2146
29.4697,12.2296,12.2239,12.2239,-12.2239
29.7640,12.2395,12.2327,12.2327,-12.2327
30.0613,12.2494,12.2410,12.2410,-12.2410
30.3616,12.2500,12.2488,12.2488,-12.2488
30.6649,12.2595,12.2563,12.2563,-12.2563
30.9712,12.2694,12.2633,12.2633,-12.2633
31.2806,12.2700,12.2699,12.2699,-12.2699
31.5930,12.2795,12.2762,12.2762,-12.2762
31.9086,12.2893,12.2820,12.2820,-12.2820
32.2273,12.2900,12.2874,12.2874,-12.2874
32.5492,12.2994,12.2922,12.2922,-12.2922
32.8744,12.3000,12.2965,12.2965,-12.2965
