frequency,raw,smoothed,error,equalization
20.0000,13.2600,13.2747,13.2747,-13.2747
20.1998,13.2700,13.2759,13.2759,-13.2759
20.4015,13.2700,13.2771,13.2771,-13.2771
20.6053,13.2700,13.2785,13.2785,-13.2785
20.8112,13.2800,13.2800,13.2800,-13.2800
21.0190,13.2800,13.2815,13.2815,-13.2815
21.2290,13.2800,13.2831,13.2831,-13.2831
21.4410,13.2900,13.2850,13.2850,-13.2850
21.6552,13.2900,13.2868,13.2868,-13.2868
21.8715,13.2900,13.2888,13.2888,-13.2888
22.0900,13.2900,13.2910,13.2910,-13.2910
22.3106,13.2900,13.2934,13.2934,-13.2934
22.5335,13.2900,13.2958,13.2958,-13.2958
22.7586,13.2900,13.2982,13.2982,-13.2982
22.9859,13.2998,13.3005,13.3005,-13.3005
23.2155,13.3000,13.3027,13.3027,-13.3027
23.4474,13.3099,13.3046,13.3046,-13.3046
23.6816,13.3100,13.3062,13.3062,-13.3062
23.9182,13.3199,13.3075,13.3075,-13.3075
24.1571,13.3200,13.3084,13.3084,-13.3084
24.3984,13.3200,13.3089,13.3089,-13.3089
24.6421,13.3200,13.3090,13.3090,-13.3090
24.8882,13.3200,13.3087,13.3087,-13.3087
25.1368,13.3101,13.3080,13.3080,-13.3080
25.3879,13.3100,13.3070,13.3070,-13.3070
25.6415,13.3003,13.3056,13.3056,-13.3056
25.8976,13.3000,13.3040,13.3040,-13.3040
26.1563,13.3000,13.3023,13.3023,-13.3023
26.4176,13.2905,13.3005,13.3005,-13.3005
26.6815,13.2997,13.2987,13.2987,-13.2987
26.9480,13.3000,13.2967,13.2967,-13.2967
27.2172,13.3000,13.2947,13.2947,-13.2947
27.4890,13.3000,13.2925,13.2925,-13.2925
27.7636,13.2902,13.2901,13.2901,-13.2901
28.0409,13.2900,13.2877,13.2877,-13.2877
28.3210,13.2900,13.2851,13.2851,-13.2851
28.6039,13.2806,13.2823,13.2823,-13.2823
28.8896,13.2800,13.2793,13.2793,-13.2793
29.1782,13.2800,13.2761,13.2761,-13.2761
29.4697,13.2800,13.2725,13.2725,-13.2725
29.7640,13.2705,13.2686,13.2686,-13.2686
30.0613,13.2700,13.2644,13.2644,-13.2644
30.3616,13.2606,13.2599,13.2599,-13.2599
30.6649,13.2600,13.2552,13.2552,-13.2552
30.9712,13.2506,13.2502,13.2502,-13.2502
31.2806,13.2500,13.2451,13.2451,-13.2451
31.5930,13.2405,13.2396,13.2396,-13.2396
31.9086,13.2400,13.2339,13.2339,-13.2339
32.2273,13.2304,13.2279,13.2279,-13.2279
32.5492,13.2206,13.2217,13.2217,-13.2217
32.8744,13.2200,13.2154,13.2154,-13.2154
33.2027,13.2105,13.2089,13.2089,-13.2089
33.5344,13.2005,13.2022,13.2022,-13.2022
33.8694,13.2000,13.1954,13.1954,-13.1954
34.2077,13.1907,13.1884,13.1884,-13.1884
34.5494,13.1806,13.1812,13.1812,-13.1812
34.8945,13.1707,13.1739,13.1739,-13.1739
35.2430,13.1700,13.1664,13.1664,-13.1664
35.5951,13.1607,13.1588,13.1588,-13.1588
35.9506,13.1506,13.1509,13.1509,-13.1509
36.3097,13.1500,13.1429,13.1429,-13.1429
36.6724,13.1407,13.1345,13.1345,-13.1345
37.0387,13.1306,13.1258,13.1258,-13.1258
37.4087,13.1206,13.1168,13.1168,-13.1168
37.7824,13.1107,13.1075,13.1075,-13.1075
38.1598,13.1008,13.0979,13.0979,-13.0979
38.5409,13.0908,13.0880,13.0880,-13.0880
38.9259,13.0806,13.0778,13.0778,-13.0778
39.3147,13.0706,13.0673,13.0673,-13.0673
39.7074,13.0608,13.0565,13.0565,-13.0565
40.1041,13.0509,13.0453,13.0453,-13.0453
40.5046,13.0409,13.0338,13.0338,-13.0338
40.9092,13.0215,13.0219,13.0219,-13.0219
41.3179,13.0108,13.0099,13.0099,-13.0099
41.7306,13.0007,12.9976,12.9976,-12.9976
42.1474,12.9908,12.9851,12.9851,-12.9851
42.5684,12.9715,12.9723,12.9723,-12.9723
42.9936,12.9608,12.9593,12.9593,-12.9593
43.4231,12.9509,12.9460,12.9460,-12.9460
43.8568,12.9320,12.9325,12.9325,-12.9325
44.2949,12.9208,12.9188,12.9188,-12.9188
44.7374,12.9109,12.9049,12.9049,-12.9049
45.1842,12.8920,12.8907,12.8907,-12.8907
45.6356,12.8810,12.8763,12.8763,-12.8763
46.0914,12.8617,12.8616,12.8616,-12.8616
46.5518,12.8510,12.8467,12.8467,-12.8467
47.0168,12.8319,12.8315,12.8315,-12.8315
47.4864,12.8209,12.8160,12.8160,-12.8160
47.9608,12.8021,12.8003,12.8003,-12.8003
48.4398,12.7910,12.7843,12.7843,-12.7843
48.9237,12.7719,12.7680,12.7680,-12.7680
49.4124,12.7519,12.7514,12.7514,-12.7514
49.9059,12.7411,12.7345,12.7345,-12.7345
50.4044,12.7222,12.7172,12.7172,-12.7172
50.9079,12.7021,12.6997,12.6997,-12.6997
51.4164,12.6821,12.6819,12.6819,-12.6819
51.9300,12.6623,12.6637,12.6637,-12.6637
52.4487,12.6512,12.6453,12.6453,-12.6453
52.9726,12.6322,12.6266,12.6266,-12.6266
53.5018,12.6122,12.6074,12.6074,-12.6074
54.0362,12.5924,12.5879,12.5879,-12.5879
54.5759,12.5724,12.5680,12.5680,-12.5680
55.1211,12.5522,12.5479,12.5479,-12.5479
55.6717,12.5324,12.5273,12.5273,-12.5273
56.2278,12.5123,12.5065,12.5065,-12.5065
56.7894,12.4925,12.4853,12.4853,-12.4853
57.3567,12.4634,12.4638,12.4638,-12.4638
57.9296,12.4424,12.4420,12.4420,-12.4420
58.5082,12.4225,12.4199,12.4199,-12.4199
59.0927,12.4023,12.3976,12.3976,-12.3976
59.6829,12.3739,12.3749,12.3749,-12.3749
60.2791,12.3524,12.3519,12.3519,-12.3519
60.8812,12.3326,12.3287,12.3287,-12.3287
61.4893,12.3126,12.3052,12.3052,-12.3052
62.1035,12.2838,12.2813,12.2813,-12.2813
62.7239,12.2625,12.2571,12.2571,-12.2571
63.3504,12.2338,12.2325,12.2325,-12.2325
63.9832,12.2127,12.2076,12.2076,-12.2076
64.6223,12.1927,12.1825,12.1825,-12.1825
65.2678,12.1639,12.1569,12.1569,-12.1569
65.9198,12.1341,12.1309,12.1309,-12.1309
66.5782,12.1042,12.1046,12.1046,-12.1046
67.2433,12.0826,12.0780,12.0780,-12.0780
67.9149,12.0542,12.0510,12.0510,-12.0510
68.5933,12.0243,12.0237,12.0237,-12.0237
69.2785,11.9940,11.9960,11.9960,-11.9960
69.9705,11.9728,11.9681,11.9681,-11.9681
70.6694,11.9443,11.9398,11.9398,-11.9398
71.3753,11.9144,11.9112,11.9112,-11.9112
72.0883,11.8929,11.8821,11.8821,-11.8821
72.8083,11.8642,11.8527,11.8527,-11.8527
73.5356,11.8257,11.8228,11.8228,-11.8228
74.2701,11.7945,11.7925,11.7925,-11.7925
75.0120,11.7644,11.7620,11.7620,-11.7620
75.7613,11.7343,11.7312,11.7312,-11.7312
76.5180,11.7044,11.7001,11.7001,-11.7001
77.2824,11.6746,11.6686,11.6686,-11.6686
78.0543,11.6360,11.6367,11.6367,-11.6367
78.8340,11.6045,11.6046,11.6046,-11.6046
79.6214,11.5745,11.5721,11.5721,-11.5721
80.4168,11.5446,11.5393,11.5393,-11.5393
81.2200,11.5064,11.5061,11.5061,-11.5061
82.0313,11.4748,11.4727,11.4727,-11.4727
82.8507,11.4447,11.4390,11.4390,-11.4390
83.6783,11.4148,11.4050,11.4050,-11.4050
84.5141,11.3765,11.3708,11.3708,-11.3708
85.3583,11.3450,11.3365,11.3365,-11.3365
86.2109,11.3065,11.3022,11.3022,-11.3022
87.0721,11.2668,11.2677,11.2677,-11.2677
87.9418,11.2268,11.2331,11.2331,-11.2331
88.8203,11.1951,11.1982,11.1982,-11.1982
89.7075,11.1569,11.1629,11.1629,-11.1629
90.6035,11.1170,11.1272,11.1272,-11.1272
91.5085,11.0850,11.0913,11.0913,-11.0913
92.4226,11.0551,11.0550,11.0550,-11.0550
93.3458,11.0253,11.0182,11.0182,-11.0182
94.2782,11.0035,10.9808,10.9808,-10.9808
95.2199,10.9836,10.9426,10.9426,-10.9426
96.1711,10.9471,10.9034,10.9034,-10.9034
97.1317,10.8823,10.8630,10.8630,-10.8630
98.1019,10.8209,10.8218,10.8218,-10.8218
99.0818,10.7773,10.7802,10.7802,-10.7802
100.0715,10.7290,10.7381,10.7381,-10.7381
101.0711,10.6872,10.6957,10.6957,-10.6957
102.0807,10.6474,10.6531,10.6531,-10.6531
103.1004,10.6074,10.6101,10.6101,-10.6101
104.1302,10.5674,10.5668,10.5668,-10.5668
105.1703,10.5276,10.5233,10.5233,-10.5233
106.2209,10.4795,10.4794,10.4794,-10.4794
107.2819,10.4375,10.4353,10.4353,-10.4353
108.3535,10.3976,10.3911,10.3911,-10.3911
109.4358,10.3495,10.3467,10.3467,-10.3467
110.5289,10.3077,10.3021,10.3021,-10.3021
111.6330,10.2678,10.2572,10.2572,-10.2572
112.7481,10.2199,10.2120,10.2120,-10.2120
113.8743,10.1780,10.1663,10.1663,-10.1663
115.0118,10.1300,10.1203,10.1203,-10.1203
116.1606,10.0800,10.0739,10.0739,-10.0739
117.3209,10.0299,10.0272,10.0272,-10.0272
118.4928,9.9721,9.9803,9.9803,-9.9803
119.6764,9.9202,9.9334,9.9334,-9.9334
120.8718,9.8703,9.8865,9.8865,-9.8865
122.0792,9.8362,9.8397,9.8397,-9.8397
123.2986,9.7982,9.7928,9.7928,-9.7928
124.5302,9.7505,9.7456,9.7456,-9.7456
125.7741,9.7083,9.6983,9.6983,-9.6983
127.0304,9.6603,9.6506,9.6506,-9.6506
128.2993,9.6106,9.6027,9.6027,-9.6027
129.5808,9.5605,9.5546,9.5546,-9.5546
130.8752,9.5106,9.5061,9.5061,-9.5061
132.1825,9.4606,9.4573,9.4573,-9.4573
133.5028,9.4108,9.4082,9.4082,-9.4082
134.8363,9.3607,9.3587,9.3587,-9.3587
136.1832,9.3109,9.3087,9.3087,-9.3087
137.5435,9.2609,9.2583,9.2583,-9.2583
138.9174,9.2110,9.2075,9.2075,-9.2075
140.3050,9.1610,9.1564,9.1564,-9.1564
141.7065,9.1111,9.1049,9.1049,-9.1049
143.1220,9.0612,9.0531,9.0531,-9.0531
144.5516,9.0034,9.0010,9.0010,-9.0010
145.9955,8.9512,8.9485,8.9485,-8.9485
147.4538,8.9012,8.8958,8.8958,-8.8958
148.9267,8.8435,8.8427,8.8427,-8.8427
150.4143,8.7913,8.7894,8.7894,-8.7894
151.9167,8.7414,8.7358,8.7358,-8.7358
153.4342,8.6837,8.6820,8.6820,-8.6820
154.9668,8.6315,8.6279,8.6279,-8.6279
156.5147,8.5740,8.5736,8.5736,-8.5736
158.0781,8.5216,8.5190,8.5190,-8.5190
159.6571,8.4641,8.4643,8.4643,-8.4643
161.2519,8.4118,8.4094,8.4094,-8.4094
162.8626,8.3541,8.3543,8.3543,-8.3543
164.4894,8.3019,8.2990,8.2990,-8.2990
166.1324,8.2445,8.2435,8.2435,-8.2435
167.7919,8.1920,8.1878,8.1878,-8.1878
169.4679,8.1344,8.1319,8.1319,-8.1319
171.1607,8.0820,8.0758,8.0758,-8.0758
172.8704,8.0246,8.0194,8.0194,-8.0194
174.5972,7.9647,7.9628,7.9628,-7.9628
176.3412,7.9047,7.9060,7.9060,-7.9060
178.1026,7.8524,7.8491,7.8491,-7.8491
179.8816,7.7948,7.7919,7.7919,-7.7919
181.6784,7.7350,7.7346,7.7346,-7.7346
183.4932,7.6751,7.6771,7.6771,-7.6771
185.3261,7.6226,7.6195,7.6195,-7.6195
187.1772,7.5653,7.5617,7.5617,-7.5617
189.0469,7.5052,7.5037,7.5037,-7.5037
190.9352,7.4453,7.4456,7.4456,-7.4456
192.8425,7.3853,7.3873,7.3873,-7.3873
194.7687,7.3329,7.3289,7.3289,-7.3289
196.7142,7.2756,7.2704,7.2704,-7.2704
198.6792,7.2156,7.2116,7.2116,-7.2116
200.6637,7.1556,7.1526,7.1526,-7.1526
202.6681,7.0956,7.0934,7.0934,-7.0934
204.6925,7.0358,7.0340,7.0340,-7.0340
206.7371,6.9759,6.9744,6.9744,-6.9744
208.8022,6.9159,6.9146,6.9146,-6.9146
210.8879,6.8559,6.8546,6.8546,-6.8546
212.9944,6.7960,6.7945,6.7945,-6.7945
215.1219,6.7360,6.7342,6.7342,-6.7342
217.2707,6.6761,6.6738,6.6738,-6.6738
219.4410,6.6162,6.6132,6.6132,-6.6132
221.6329,6.5563,6.5524,6.5524,-6.5524
223.8468,6.4963,6.4914,6.4914,-6.4914
226.0827,6.4292,6.4303,6.4303,-6.4303
228.3410,6.3664,6.3692,6.3692,-6.3692
230.6219,6.3065,6.3079,6.3079,-6.3079
232.9255,6.2467,6.2466,6.2466,-6.2466
235.2521,6.1867,6.1852,6.1852,-6.1852
237.6020,6.1267,6.1238,6.1238,-6.1238
239.9754,6.0668,6.0622,6.0622,-6.0622
242.3724,5.9997,6.0005,6.0005,-6.0005
244.7934,5.9370,5.9388,5.9388,-5.9388
247.2386,5.8769,5.8770,5.8770,-5.8770
249.7082,5.8170,5.8153,5.8153,-5.8153
252.2025,5.7572,5.7534,5.7534,-5.7534
254.7217,5.6902,5.6915,5.6915,-5.6915
257.2661,5.6273,5.6295,5.6295,-5.6295
259.8358,5.5673,5.5676,5.5676,-5.5676
262.4313,5.5074,5.5056,5.5056,-5.5056
265.0527,5.4475,5.4435,5.4435,-5.4435
267.7002,5.3805,5.3814,5.3814,-5.3814
270.3742,5.3176,5.3192,5.3192,-5.3192
273.0749,5.2576,5.2571,5.2571,-5.2571
275.8026,5.1977,5.1949,5.1949,-5.1949
278.5575,5.1308,5.1326,5.1326,-5.1326
281.3400,5.0679,5.0704,5.0704,-5.0704
284.1502,5.0079,5.0081,5.0081,-5.0081
286.9885,4.9479,4.9459,4.9459,-4.9459
289.8552,4.8880,4.8836,4.8836,-4.8836
292.7505,4.8212,4.8213,4.8213,-4.8213
295.6747,4.7583,4.7590,4.7590,-4.7590
298.6281,4.6983,4.6967,4.6967,-4.6967
301.6111,4.6314,4.6344,4.6344,-4.6344
304.6238,4.5684,4.5721,4.5721,-4.5721
307.6666,4.5085,4.5100,4.5100,-4.5100
310.7398,4.4485,4.4479,4.4479,-4.4479
313.8437,4.3886,4.3858,4.3858,-4.3858
316.9786,4.3218,4.3237,4.3237,-4.3237
320.1449,4.2588,4.2617,4.2617,-4.2617
323.3427,4.1988,4.1998,4.1998,-4.1998
326.5725,4.1388,4.1379,4.1379,-4.1379
329.8346,4.0789,4.0761,4.0761,-4.0761
333.1292,4.0122,4.0142,4.0142,-4.0142
336.4568,3.9491,3.9525,3.9525,-3.9525
339.8176,3.8892,3.8909,3.8909,-3.8909
343.2119,3.8292,3.8295,3.8295,-3.8295
346.6402,3.7693,3.7680,3.7680,-3.7680
350.1027,3.7094,3.7067,3.7067,-3.7067
353.5998,3.6427,3.6454,3.6454,-3.6454
357.1318,3.5795,3.5843,3.5843,-3.5843
360.6991,3.5196,3.5233,3.5233,-3.5233
364.3021,3.4597,3.4625,3.4625,-3.4625
367.9410,3.3997,3.4019,3.4019,-3.4019
371.6163,3.3397,3.3413,3.3413,-3.3413
375.3283,3.2798,3.2809,3.2809,-3.2809
379.0774,3.2199,3.2206,3.2206,-3.2206
382.8639,3.1600,3.1605,3.1605,-3.1605
386.6882,3.1000,3.1004,3.1004,-3.1004
390.5508,3.0401,3.0405,3.0405,-3.0405
394.4519,2.9802,2.9807,2.9807,-2.9807
398.3920,2.9203,2.9211,2.9211,-2.9211
402.3714,2.8603,2.8617,2.8617,-2.8617
406.3906,2.8003,2.8024,2.8024,-2.8024
410.4500,2.7404,2.7433,2.7433,-2.7433
414.5498,2.6805,2.6843,2.6843,-2.6843
418.6907,2.6206,2.6257,2.6257,-2.6257
422.8729,2.5607,2.5672,2.5672,-2.5672
427.0969,2.5073,2.5091,2.5091,-2.5091
431.3631,2.4508,2.4511,2.4511,-2.4511
435.6718,2.3909,2.3934,2.3934,-2.3934
440.0237,2.3310,2.3360,2.3360,-2.3360
444.4190,2.2775,2.2788,2.2788,-2.2788
448.8582,2.2210,2.2218,2.2218,-2.2218
453.3417,2.1611,2.1651,2.1651,-2.1651
457.8700,2.1077,2.1087,2.1087,-2.1087
462.4436,2.0513,2.0526,2.0526,-2.0526
467.0628,1.9913,1.9967,1.9967,-1.9967
471.7282,1.9378,1.9412,1.9412,-1.9412
476.4402,1.8814,1.8859,1.8859,-1.8859
481.1993,1.8279,1.8309,1.8309,-1.8309
486.0059,1.7715,1.7762,1.7762,-1.7762
490.8605,1.7180,1.7219,1.7219,-1.7219
495.7636,1.6617,1.6679,1.6679,-1.6679
500.7156,1.6082,1.6144,1.6144,-1.6144
505.7172,1.5582,1.5612,1.5612,-1.5612
510.7687,1.5083,1.5084,1.5084,-1.5084
515.8706,1.4520,1.4560,1.4560,-1.4560
521.0235,1.3984,1.4040,1.4040,-1.4040
526.2279,1.3485,1.3524,1.3524,-1.3524
531.4843,1.2985,1.3013,1.3013,-1.3013
536.7932,1.2423,1.2505,1.2505,-1.2505
542.1551,1.1886,1.2003,1.2003,-1.2003
547.5705,1.1449,1.1507,1.1507,-1.1507
553.0401,1.0987,1.1016,1.1016,-1.1016
558.5643,1.0488,1.0529,1.0529,-1.0529
564.1437,0.9988,1.0047,1.0047,-1.0047
569.7788,0.9489,0.9570,0.9570,-0.9570
575.4701,0.9052,0.9099,0.9099,-0.9099
581.2184,0.8590,0.8635,0.8635,-0.8635
587.0241,0.8091,0.8175,0.8175,-0.8175
592.8877,0.7653,0.7722,0.7722,-0.7722
598.8099,0.7192,0.7276,0.7276,-0.7276
604.7913,0.6754,0.6836,0.6836,-0.6836
