frequency,raw,smoothed,error,equalization
20.0000,1.3700,1.4140,1.4140,-1.4140
20.1998,1.3900,1.4186,1.4186,-1.4186
20.4015,1.4001,1.4240,1.4240,-1.4240
20.6053,1.4196,1.4301,1.4301,-1.4301
20.8112,1.4300,1.4366,1.4366,-1.4366
21.0190,1.4300,1.4434,1.4434,-1.4434
21.2290,1.4300,1.4508,1.4508,-1.4508
21.4410,1.4400,1.4589,1.4589,-1.4589
21.6552,1.4498,1.4678,1.4678,-1.4678
21.8715,1.4601,1.4776,1.4776,-1.4776
22.0900,1.4800,1.4886,1.4886,-1.4886
22.3106,1.5001,1.5008,1.5008,-1.5008
22.5335,1.5194,1.5139,1.5139,-1.5139
22.7586,1.5399,1.5273,1.5273,-1.5273
22.9859,1.5498,1.5410,1.5410,-1.5410
23.2155,1.5500,1.5549,1.5549,-1.5549
23.4474,1.5599,1.5692,1.5692,-1.5692
23.6816,1.5697,1.5838,1.5838,-1.5838
23.9182,1.5799,1.5987,1.5987,-1.5987
24.1571,1.5998,1.6137,1.6137,-1.6137
24.3984,1.6199,1.6287,1.6287,-1.6287
24.6421,1.6491,1.6435,1.6435,-1.6435
24.8882,1.6699,1.6580,1.6580,-1.6580
25.1368,1.6897,1.6720,1.6720,-1.6720
25.3879,1.7098,1.6854,1.6854,-1.6854
25.6415,1.7197,1.6981,1.6981,-1.6981
25.8976,1.7295,1.7103,1.7103,-1.7103
26.1563,1.7300,1.7219,1.7219,-1.7219
26.4176,1.7395,1.7331,1.7331,-1.7331
26.6815,1.7400,1.7440,1.7440,-1.7440
26.9480,1.7496,1.7547,1.7547,-1.7547
27.2172,1.7595,1.7654,1.7654,-1.7654
27.4890,1.7696,1.7762,1.7762,-1.7762
27.7636,1.7798,1.7871,1.7871,-1.7871
28.0409,1.7897,1.7981,1.7981,-1.7981
28.3210,1.7997,1.8094,1.8094,-1.8094
28.6039,1.8094,1.8210,1.8210,-1.8210
28.8896,1.8196,1.8329,1.8329,-1.8329
29.1782,1.8392,1.8451,1.8451,-1.8451
29.4697,1.8593,1.8575,1.8575,-1.8575
29.7640,1.8789,1.8698,1.8698,-1.8698
30.0613,1.8988,1.8819,1.8819,-1.8819
30.3616,1.9094,1.8937,1.8937,-1.8937
30.6649,1.9195,1.9052,1.9052,-1.9052
30.9712,1.9294,1.9165,1.9165,-1.9165
31.2806,1.9300,1.9275,1.9275,-1.9275
31.5930,1.9395,1.9384,1.9384,-1.9384
31.9086,1.9400,1.9492,1.9492,-1.9492
32.2273,1.9496,1.9599,1.9599,-1.9599
32.5492,1.9594,1.9706,1.9706,-1.9706
32.8744,1.9695,1.9812,1.9812,-1.9812
33.2027,1.9890,1.9917,1.9917,-1.9917
33.5344,1.9995,2.0021,2.0021,-2.0021
33.8694,2.0188,2.0124,2.0124,-2.0124
34.2077,2.0293,2.0226,2.0226,-2.0226
34.5494,2.0488,2.0325,2.0325,-2.0325
34.8945,2.0593,2.0421,2.0421,-2.0421
35.2430,2.0600,2.0512,2.0512,-2.0512
35.5951,2.0693,2.0600,2.0600,-2.0600
35.9506,2.0700,2.0682,2.0682,-2.0682
36.3097,2.0794,2.0760,2.0760,-2.0760
36.6724,2.0800,2.0833,2.0833,-2.0833
37.0387,2.0894,2.0905,2.0905,-2.0905
37.4087,2.0994,2.0974,2.0974,-2.0974
37.7824,2.1093,2.1043,2.1043,-2.1043
38.1598,2.1100,2.1110,2.1110,-2.1110
38.5409,2.1192,2.1176,2.1176,-2.1176
38.9259,2.1294,2.1242,2.1242,-2.1242
39.3147,2.1300,2.1307,2.1307,-2.1307
39.7074,2.1300,2.1372,2.1372,-2.1372
40.1041,2.1300,2.1438,2.1438,-2.1438
40.5046,2.1391,2.1506,2.1506,-2.1506
40.9092,2.1585,2.1574,2.1574,-2.1574
41.3179,2.1692,2.1641,2.1641,-2.1641
41.7306,2.1886,2.1706,2.1706,-2.1706
42.1474,2.1900,2.1769,2.1769,-2.1769
42.5684,2.1900,2.1828,2.1828,-2.1828
42.9936,2.1900,2.1885,2.1885,-2.1885
43.4231,2.1900,2.1940,2.1940,-2.1940
43.8568,2.1990,2.1996,2.1996,-2.1996
44.2949,2.2092,2.2051,2.2051,-2.2051
44.7374,2.2100,2.2106,2.2106,-2.2106
45.1842,2.2100,2.2160,2.2160,-2.2160
45.6356,2.2190,2.2213,2.2213,-2.2213
46.0914,2.2200,2.2265,2.2265,-2.2265
46.5518,2.2379,2.2319,2.2319,-2.2319
47.0168,2.2400,2.2373,2.2373,-2.2373
47.4864,2.2400,2.2428,2.2428,-2.2428
47.9608,2.2400,2.2483,2.2483,-2.2483
48.4398,2.2490,2.2539,2.2539,-2.2539
48.9237,2.2590,2.2596,2.2596,-2.2596
49.4124,2.2781,2.2651,2.2651,-2.2651
49.9059,2.2800,2.2705,2.2705,-2.2705
50.4044,2.2711,2.2756,2.2756,-2.2756
50.9079,2.2790,2.2806,2.2806,-2.2806
51.4164,2.2889,2.2856,2.2856,-2.2856
51.9300,2.2988,2.2904,2.2904,-2.2904
52.4487,2.3000,2.2949,2.2949,-2.2949
52.9726,2.3000,2.2993,2.2993,-2.2993
53.5018,2.3000,2.3036,2.3036,-2.3036
54.0362,2.3088,2.3078,2.3078,-2.3078
54.5759,2.3100,2.3118,2.3118,-2.3118
55.1211,2.3189,2.3157,2.3157,-2.3157
55.6717,2.3200,2.3195,2.3195,-2.3195
56.2278,2.3200,2.3232,2.3232,-2.3232
56.7894,2.3288,2.3268,2.3268,-2.3268
57.3567,2.3300,2.3302,2.3302,-2.3302
57.9296,2.3388,2.3335,2.3335,-2.3335
