frequency,raw,smoothed,error,equalization
20.0000,3.6400,3.6970,3.6970,-3.6970
20.1998,3.6500,3.7047,3.7047,-3.7047
20.4015,3.6701,3.7137,3.7137,-3.7137
20.6053,3.6798,3.7237,3.7237,-3.7237
20.8112,3.7001,3.7348,3.7348,-3.7348
21.0190,3.7199,3.7468,3.7468,-3.7468
21.2290,3.7399,3.7597,3.7597,-3.7597
21.4410,3.7601,3.7737,3.7737,-3.7737
21.6552,3.7796,3.7887,3.7887,-3.7887
21.8715,3.8001,3.8050,3.8050,-3.8050
22.0900,3.8200,3.8227,3.8227,-3.8227
22.3106,3.8401,3.8421,3.8421,-3.8421
22.5335,3.8594,3.8628,3.8628,-3.8628
22.7586,3.8799,3.8840,3.8840,-3.8840
22.9859,3.8996,3.9056,3.9056,-3.9056
23.2155,3.9196,3.9275,3.9275,-3.9275
23.4474,3.9398,3.9499,3.9499,-3.9499
23.6816,3.9690,3.9728,3.9728,-3.9728
23.9182,3.9898,3.9962,3.9962,-3.9962
24.1571,4.0098,4.0203,4.0203,-4.0203
24.3984,4.0398,4.0450,4.0450,-4.0450
24.6421,4.0691,4.0704,4.0704,-4.0704
24.8882,4.0899,4.0964,4.0964,-4.0964
25.1368,4.1196,4.1233,4.1233,-4.1233
25.3879,4.1398,4.1511,4.1511,-4.1511
25.6415,4.1690,4.1798,4.1798,-4.1798
25.8976,4.1890,4.2095,4.2095,-4.2095
26.1563,4.2196,4.2404,4.2404,-4.2404
26.4176,4.2582,4.2727,4.2727,-4.2727
26.6815,4.2890,4.3063,4.3063,-4.3063
26.9480,4.3282,4.3412,4.3412,-4.3412
27.2172,4.3586,4.3775,4.3775,-4.3775
27.4890,4.3984,4.4153,4.4153,-4.4153
27.7636,4.4391,4.4546,4.4546,-4.4546
28.0409,4.4787,4.4954,4.4954,-4.4954
28.3210,4.5187,4.5376,4.5376,-4.5376
28.6039,4.5578,4.5814,4.5814,-4.5814
28.8896,4.6082,4.6268,4.6268,-4.6268
29.1782,4.6580,4.6735,4.6735,-4.6735
29.4697,4.7082,4.7216,4.7216,-4.7216
29.7640,4.7573,4.7710,4.7710,-4.7710
30.0613,4.8069,4.8216,4.8216,-4.8216
30.3616,4.8663,4.8736,4.8736,-4.8736
30.6649,4.9175,4.9266,4.9266,-4.9266
30.9712,4.9670,4.9807,4.9807,-4.9807
31.2806,5.0262,5.0359,5.0359,-5.0359
31.5930,5.0773,5.0919,5.0919,-5.0919
31.9086,5.1360,5.1489,5.1489,-5.1489
32.2273,5.1975,5.2065,5.2065,-5.2065
32.5492,5.2562,5.2647,5.2647,-5.2647
32.8744,5.3171,5.3232,5.3232,-5.3232
33.2027,5.3769,5.3820,5.3820,-5.3820
33.5344,5.4467,5.4409,5.4409,-5.4409
33.8694,5.5064,5.4995,5.4995,-5.4995
34.2077,5.5661,5.5580,5.5580,-5.5580
34.5494,5.6264,5.6160,5.6160,-5.6160
34.8945,5.6856,5.6737,5.6737,-5.6737
35.2430,5.7454,5.7308,5.7308,-5.7308
35.5951,5.7964,5.7873,5.7873,-5.7873
35.9506,5.8567,5.8430,5.8430,-5.8430
36.3097,5.9072,5.8979,5.8979,-5.8979
36.6724,5.9563,5.9519,5.9519,-5.9519
37.0387,6.0070,6.0048,6.0048,-6.0048
37.4087,6.0571,6.0566,6.0566,-6.0566
37.7824,6.1156,6.1072,6.1072,-6.1072
38.1598,6.1660,6.1564,6.1564,-6.1564
38.5409,6.2254,6.2041,6.2041,-6.2041
38.9259,6.2768,6.2501,6.2501,-6.2501
39.3147,6.3268,6.2942,6.2942,-6.2942
39.7074,6.3759,6.3363,6.3363,-6.3363
40.1041,6.4164,6.3762,6.3762,-6.3762
40.5046,6.4473,6.4138,6.4138,-6.4138
40.9092,6.4777,6.4491,6.4491,-6.4491
41.3179,6.5076,6.4822,6.4822,-6.4822
41.7306,6.5286,6.5130,6.5130,-6.5130
42.1474,6.5577,6.5416,6.5416,-6.5416
42.5684,6.5877,6.5679,6.5679,-6.5679
42.9936,6.6083,6.5919,6.5919,-6.5919
43.4231,6.6374,6.6137,6.6137,-6.6137
43.8568,6.6580,6.6332,6.6332,-6.6332
44.2949,6.6784,6.6505,6.6505,-6.6505
44.7374,6.6981,6.6656,6.6656,-6.6656
45.1842,6.7090,6.6785,6.6785,-6.6785
45.6356,6.7190,6.6894,6.6894,-6.6894
46.0914,6.7291,6.6981,6.6981,-6.6981
46.5518,6.7300,6.7046,6.7046,-6.7046
47.0168,6.7300,6.7088,6.7088,-6.7088
47.4864,6.7300,6.7106,6.7106,-6.7106
47.9608,6.7300,6.7101,6.7101,-6.7101
48.4398,6.7210,6.7073,6.7073,-6.7073
48.9237,6.7200,6.7023,6.7023,-6.7023
49.4124,6.7200,6.6951,6.6951,-6.6951
49.9059,6.7200,6.6856,6.6856,-6.6856
50.4044,6.7111,6.6738,6.6738,-6.6738
50.9079,6.7010,6.6596,6.6596,-6.6596
51.4164,6.6821,6.6430,6.6430,-6.6430
51.9300,6.6535,6.6240,6.6240,-6.6240
52.4487,6.6235,6.6029,6.6029,-6.6029
52.9726,6.5933,6.5797,6.5797,-6.5797
53.5018,6.5633,6.5547,6.5547,-6.5547
54.0362,6.5424,6.5280,6.5280,-6.5280
54.5759,6.5136,6.4993,6.4993,-6.4993
55.1211,6.4922,6.4688,6.4688,-6.4688
55.6717,6.4549,6.4364,6.4364,-6.4364
56.2278,6.4234,6.4023,6.4023,-6.4023
56.7894,6.3850,6.3664,6.3664,-6.3664
57.3567,6.3445,6.3291,6.3291,-6.3291
57.9296,6.3049,6.2903,6.2903,-6.2903
58.5082,6.2737,6.2501,6.2501,-6.2501
59.0927,6.2346,6.2082,6.2082,-6.2082
59.6829,6.1864,6.1645,6.1645,-6.1645
60.2791,6.1360,6.1192,6.1192,-6.1192
60.8812,6.0865,6.0722,6.0722,-6.0722
61.4893,6.0366,6.0238,6.0238,-6.0238
62.1035,5.9863,5.9740,5.9740,-5.9740
62.7239,5.9361,5.9231,5.9231,-5.9231
63.3504,5.8863,5.8713,5.8713,-5.8713
63.9832,5.8368,5.8187,5.8187,-5.8187
64.6223,5.7782,5.7655,5.7655,-5.7655
65.2678,5.7177,5.7119,5.7119,-5.7119
65.9198,5.6582,5.6584,5.6584,-5.6584
66.5782,5.5983,5.6053,5.6053,-5.6053
67.2433,5.5379,5.5526,5.5526,-5.5526
67.9149,5.4784,5.5007,5.5007,-5.5007
68.5933,5.4185,5.4497,5.4497,-5.4497
69.2785,5.3667,5.3995,5.3995,-5.3995
69.9705,5.3257,5.3502,5.3502,-5.3502
70.6694,5.2857,5.3015,5.3015,-5.3015
71.3753,5.2459,5.2531,5.2531,-5.2531
72.0883,5.2057,5.2049,5.2049,-5.2049
72.8083,5.1742,5.1564,5.1564,-5.1564
73.5356,5.1272,5.1072,5.1072,-5.1072
74.2701,5.0859,5.0570,5.0570,-5.0570
75.0120,5.0373,5.0056,5.0056,-5.0056
75.7613,4.9872,4.9526,4.9526,-4.9526
76.5180,4.9288,4.8979,4.8979,-4.8979
77.2824,4.8692,4.8411,4.8411,-4.8411
78.0543,4.8090,4.7822,4.7822,-4.7822
78.8340,4.7404,4.7212,4.7212,-4.7212
79.6214,4.6790,4.6581,4.6581,-4.6581
80.4168,4.6108,4.5930,4.5930,-4.5930
81.2200,4.5412,4.5260,4.5260,-4.5260
82.0313,4.4711,4.4574,4.4574,-4.4574
82.8507,4.4010,4.3876,4.3876,-4.3876
83.6783,4.3395,4.3169,4.3169,-4.3169
84.5141,4.2629,4.2455,4.2455,-4.2455
85.3583,4.1833,4.1738,4.1738,-4.1738
86.2109,4.1031,4.1021,4.1021,-4.1021
87.0721,4.0236,4.0308,4.0308,-4.0308
87.9418,3.9436,3.9602,3.9602,-3.9602
88.8203,3.8636,3.8906,3.8906,-3.8906
89.7075,3.7837,3.8221,3.8221,-3.8221
90.6035,3.7122,3.7552,3.7552,-3.7552
91.5085,3.6501,3.6898,3.6898,-3.6898
92.4226,3.5986,3.6258,3.6258,-3.6258
93.3458,3.5488,3.5629,3.5629,-3.5629
94.2782,3.4987,3.5009,3.5009,-3.5009
95.2199,3.4407,3.4395,3.4395,-3.4395
96.1711,3.3889,3.3783,3.3783,-3.3783
97.1317,3.3305,3.3170,3.3170,-3.3170
98.1019,3.2709,3.2554,3.2554,-3.2554
99.0818,3.2109,3.1932,3.1932,-3.1932
100.0715,3.1508,3.1302,3.1302,-3.1302
101.0711,3.0907,3.0661,3.0661,-3.0661
102.0807,3.0230,3.0008,3.0008,-3.0008
103.1004,2.9530,2.9342,2.9342,-2.9342
104.1302,2.8829,2.8663,2.8663,-2.8663
105.1703,2.8052,2.7971,2.7971,-2.7971
106.2209,2.7333,2.7268,2.7268,-2.7268
107.2819,2.6550,2.6555,2.6555,-2.6555
108.3535,2.5834,2.5834,2.5834,-2.5834
109.4358,2.5132,2.5106,2.5106,-2.5106
110.5289,2.4434,2.4370,2.4370,-2.4370
111.6330,2.3737,2.3626,2.3626,-2.3626
112.7481,2.3039,2.2875,2.2875,-2.2875
113.8743,2.2260,2.2116,2.2116,-2.2116
115.0118,2.1460,2.1351,2.1351,-2.1351
116.1606,2.0660,2.0582,2.0582,-2.0582
117.3209,1.9858,1.9808,1.9808,-1.9808
118.4928,1.9061,1.9032,1.9032,-1.9032
119.6764,1.8264,1.8255,1.8255,-1.8255
120.8718,1.7465,1.7476,1.7476,-1.7476
122.0792,1.6666,1.6699,1.6699,-1.6699
123.2986,1.5865,1.5923,1.5923,-1.5923
124.5302,1.5068,1.5150,1.5150,-1.5150
125.7741,1.4265,1.4382,1.4382,-1.4382
127.0304,1.3465,1.3621,1.3621,-1.3621
128.2993,1.2748,1.2866,1.2866,-1.2866
129.5808,1.2047,1.2117,1.2117,-1.2117
130.8752,1.1269,1.1374,1.1374,-1.1374
132.1825,1.0548,1.0634,1.0634,-1.0634
133.5028,0.9851,0.9899,0.9899,-0.9899
134.8363,0.9149,0.9165,0.9165,-0.9165
136.1832,0.8453,0.8433,0.8433,-0.8433
137.5435,0.7753,0.7701,0.7701,-0.7701
138.9174,0.7053,0.6967,0.6967,-0.6967
140.3050,0.6354,0.6231,0.6231,-0.6231
141.7065,0.5578,0.5491,0.5491,-0.5491
143.1220,0.4857,0.4746,0.4746,-0.4746
144.5516,0.4078,0.3997,0.3997,-0.3997
145.9955,0.3279,0.3243,0.3243,-0.3243
147.4538,0.2479,0.2485,0.2485,-0.2485
148.9267,0.1758,0.1724,0.1724,-0.1724
150.4143,0.0980,0.0961,0.0961,-0.0961
151.9167,0.0182,0.0197,0.0197,-0.0197
153.4342,-0.0541,-0.0566,-0.0566,0.0566
154.9668,-0.1317,-0.1328,-0.1328,0.1328
156.5147,-0.2113,-0.2087,-0.2087,0.2087
158.0781,-0.2914,-0.2842,-0.2842,0.2842
159.6571,-0.3712,-0.3590,-0.3590,0.3590
161.2519,-0.4435,-0.4328,-0.4328,0.4328
162.8626,-0.5212,-0.5056,-0.5056,0.5056
164.4894,-0.6009,-0.5769,-0.5769,0.5769
166.1324,-0.6655,-0.6464,-0.6464,0.6464
167.7919,-0.7332,-0.7138,-0.7138,0.7138
169.4679,-0.8032,-0.7787,-0.7787,0.7787
171.1607,-0.8656,-0.8409,-0.8409,0.8409
172.8704,-0.9329,-0.9002,-0.9002,0.9002
174.5972,-1.0029,-0.9564,-0.9564,0.9564
176.3412,-1.0653,-1.0092,-1.0092,1.0092
178.1026,-1.1176,-1.0586,-1.0586,1.0586
179.8816,-1.1677,-1.1046,-1.1046,1.1046
181.6784,-1.2100,-1.1471,-1.1471,1.1471
183.4932,-1.2350,-1.1863,-1.1863,1.1863
185.3261,-1.2550,-1.2223,-1.2223,1.2223
187.1772,-1.2749,-1.2555,-1.2555,1.2555
189.0469,-1.2875,-1.2860,-1.2860,1.2860
190.9352,-1.3123,-1.3142,-1.3142,1.3142
192.8425,-1.3423,-1.3404,-1.3404,1.3404
194.7687,-1.3722,-1.3645,-1.3645,1.3645
