frequency,raw,smoothed,error,equalization
20.0000,4.6100,4.6238,4.6238,-4.6238
20.1998,4.6200,4.6242,4.6242,-4.6242
20.4015,4.6201,4.6244,4.6244,-4.6244
20.6053,4.6298,4.6245,4.6245,-4.6245
20.8112,4.6300,4.6243,4.6243,-4.6243
21.0190,4.6300,4.6237,4.6237,-4.6237
21.2290,4.6300,4.6228,4.6228,-4.6228
21.4410,4.6300,4.6216,4.6216,-4.6216
21.6552,4.6300,4.6200,4.6200,-4.6200
21.8715,4.6299,4.6179,4.6179,-4.6179
22.0900,4.6200,4.6154,4.6154,-4.6154
22.3106,4.6200,4.6126,4.6126,-4.6126
22.5335,4.6103,4.6093,4.6093,-4.6093
22.7586,4.6100,4.6057,4.6057,-4.6057
22.9859,4.6002,4.6018,4.6018,-4.6018
23.2155,4.6000,4.5978,4.5978,-4.5978
23.4474,4.5901,4.5937,4.5937,-4.5937
23.6816,4.5900,4.5897,4.5897,-4.5897
23.9182,4.5801,4.5857,4.5857,-4.5857
24.1571,4.5800,4.5820,4.5820,-4.5820
24.3984,4.5701,4.5785,4.5785,-4.5785
24.6421,4.5700,4.5754,4.5754,-4.5754
24.8882,4.5700,4.5726,4.5726,-4.5726
25.1368,4.5700,4.5701,4.5701,-4.5701
25.3879,4.5601,4.5678,4.5678,-4.5678
25.6415,4.5600,4.5659,4.5659,-4.5659
25.8976,4.5600,4.5643,4.5643,-4.5643
26.1563,4.5600,4.5629,4.5629,-4.5629
26.4176,4.5600,4.5616,4.5616,-4.5616
26.6815,4.5600,4.5604,4.5604,-4.5604
26.9480,4.5600,4.5593,4.5593,-4.5593
27.2172,4.5600,4.5580,4.5580,-4.5580
27.4890,4.5600,4.5565,4.5565,-4.5565
27.7636,4.5600,4.5548,4.5548,-4.5548
28.0409,4.5600,4.5527,4.5527,-4.5527
28.3210,4.5600,4.5502,4.5502,-4.5502
28.6039,4.5506,4.5472,4.5472,-4.5472
28.8896,4.5500,4.5437,4.5437,-4.5437
29.1782,4.5500,4.5397,4.5397,-4.5397
29.4697,4.5404,4.5350,4.5350,-4.5350
29.7640,4.5400,4.5297,4.5297,-4.5297
30.0613,4.5306,4.5239,4.5239,-4.5239
30.3616,4.5206,4.5176,4.5176,-4.5176
30.6649,4.5200,4.5108,4.5108,-4.5108
30.9712,4.5106,4.5036,4.5036,-4.5036
31.2806,4.5006,4.4960,4.4960,-4.4960
31.5930,4.4905,4.4881,4.4881,-4.4881
31.9086,4.4807,4.4800,4.4800,-4.4800
32.2273,4.4704,4.4718,4.4718,-4.4718
32.5492,4.4606,4.4636,4.4636,-4.4636
32.8744,4.4505,4.4553,4.4553,-4.4553
33.2027,4.4405,4.4472,4.4472,-4.4472
33.5344,4.4400,4.4393,4.4393,-4.4393
33.8694,4.4306,4.4315,4.4315,-4.4315
34.2077,4.4207,4.4237,4.4237,-4.4237
34.5494,4.4106,4.4160,4.4160,-4.4160
34.8945,4.4100,4.4085,4.4085,-4.4085
35.2430,4.4008,4.4010,4.4010,-4.4010
35.5951,4.3907,4.3935,4.3935,-4.3935
35.9506,4.3900,4.3859,4.3859,-4.3859
36.3097,4.3806,4.3782,4.3782,-4.3782
36.6724,4.3707,4.3703,4.3703,-4.3703
37.0387,4.3700,4.3622,4.3622,-4.3622
37.4087,4.3606,4.3537,4.3537,-4.3537
37.7824,4.3507,4.3447,4.3447,-4.3447
38.1598,4.3408,4.3354,4.3354,-4.3354
38.5409,4.3308,4.3256,4.3256,-4.3256
38.9259,4.3206,4.3155,4.3155,-4.3155
39.3147,4.3106,4.3049,4.3049,-4.3049
39.7074,4.3008,4.2938,4.2938,-4.2938
40.1041,4.2909,4.2824,4.2824,-4.2824
40.5046,4.2718,4.2705,4.2705,-4.2705
40.9092,4.2608,4.2584,4.2584,-4.2584
41.3179,4.2508,4.2459,4.2459,-4.2459
41.7306,4.2314,4.2332,4.2332,-4.2332
42.1474,4.2208,4.2203,4.2203,-4.2203
42.5684,4.2108,4.2072,4.2072,-4.2072
42.9936,4.1917,4.1939,4.1939,-4.1939
43.4231,4.1809,4.1804,4.1804,-4.1804
43.8568,4.1710,4.1668,4.1668,-4.1668
44.2949,4.1516,4.1531,4.1531,-4.1531
44.7374,4.1409,4.1392,4.1392,-4.1392
45.1842,4.1310,4.1252,4.1252,-4.1252
45.6356,4.1120,4.1111,4.1111,-4.1111
46.0914,4.1009,4.0968,4.0968,-4.0968
46.5518,4.0821,4.0825,4.0825,-4.0825
47.0168,4.0709,4.0681,4.0681,-4.0681
47.4864,4.0519,4.0536,4.0536,-4.0536
47.9608,4.0410,4.0391,4.0391,-4.0391
48.4398,4.0221,4.0245,4.0245,-4.0245
48.9237,4.0110,4.0100,4.0100,-4.0100
49.4124,3.9919,3.9953,3.9953,-3.9953
49.9059,3.9811,3.9807,3.9807,-3.9807
50.4044,3.9622,3.9661,3.9661,-3.9661
50.9079,3.9510,3.9516,3.9516,-3.9516
51.4164,3.9411,3.9370,3.9370,-3.9370
51.9300,3.9223,3.9224,3.9224,-3.9224
52.4487,3.9112,3.9078,3.9078,-3.9078
52.9726,3.8922,3.8931,3.8931,-3.8931
53.5018,3.8811,3.8784,3.8784,-3.8784
54.0362,3.8624,3.8636,3.8636,-3.8636
54.5759,3.8512,3.8487,3.8487,-3.8487
55.1211,3.8322,3.8337,3.8337,-3.8337
55.6717,3.8212,3.8187,3.8187,-3.8187
56.2278,3.8023,3.8035,3.8035,-3.8035
56.7894,3.7912,3.7883,3.7883,-3.7883
57.3567,3.7723,3.7728,3.7728,-3.7728
57.9296,3.7612,3.7572,3.7572,-3.7572
58.5082,3.7425,3.7413,3.7413,-3.7413
59.0927,3.7312,3.7252,3.7252,-3.7252
59.6829,3.7126,3.7087,3.7087,-3.7087
60.2791,3.6924,3.6918,3.6918,-3.6918
60.8812,3.6813,3.6747,3.6747,-3.6747
61.4893,3.6626,3.6571,3.6571,-3.6571
62.1035,3.6425,3.6392,3.6392,-3.6392
62.7239,3.6312,3.6209,3.6209,-3.6209
63.3504,3.6125,3.6021,3.6021,-3.6021
63.9832,3.5927,3.5828,3.5828,-3.5828
64.6223,3.5641,3.5630,3.5630,-3.5630
