frequency,raw,smoothed,error,equalization
20.0000,13.6700,13.6605,13.6605,-13.6605
20.1998,13.6600,13.6657,13.6657,-13.6657
20.4015,13.6499,13.6726,13.6726,-13.6726
20.6053,13.6402,13.6817,13.6817,-13.6817
20.8112,13.6299,13.6924,13.6924,-13.6924
21.0190,13.6200,13.7039,13.7039,-13.7039
21.2290,13.6499,13.7152,13.7152,-13.7152
21.4410,13.6801,13.7254,13.7254,-13.7254
21.6552,13.7093,13.7332,13.7332,-13.7332
21.8715,13.7303,13.7377,13.7377,-13.7377
22.0900,13.7700,13.7379,13.7379,-13.7379
22.3106,13.8302,13.7325,13.7325,-13.7325
22.5335,13.8883,13.7201,13.7201,-13.7201
22.7586,13.9397,13.7003,13.7003,-13.7003
22.9859,13.9989,13.6732,13.6732,-13.6732
23.2155,13.8823,13.6388,13.6388,-13.6388
23.4474,13.7515,13.5985,13.5985,-13.5985
23.6816,13.6245,13.5529,13.5529,-13.5529
23.9182,13.4910,13.5017,13.5017,-13.5017
24.1571,13.3715,13.4452,13.4452,-13.4452
24.3984,13.2409,13.3842,13.3842,-13.3842
24.6421,13.1238,13.3204,13.3204,-13.3204
24.8882,12.9910,13.2557,13.2557,-13.2557
25.1368,13.0196,13.1921,13.1921,-13.1921
25.3879,13.1489,13.1302,13.1302,-13.1302
25.6415,13.2854,13.0695,13.0695,-13.0695
25.8976,13.4138,13.0092,13.0092,-13.0092
26.1563,13.3018,12.9473,12.9473,-12.9473
26.4176,13.0424,12.8833,12.8833,-12.8833
26.6815,12.7689,12.8183,12.8183,-12.8183
26.9480,12.4925,12.7544,12.7544,-12.7544
27.2172,12.4133,12.6949,12.6949,-12.6949
27.4890,12.3812,12.6414,12.6414,-12.6414
27.7636,12.3507,12.5944,12.5944,-12.5944
28.0409,12.3500,12.5546,12.5546,-12.5546
28.3210,12.4662,12.5221,12.5221,-12.5221
28.6039,12.5928,12.4965,12.4965,-12.4965
28.8896,12.7156,12.4766,12.4766,-12.4766
29.1782,12.6145,12.4597,12.4597,-12.4597
29.4697,12.3978,12.4459,12.4459,-12.4459
29.7640,12.1817,12.4356,12.4356,-12.4356
30.0613,12.0481,12.4295,12.4295,-12.4295
30.3616,12.1996,12.4269,12.4269,-12.4269
30.6649,12.3619,12.4239,12.4239,-12.4239
30.9712,12.5203,12.4177,12.4177,-12.4177
31.2806,12.6331,12.4060,12.4060,-12.4060
31.5930,12.7345,12.3870,12.3870,-12.3870
31.9086,12.8426,12.3592,12.3592,-12.3592
32.2273,12.6774,12.3216,12.3216,-12.3216
32.5492,12.4264,12.2775,12.2775,-12.2775
32.8744,12.1627,12.2302,12.2302,-12.2302
33.2027,12.0268,12.1825,12.1825,-12.1825
33.5344,11.9533,12.1357,12.1357,-12.1357
33.8694,11.8842,12.0908,12.0908,-12.0908
34.2077,11.8800,12.0489,12.0489,-12.0489
34.5494,11.9082,12.0096,12.0096,-12.0096
34.8945,11.9285,11.9713,11.9713,-11.9713
35.2430,11.9115,11.9330,11.9330,-11.9330
35.5951,11.8821,11.8949,11.8949,-11.8949
35.9506,11.8422,11.8573,11.8573,-11.8573
36.3097,11.7928,11.8203,11.8203,-11.8203
36.6724,11.7437,11.7827,11.7827,-11.7827
37.0387,11.7306,11.7424,11.7424,-11.7424
37.4087,11.9185,11.6969,11.6969,-11.6969
37.7824,12.1062,11.6423,11.6423,-11.6423
38.1598,12.0556,11.5770,11.5770,-11.5770
38.5409,11.7360,11.5038,11.5038,-11.5038
38.9259,11.3916,11.4278,11.4278,-11.4278
39.3147,11.2391,11.3532,11.3532,-11.3532
39.7074,11.1290,11.2808,11.2808,-11.2808
40.1041,11.0290,11.2104,11.2104,-11.2104
40.5046,10.9562,11.1426,11.1426,-11.1426
40.9092,10.8946,11.0798,11.0798,-11.0798
41.3179,10.7425,11.0239,11.0239,-11.0239
41.7306,10.5815,10.9748,10.9748,-10.9748
42.1474,10.6253,10.9320,10.9320,-10.9320
42.5684,10.9629,10.8960,10.8960,-10.8960
42.9936,11.2829,10.8648,10.8648,-10.8648
43.4231,11.1546,10.8330,10.8330,-10.8330
