frequency,raw,smoothed,error,equalization
20.0000,3.9400,4.0195,4.0195,-4.0195
20.1998,3.9600,4.0271,4.0271,-4.0271
20.4015,3.9901,4.0354,4.0354,-4.0354
20.6053,4.0096,4.0438,4.0438,-4.0438
20.8112,4.0401,4.0525,4.0525,-4.0525
21.0190,4.0599,4.0615,4.0615,-4.0615
21.2290,4.0799,4.0711,4.0711,-4.0711
21.4410,4.0901,4.0815,4.0815,-4.0815
21.6552,4.1096,4.0928,4.0928,-4.0928
21.8715,4.1201,4.1051,4.1051,-4.1051
22.0900,4.1300,4.1183,4.1183,-4.1183
22.3106,4.1200,4.1327,4.1327,-4.1327
22.5335,4.1200,4.1480,4.1480,-4.1480
22.7586,4.1101,4.1635,4.1635,-4.1635
22.9859,4.1100,4.1796,4.1796,-4.1796
23.2155,4.1590,4.1964,4.1964,-4.1964
23.4474,4.2094,4.2133,4.2133,-4.2133
23.6816,4.2583,4.2296,4.2296,-4.2296
23.9182,4.2997,4.2447,4.2447,-4.2447
24.1571,4.3198,4.2579,4.2579,-4.2579
24.3984,4.3200,4.2693,4.2693,-4.2693
24.6421,4.3200,4.2794,4.2794,-4.2794
24.8882,4.3200,4.2891,4.2891,-4.2891
25.1368,4.3200,4.2988,4.2988,-4.2988
25.3879,4.3200,4.3087,4.3087,-4.3087
25.6415,4.3200,4.3186,4.3186,-4.3186
25.8976,4.3200,4.3285,4.3285,-4.3285
26.1563,4.3101,4.3384,4.3384,-4.3384
26.4176,4.2909,4.3487,4.3487,-4.3487
26.6815,4.2707,4.3603,4.3603,-4.3603
26.9480,4.2509,4.3736,4.3736,-4.3736
27.2172,4.3167,4.3892,4.3892,-4.3892
27.4890,4.3968,4.4063,4.4063,-4.4063
27.7636,4.4781,4.4237,4.4237,-4.4237
28.0409,4.5477,4.4400,4.4400,-4.4400
28.3210,4.5403,4.4542,4.4542,-4.4542
28.6039,4.5306,4.4661,4.4661,-4.4661
28.8896,4.5107,4.4760,4.4760,-4.4760
29.1782,4.5100,4.4845,4.4845,-4.4845
29.4697,4.5100,4.4920,4.4920,-4.4920
29.7640,4.5100,4.4987,4.4987,-4.4987
30.0613,4.5100,4.5044,4.5044,-4.5044
30.3616,4.5100,4.5091,4.5091,-4.5091
30.6649,4.5100,4.5127,4.5127,-4.5127
30.9712,4.5100,4.5159,4.5159,-4.5159
31.2806,4.4913,4.5192,4.5192,-4.5192
31.5930,4.4711,4.5237,4.5237,-4.5237
31.9086,4.4513,4.5304,4.5304,-4.5304
32.2273,4.4788,4.5399,4.5399,-4.5399
32.5492,4.5362,4.5519,4.5519,-4.5519
32.8744,4.5876,4.5651,4.5651,-4.5651
33.2027,4.6090,4.5787,4.5787,-4.5787
33.5344,4.6100,4.5922,4.5922,-4.5922
33.8694,4.6100,4.6056,4.6056,-4.6056
34.2077,4.6100,4.6190,4.6190,-4.6190
34.5494,4.6100,4.6322,4.6322,-4.6322
34.8945,4.6100,4.6454,4.6454,-4.6454
