frequency,raw,smoothed,error,equalization
20.0000,6.4800,6.4749,6.4749,-6.4749
20.1998,6.4800,6.4756,6.4756,-6.4756
20.4015,6.4700,6.4766,6.4766,-6.4766
20.6053,6.4700,6.4781,6.4781,-6.4781
20.8112,6.4700,6.4802,6.4802,-6.4802
21.0190,6.4700,6.4828,6.4828,-6.4828
21.2290,6.4700,6.4861,6.4861,-6.4861
21.4410,6.4700,6.4901,6.4901,-6.4901
21.6552,6.4798,6.4950,6.4950,-6.4950
21.8715,6.4900,6.5007,6.5007,-6.5007
22.0900,6.4900,6.5073,6.5073,-6.5073
22.3106,6.5001,6.5150,6.5150,-6.5150
22.5335,6.5194,6.5237,6.5237,-6.5237
22.7586,6.5299,6.5332,6.5332,-6.5332
22.9859,6.5398,6.5434,6.5434,-6.5434
23.2155,6.5498,6.5542,6.5542,-6.5542
23.4474,6.5599,6.5654,6.5654,-6.5654
23.6816,6.5697,6.5771,6.5771,-6.5771
23.9182,6.5898,6.5891,6.5891,-6.5891
24.1571,6.5999,6.6012,6.6012,-6.6012
24.3984,6.6099,6.6134,6.6134,-6.6134
24.6421,6.6294,6.6256,6.6256,-6.6256
24.8882,6.6399,6.6377,6.6377,-6.6377
25.1368,6.6499,6.6495,6.6495,-6.6495
25.3879,6.6698,6.6609,6.6609,-6.6609
25.6415,6.6797,6.6719,6.6719,-6.6719
25.8976,6.6895,6.6823,6.6823,-6.6823
26.1563,6.6999,6.6921,6.6921,-6.6921
26.4176,6.7095,6.7012,6.7012,-6.7012
26.6815,6.7197,6.7094,6.7094,-6.7094
26.9480,6.7296,6.7166,6.7166,-6.7166
27.2172,6.7395,6.7228,6.7228,-6.7228
27.4890,6.7400,6.7278,6.7278,-6.7278
27.7636,6.7498,6.7316,6.7316,-6.7316
28.0409,6.7500,6.7342,6.7342,-6.7342
28.3210,6.7500,6.7355,6.7355,-6.7355
28.6039,6.7500,6.7354,6.7354,-6.7354
28.8896,6.7500,6.7340,6.7340,-6.7340
29.1782,6.7500,6.7312,6.7312,-6.7312
29.4697,6.7404,6.7270,6.7270,-6.7270
29.7640,6.7400,6.7214,6.7214,-6.7214
30.0613,6.7306,6.7143,6.7143,-6.7143
30.3616,6.7206,6.7058,6.7058,-6.7058
30.6649,6.7105,6.6960,6.6960,-6.6960
30.9712,6.7006,6.6849,6.6849,-6.6849
31.2806,6.6906,6.6724,6.6724,-6.6724
31.5930,6.6711,6.6587,6.6587,-6.6587
31.9086,6.6607,6.6439,6.6439,-6.6439
32.2273,6.6408,6.6278,6.6278,-6.6278
32.5492,6.6213,6.6108,6.6108,-6.6108
32.8744,6.6010,6.5928,6.5928,-6.5928
33.2027,6.5810,6.5740,6.5740,-6.5740
33.5344,6.5609,6.5545,6.5545,-6.5545
33.8694,6.5412,6.5345,6.5345,-6.5345
34.2077,6.5213,6.5139,6.5139,-6.5139
34.5494,6.4918,6.4929,6.4929,-6.4929
34.8945,6.4715,6.4715,6.4715,-6.4715
35.2430,6.4515,6.4500,6.4500,-6.4500
35.5951,6.4314,6.4283,6.4283,-6.4283
35.9506,6.4017,6.4065,6.4065,-6.4065
36.3097,6.3811,6.3847,6.3847,-6.3847
36.6724,6.3615,6.3631,6.3631,-6.3631
37.0387,6.3412,6.3415,6.3415,-6.3415
37.4087,6.3212,6.3200,6.3200,-6.3200
37.7824,6.3015,6.2986,6.2986,-6.2986
38.1598,6.2724,6.2775,6.2775,-6.2775
38.5409,6.2515,6.2567,6.2567,-6.2567
38.9259,6.2313,6.2363,6.2363,-6.2363
39.3147,6.2113,6.2163,6.2163,-6.2163
39.7074,6.1916,6.1968,6.1968,-6.1968
40.1041,6.1718,6.1779,6.1779,-6.1779
40.5046,6.1518,6.1597,6.1597,-6.1597
40.9092,6.1315,6.1422,6.1422,-6.1422
41.3179,6.1116,6.1256,6.1256,-6.1256
41.7306,6.1007,6.1100,6.1100,-6.1100
42.1474,6.0816,6.0954,6.0954,-6.0954
42.5684,6.0708,6.0819,6.0819,-6.0819
42.9936,6.0517,6.0696,6.0696,-6.0696
43.4231,6.0409,6.0586,6.0586,-6.0586
43.8568,6.0310,6.0488,6.0488,-6.0488
44.2949,6.0208,6.0404,6.0404,-6.0404
44.7374,6.0200,6.0333,6.0333,-6.0333
45.1842,6.0110,6.0274,6.0274,-6.0274
45.6356,6.0100,6.0229,6.0229,-6.0229
46.0914,6.0100,6.0195,6.0195,-6.0195
46.5518,6.0010,6.0172,6.0172,-6.0172
47.0168,6.0000,6.0160,6.0160,-6.0160
47.4864,6.0091,6.0160,6.0160,-6.0160
47.9608,6.0100,6.0168,6.0168,-6.0168
48.4398,6.0100,6.0186,6.0186,-6.0186
48.9237,6.0100,6.0211,6.0211,-6.0211
49.4124,6.0190,6.0244,6.0244,-6.0244
49.9059,6.0200,6.0284,6.0284,-6.0284
50.4044,6.0289,6.0329,6.0329,-6.0329
50.9079,6.0300,6.0379,6.0379,-6.0379
51.4164,6.0389,6.0433,6.0433,-6.0433
51.9300,6.0488,6.0491,6.0491,-6.0491
52.4487,6.0500,6.0551,6.0551,-6.0551
52.9726,6.0589,6.0612,6.0612,-6.0612
53.5018,6.0689,6.0674,6.0674,-6.0674
54.0362,6.0788,6.0735,6.0735,-6.0735
54.5759,6.0800,6.0794,6.0794,-6.0794
55.1211,6.0889,6.0851,6.0851,-6.0851
55.6717,6.0988,6.0905,6.0905,-6.0905
56.2278,6.1000,6.0954,6.0954,-6.0954
56.7894,6.1088,6.0998,6.0998,-6.0998
57.3567,6.1100,6.1035,6.1035,-6.1035
57.9296,6.1188,6.1066,6.1066,-6.1066
58.5082,6.1200,6.1088,6.1088,-6.1088
59.0927,6.1200,6.1100,6.1100,-6.1100
59.6829,6.1200,6.1103,6.1103,-6.1103
60.2791,6.1200,6.1096,6.1096,-6.1096
60.8812,6.1200,6.1078,6.1078,-6.1078
61.4893,6.1200,6.1050,6.1050,-6.1050
62.1035,6.1200,6.1008,6.1008,-6.1008
62.7239,6.1112,6.0954,6.0954,-6.0954
63.3504,6.1013,6.0887,6.0887,-6.0887
63.9832,6.1000,6.0808,6.0808,-6.0808
64.6223,6.0914,6.0715,6.0715,-6.0715
65.2678,6.0726,6.0608,6.0608,-6.0608
65.9198,6.0614,6.0488,6.0488,-6.0488
66.5782,6.0514,6.0355,6.0355,-6.0355
67.2433,6.0326,6.0210,6.0210,-6.0210
67.9149,6.0214,6.0052,6.0052,-6.0052
68.5933,6.0028,5.9880,5.9880,-5.9880
69.2785,5.9827,5.9695,5.9695,-5.9695
69.9705,5.9628,5.9498,5.9498,-5.9498
70.6694,5.9429,5.9288,5.9288,-5.9288
71.3753,5.9229,5.9066,5.9066,-5.9066
72.0883,5.8943,5.8831,5.8831,-5.8831
72.8083,5.8728,5.8584,5.8584,-5.8584
73.5356,5.8443,5.8325,5.8325,-5.8325
74.2701,5.8230,5.8055,5.8055,-5.8055
75.0120,5.7944,5.7772,5.7772,-5.7772
75.7613,5.7643,5.7477,5.7477,-5.7477
76.5180,5.7259,5.7172,5.7172,-5.7172
77.2824,5.6946,5.6857,5.6857,-5.6857
78.0543,5.6645,5.6533,5.6533,-5.6533
78.8340,5.6259,5.6201,5.6201,-5.6201
79.6214,5.5945,5.5860,5.5860,-5.5860
80.4168,5.5562,5.5512,5.5512,-5.5512
81.2200,5.5248,5.5158,5.5158,-5.5158
82.0313,5.4864,5.4798,5.4798,-5.4798
82.8507,5.4463,5.4432,5.4432,-5.4432
83.6783,5.4063,5.4063,5.4063,-5.4063
84.5141,5.3749,5.3691,5.3691,-5.3691
85.3583,5.3367,5.3316,5.3316,-5.3316
86.2109,5.2965,5.2938,5.2938,-5.2938
87.0721,5.2568,5.2559,5.2559,-5.2559
87.9418,5.2168,5.2178,5.2178,-5.2178
88.8203,5.1768,5.1797,5.1797,-5.1797
89.7075,5.1369,5.1416,5.1416,-5.1416
90.6035,5.1052,5.1036,5.1036,-5.1036
91.5085,5.0667,5.0655,5.0655,-5.0655
92.4226,5.0268,5.0276,5.0276,-5.0276
93.3458,4.9871,4.9897,4.9897,-4.9897
94.2782,4.9470,4.9520,4.9520,-4.9520
95.2199,4.9154,4.9145,4.9145,-4.9145
96.1711,4.8771,4.8771,4.8771,-4.8771
97.1317,4.8370,4.8400,4.8400,-4.8400
98.1019,4.7973,4.8030,4.8030,-4.8030
99.0818,4.7655,4.7663,4.7663,-4.7663
100.0715,4.7272,4.7298,4.7298,-4.7298
101.0711,4.6872,4.6935,4.6935,-4.6935
102.0807,4.6556,4.6574,4.6574,-4.6574
103.1004,4.6174,4.6215,4.6215,-4.6215
104.1302,4.5855,4.5858,4.5858,-4.5858
105.1703,4.5476,4.5503,4.5503,-4.5503
106.2209,4.5157,4.5148,4.5148,-4.5148
107.2819,4.4775,4.4794,4.4794,-4.4794
108.3535,4.4457,4.4441,4.4441,-4.4441
109.4358,4.4076,4.4087,4.4087,-4.4087
110.5289,4.3758,4.3732,4.3732,-4.3732
111.6330,4.3378,4.3376,4.3376,-4.3376
112.7481,4.3059,4.3018,4.3018,-4.3018
113.8743,4.2680,4.2657,4.2657,-4.2657
115.0118,4.2360,4.2294,4.2294,-4.2294
116.1606,4.1980,4.1927,4.1927,-4.1927
117.3209,4.1579,4.1557,4.1557,-4.1557
118.4928,4.1260,4.1182,4.1182,-4.1182
119.6764,4.0882,4.0803,4.0803,-4.0803
120.8718,4.0483,4.0418,4.0418,-4.0418
122.0792,4.0083,4.0027,4.0027,-4.0027
123.2986,3.9682,3.9630,3.9630,-3.9630
124.5302,3.9284,3.9226,3.9226,-3.9226
125.7741,3.8883,3.8815,3.8815,-3.8815
127.0304,3.8482,3.8396,3.8396,-3.8396
128.2993,3.8085,3.7970,3.7970,-3.7970
129.5808,3.7684,3.7535,3.7535,-3.7535
130.8752,3.7206,3.7091,3.7091,-3.7091
132.1825,3.6785,3.6637,3.6637,-3.6637
133.5028,3.6308,3.6173,3.6173,-3.6173
134.8363,3.5807,3.5700,3.5700,-3.5700
136.1832,3.5309,3.5216,3.5216,-3.5216
137.5435,3.4809,3.4723,3.4723,-3.4723
138.9174,3.4310,3.4220,3.4220,-3.4220
140.3050,3.3810,3.3707,3.3707,-3.3707
141.7065,3.3311,3.3184,3.3184,-3.3184
143.1220,3.2812,3.2649,3.2649,-3.2649
144.5516,3.2234,3.2105,3.2105,-3.2105
