frequency,raw,smoothed,error,equalization
20.0000,7.5100,7.6605,7.6605,-7.6605
20.1998,7.5599,7.6778,7.6778,-7.6778
20.4015,7.6003,7.6975,7.6975,-7.6975
20.6053,7.6391,7.7193,7.7193,-7.7193
20.8112,7.6802,7.7428,7.7428,-7.7428
21.0190,7.7198,7.7679,7.7679,-7.7679
21.2290,7.7598,7.7947,7.7947,-7.7947
21.4410,7.8002,7.8233,7.8233,-7.8233
21.6552,7.8391,7.8538,7.8538,-7.8538
21.8715,7.8803,7.8865,7.8865,-7.8865
22.0900,7.9200,7.9215,7.9215,-7.9215
22.3106,7.9601,7.9594,7.9594,-7.9594
22.5335,7.9989,7.9992,7.9992,-7.9992
22.7586,8.0397,8.0389,8.0389,-8.0389
22.9859,8.0793,8.0785,8.0785,-8.0785
23.2155,8.1192,8.1179,8.1179,-8.1179
23.4474,8.1595,8.1572,8.1572,-8.1572
23.6816,8.1986,8.1962,8.1962,-8.1962
23.9182,8.2397,8.2349,8.2349,-8.2349
24.1571,8.2795,8.2734,8.2734,-8.2734
24.3984,8.3197,8.3115,8.3115,-8.3115
24.6421,8.3491,8.3492,8.3492,-8.3492
24.8882,8.3897,8.3867,8.3867,-8.3867
25.1368,8.4295,8.4238,8.4238,-8.4238
25.3879,8.4697,8.4605,8.4605,-8.4605
25.6415,8.4990,8.4969,8.4969,-8.4969
25.8976,8.5381,8.5328,8.5328,-8.5328
26.1563,8.5696,8.5684,8.5684,-8.5684
26.4176,8.6082,8.6037,8.6037,-8.6037
26.6815,8.6390,8.6386,8.6386,-8.6386
26.9480,8.6782,8.6733,8.6733,-8.6733
27.2172,8.7086,8.7076,8.7076,-8.7076
27.4890,8.7484,8.7417,8.7417,-8.7417
27.7636,8.7793,8.7754,8.7754,-8.7754
28.0409,8.8090,8.8088,8.8088,-8.8088
28.3210,8.8487,8.8419,8.8419,-8.8419
28.6039,8.8783,8.8748,8.8748,-8.8748
28.8896,8.9089,8.9075,8.9075,-8.9075
29.1782,8.9388,8.9399,8.9399,-8.9399
29.4697,8.9786,8.9722,8.9722,-8.9722
29.7640,9.0084,9.0043,9.0043,-9.0043
30.0613,9.0381,9.0361,9.0361,-9.0361
30.3616,9.0682,9.0677,9.0677,-9.0677
30.6649,9.0985,9.0992,9.0992,-9.0992
30.9712,9.1282,9.1306,9.1306,-9.1306
31.2806,9.1581,9.1619,9.1619,-9.1619
31.5930,9.1978,9.1931,9.1931,-9.1931
31.9086,9.2280,9.2241,9.2241,-9.2241
32.2273,9.2588,9.2549,9.2549,-9.2549
32.5492,9.2881,9.2854,9.2854,-9.2854
32.8744,9.3185,9.3157,9.3157,-9.3157
33.2027,9.3484,9.3459,9.3459,-9.3459
33.5344,9.3786,9.3758,9.3758,-9.3758
33.8694,9.4082,9.4056,9.4056,-9.4056
