frequency,raw,smoothed,error,equalization
20.0000,-9.6100,-9.7862,-9.7862,9.7862
20.1998,-9.6300,-9.8075,-9.8075,9.8075
20.4015,-9.6905,-9.8316,-9.8316,9.8316
20.6053,-9.7584,-9.8574,-9.8574,9.8574
20.8112,-9.8203,-9.8837,-9.8837,9.8837
21.0190,-9.8698,-9.9103,-9.9103,9.9103
21.2290,-9.9098,-9.9366,-9.9366,9.9366
21.4410,-9.9902,-9.9623,-9.9623,9.9623
21.6552,-10.0389,-9.9867,-9.9867,9.9867
21.8715,-10.0703,-10.0090,-10.0090,10.0090
22.0900,-10.1100,-10.0290,-10.0290,10.0290
22.3106,-10.1500,-10.0458,-10.0458,10.0458
22.5335,-10.1500,-10.0574,-10.0574,10.0574
22.7586,-10.1500,-10.0610,-10.0610,10.0610
22.9859,-10.1500,-10.0558,-10.0558,10.0558
23.2155,-10.1500,-10.0414,-10.0414,10.0414
23.4474,-10.1500,-10.0170,-10.0170,10.0170
23.6816,-10.1114,-9.9818,-9.9818,9.9818
23.9182,-10.0703,-9.9353,-9.9353,9.9353
24.1571,-10.0206,-9.8771,-9.8771,9.8771
24.3984,-9.9604,-9.8069,-9.8069,9.8069
24.6421,-9.8728,-9.7243,-9.7243,9.7243
24.8882,-9.7807,-9.6292,-9.6292,9.6292
25.1368,-9.6714,-9.5216,-9.5216,9.5216
25.3879,-9.5510,-9.4015,-9.4015,9.4015
25.6415,-9.4242,-9.2691,-9.2691,9.2691
25.8976,-9.2676,-9.1244,-9.1244,9.1244
26.1563,-9.1122,-8.9680,-8.9680,8.9680
26.4176,-8.9287,-8.8004,-8.8004,8.8004
26.6815,-8.7362,-8.6226,-8.6226,8.6226
26.9480,-8.5389,-8.4352,-8.4352,8.4352
27.2172,-8.3300,-8.2393,-8.2393,8.2393
27.4890,-8.1089,-8.0356,-8.0356,8.0356
27.7636,-7.8950,-7.8252,-7.8252,7.8252
28.0409,-7.6481,-7.6089,-7.6089,7.6089
28.3210,-7.4174,-7.3881,-7.3881,7.3881
28.6039,-7.1927,-7.1636,-7.1636,7.1636
28.8896,-6.9489,-6.9363,-6.9363,6.9363
29.1782,-6.7098,-6.7072,-6.7072,6.7072
29.4697,-6.4782,-6.4769,-6.4769,6.4769
